seqnum;now;rtptime;deadline
1;6251955000;6138800000;6338800000
2;6251990000;6138800000;6338800000
3;6251993000;6138800000;6338800000
4;6252014000;6138800000;6338800000
5;6252016000;6138800000;6338800000
6;6252020000;6138800000;6338800000
7;6252022000;6138800000;6338800000
8;6252041000;6138800000;6338800000
9;6252063000;6138800000;6338800000
10;6300961000;6138800000;6338800000
11;6301033000;6170544444;6370544444
12;6301035000;6170544444;6370544444
13;6301046000;6170544444;6370544444
14;6301054000;6170544444;6370544444
15;6301063000;6170544444;6370544444
16;6301065000;6170544444;6370544444
17;6301067000;6170544444;6370544444
18;6301076000;6170544444;6370544444
19;6301084000;6170544444;6370544444
20;6301093000;6170544444;6370544444
21;6332647000;6170544444;6370544444
22;6333927000;6212255555;6412255555
23;6334064000;6212255555;6412255555
24;6334077000;6212255555;6412255555
25;6334283000;6212255555;6412255555
26;6334459000;6212255555;6412255555
27;6334538000;6212255555;6412255555
28;6334710000;6212255555;6412255555
29;6334716000;6212255555;6412255555
30;6334866000;6212255555;6412255555
31;6335097000;6212255555;6412255555
32;6374378000;6212255555;6412255555
33;6375603000;6253822222;6453822222
34;6375744000;6253822222;6453822222
35;6375747000;6253822222;6453822222
36;6375972000;6253822222;6453822222
37;6376144000;6253822222;6453822222
38;6376146000;6253822222;6453822222
39;6376342000;6253822222;6453822222
40;6376384000;6253822222;6453822222
41;6376555000;6253822222;6453822222
42;6376559000;6253822222;6453822222
43;6415963000;6253822222;6453822222
44;6417232000;6295488888;6495488888
45;6417424000;6295488888;6495488888
46;6417427000;6295488888;6495488888
47;6417590000;6295488888;6495488888
48;6417807000;6295488888;6495488888
49;6417893000;6295488888;6495488888
50;6418015000;6295488888;6495488888
51;6418019000;6295488888;6495488888
52;6418227000;6295488888;6495488888
53;6418231000;6295488888;6495488888
54;6457619000;6295488888;6495488888
55;6458938000;6337155555;6537155555
56;6459047000;6337155555;6537155555
57;6459297000;6337155555;6537155555
58;6459301000;6337155555;6537155555
59;6459495000;6337155555;6537155555
60;6459501000;6337155555;6537155555
61;6459791000;6337155555;6537155555
62;6459794000;6337155555;6537155555
63;6459878000;6337155555;6537155555
64;6459893000;6337155555;6537155555
65;6499285000;6337155555;6537155555
66;6500596000;6378855555;6578855555
67;6500755000;6378855555;6578855555
68;6500758000;6378855555;6578855555
69;6500936000;6378855555;6578855555
70;6501179000;6378855555;6578855555
71;6501300000;6378855555;6578855555
72;6501410000;6378855555;6578855555
73;6501551000;6378855555;6578855555
74;6501577000;6378855555;6578855555
75;6501776000;6378855555;6578855555
76;6540891000;6378855555;6578855555
77;6542245000;6420544444;6620544444
78;6542401000;6420544444;6620544444
79;6542403000;6420544444;6620544444
80;6542659000;6420544444;6620544444
81;6542812000;6420544444;6620544444
82;6542816000;6420544444;6620544444
83;6543033000;6420544444;6620544444
84;6543089000;6420544444;6620544444
85;6543214000;6420544444;6620544444
86;6543216000;6420544444;6620544444
87;6582811000;6420544444;6620544444
88;6583893000;6462155555;6662155555
89;6584069000;6462155555;6662155555
90;6584071000;6462155555;6662155555
91;6584272000;6462155555;6662155555
92;6584516000;6462155555;6662155555
93;6584518000;6462155555;6662155555
94;6584688000;6462155555;6662155555
95;6584799000;6462155555;6662155555
96;6584911000;6462155555;6662155555
97;6584914000;6462155555;6662155555
98;6624238000;6462155555;6662155555
99;6625555000;6503788888;6703788888
100;6625735000;6503788888;6703788888
101;6625737000;6503788888;6703788888
102;6625971000;6503788888;6703788888
103;6626152000;6503788888;6703788888
104;6626154000;6503788888;6703788888
105;6626341000;6503788888;6703788888
106;6626384000;6503788888;6703788888
107;6626571000;6503788888;6703788888
108;6626575000;6503788888;6703788888
109;6665832000;6503788888;6703788888
110;6667259000;6545422222;6745422222
111;6667401000;6545422222;6745422222
112;6667403000;6545422222;6745422222
113;6667604000;6545422222;6745422222
114;6667829000;6545422222;6745422222
115;6667978000;6545422222;6745422222
116;6667983000;6545422222;6745422222
117;6667985000;6545422222;6745422222
118;6668243000;6545422222;6745422222
119;6668256000;6545422222;6745422222
120;6707525000;6545422222;6745422222
121;6708864000;6587144444;6787144444
122;6709054000;6587144444;6787144444
123;6709057000;6587144444;6787144444
124;6709287000;6587144444;6787144444
125;6709453000;6587144444;6787144444
126;6709482000;6587144444;6787144444
127;6709669000;6587144444;6787144444
128;6709749000;6587144444;6787144444
129;6709869000;6587144444;6787144444
130;6709882000;6587144444;6787144444
131;6749239000;6587144444;6787144444
132;6750548000;6628788888;6828788888
133;6750721000;6628788888;6828788888
134;6750724000;6628788888;6828788888
135;6750931000;6628788888;6828788888
136;6751122000;6628788888;6828788888
137;6751254000;6628788888;6828788888
138;6751353000;6628788888;6828788888
139;6751437000;6628788888;6828788888
140;6751551000;6628788888;6828788888
141;6751555000;6628788888;6828788888
142;6790877000;6628788888;6828788888
143;6792219000;6670444444;6870444444
144;6792408000;6670444444;6870444444
145;6792410000;6670444444;6870444444
146;6792634000;6670444444;6870444444
147;6792800000;6670444444;6870444444
148;6792803000;6670444444;6870444444
149;6793023000;6670444444;6870444444
150;6793039000;6670444444;6870444444
151;6793255000;6670444444;6870444444
152;6793384000;6670444444;6870444444
153;6832532000;6670444444;6870444444
154;6833890000;6712155555;6912155555
155;6834078000;6712155555;6912155555
156;6834080000;6712155555;6912155555
157;6834319000;6712155555;6912155555
158;6834490000;6712155555;6912155555
159;6834493000;6712155555;6912155555
160;6834688000;6712155555;6912155555
161;6834813000;6712155555;6912155555
162;6834930000;6712155555;6912155555
163;6834971000;6712155555;6912155555
164;6874237000;6712155555;6912155555
165;6875555000;6753822222;6953822222
166;6875737000;6753822222;6953822222
167;6875738000;6753822222;6953822222
168;6875976000;6753822222;6953822222
169;6876148000;6753822222;6953822222
170;6876150000;6753822222;6953822222
171;6876345000;6753822222;6953822222
172;6876386000;6753822222;6953822222
173;6876575000;6753822222;6953822222
174;6876578000;6753822222;6953822222
175;6915904000;6753822222;6953822222
176;6917207000;6795488888;6995488888
177;6917401000;6795488888;6995488888
178;6917415000;6795488888;6995488888
179;6917634000;6795488888;6995488888
180;6917821000;6795488888;6995488888
181;6917823000;6795488888;6995488888
182;6918008000;6795488888;6995488888
183;6918161000;6795488888;6995488888
184;6918265000;6795488888;6995488888
185;6918268000;6795488888;6995488888
186;6957576000;6795488888;6995488888
187;6958872000;6837133333;7037133333
188;6959066000;6837133333;7037133333
189;6959068000;6837133333;7037133333
190;6959307000;6837133333;7037133333
191;6959474000;6837133333;7037133333
192;6959481000;6837133333;7037133333
193;6959700000;6837133333;7037133333
194;6959718000;6837133333;7037133333
195;6959851000;6837133333;7037133333
196;6960105000;6837133333;7037133333
197;6999215000;6837133333;7037133333
198;7000546000;6878777777;7078777777
199;7000730000;6878777777;7078777777
200;7000732000;6878777777;7078777777
201;7000953000;6878777777;7078777777
202;7001146000;6878777777;7078777777
203;7001148000;6878777777;7078777777
204;7001336000;6878777777;7078777777
205;7001395000;6878777777;7078777777
206;7001565000;6878777777;7078777777
207;7001765000;6878777777;7078777777
208;7040857000;6878777777;7078777777
209;7042197000;6920444444;7120444444
210;7042388000;6920444444;7120444444
211;7042390000;6920444444;7120444444
212;7042577000;6920444444;7120444444
213;7042905000;6920444444;7120444444
214;7042908000;6920444444;7120444444
215;7043011000;6920444444;7120444444
216;7043017000;6920444444;7120444444
217;7043228000;6920444444;7120444444
218;7043241000;6920444444;7120444444
219;7082532000;6920444444;7120444444
220;7083895000;6962166666;7162166666
221;7084085000;6962166666;7162166666
222;7084087000;6962166666;7162166666
223;7084320000;6962166666;7162166666
224;7084487000;6962166666;7162166666
225;7084690000;6962166666;7162166666
226;7084696000;6962166666;7162166666
227;7084707000;6962166666;7162166666
228;7084928000;6962166666;7162166666
229;7084942000;6962166666;7162166666
230;7124261000;6962166666;7162166666
231;7125554000;7003811111;7203811111
232;7125742000;7003811111;7203811111
233;7125744000;7003811111;7203811111
234;7125979000;7003811111;7203811111
235;7126146000;7003811111;7203811111
236;7126175000;7003811111;7203811111
237;7126346000;7003811111;7203811111
238;7126351000;7003811111;7203811111
239;7126586000;7003811111;7203811111
240;7126601000;7003811111;7203811111
241;7165891000;7003811111;7203811111
242;7167211000;7045433333;7245433333
243;7167405000;7045433333;7245433333
244;7167408000;7045433333;7245433333
245;7167624000;7045433333;7245433333
246;7167815000;7045433333;7245433333
247;7167817000;7045433333;7245433333
248;7167999000;7045433333;7245433333
249;7168002000;7045433333;7245433333
250;7168226000;7045433333;7245433333
251;7168229000;7045433333;7245433333
252;7207507000;7045433333;7245433333
253;7208876000;7087155555;7287155555
254;7209065000;7087155555;7287155555
255;7209066000;7087155555;7287155555
256;7209291000;7087155555;7287155555
257;7209463000;7087155555;7287155555
258;7209466000;7087155555;7287155555
259;7209691000;7087155555;7287155555
260;7209696000;7087155555;7287155555
261;7209903000;7087155555;7287155555
262;7209906000;7087155555;7287155555
263;7249227000;7087155555;7287155555
264;7250539000;7128800000;7328800000
265;7250735000;7128800000;7328800000
266;7250749000;7128800000;7328800000
267;7250951000;7128800000;7328800000
268;7251122000;7128800000;7328800000
269;7251126000;7128800000;7328800000
270;7251348000;7128800000;7328800000
271;7251351000;7128800000;7328800000
272;7251561000;7128800000;7328800000
273;7251564000;7128800000;7328800000
274;7290871000;7128800000;7328800000
275;7292195000;7170444444;7370444444
276;7292386000;7170444444;7370444444
277;7292388000;7170444444;7370444444
278;7292582000;7170444444;7370444444
