seqnum;now;rtptime;deadline
1;8034477000;7920922222;8120922222
2;8034502000;7920922222;8120922222
3;8034504000;7920922222;8120922222
4;8034528000;7920922222;8120922222
5;8034530000;7920922222;8120922222
6;8034540000;7920922222;8120922222
7;8034542000;7920922222;8120922222
8;8034562000;7920922222;8120922222
9;8034589000;7920922222;8120922222
10;8083271000;7920922222;8120922222
11;8083337000;7952822222;8152822222
12;8083339000;7952822222;8152822222
13;8083341000;7952822222;8152822222
14;8083360000;7952822222;8152822222
15;8083378000;7952822222;8152822222
16;8083379000;7952822222;8152822222
17;8083387000;7952822222;8152822222
18;8083394000;7952822222;8152822222
19;8083396000;7952822222;8152822222
20;8083397000;7952822222;8152822222
21;8115124000;7952822222;8152822222
22;8116223000;7994533333;8194533333
23;8116383000;7994533333;8194533333
26;8116605000;7994533333;8194533333
27;8116785000;7994533333;8194533333
28;8116894000;7994533333;8194533333
29;8117038000;7994533333;8194533333
30;8117051000;7994533333;8194533333
31;8117194000;7994533333;8194533333
32;8156873000;7994533333;8194533333
33;8157891000;8036133333;8236133333
34;8158044000;8036133333;8236133333
35;8158047000;8036133333;8236133333
36;8158300000;8036133333;8236133333
37;8158478000;8036133333;8236133333
38;8158480000;8036133333;8236133333
39;8158671000;8036133333;8236133333
40;8158807000;8036133333;8236133333
41;8158918000;8036133333;8236133333
42;8159059000;8036133333;8236133333
43;8198450000;8036133333;8236133333
44;8199566000;8077788888;8277788888
45;8199704000;8077788888;8277788888
46;8199722000;8077788888;8277788888
47;8199910000;8077788888;8277788888
48;8200137000;8077788888;8277788888
49;8200140000;8077788888;8277788888
50;8200362000;8077788888;8277788888
51;8200365000;8077788888;8277788888
52;8200548000;8077788888;8277788888
53;8200551000;8077788888;8277788888
54;8240095000;8077788888;8277788888
55;8241216000;8119433333;8319433333
56;8241364000;8119433333;8319433333
59;8241609000;8119433333;8319433333
60;8241796000;8119433333;8319433333
61;8241801000;8119433333;8319433333
62;8241991000;8119433333;8319433333
63;8242060000;8119433333;8319433333
64;8242181000;8119433333;8319433333
65;8281754000;8119433333;8319433333
66;8282893000;8161155555;8361155555
67;8283050000;8161155555;8361155555
68;8283053000;8161155555;8361155555
69;8283233000;8161155555;8361155555
70;8283507000;8161155555;8361155555
71;8283531000;8161155555;8361155555
72;8283682000;8161155555;8361155555
73;8283694000;8161155555;8361155555
74;8283886000;8161155555;8361155555
75;8283889000;8161155555;8361155555
76;8323414000;8161155555;8361155555
77;8324528000;8202833333;8402833333
78;8324703000;8202833333;8402833333
79;8324706000;8202833333;8402833333
80;8324953000;8202833333;8402833333
81;8325116000;8202833333;8402833333
82;8325143000;8202833333;8402833333
83;8325324000;8202833333;8402833333
84;8325395000;8202833333;8402833333
85;8325553000;8202833333;8402833333
86;8325556000;8202833333;8402833333
87;8367480000;8202833333;8402833333
88;8367549000;8244433333;8444433333
89;8367551000;8244433333;8444433333
90;8367552000;8244433333;8444433333
91;8367571000;8244433333;8444433333
92;8367590000;8244433333;8444433333
93;8367591000;8244433333;8444433333
94;8367592000;8244433333;8444433333
95;8367594000;8244433333;8444433333
96;8367603000;8244433333;8444433333
97;8367609000;8244433333;8444433333
98;8406693000;8244433333;8444433333
99;8407846000;8286111111;8486111111
100;8408037000;8286111111;8486111111
101;8408040000;8286111111;8486111111
102;8408262000;8286111111;8486111111
103;8408446000;8286111111;8486111111
104;8408599000;8286111111;8486111111
105;8408601000;8286111111;8486111111
106;8408603000;8286111111;8486111111
107;8408874000;8286111111;8486111111
108;8408886000;8286111111;8486111111
109;8448383000;8286111111;8486111111
110;8449540000;8327733333;8527733333
111;8449713000;8327733333;8527733333
112;8449715000;8327733333;8527733333
113;8449956000;8327733333;8527733333
114;8450121000;8327733333;8527733333
115;8450123000;8327733333;8527733333
116;8450335000;8327733333;8527733333
117;8450393000;8327733333;8527733333
118;8450535000;8327733333;8527733333
119;8450538000;8327733333;8527733333
120;8490004000;8327733333;8527733333
121;8491178000;8369433333;8569433333
122;8491368000;8369433333;8569433333
123;8491370000;8369433333;8569433333
124;8491544000;8369433333;8569433333
125;8491785000;8369433333;8569433333
126;8491788000;8369433333;8569433333
127;8491991000;8369433333;8569433333
128;8491994000;8369433333;8569433333
129;8492219000;8369433333;8569433333
130;8492221000;8369433333;8569433333
131;8531681000;8369433333;8569433333
132;8532836000;8411088888;8611088888
133;8533018000;8411088888;8611088888
134;8533278000;8411088888;8611088888
135;8533280000;8411088888;8611088888
136;8533549000;8411088888;8611088888
137;8533552000;8411088888;8611088888
138;8533670000;8411088888;8611088888
139;8533673000;8411088888;8611088888
140;8533874000;8411088888;8611088888
141;8533877000;8411088888;8611088888
142;8573362000;8411088888;8611088888
143;8574499000;8452722222;8652722222
144;8574690000;8452722222;8652722222
145;8574692000;8452722222;8652722222
146;8574919000;8452722222;8652722222
147;8575084000;8452722222;8652722222
148;8575218000;8452722222;8652722222
149;8575319000;8452722222;8652722222
150;8575390000;8452722222;8652722222
151;8575504000;8452722222;8652722222
152;8575618000;8452722222;8652722222
153;8614946000;8452722222;8652722222
154;8616120000;8494433333;8694433333
155;8616332000;8494433333;8694433333
156;8616593000;8494433333;8694433333
157;8616596000;8494433333;8694433333
161;8616938000;8494433333;8694433333
