seqnum;now;rtptime;deadline;packet_len;payload_len
0;8271873000;8199788888;8399788888;1398;1386
1;8271895000;8199788888;8399788888;1400;1388
2;8272004000;8199788888;8399788888;1398;1386
3;8272288000;8199788888;8399788888;1400;1388
4;8272297000;8199788888;8399788888;1400;1388
5;8272301000;8199788888;8399788888;1398;1386
6;8272504000;8199788888;8399788888;1400;1388
7;8272523000;8199788888;8399788888;1398;1386
8;8272743000;8199788888;8399788888;1400;1388
9;8272753000;8199788888;8399788888;1400;1388
10;8272990000;8199788888;8399788888;982;970
11;8313460000;8231466666;8431466666;1398;1386
12;8313495000;8231466666;8431466666;1400;1388
13;8313657000;8231466666;8431466666;1398;1386
14;8313663000;8231466666;8431466666;1400;1388
15;8313904000;8231466666;8431466666;1400;1388
16;8313911000;8231466666;8431466666;1398;1386
17;8314155000;8231466666;8431466666;1400;1388
18;8314163000;8231466666;8431466666;1398;1386
19;8314407000;8231466666;8431466666;1400;1388
20;8314418000;8231466666;8431466666;1400;1388
21;8314662000;8231466666;8431466666;982;970
22;8355143000;8273177777;8473177777;1398;1386
23;8355169000;8273177777;8473177777;1400;1388
24;8355372000;8273177777;8473177777;1398;1386
25;8355391000;8273177777;8473177777;1400;1388
26;8355629000;8273177777;8473177777;1400;1388
27;8355649000;8273177777;8473177777;1398;1386
28;8355881000;8273177777;8473177777;1400;1388
29;8355901000;8273177777;8473177777;1398;1386
30;8356125000;8273177777;8473177777;1400;1388
31;8356144000;8273177777;8473177777;1400;1388
32;8356148000;8273177777;8473177777;982;970
33;8396789000;8314788888;8514788888;1398;1386
34;8396820000;8314788888;8514788888;1400;1388
35;8397042000;8314788888;8514788888;1398;1386
36;8397065000;8314788888;8514788888;1400;1388
37;8397249000;8314788888;8514788888;1400;1388
38;8397259000;8314788888;8514788888;1398;1386
39;8397494000;8314788888;8514788888;1400;1388
40;8397525000;8314788888;8514788888;1398;1386
41;8397746000;8314788888;8514788888;1400;1388
42;8397762000;8314788888;8514788888;1400;1388
43;8397995000;8314788888;8514788888;982;970
44;8438483000;8356522222;8556522222;1398;1386
45;8438509000;8356522222;8556522222;1400;1388
46;8438704000;8356522222;8556522222;1398;1386
47;8438723000;8356522222;8556522222;1400;1388
48;8438962000;8356522222;8556522222;1400;1388
49;8438981000;8356522222;8556522222;1398;1386
50;8439212000;8356522222;8556522222;1400;1388
51;8439231000;8356522222;8556522222;1398;1386
52;8439465000;8356522222;8556522222;1400;1388
53;8439483000;8356522222;8556522222;1400;1388
54;8439487000;8356522222;8556522222;982;970
55;8480101000;8398111111;8598111111;1398;1386
