seqnum;now;rtptime;deadline
0;8015592000;7893088888;8093088888
1;8015599000;7893088888;8093088888
2;8015601000;7893088888;8093088888
3;8015603000;7893088888;8093088888
4;8015605000;7893088888;8093088888
5;8015606000;7893088888;8093088888
6;8015608000;7893088888;8093088888
7;8015609000;7893088888;8093088888
8;8015611000;7893088888;8093088888
9;8015613000;7893088888;8093088888
10;8016220000;7893088888;8093088888
11;8016238000;7924744444;8124744444
12;8016239000;7924744444;8124744444
13;8016241000;7924744444;8124744444
14;8016242000;7924744444;8124744444
15;8016244000;7924744444;8124744444
16;8016245000;7924744444;8124744444
17;8016247000;7924744444;8124744444
18;8016248000;7924744444;8124744444
19;8016250000;7924744444;8124744444
20;8016251000;7924744444;8124744444
21;8047146000;7924744444;8124744444
22;8048465000;7966444444;8166444444
23;8048477000;7966444444;8166444444
24;8048667000;7966444444;8166444444
25;8048670000;7966444444;8166444444
26;8048924000;7966444444;8166444444
27;8048927000;7966444444;8166444444
28;8049179000;7966444444;8166444444
29;8049182000;7966444444;8166444444
30;8049429000;7966444444;8166444444
31;8049431000;7966444444;8166444444
32;8088842000;7966444444;8166444444
33;8090105000;8008055555;8208055555
34;8090108000;8008055555;8208055555
35;8090303000;8008055555;8208055555
36;8090306000;8008055555;8208055555
37;8090613000;8008055555;8208055555
38;8090615000;8008055555;8208055555
39;8090804000;8008055555;8208055555
40;8090807000;8008055555;8208055555
41;8091055000;8008055555;8208055555
42;8091058000;8008055555;8208055555
43;8130482000;8008055555;8208055555
44;8131792000;8049722222;8249722222
45;8131796000;8049722222;8249722222
46;8131991000;8049722222;8249722222
47;8131993000;8049722222;8249722222
48;8132238000;8049722222;8249722222
49;8132241000;8049722222;8249722222
50;8132497000;8049722222;8249722222
51;8132500000;8049722222;8249722222
52;8132751000;8049722222;8249722222
53;8132754000;8049722222;8249722222
54;8172138000;8049722222;8249722222
55;8173389000;8091377777;8291377777
56;8173617000;8091377777;8291377777
57;8173633000;8091377777;8291377777
58;8173634000;8091377777;8291377777
59;8173909000;8091377777;8291377777
60;8173912000;8091377777;8291377777
61;8174108000;8091377777;8291377777
62;8174111000;8091377777;8291377777
63;8174360000;8091377777;8291377777
64;8174374000;8091377777;8291377777
65;8213810000;8091377777;8291377777
66;8215119000;8133011111;8333011111
67;8215131000;8133011111;8333011111
68;8215319000;8133011111;8333011111
69;8215323000;8133011111;8333011111
70;8215572000;8133011111;8333011111
71;8215574000;8133011111;8333011111
72;8215827000;8133011111;8333011111
73;8215830000;8133011111;8333011111
74;8216080000;8133011111;8333011111
75;8216083000;8133011111;8333011111
76;8255388000;8133011111;8333011111
77;8256740000;8174711111;8374711111
78;8256742000;8174711111;8374711111
79;8256984000;8174711111;8374711111
80;8256987000;8174711111;8374711111
81;8257228000;8174711111;8374711111
82;8257231000;8174711111;8374711111
83;8257437000;8174711111;8374711111
84;8257439000;8174711111;8374711111
85;8257687000;8174711111;8374711111
86;8257698000;8174711111;8374711111
87;8297071000;8174711111;8374711111
88;8298411000;8216366666;8416366666
89;8298413000;8216366666;8416366666
90;8298653000;8216366666;8416366666
91;8298655000;8216366666;8416366666
92;8298897000;8216366666;8416366666
93;8298899000;8216366666;8416366666
94;8299154000;8216366666;8416366666
95;8299156000;8216366666;8416366666
96;8299362000;8216366666;8416366666
97;8299376000;8216366666;8416366666
98;8338790000;8216366666;8416366666
99;8340109000;8258033333;8458033333
100;8340121000;8258033333;8458033333
101;8340313000;8258033333;8458033333
102;8340315000;8258033333;8458033333
103;8340563000;8258033333;8458033333
104;8340566000;8258033333;8458033333
105;8340770000;8258033333;8458033333
106;8340782000;8258033333;8458033333
107;8341071000;8258033333;8458033333
108;8341073000;8258033333;8458033333
109;8380393000;8258033333;8458033333
110;8381744000;8299666666;8499666666
111;8381746000;8299666666;8499666666
112;8381994000;8299666666;8499666666
113;8382027000;8299666666;8499666666
114;8382237000;8299666666;8499666666
115;8382239000;8299666666;8499666666
116;8382496000;8299666666;8499666666
117;8382498000;8299666666;8499666666
118;8382748000;8299666666;8499666666
119;8382750000;8299666666;8499666666
120;8422040000;8299666666;8499666666
121;8423363000;8341355555;8541355555
122;8423604000;8341355555;8541355555
123;8423616000;8341355555;8541355555
124;8423863000;8341355555;8541355555
125;8423877000;8341355555;8541355555
126;8423879000;8341355555;8541355555
127;8424104000;8341355555;8541355555
128;8424116000;8341355555;8541355555
129;8424404000;8341355555;8541355555
130;8424407000;8341355555;8541355555
131;8463715000;8341355555;8541355555
132;8465081000;8383000000;8583000000
133;8465083000;8383000000;8583000000
134;8465324000;8383000000;8583000000
135;8465327000;8383000000;8583000000
136;8465575000;8383000000;8583000000
137;8465577000;8383000000;8583000000
138;8465790000;8383000000;8583000000
139;8465804000;8383000000;8583000000
140;8466082000;8383000000;8583000000
141;8466085000;8383000000;8583000000
142;8505359000;8383000000;8583000000
143;8506748000;8424722222;8624722222
144;8506750000;8424722222;8624722222
145;8506993000;8424722222;8624722222
146;8506995000;8424722222;8624722222
147;8507239000;8424722222;8624722222
148;8507242000;8424722222;8624722222
149;8507496000;8424722222;8624722222
150;8507499000;8424722222;8624722222
151;8507742000;8424722222;8624722222
152;8507747000;8424722222;8624722222
153;8547083000;8424722222;8624722222
154;8548410000;8466377777;8666377777
155;8548412000;8466377777;8666377777
156;8548656000;8466377777;8666377777
157;8548659000;8466377777;8666377777
158;8548857000;8466377777;8666377777
159;8548868000;8466377777;8666377777
160;8549157000;8466377777;8666377777
161;8549159000;8466377777;8666377777
162;8549413000;8466377777;8666377777
163;8549415000;8466377777;8666377777
164;8588755000;8466377777;8666377777
165;8590051000;8508022222;8708022222
166;8590053000;8508022222;8708022222
167;8590294000;8508022222;8708022222
168;8590297000;8508022222;8708022222
169;8590560000;8508022222;8708022222
170;8590562000;8508022222;8708022222
171;8590799000;8508022222;8708022222
172;8590801000;8508022222;8708022222
173;8591045000;8508022222;8708022222
174;8591047000;8508022222;8708022222
175;8630382000;8508022222;8708022222
176;8631768000;8549700000;8749700000
177;8631771000;8549700000;8749700000
178;8632015000;8549700000;8749700000
179;8632018000;8549700000;8749700000
180;8632257000;8549700000;8749700000
181;8632259000;8549700000;8749700000
182;8632530000;8549700000;8749700000
183;8632533000;8549700000;8749700000
184;8632767000;8549700000;8749700000
185;8632769000;8549700000;8749700000
186;8672052000;8549700000;8749700000
187;8673392000;8591355555;8791355555
188;8673394000;8591355555;8791355555
189;8673654000;8591355555;8791355555
190;8673657000;8591355555;8791355555
191;8673832000;8591355555;8791355555
192;8673839000;8591355555;8791355555
193;8674155000;8591355555;8791355555
194;8674157000;8591355555;8791355555
195;8674408000;8591355555;8791355555
196;8674410000;8591355555;8791355555
197;8713788000;8591355555;8791355555
198;8715108000;8633000000;8833000000
199;8715120000;8633000000;8833000000
200;8715311000;8633000000;8833000000
201;8715314000;8633000000;8833000000
202;8715564000;8633000000;8833000000
203;8715567000;8633000000;8833000000
204;8715824000;8633000000;8833000000
205;8715827000;8633000000;8833000000
206;8716069000;8633000000;8833000000
207;8716072000;8633000000;8833000000
208;8755373000;8633000000;8833000000
209;8756730000;8674655555;8874655555
210;8756732000;8674655555;8874655555
211;8756988000;8674655555;8874655555
212;8756991000;8674655555;8874655555
213;8757228000;8674655555;8874655555
214;8757229000;8674655555;8874655555
215;8757435000;8674655555;8874655555
216;8757436000;8674655555;8874655555
217;8757738000;8674655555;8874655555
218;8757740000;8674655555;8874655555
219;8797035000;8674655555;8874655555
220;8798405000;8716377777;8916377777
221;8798407000;8716377777;8916377777
222;8798653000;8716377777;8916377777
223;8798656000;8716377777;8916377777
224;8798896000;8716377777;8916377777
225;8798899000;8716377777;8916377777
226;8799154000;8716377777;8916377777
227;8799157000;8716377777;8916377777
228;8799405000;8716377777;8916377777
229;8799407000;8716377777;8916377777
230;8838685000;8716377777;8916377777
231;8840070000;8758011111;8958011111
232;8840076000;8758011111;8958011111
233;8840329000;8758011111;8958011111
234;8840331000;8758011111;8958011111
235;8840579000;8758011111;8958011111
236;8840581000;8758011111;8958011111
237;8840837000;8758011111;8958011111
238;8840839000;8758011111;8958011111
239;8841089000;8758011111;8958011111
240;8841092000;8758011111;8958011111
241;8880371000;8758011111;8958011111
242;8881741000;8799711111;8999711111
243;8881743000;8799711111;8999711111
244;8881990000;8799711111;8999711111
245;8881992000;8799711111;8999711111
246;8882191000;8799711111;8999711111
247;8882194000;8799711111;8999711111
248;8882440000;8799711111;8999711111
249;8882452000;8799711111;8999711111
250;8882744000;8799711111;8999711111
251;8882746000;8799711111;8999711111
252;8922072000;8799711111;8999711111
253;8923410000;8841388888;9041388888
254;8923413000;8841388888;9041388888
255;8923659000;8841388888;9041388888
256;8923661000;8841388888;9041388888
257;8923903000;8841388888;9041388888
258;8923905000;8841388888;9041388888
259;8924159000;8841388888;9041388888
260;8924162000;8841388888;9041388888
261;8924368000;8841388888;9041388888
262;8924382000;8841388888;9041388888
263;8963764000;8841388888;9041388888
264;8965041000;8883011111;9083011111
265;8965270000;8883011111;9083011111
266;8965282000;8883011111;9083011111
267;8965568000;8883011111;9083011111
268;8965571000;8883011111;9083011111
269;8965572000;8883011111;9083011111
270;8965772000;8883011111;9083011111
271;8965784000;8883011111;9083011111
272;8966071000;8883011111;9083011111
273;8966074000;8883011111;9083011111
274;9005384000;8883011111;9083011111
275;9006744000;8924644444;9124644444
276;9006746000;8924644444;9124644444
277;9006990000;8924644444;9124644444
278;9006992000;8924644444;9124644444
279;9007237000;8924644444;9124644444
280;9007239000;8924644444;9124644444
281;9007494000;8924644444;9124644444
282;9007497000;8924644444;9124644444
283;9007749000;8924644444;9124644444
284;9007751000;8924644444;9124644444
285;9047006000;8924644444;9124644444
286;9048419000;8966366666;9166366666
287;9048421000;8966366666;9166366666
288;9048683000;8966366666;9166366666
289;9048685000;8966366666;9166366666
290;9048889000;8966366666;9166366666
291;9048904000;8966366666;9166366666
292;9049132000;8966366666;9166366666
293;9049144000;8966366666;9166366666
294;9049434000;8966366666;9166366666
295;9049436000;8966366666;9166366666
296;9088729000;8966366666;9166366666
297;9090072000;9007988888;9207988888
298;9090074000;9007988888;9207988888
299;9090313000;9007988888;9207988888
300;9090316000;9007988888;9207988888
301;9090554000;9007988888;9207988888
302;9090565000;9007988888;9207988888
303;9090809000;9007988888;9207988888
304;9090821000;9007988888;9207988888
305;9091073000;9007988888;9207988888
306;9091076000;9007988888;9207988888
307;9130421000;9007988888;9207988888
308;9131795000;9049677777;9249677777
309;9131798000;9049677777;9249677777
310;9131991000;9049677777;9249677777
311;9131994000;9049677777;9249677777
312;9132240000;9049677777;9249677777
313;9132243000;9049677777;9249677777
314;9132496000;9049677777;9249677777
315;9132498000;9049677777;9249677777
316;9132752000;9049677777;9249677777
317;9132755000;9049677777;9249677777
318;9172040000;9049677777;9249677777
319;9173403000;9091355555;9291355555
320;9173405000;9091355555;9291355555
321;9173652000;9091355555;9291355555
322;9173655000;9091355555;9291355555
323;9173860000;9091355555;9291355555
324;9173875000;9091355555;9291355555
325;9174103000;9091355555;9291355555
326;9174115000;9091355555;9291355555
327;9174403000;9091355555;9291355555
328;9174406000;9091355555;9291355555
329;9213731000;9091355555;9291355555
330;9215072000;9133000000;9333000000
331;9215075000;9133000000;9333000000
332;9215315000;9133000000;9333000000
333;9215318000;9133000000;9333000000
334;9215565000;9133000000;9333000000
335;9215595000;9133000000;9333000000
336;9215781000;9133000000;9333000000
337;9215795000;9133000000;9333000000
338;9216073000;9133000000;9333000000
339;9216076000;9133000000;9333000000
340;9255376000;9133000000;9333000000
341;9256732000;9174666666;9374666666
342;9256744000;9174666666;9374666666
343;9257007000;9174666666;9374666666
344;9257009000;9174666666;9374666666
345;9257257000;9174666666;9374666666
346;9257259000;9174666666;9374666666
347;9257464000;9174666666;9374666666
348;9257475000;9174666666;9374666666
349;9257766000;9174666666;9374666666
350;9257769000;9174666666;9374666666
