seqnum;now;rtptime;deadline;packet_len;payload_len
0;8764675000;8712611111;8912611111;1398;1386
1;8764714000;8712611111;8912611111;1400;1388
0;8764864000;8712611111;8912611111;1398;1386
2;8764905000;8712611111;8912611111;1398;1386
3;8764914000;8712611111;8912611111;1400;1388
1;8765061000;8712611111;8912611111;1400;1388
2;8765082000;8712611111;8912611111;1398;1386
3;8765086000;8712611111;8912611111;1400;1388
4;8765114000;8712611111;8912611111;1400;1388
5;8765135000;8712611111;8912611111;1398;1386
4;8765323000;8712611111;8912611111;1400;1388
6;8765340000;8712611111;8912611111;1400;1388
5;8765355000;8712611111;8912611111;1398;1386
7;8765367000;8712611111;8912611111;1398;1386
8;8765482000;8712611111;8912611111;1400;1388
6;8765541000;8712611111;8912611111;1400;1388
7;8765561000;8712611111;8912611111;1398;1386
9;8765708000;8712611111;8912611111;1400;1388
10;8765723000;8712611111;8912611111;982;970
8;8765806000;8712611111;8912611111;1400;1388
9;8765811000;8712611111;8912611111;1400;1388
10;8766047000;8712611111;8912611111;982;970
11;8806177000;8744488888;8944488888;1398;1386
12;8806328000;8744488888;8944488888;1400;1388
11;8806480000;8744488888;8944488888;1398;1386
12;8806491000;8744488888;8944488888;1400;1388
13;8806563000;8744488888;8944488888;1398;1386
14;8806572000;8744488888;8944488888;1400;1388
13;8806741000;8744488888;8944488888;1398;1386
14;8806763000;8744488888;8944488888;1400;1388
15;8806783000;8744488888;8944488888;1400;1388
16;8806799000;8744488888;8944488888;1398;1386
17;8806933000;8744488888;8944488888;1400;1388
18;8806939000;8744488888;8944488888;1398;1386
15;8806997000;8744488888;8944488888;1400;1388
16;8807007000;8744488888;8944488888;1398;1386
19;8807138000;8744488888;8944488888;1400;1388
17;8807230000;8744488888;8944488888;1400;1388
18;8807240000;8744488888;8944488888;1398;1386
20;8807344000;8744488888;8944488888;1400;1388
21;8807350000;8744488888;8944488888;982;970
19;8807467000;8744488888;8944488888;1400;1388
20;8807473000;8744488888;8944488888;1400;1388
21;8807714000;8744488888;8944488888;982;970
22;8847882000;8786200000;8986200000;1398;1386
23;8848034000;8786200000;8986200000;1400;1388
24;8848054000;8786200000;8986200000;1398;1386
22;8848202000;8786200000;8986200000;1398;1386
23;8848222000;8786200000;8986200000;1400;1388
25;8848253000;8786200000;8986200000;1400;1388
24;8848450000;8786200000;8986200000;1398;1386
26;8848466000;8786200000;8986200000;1400;1388
27;8848489000;8786200000;8986200000;1398;1386
25;8848541000;8786200000;8986200000;1400;1388
28;8848686000;8786200000;8986200000;1400;1388
26;8848698000;8786200000;8986200000;1400;1388
29;8848733000;8786200000;8986200000;1398;1386
27;8848810000;8786200000;8986200000;1398;1386
30;8848875000;8786200000;8986200000;1400;1388
31;8848885000;8786200000;8986200000;1400;1388
28;8848897000;8786200000;8986200000;1400;1388
29;8848904000;8786200000;8986200000;1398;1386
32;8849061000;8786200000;8986200000;982;970
30;8849150000;8786200000;8986200000;1400;1388
31;8849164000;8786200000;8986200000;1400;1388
32;8849384000;8786200000;8986200000;982;970
33;8889529000;8827822222;9027822222;1398;1386
34;8889666000;8827822222;9027822222;1400;1388
33;8889833000;8827822222;9027822222;1398;1386
34;8889864000;8827822222;9027822222;1400;1388
35;8889903000;8827822222;9027822222;1398;1386
36;8889912000;8827822222;9027822222;1400;1388
35;8890086000;8827822222;9027822222;1398;1386
37;8890115000;8827822222;9027822222;1400;1388
38;8890135000;8827822222;9027822222;1398;1386
36;8890186000;8827822222;9027822222;1400;1388
39;8890328000;8827822222;9027822222;1400;1388
37;8890348000;8827822222;9027822222;1400;1388
38;8890382000;8827822222;9027822222;1398;1386
40;8890429000;8827822222;9027822222;1398;1386
41;8890469000;8827822222;9027822222;1400;1388
39;8890575000;8827822222;9027822222;1400;1388
