seqnum;now;rtptime;deadline
1;9716437000;9644022222;9844022222
2;9716467000;9644022222;9844022222
3;9716468000;9644022222;9844022222
4;9716479000;9644022222;9844022222
5;9716480000;9644022222;9844022222
6;9716493000;9644022222;9844022222
7;9716495000;9644022222;9844022222
8;9716506000;9644022222;9844022222
9;9716568000;9644022222;9844022222
10;9765679000;9644022222;9844022222
11;9765749000;9675411111;9875411111
12;9765752000;9675411111;9875411111
13;9765762000;9675411111;9875411111
14;9765763000;9675411111;9875411111
15;9765772000;9675411111;9875411111
16;9765780000;9675411111;9875411111
17;9765789000;9675411111;9875411111
18;9765798000;9675411111;9875411111
19;9765800000;9675411111;9875411111
20;9765809000;9675411111;9875411111
21;9797060000;9675411111;9875411111
22;9798741000;9717022222;9917022222
23;9798894000;9717022222;9917022222
24;9798897000;9717022222;9917022222
25;9799063000;9717022222;9917022222
26;9799294000;9717022222;9917022222
27;9799421000;9717022222;9917022222
28;9799562000;9717022222;9917022222
29;9799601000;9717022222;9917022222
30;9799724000;9717022222;9917022222
31;9799729000;9717022222;9917022222
32;9838681000;9717022222;9917022222
33;9840362000;9758644444;9958644444
34;9840531000;9758644444;9958644444
35;9840772000;9758644444;9958644444
36;9840774000;9758644444;9958644444
37;9840943000;9758644444;9958644444
38;9840966000;9758644444;9958644444
39;9841178000;9758644444;9958644444
40;9841198000;9758644444;9958644444
41;9841352000;9758644444;9958644444
42;9841579000;9758644444;9958644444
43;9880366000;9758644444;9958644444
44;9882137000;9800322222;10000322222
45;9882218000;9800322222;10000322222
46;9882221000;9800322222;10000322222
47;9882408000;9800322222;10000322222
48;9882601000;9800322222;10000322222
49;9882636000;9800322222;10000322222
50;9882858000;9800322222;10000322222
51;9882873000;9800322222;10000322222
52;9883060000;9800322222;10000322222
53;9883064000;9800322222;10000322222
54;9921985000;9800322222;10000322222
55;9923673000;9841955555;10041955555
56;9923822000;9841955555;10041955555
57;9924090000;9841955555;10041955555
58;9924093000;9841955555;10041955555
59;9924267000;9841955555;10041955555
60;9924326000;9841955555;10041955555
61;9924464000;9841955555;10041955555
62;9924467000;9841955555;10041955555
63;9924686000;9841955555;10041955555
64;9924880000;9841955555;10041955555
65;9963657000;9841955555;10041955555
66;9965382000;9883577777;10083577777
67;9965531000;9883577777;10083577777
68;9965534000;9883577777;10083577777
69;9965712000;9883577777;10083577777
70;9965938000;9883577777;10083577777
71;9966063000;9883577777;10083577777
72;9966160000;9883577777;10083577777
73;9966192000;9883577777;10083577777
74;9966370000;9883577777;10083577777
75;9966378000;9883577777;10083577777
76;10005183000;9883577777;10083577777
77;10007008000;9925300000;10125300000
78;10007200000;9925300000;10125300000
79;10007202000;9925300000;10125300000
80;10007416000;9925300000;10125300000
81;10007583000;9925300000;10125300000
82;10007630000;9925300000;10125300000
83;10007814000;9925300000;10125300000
84;10007849000;9925300000;10125300000
85;10008019000;9925300000;10125300000
86;10008202000;9925300000;10125300000
87;10046905000;9925300000;10125300000
88;10048676000;9966933333;10166933333
89;10048866000;9966933333;10166933333
90;10048869000;9966933333;10166933333
91;10049090000;9966933333;10166933333
92;10049267000;9966933333;10166933333
93;10049308000;9966933333;10166933333
94;10049482000;9966933333;10166933333
95;10049526000;9966933333;10166933333
96;10049700000;9966933333;10166933333
97;10049704000;9966933333;10166933333
98;10088602000;9966933333;10166933333
99;10090390000;10008577777;10208577777
100;10090553000;10008577777;10208577777
101;10090555000;10008577777;10208577777
102;10090701000;10008577777;10208577777
103;10090917000;10008577777;10208577777
104;10090947000;10008577777;10208577777
105;10091184000;10008577777;10208577777
106;10091215000;10008577777;10208577777
107;10091356000;10008577777;10208577777
108;10091359000;10008577777;10208577777
109;10130196000;10008577777;10208577777
110;10132016000;10050255555;10250255555
111;10132175000;10050255555;10250255555
112;10132458000;10050255555;10250255555
113;10132461000;10050255555;10250255555
114;10132597000;10050255555;10250255555
115;10132628000;10050255555;10250255555
116;10132868000;10050255555;10250255555
117;10132889000;10050255555;10250255555
118;10133043000;10050255555;10250255555
119;10133047000;10050255555;10250255555
120;10171860000;10050255555;10250255555
121;10173651000;10091944444;10291944444
122;10173843000;10091944444;10291944444
123;10173846000;10091944444;10291944444
124;10174061000;10091944444;10291944444
125;10174235000;10091944444;10291944444
126;10174353000;10091944444;10291944444
127;10174481000;10091944444;10291944444
128;10174524000;10091944444;10291944444
129;10174687000;10091944444;10291944444
130;10174785000;10091944444;10291944444
131;10213561000;10091944444;10291944444
132;10215362000;10133577777;10333577777
133;10215558000;10133577777;10333577777
134;10215561000;10133577777;10333577777
135;10215723000;10133577777;10333577777
136;10215959000;10133577777;10333577777
137;10216000000;10133577777;10333577777
138;10216198000;10133577777;10333577777
139;10216227000;10133577777;10333577777
140;10216316000;10133577777;10333577777
141;10216613000;10133577777;10333577777
142;10255177000;10133577777;10333577777
143;10257025000;10175300000;10375300000
144;10257203000;10175300000;10375300000
145;10257394000;10175300000;10375300000
146;10257397000;10175300000;10375300000
147;10257637000;10175300000;10375300000
148;10257661000;10175300000;10375300000
149;10257818000;10175300000;10375300000
150;10257822000;10175300000;10375300000
151;10258040000;10175300000;10375300000
152;10258230000;10175300000;10375300000
153;10296939000;10175300000;10375300000
154;10298719000;10216955555;10416955555
155;10298888000;10216955555;10416955555
156;10298891000;10216955555;10416955555
157;10299053000;10216955555;10416955555
158;10299258000;10216955555;10416955555
159;10299301000;10216955555;10416955555
160;10299534000;10216955555;10416955555
161;10299575000;10216955555;10416955555
162;10299720000;10216955555;10416955555
163;10299798000;10216955555;10416955555
164;10338568000;10216955555;10416955555
165;10340355000;10258633333;10458633333
166;10340557000;10258633333;10458633333
167;10340559000;10258633333;10458633333
168;10340773000;10258633333;10458633333
169;10340952000;10258633333;10458633333
170;10340993000;10258633333;10458633333
171;10341228000;10258633333;10458633333
172;10341258000;10258633333;10458633333
173;10341325000;10258633333;10458633333
174;10341570000;10258633333;10458633333
175;10380234000;10258633333;10458633333
176;10382008000;10300277777;10500277777
177;10382212000;10300277777;10500277777
178;10382215000;10300277777;10500277777
179;10382389000;10300277777;10500277777
180;10382638000;10300277777;10500277777
181;10382687000;10300277777;10500277777
182;10382836000;10300277777;10500277777
183;10382878000;10300277777;10500277777
184;10383043000;10300277777;10500277777
185;10383249000;10300277777;10500277777
186;10421847000;10300277777;10500277777
187;10423663000;10341933333;10541933333
188;10423866000;10341933333;10541933333
189;10423868000;10341933333;10541933333
190;10424064000;10341933333;10541933333
191;10424259000;10341933333;10541933333
192;10424304000;10341933333;10541933333
193;10424471000;10341933333;10541933333
194;10424528000;10341933333;10541933333
195;10424657000;10341933333;10541933333
196;10424905000;10341933333;10541933333
197;10463505000;10341933333;10541933333
198;10465298000;10383566666;10583566666
199;10465485000;10383566666;10583566666
200;10465759000;10383566666;10583566666
201;10465762000;10383566666;10583566666
202;10465938000;10383566666;10583566666
203;10466004000;10383566666;10583566666
204;10466171000;10383566666;10583566666
205;10466247000;10383566666;10583566666
206;10466314000;10383566666;10583566666
207;10466504000;10383566666;10583566666
208;10505138000;10383566666;10583566666
209;10506948000;10425255555;10625255555
210;10507189000;10425255555;10625255555
211;10507191000;10425255555;10625255555
212;10507398000;10425255555;10625255555
213;10507627000;10425255555;10625255555
214;10507702000;10425255555;10625255555
215;10507899000;10425255555;10625255555
216;10507921000;10425255555;10625255555
217;10507984000;10425255555;10625255555
218;10508169000;10425255555;10625255555
219;10546822000;10425255555;10625255555
220;10548636000;10466944444;10666944444
221;10548830000;10466944444;10666944444
222;10549100000;10466944444;10666944444
223;10549101000;10466944444;10666944444
224;10549344000;10466944444;10666944444
225;10549368000;10466944444;10666944444
226;10549495000;10466944444;10666944444
227;10549580000;10466944444;10666944444
228;10549700000;10466944444;10666944444
229;10549926000;10466944444;10666944444
230;10588560000;10466944444;10666944444
231;10590329000;10508611111;10708611111
232;10590523000;10508611111;10708611111
233;10590537000;10508611111;10708611111
234;10590721000;10508611111;10708611111
235;10590961000;10508611111;10708611111
236;10590973000;10508611111;10708611111
237;10591203000;10508611111;10708611111
238;10591244000;10508611111;10708611111
239;10591306000;10508611111;10708611111
240;10591534000;10508611111;10708611111
241;10630185000;10508611111;10708611111
242;10631943000;10550233333;10750233333
243;10632189000;10550233333;10750233333
244;10632191000;10550233333;10750233333
245;10632392000;10550233333;10750233333
246;10632587000;10550233333;10750233333
247;10632636000;10550233333;10750233333
248;10632819000;10550233333;10750233333
249;10632917000;10550233333;10750233333
250;10633031000;10550233333;10750233333
251;10633037000;10550233333;10750233333
252;10671904000;10550233333;10750233333
253;10673735000;10591944444;10791944444
254;10673888000;10591944444;10791944444
255;10673891000;10591944444;10791944444
256;10674130000;10591944444;10791944444
257;10674283000;10591944444;10791944444
258;10674313000;10591944444;10791944444
259;10674503000;10591944444;10791944444
260;10674548000;10591944444;10791944444
261;10674726000;10591944444;10791944444
262;10674745000;10591944444;10791944444
263;10713551000;10591944444;10791944444
264;10715288000;10633588888;10833588888
265;10715463000;10633588888;10833588888
266;10715748000;10633588888;10833588888
267;10715750000;10633588888;10833588888
268;10715896000;10633588888;10833588888
269;10715899000;10633588888;10833588888
270;10716138000;10633588888;10833588888
271;10716177000;10633588888;10833588888
272;10716342000;10633588888;10833588888
273;10716363000;10633588888;10833588888
274;10755189000;10633588888;10833588888
275;10757022000;10675255555;10875255555
276;10757213000;10675255555;10875255555
277;10757216000;10675255555;10875255555
278;10757385000;10675255555;10875255555
279;10757649000;10675255555;10875255555
280;10757677000;10675255555;10875255555
281;10757892000;10675255555;10875255555
282;10757910000;10675255555;10875255555
283;10758032000;10675255555;10875255555
284;10758034000;10675255555;10875255555
285;10796859000;10675255555;10875255555
286;10798690000;10716966666;10916966666
287;10798886000;10716966666;10916966666
288;10798889000;10716966666;10916966666
289;10799067000;10716966666;10916966666
290;10799306000;10716966666;10916966666
291;10799395000;10716966666;10916966666
292;10799510000;10716966666;10916966666
293;10799586000;10716966666;10916966666
294;10799693000;10716966666;10916966666
295;10799753000;10716966666;10916966666
296;10838544000;10716966666;10916966666
297;10840295000;10758600000;10958600000
298;10840477000;10758600000;10958600000
299;10840733000;10758600000;10958600000
300;10840745000;10758600000;10958600000
301;10840936000;10758600000;10958600000
302;10840985000;10758600000;10958600000
303;10841121000;10758600000;10958600000
304;10841164000;10758600000;10958600000
305;10841323000;10758600000;10958600000
306;10841542000;10758600000;10958600000
307;10880204000;10758600000;10958600000
308;10882000000;10800233333;11000233333
309;10882188000;10800233333;11000233333
310;10882190000;10800233333;11000233333
311;10882393000;10800233333;11000233333
312;10882634000;10800233333;11000233333
313;10882658000;10800233333;11000233333
314;10882869000;10800233333;11000233333
315;10882893000;10800233333;11000233333
316;10883014000;10800233333;11000233333
317;10883016000;10800233333;11000233333
318;10921799000;10800233333;11000233333
319;10923676000;10841966666;11041966666
320;10923871000;10841966666;11041966666
321;10923872000;10841966666;11041966666
322;10924064000;10841966666;11041966666
323;10924316000;10841966666;11041966666
324;10924348000;10841966666;11041966666
325;10924485000;10841966666;11041966666
326;10924567000;10841966666;11041966666
327;10924693000;10841966666;11041966666
328;10924718000;10841966666;11041966666
329;10963573000;10841966666;11041966666
330;10965334000;10883611111;11083611111
331;10965523000;10883611111;11083611111
332;10965537000;10883611111;11083611111
333;10965727000;10883611111;11083611111
334;10965967000;10883611111;11083611111
335;10965988000;10883611111;11083611111
336;10966096000;10883611111;11083611111
337;10966098000;10883611111;11083611111
338;10966344000;10883611111;11083611111
339;10966368000;10883611111;11083611111
340;11005213000;10883611111;11083611111
341;11006997000;10925266666;11125266666
342;11007189000;10925266666;11125266666
343;11007190000;10925266666;11125266666
344;11007440000;10925266666;11125266666
345;11007680000;10925266666;11125266666
346;11007682000;10925266666;11125266666
347;11007810000;10925266666;11125266666
348;11007812000;10925266666;11125266666
349;11008010000;10925266666;11125266666
350;11008022000;10925266666;11125266666
351;11046871000;10925266666;11125266666
352;11048697000;10966922222;11166922222
353;11048886000;10966922222;11166922222
354;11048889000;10966922222;11166922222
355;11049134000;10966922222;11166922222
356;11049331000;10966922222;11166922222
357;11049334000;10966922222;11166922222
358;11049530000;10966922222;11166922222
359;11049650000;10966922222;11166922222
360;11049745000;10966922222;11166922222
361;11049762000;10966922222;11166922222
362;11088528000;10966922222;11166922222
363;11090334000;11008588888;11208588888
364;11090531000;11008588888;11208588888
365;11090762000;11008588888;11208588888
366;11090765000;11008588888;11208588888
367;11090950000;11008588888;11208588888
368;11090953000;11008588888;11208588888
369;11091177000;11008588888;11208588888
370;11091304000;11008588888;11208588888
371;11091307000;11008588888;11208588888
372;11091598000;11008588888;11208588888
373;11130181000;11008588888;11208588888
374;11131977000;11050222222;11250222222
375;11132176000;11050222222;11250222222
376;11132178000;11050222222;11250222222
377;11132439000;11050222222;11250222222
378;11132593000;11050222222;11250222222
379;11132630000;11050222222;11250222222
380;11132807000;11050222222;11250222222
381;11132810000;11050222222;11250222222
382;11133018000;11050222222;11250222222
383;11133021000;11050222222;11250222222
384;11171825000;11050222222;11250222222
385;11173698000;11091933333;11291933333
386;11173887000;11091933333;11291933333
387;11173889000;11091933333;11291933333
388;11174137000;11091933333;11291933333
389;11174296000;11091933333;11291933333
390;11174314000;11091933333;11291933333
391;11174578000;11091933333;11291933333
392;11174630000;11091933333;11291933333
393;11174726000;11091933333;11291933333
394;11174909000;11091933333;11291933333
395;11213544000;11091933333;11291933333
396;11215362000;11133600000;11333600000
397;11215555000;11133600000;11333600000
398;11215557000;11133600000;11333600000
399;11215809000;11133600000;11333600000
400;11215983000;11133600000;11333600000
401;11215985000;11133600000;11333600000
402;11216227000;11133600000;11333600000
403;11216341000;11133600000;11333600000
404;11216344000;11133600000;11333600000
405;11216572000;11133600000;11333600000
406;11255206000;11133600000;11333600000
407;11257007000;11175277777;11375277777
408;11257180000;11175277777;11375277777
409;11257436000;11175277777;11375277777
410;11257438000;11175277777;11375277777
411;11257639000;11175277777;11375277777
412;11257642000;11175277777;11375277777
413;11257817000;11175277777;11375277777
414;11257867000;11175277777;11375277777
415;11258028000;11175277777;11375277777
416;11258032000;11175277777;11375277777
417;11296953000;11175277777;11375277777
418;11298737000;11216933333;11416933333
419;11298906000;11216933333;11416933333
420;11298908000;11216933333;11416933333
