seqnum;now;rtptime;deadline;packet_len;payload_len
66;9853647000;9681688888;9881688888;10240;10228
67;9853705000;9681688888;9881688888;10240;10228
68;9853851000;9681688888;9881688888;10240;10228
69;9853861000;9681688888;9881688888;10240;10228
70;9854116000;9681688888;9881688888;10240;10228
71;9854127000;9681688888;9881688888;10240;10228
72;9854351000;9681688888;9881688888;10240;10228
73;9854361000;9681688888;9881688888;10240;10228
74;9854630000;9681688888;9881688888;10240;10228
75;9854652000;9681688888;9881688888;10240;10228
76;9854867000;9681688888;9881688888;10240;10228
77;9854889000;9723400000;9923400000;10240;10228
78;9855120000;9723400000;9923400000;10240;10228
79;9855141000;9723400000;9923400000;10240;10228
80;9855145000;9723400000;9923400000;10240;10228
81;9855370000;9723400000;9923400000;10240;10228
82;9855381000;9723400000;9923400000;10240;10228
83;9855611000;9723400000;9923400000;10240;10228
84;9855622000;9723400000;9923400000;10240;10228
85;9855847000;9723400000;9923400000;10240;10228
86;9855877000;9723400000;9923400000;10240;10228
87;9856129000;9723400000;9923400000;10240;10228
88;9867125000;9765044444;9965044444;10240;10228
89;9867144000;9765044444;9965044444;10240;10228
90;9867320000;9765044444;9965044444;10240;10228
91;9867347000;9765044444;9965044444;10240;10228
92;9867585000;9765044444;9965044444;10240;10228
93;9867603000;9765044444;9965044444;10240;10228
94;9867849000;9765044444;9965044444;10240;10228
95;9867858000;9765044444;9965044444;10240;10228
96;9868063000;9765044444;9965044444;10240;10228
97;9868069000;9765044444;9965044444;10240;10228
98;9868310000;9765044444;9965044444;10240;10228
99;9908816000;9806777777;10006777777;10240;10228
100;9908854000;9806777777;10006777777;10240;10228
101;9908988000;9806777777;10006777777;10240;10228
102;9909005000;9806777777;10006777777;10240;10228
103;9909231000;9806777777;10006777777;10240;10228
104;9909242000;9806777777;10006777777;10240;10228
105;9909481000;9806777777;10006777777;10240;10228
106;9909489000;9806777777;10006777777;10240;10228
107;9909742000;9806777777;10006777777;10240;10228
108;9909755000;9806777777;10006777777;10240;10228
109;9909987000;9806777777;10006777777;10240;10228
110;9950482000;9848444444;10048444444;10240;10228
111;9950505000;9848444444;10048444444;10240;10228
112;9950692000;9848444444;10048444444;10240;10228
113;9950703000;9848444444;10048444444;10240;10228
114;9950941000;9848444444;10048444444;10240;10228
115;9950962000;9848444444;10048444444;10240;10228
116;9951192000;9848444444;10048444444;10240;10228
117;9951213000;9848444444;10048444444;10240;10228
118;9951445000;9848444444;10048444444;10240;10228
119;9951456000;9848444444;10048444444;10240;10228
120;9951700000;9848444444;10048444444;10240;10228
121;9992091000;9890200000;10090200000;10240;10228
122;9992112000;9890200000;10090200000;10240;10228
123;9992313000;9890200000;10090200000;10240;10228
124;9992334000;9890200000;10090200000;10240;10228
125;9992567000;9890200000;10090200000;10240;10228
126;9992588000;9890200000;10090200000;10240;10228
127;9992778000;9890200000;10090200000;10240;10228
128;9992794000;9890200000;10090200000;10240;10228
129;9993022000;9890200000;10090200000;10240;10228
130;9993026000;9890200000;10090200000;10240;10228
131;9993321000;9890200000;10090200000;10240;10228
132;10033738000;9931777777;10131777777;10240;10228
133;10033758000;9931777777;10131777777;10240;10228
134;10033984000;9931777777;10131777777;10240;10228
135;10034004000;9931777777;10131777777;10240;10228
136;10034230000;9931777777;10131777777;10240;10228
137;10034251000;9931777777;10131777777;10240;10228
138;10034479000;9931777777;10131777777;10240;10228
139;10034491000;9931777777;10131777777;10240;10228
140;10034700000;9931777777;10131777777;10240;10228
141;10034711000;9931777777;10131777777;10240;10228
142;10034995000;9931777777;10131777777;10240;10228
143;10075438000;9973466666;10173466666;10240;10228
144;10075452000;9973466666;10173466666;10240;10228
145;10075676000;9973466666;10173466666;10240;10228
146;10075696000;9973466666;10173466666;10240;10228
147;10075927000;9973466666;10173466666;10240;10228
148;10075964000;9973466666;10173466666;10240;10228
149;10076169000;9973466666;10173466666;10240;10228
150;10076190000;9973466666;10173466666;10240;10228
151;10076419000;9973466666;10173466666;10240;10228
152;10076431000;9973466666;10173466666;10240;10228
153;10076677000;9973466666;10173466666;10240;10228
154;10117154000;10015166666;10215166666;10240;10228
155;10117180000;10015166666;10215166666;10240;10228
156;10117376000;10015166666;10215166666;10240;10228
157;10117386000;10015166666;10215166666;10240;10228
158;10117627000;10015166666;10215166666;10240;10228
159;10117647000;10015166666;10215166666;10240;10228
160;10117872000;10015166666;10215166666;10240;10228
161;10117892000;10015166666;10215166666;10240;10228
162;10118124000;10015166666;10215166666;10240;10228
163;10118145000;10015166666;10215166666;10240;10228
164;10118363000;10015166666;10215166666;10240;10228
165;10158819000;10056788888;10256788888;10240;10228
166;10158844000;10056788888;10256788888;10240;10228
167;10159072000;10056788888;10256788888;10240;10228
168;10159081000;10056788888;10256788888;10240;10228
169;10159283000;10056788888;10256788888;10240;10228
170;10159292000;10056788888;10256788888;10240;10228
171;10159531000;10056788888;10256788888;10240;10228
172;10159552000;10056788888;10256788888;10240;10228
173;10159827000;10056788888;10256788888;10240;10228
174;10159837000;10056788888;10256788888;10240;10228
175;10159852000;10056788888;10256788888;10240;10228
176;10200468000;10098500000;10298500000;10240;10228
177;10200478000;10098500000;10298500000;10240;10228
178;10200702000;10098500000;10298500000;10240;10228
179;10200707000;10098500000;10298500000;10240;10228
180;10200950000;10098500000;10298500000;10240;10228
181;10200955000;10098500000;10298500000;10240;10228
182;10201220000;10098500000;10298500000;10240;10228
183;10201229000;10098500000;10298500000;10240;10228
184;10201458000;10098500000;10298500000;10240;10228
185;10201468000;10098500000;10298500000;10240;10228
186;10201715000;10098500000;10298500000;10240;10228
187;10242108000;10140177777;10340177777;10240;10228
188;10242129000;10140177777;10340177777;10240;10228
189;10242365000;10140177777;10340177777;10240;10228
190;10242375000;10140177777;10340177777;10240;10228
191;10242624000;10140177777;10340177777;10240;10228
192;10242642000;10140177777;10340177777;10240;10228
193;10242856000;10140177777;10340177777;10240;10228
194;10242874000;10140177777;10340177777;10240;10228
195;10243114000;10140177777;10340177777;10240;10228
196;10243133000;10140177777;10340177777;10240;10228
197;10243353000;10140177777;10340177777;10240;10228
198;10283777000;10181766666;10381766666;10240;10228
199;10283797000;10181766666;10381766666;10240;10228
200;10284028000;10181766666;10381766666;10240;10228
201;10284047000;10181766666;10381766666;10240;10228
202;10284279000;10181766666;10381766666;10240;10228
203;10284288000;10181766666;10381766666;10240;10228
204;10284523000;10181766666;10381766666;10240;10228
205;10284542000;10181766666;10381766666;10240;10228
206;10284782000;10181766666;10381766666;10240;10228
207;10284801000;10181766666;10381766666;10240;10228
208;10285029000;10181766666;10381766666;10240;10228
209;10325464000;10223477777;10423477777;10240;10228
210;10325475000;10223477777;10423477777;10240;10228
211;10325707000;10223477777;10423477777;10240;10228
212;10325726000;10223477777;10423477777;10240;10228
213;10325968000;10223477777;10423477777;10240;10228
214;10325987000;10223477777;10423477777;10240;10228
215;10326219000;10223477777;10423477777;10240;10228
216;10326228000;10223477777;10423477777;10240;10228
217;10326462000;10223477777;10423477777;10240;10228
218;10326471000;10223477777;10423477777;10240;10228
219;10326476000;10223477777;10423477777;10240;10228
220;10367115000;10265166666;10465166666;10240;10228
221;10367137000;10265166666;10465166666;10240;10228
222;10367352000;10265166666;10465166666;10240;10228
223;10367372000;10265166666;10465166666;10240;10228
224;10367619000;10265166666;10465166666;10240;10228
225;10367639000;10265166666;10465166666;10240;10228
226;10367867000;10265166666;10465166666;10240;10228
227;10367904000;10265166666;10465166666;10240;10228
228;10368114000;10265166666;10465166666;10240;10228
229;10368133000;10265166666;10465166666;10240;10228
230;10368356000;10265166666;10465166666;10240;10228
231;10408775000;10306777777;10506777777;10240;10228
232;10408795000;10306777777;10506777777;10240;10228
233;10409022000;10306777777;10506777777;10240;10228
234;10409044000;10306777777;10506777777;10240;10228
235;10409256000;10306777777;10506777777;10240;10228
236;10409262000;10306777777;10506777777;10240;10228
237;10409500000;10306777777;10506777777;10240;10228
238;10409505000;10306777777;10506777777;10240;10228
239;10409780000;10306777777;10506777777;10240;10228
240;10409798000;10306777777;10506777777;10240;10228
241;10410027000;10306777777;10506777777;10240;10228
242;10450466000;10348455555;10548455555;10240;10228
243;10450478000;10348455555;10548455555;10240;10228
244;10450708000;10348455555;10548455555;10240;10228
245;10450728000;10348455555;10548455555;10240;10228
246;10450969000;10348455555;10548455555;10240;10228
247;10450990000;10348455555;10548455555;10240;10228
248;10451210000;10348455555;10548455555;10240;10228
249;10451230000;10348455555;10548455555;10240;10228
250;10451463000;10348455555;10548455555;10240;10228
251;10451474000;10348455555;10548455555;10240;10228
252;10451478000;10348455555;10548455555;10240;10228
253;10492131000;10390166666;10590166666;10240;10228
254;10492151000;10390166666;10590166666;10240;10228
255;10492366000;10390166666;10590166666;10240;10228
256;10492386000;10390166666;10590166666;10240;10228
257;10492621000;10390166666;10590166666;10240;10228
258;10492641000;10390166666;10590166666;10240;10228
259;10492882000;10390166666;10590166666;10240;10228
260;10492902000;10390166666;10590166666;10240;10228
261;10493125000;10390166666;10590166666;10240;10228
262;10493145000;10390166666;10590166666;10240;10228
263;10493373000;10390166666;10590166666;10240;10228
264;10533773000;10431766666;10631766666;10240;10228
265;10533793000;10431766666;10631766666;10240;10228
266;10534021000;10431766666;10631766666;10240;10228
267;10534042000;10431766666;10631766666;10240;10228
268;10534265000;10431766666;10631766666;10240;10228
269;10534286000;10431766666;10631766666;10240;10228
270;10534510000;10431766666;10631766666;10240;10228
271;10534528000;10431766666;10631766666;10240;10228
272;10534775000;10431766666;10631766666;10240;10228
273;10534796000;10431766666;10631766666;10240;10228
274;10535027000;10431766666;10631766666;10240;10228
275;10575449000;10473455555;10673455555;10240;10228
276;10575460000;10473455555;10673455555;10240;10228
277;10575691000;10473455555;10673455555;10240;10228
278;10575711000;10473455555;10673455555;10240;10228
279;10575941000;10473455555;10673455555;10240;10228
280;10575963000;10473455555;10673455555;10240;10228
281;10576188000;10473455555;10673455555;10240;10228
282;10576208000;10473455555;10673455555;10240;10228
283;10576442000;10473455555;10673455555;10240;10228
284;10576453000;10473455555;10673455555;10240;10228
285;10576692000;10473455555;10673455555;10240;10228
286;10617134000;10515155555;10715155555;10240;10228
287;10617154000;10515155555;10715155555;10240;10228
288;10617370000;10515155555;10715155555;10240;10228
289;10617390000;10515155555;10715155555;10240;10228
290;10617650000;10515155555;10715155555;10240;10228
291;10617666000;10515155555;10715155555;10240;10228
292;10617876000;10515155555;10715155555;10240;10228
293;10617882000;10515155555;10715155555;10240;10228
294;10618132000;10515155555;10715155555;10240;10228
295;10618144000;10515155555;10715155555;10240;10228
296;10618148000;10515155555;10715155555;10240;10228
