seqnum;now;rtptime;deadline
100;10379763000;10174155555;10374155555
102;10379767000;10174155555;10374155555
103;10379769000;10174155555;10374155555
104;10379775000;10174155555;10374155555
106;10379778000;10174155555;10374155555
107;10379780000;10174155555;10374155555
108;10379781000;10174155555;10374155555
109;10411524000;10174155555;10374155555
110;10411545000;10215777777;10415777777
111;10411558000;10215777777;10415777777
112;10411560000;10215777777;10415777777
113;10411561000;10215777777;10415777777
114;10411562000;10215777777;10415777777
115;10411563000;10215777777;10415777777
116;10411565000;10215777777;10415777777
117;10411566000;10215777777;10415777777
118;10411568000;10215777777;10415777777
119;10411569000;10215777777;10415777777
120;10453189000;10215777777;10415777777
121;10453216000;10257466666;10457466666
122;10453218000;10257466666;10457466666
123;10453220000;10257466666;10457466666
124;10453221000;10257466666;10457466666
125;10453222000;10257466666;10457466666
126;10453224000;10257466666;10457466666
127;10453225000;10257466666;10457466666
128;10453226000;10257466666;10457466666
129;10453228000;10257466666;10457466666
130;10453229000;10257466666;10457466666
131;10494814000;10257466666;10457466666
132;10494820000;10299255555;10499255555
133;10494822000;10299255555;10499255555
134;10494823000;10299255555;10499255555
135;10494825000;10299255555;10499255555
136;10494826000;10299255555;10499255555
137;10494827000;10299255555;10499255555
138;10494828000;10299255555;10499255555
139;10494830000;10299255555;10499255555
140;10494831000;10299255555;10499255555
141;10494832000;10299255555;10499255555
142;10536602000;10299255555;10499255555
143;10536608000;10340866666;10540866666
144;10536609000;10340866666;10540866666
145;10536610000;10340866666;10540866666
146;10536611000;10340866666;10540866666
147;10536612000;10340866666;10540866666
148;10536614000;10340866666;10540866666
149;10536614000;10340866666;10540866666
150;10536615000;10340866666;10540866666
151;10536616000;10340866666;10540866666
152;10536617000;10340866666;10540866666
153;10578256000;10340866666;10540866666
154;10578274000;10382566666;10582566666
155;10578285000;10382566666;10582566666
156;10578287000;10382566666;10582566666
157;10578288000;10382566666;10582566666
158;10578289000;10382566666;10582566666
159;10578291000;10382566666;10582566666
160;10578292000;10382566666;10582566666
161;10578294000;10382566666;10582566666
162;10578295000;10382566666;10582566666
163;10578296000;10382566666;10582566666
164;10619867000;10382566666;10582566666
165;10619873000;10424288888;10624288888
166;10619875000;10424288888;10624288888
167;10619876000;10424288888;10624288888
168;10619878000;10424288888;10624288888
169;10619879000;10424288888;10624288888
170;10619880000;10424288888;10624288888
171;10619882000;10424288888;10624288888
172;10619883000;10424288888;10624288888
173;10619884000;10424288888;10624288888
174;10619885000;10424288888;10624288888
175;10661634000;10424288888;10624288888
176;10661640000;10465900000;10665900000
177;10661642000;10465900000;10665900000
178;10661643000;10465900000;10665900000
179;10661644000;10465900000;10665900000
180;10661645000;10465900000;10665900000
181;10661646000;10465900000;10665900000
182;10661646000;10465900000;10665900000
183;10661647000;10465900000;10665900000
184;10661648000;10465900000;10665900000
185;10661649000;10465900000;10665900000
