seqnum;now;rtptime;deadline
143;11242557000;11031933333;11231933333
144;11242571000;11031933333;11231933333
145;11242573000;11031933333;11231933333
146;11242574000;11031933333;11231933333
147;11242576000;11031933333;11231933333
148;11242577000;11031933333;11231933333
149;11242579000;11031933333;11231933333
150;11242580000;11031933333;11231933333
151;11242582000;11031933333;11231933333
152;11242583000;11031933333;11231933333
153;11243056000;11031933333;11231933333
154;11243071000;11073622222;11273622222
155;11243072000;11073622222;11273622222
156;11243074000;11073622222;11273622222
157;11243075000;11073622222;11273622222
158;11243076000;11073622222;11273622222
159;11243077000;11073622222;11273622222
160;11243078000;11073622222;11273622222
161;11243080000;11073622222;11273622222
162;11243081000;11073622222;11273622222
163;11243082000;11073622222;11273622222
164;11284036000;11073622222;11273622222
165;11284042000;11115477777;11315477777
166;11284043000;11115477777;11315477777
167;11284044000;11115477777;11315477777
168;11284045000;11115477777;11315477777
169;11284046000;11115477777;11315477777
170;11284047000;11115477777;11315477777
171;11284048000;11115477777;11315477777
172;11284049000;11115477777;11315477777
173;11284050000;11115477777;11315477777
174;11284051000;11115477777;11315477777
175;11325880000;11115477777;11315477777
176;11325887000;11157100000;11357100000
177;11325888000;11157100000;11357100000
178;11325889000;11157100000;11357100000
179;11325890000;11157100000;11357100000
180;11325891000;11157100000;11357100000
181;11325891000;11157100000;11357100000
182;11325892000;11157100000;11357100000
183;11325893000;11157100000;11357100000
184;11325894000;11157100000;11357100000
185;11325895000;11157100000;11357100000
186;11367577000;11157100000;11357100000
187;11367595000;11198722222;11398722222
188;11367597000;11198722222;11398722222
189;11367598000;11198722222;11398722222
190;11367600000;11198722222;11398722222
191;11367610000;11198722222;11398722222
192;11367612000;11198722222;11398722222
193;11367613000;11198722222;11398722222
194;11367615000;11198722222;11398722222
195;11367616000;11198722222;11398722222
196;11367617000;11198722222;11398722222
197;11409133000;11198722222;11398722222
198;11409139000;11240400000;11440400000
199;11409140000;11240400000;11440400000
200;11409141000;11240400000;11440400000
201;11409142000;11240400000;11440400000
202;11409143000;11240400000;11440400000
203;11409144000;11240400000;11440400000
204;11409145000;11240400000;11440400000
205;11409146000;11240400000;11440400000
206;11409147000;11240400000;11440400000
207;11409148000;11240400000;11440400000
208;11450794000;11240400000;11440400000
209;11450800000;11282044444;11482044444
210;11450801000;11282044444;11482044444
211;11450802000;11282044444;11482044444
212;11450803000;11282044444;11482044444
213;11450804000;11282044444;11482044444
214;11450805000;11282044444;11482044444
215;11450806000;11282044444;11482044444
216;11450807000;11282044444;11482044444
217;11450808000;11282044444;11482044444
218;11450809000;11282044444;11482044444
219;11492466000;11282044444;11482044444
220;11492472000;11323733333;11523733333
221;11492473000;11323733333;11523733333
222;11492474000;11323733333;11523733333
223;11492475000;11323733333;11523733333
224;11492476000;11323733333;11523733333
225;11492477000;11323733333;11523733333
226;11492477000;11323733333;11523733333
227;11492478000;11323733333;11523733333
228;11492479000;11323733333;11523733333
229;11492480000;11323733333;11523733333
230;11534144000;11323733333;11523733333
231;11534150000;11365411111;11565411111
232;11534151000;11365411111;11565411111
233;11534152000;11365411111;11565411111
234;11534153000;11365411111;11565411111
235;11534154000;11365411111;11565411111
236;11534155000;11365411111;11565411111
237;11534156000;11365411111;11565411111
238;11534157000;11365411111;11565411111
239;11534157000;11365411111;11565411111
240;11534158000;11365411111;11565411111
241;11575823000;11365411111;11565411111
242;11575829000;11407033333;11607033333
243;11575830000;11407033333;11607033333
244;11575831000;11407033333;11607033333
245;11575842000;11407033333;11607033333
246;11575843000;11407033333;11607033333
247;11575844000;11407033333;11607033333
248;11575845000;11407033333;11607033333
249;11575846000;11407033333;11607033333
250;11575847000;11407033333;11607033333
251;11575848000;11407033333;11607033333
252;11617444000;11407033333;11607033333
253;11617450000;11448733333;11648733333
254;11617451000;11448733333;11648733333
255;11617452000;11448733333;11648733333
256;11617453000;11448733333;11648733333
257;11617454000;11448733333;11648733333
258;11617455000;11448733333;11648733333
259;11617456000;11448733333;11648733333
260;11617457000;11448733333;11648733333
261;11617458000;11448733333;11648733333
262;11617459000;11448733333;11648733333
263;11659107000;11448733333;11648733333
264;11659113000;11490422222;11690422222
265;11659114000;11490422222;11690422222
266;11659115000;11490422222;11690422222
267;11659117000;11490422222;11690422222
268;11659117000;11490422222;11690422222
269;11659118000;11490422222;11690422222
270;11659119000;11490422222;11690422222
271;11659120000;11490422222;11690422222
272;11659121000;11490422222;11690422222
273;11659122000;11490422222;11690422222
274;11700824000;11490422222;11690422222
275;11700830000;11532033333;11732033333
276;11700831000;11532033333;11732033333
277;11700832000;11532033333;11732033333
278;11700833000;11532033333;11732033333
279;11700834000;11532033333;11732033333
280;11700835000;11532033333;11732033333
281;11700836000;11532033333;11732033333
282;11700837000;11532033333;11732033333
283;11700838000;11532033333;11732033333
284;11700838000;11532033333;11732033333
285;11742435000;11532033333;11732033333
286;11742441000;11573733333;11773733333
287;11742442000;11573733333;11773733333
288;11742443000;11573733333;11773733333
289;11742444000;11573733333;11773733333
290;11742445000;11573733333;11773733333
291;11742446000;11573733333;11773733333
292;11742447000;11573733333;11773733333
293;11742448000;11573733333;11773733333
294;11742449000;11573733333;11773733333
295;11742450000;11573733333;11773733333
296;11784197000;11573733333;11773733333
297;11784213000;11615388888;11815388888
298;11784214000;11615388888;11815388888
299;11784215000;11615388888;11815388888
300;11784217000;11615388888;11815388888
301;11784218000;11615388888;11815388888
302;11784219000;11615388888;11815388888
303;11784221000;11615388888;11815388888
304;11784222000;11615388888;11815388888
305;11784223000;11615388888;11815388888
306;11784225000;11615388888;11815388888
307;11825802000;11615388888;11815388888
308;11825808000;11657022222;11857022222
309;11825810000;11657022222;11857022222
310;11825810000;11657022222;11857022222
311;11825811000;11657022222;11857022222
312;11825812000;11657022222;11857022222
313;11825813000;11657022222;11857022222
314;11825814000;11657022222;11857022222
315;11825815000;11657022222;11857022222
316;11825816000;11657022222;11857022222
317;11825817000;11657022222;11857022222
318;11867445000;11657022222;11857022222
319;11867451000;11698688888;11898688888
320;11867452000;11698688888;11898688888
321;11867453000;11698688888;11898688888
322;11867454000;11698688888;11898688888
323;11867455000;11698688888;11898688888
324;11867456000;11698688888;11898688888
325;11867457000;11698688888;11898688888
326;11867458000;11698688888;11898688888
327;11867458000;11698688888;11898688888
328;11867459000;11698688888;11898688888
329;11909100000;11698688888;11898688888
330;11909106000;11740400000;11940400000
331;11909107000;11740400000;11940400000
332;11909108000;11740400000;11940400000
333;11909109000;11740400000;11940400000
334;11909110000;11740400000;11940400000
335;11909111000;11740400000;11940400000
336;11909112000;11740400000;11940400000
337;11909113000;11740400000;11940400000
338;11909114000;11740400000;11940400000
339;11909115000;11740400000;11940400000
340;11950803000;11740400000;11940400000
341;11950809000;11782022222;11982022222
342;11950810000;11782022222;11982022222
343;11950811000;11782022222;11982022222
344;11950812000;11782022222;11982022222
345;11950813000;11782022222;11982022222
346;11950814000;11782022222;11982022222
347;11950815000;11782022222;11982022222
348;11950824000;11782022222;11982022222
349;11950825000;11782022222;11982022222
350;11950826000;11782022222;11982022222
351;11992433000;11782022222;11982022222
352;11992439000;11823722222;12023722222
353;11992440000;11823722222;12023722222
354;11992441000;11823722222;12023722222
355;11992442000;11823722222;12023722222
356;11992443000;11823722222;12023722222
357;11992444000;11823722222;12023722222
358;11992445000;11823722222;12023722222
359;11992446000;11823722222;12023722222
360;11992447000;11823722222;12023722222
361;11992447000;11823722222;12023722222
362;12034134000;11823722222;12023722222
363;12034140000;11865400000;12065400000
364;12034141000;11865400000;12065400000
365;12034142000;11865400000;12065400000
366;12034143000;11865400000;12065400000
367;12034144000;11865400000;12065400000
368;12034145000;11865400000;12065400000
369;12034146000;11865400000;12065400000
370;12034147000;11865400000;12065400000
371;12034148000;11865400000;12065400000
372;12034149000;11865400000;12065400000
373;12075811000;11865400000;12065400000
374;12075817000;11907011111;12107011111
375;12075818000;11907011111;12107011111
376;12075819000;11907011111;12107011111
377;12075820000;11907011111;12107011111
378;12075821000;11907011111;12107011111
379;12075822000;11907011111;12107011111
380;12075823000;11907011111;12107011111
381;12075824000;11907011111;12107011111
382;12075824000;11907011111;12107011111
383;12075825000;11907011111;12107011111
384;12117423000;11907011111;12107011111
385;12117428000;11948733333;12148733333
386;12117430000;11948733333;12148733333
387;12117431000;11948733333;12148733333
388;12117432000;11948733333;12148733333
389;12117432000;11948733333;12148733333
390;12117433000;11948733333;12148733333
391;12117434000;11948733333;12148733333
392;12117435000;11948733333;12148733333
393;12117436000;11948733333;12148733333
394;12117437000;11948733333;12148733333
395;12159844000;11948733333;12148733333
396;12159862000;11990433333;12190433333
397;12159864000;11990433333;12190433333
398;12159866000;11990433333;12190433333
399;12159868000;11990433333;12190433333
400;12159869000;11990433333;12190433333
401;12159870000;11990433333;12190433333
402;12159882000;11990433333;12190433333
403;12159884000;11990433333;12190433333
404;12159885000;11990433333;12190433333
405;12159886000;11990433333;12190433333
406;12200846000;11990433333;12190433333
407;12200851000;12032033333;12232033333
408;12200853000;12032033333;12232033333
409;12200853000;12032033333;12232033333
410;12200854000;12032033333;12232033333
411;12200855000;12032033333;12232033333
412;12200856000;12032033333;12232033333
413;12200857000;12032033333;12232033333
414;12200858000;12032033333;12232033333
415;12200859000;12032033333;12232033333
416;12200860000;12032033333;12232033333
