seqnum;now;rtptime;deadline;packet_len;payload_len
22;8852939000;8654711111;8854711111;10240;10228
25;8853097000;8654711111;8854711111;10240;10228
26;8853120000;8654711111;8854711111;10240;10228
23;8853220000;8654711111;8854711111;10240;10228
24;8853229000;8654711111;8854711111;10240;10228
29;8853234000;8654711111;8854711111;10240;10228
27;8853448000;8654711111;8854711111;10240;10228
30;8853457000;8654711111;8854711111;10240;10228
33;8853461000;8696322222;8896322222;10240;10228
28;8853472000;8654711111;8854711111;10240;10228
36;8853644000;8696322222;8896322222;10240;10228
31;8853666000;8654711111;8854711111;10240;10228
32;8853673000;8654711111;8854711111;10240;10228
37;8853950000;8696322222;8896322222;10240;10228
40;8853961000;8696322222;8896322222;10240;10228
41;8853965000;8696322222;8896322222;10240;10228
34;8853969000;8696322222;8896322222;10240;10228
35;8853984000;8696322222;8896322222;10240;10228
44;8854103000;8737977777;8937977777;10240;10228
38;8854200000;8696322222;8896322222;10240;10228
39;8854214000;8696322222;8896322222;10240;10228
45;8854235000;8737977777;8937977777;10240;10228
48;8854241000;8737977777;8937977777;10240;10228
42;8854435000;8696322222;8896322222;10240;10228
43;8854453000;8696322222;8896322222;10240;10228
46;8854467000;8737977777;8937977777;10240;10228
49;8854483000;8737977777;8937977777;10240;10228
47;8854714000;8737977777;8937977777;10240;10228
52;8854747000;8737977777;8937977777;10240;10228
53;8854753000;8737977777;8937977777;10240;10228
50;8854767000;8737977777;8937977777;10240;10228
51;8854935000;8737977777;8937977777;10240;10228
54;8854946000;8737977777;8937977777;10240;10228
55;8861357000;8779700000;8979700000;10240;10228
56;8861526000;8779700000;8979700000;10240;10228
57;8861771000;8779700000;8979700000;10240;10228
58;8861793000;8779700000;8979700000;10240;10228
59;8861951000;8779700000;8979700000;10240;10228
60;8861972000;8779700000;8979700000;10240;10228
61;8862146000;8779700000;8979700000;10240;10228
62;8862151000;8779700000;8979700000;10240;10228
63;8862349000;8779700000;8979700000;10240;10228
64;8862550000;8779700000;8979700000;10240;10228
65;8862556000;8779700000;8979700000;10240;10228
66;8903055000;8821377777;9021377777;10240;10228
67;8903190000;8821377777;9021377777;10240;10228
