seqnum;now;rtptime;deadline
23;9049500000;8800700000;9000700000
24;9049503000;8800700000;9000700000
25;9049505000;8800700000;9000700000
26;9049507000;8800700000;9000700000
27;9049508000;8800700000;9000700000
28;9049512000;8800700000;9000700000
29;9049513000;8800700000;9000700000
30;9049515000;8800700000;9000700000
31;9049516000;8800700000;9000700000
32;9149495000;8800700000;9000700000
54;9232687000;8883966666;9083966666
76;9316000000;8967322222;9167322222
98;9399350000;9050666666;9250666666
120;9482675000;9133988888;9333988888
142;9566017000;9217344444;9417344444
164;9649361000;9300677777;9500677777
186;9732765000;9384066666;9584066666
208;9815991000;9467311111;9667311111
230;9899375000;9550644444;9750644444
252;9982699000;9634000000;9834000000
274;10065977000;9717277777;9917277777
296;10149332000;9800633333;10000633333
318;10234638000;9883966666;10083966666
340;10316005000;9967311111;10167311111
362;10399323000;10050633333;10250633333
384;10482669000;10133977777;10333977777
406;10566012000;10217311111;10417311111
428;10649355000;10300633333;10500633333
450;10732738000;10384033333;10584033333
472;10815990000;10467300000;10667300000
494;10899427000;10550722222;10750722222
516;10982655000;10633966666;10833966666
538;11066016000;10717288888;10917288888
560;11149371000;10800666666;11000666666
582;11232704000;10884000000;11084000000
604;11316038000;10967333333;11167333333
626;11399362000;11050633333;11250633333
648;11482506000;11133955555;11333955555
670;11565993000;11217288888;11417288888
692;11649349000;11300644444;11500644444
714;11732693000;11383988888;11583988888
736;11815987000;11467277777;11667277777
758;11899396000;11550644444;11750644444
780;11982602000;11633977777;11833977777
802;12066011000;11717288888;11917288888
824;12149343000;11800644444;12000644444
846;12232708000;11884022222;12084022222
868;12316031000;11967300000;12167300000
890;12399331000;12050633333;12250633333
912;12482651000;12133966666;12333966666
934;12566021000;12217322222;12417322222
956;12649410000;12300700000;12500700000
978;12732702000;12384000000;12584000000
1000;12816014000;12467311111;12667311111
1022;12899355000;12550655555;12750655555
1044;12982663000;12633977777;12833977777
1066;13065963000;12717277777;12917277777
1088;13149333000;12800633333;13000633333
1110;13232667000;12883966666;13083966666
1132;13316006000;12967322222;13167322222
1154;13399336000;13050633333;13250633333
1176;13482670000;13133944444;13333944444
1198;13566000000;13217311111;13417311111
1220;13649317000;13300633333;13500633333
1242;13732729000;13384044444;13584044444
1264;13815977000;13467277777;13667277777
1286;13899370000;13550644444;13750644444
1308;13982680000;13633966666;13833966666
1330;14065992000;13717288888;13917288888
1352;14149355000;13800666666;14000666666
1374;14232725000;13884011111;14084011111
1396;14315974000;13967288888;14167288888
1418;14399335000;14050633333;14250633333
1440;14482643000;14133955555;14333955555
1462;14566011000;14217322222;14417322222
1484;14649405000;14300644444;14500644444
1506;14732669000;14383988888;14583988888
1528;14816026000;14467311111;14667311111
1550;14899383000;14550677777;14750677777
1572;14982681000;14633977777;14833977777
1594;15066079000;14717333333;14917333333
1616;15149367000;14800677777;15000677777
1638;15232704000;14884000000;15084000000
1660;15316036000;14967333333;15167333333
1682;15399367000;15050677777;15250677777
1704;15482673000;15133966666;15333966666
1726;15566037000;15217333333;15417333333
1748;15649370000;15300666666;15500666666
1770;15732485000;15384000000;15584000000
1792;15815979000;15467288888;15667288888
1814;15899377000;15550655555;15750655555
1836;15982682000;15633977777;15833977777
1858;16066003000;15717300000;15917300000
1880;16149468000;15800722222;16000722222
1902;16232681000;15883977777;16083977777
1924;16316044000;15967311111;16167311111
1946;16399342000;16050655555;16250655555
1968;16482647000;16133944444;16333944444
1990;16566012000;16217311111;16417311111
2012;16649350000;16300633333;16500633333
2013;16649355000;16342288888;16542288888
2014;16649357000;16342288888;16542288888
2015;16649357000;16342288888;16542288888
2016;16649370000;16342288888;16542288888
2017;16649371000;16342288888;16542288888
2018;16649372000;16342288888;16542288888
2019;16649373000;16342288888;16542288888
2020;16649374000;16342288888;16542288888
2021;16649375000;16342288888;16542288888
2022;16649376000;16342288888;16542288888
2023;16690782000;16342288888;16542288888
2024;16690788000;16383977777;16583977777
2025;16690789000;16383977777;16583977777
2026;16690790000;16383977777;16583977777
2027;16690791000;16383977777;16583977777
2028;16690792000;16383977777;16583977777
2029;16690793000;16383977777;16583977777
2030;16690794000;16383977777;16583977777
2031;16690795000;16383977777;16583977777
2032;16690796000;16383977777;16583977777
2033;16690797000;16383977777;16583977777
2034;16732473000;16383977777;16583977777
2035;16732478000;16425611111;16625611111
2036;16732480000;16425611111;16625611111
2037;16732481000;16425611111;16625611111
2038;16732482000;16425611111;16625611111
2039;16732483000;16425611111;16625611111
2040;16732484000;16425611111;16625611111
2041;16732485000;16425611111;16625611111
2042;16732486000;16425611111;16625611111
2043;16732487000;16425611111;16625611111
2044;16732488000;16425611111;16625611111
2045;16774052000;16425611111;16625611111
2101;16774058000;16675677777;16875677777
2102;16774069000;16675677777;16875677777
2103;16774070000;16675677777;16875677777
2104;16774071000;16675677777;16875677777
2105;16774072000;16675677777;16875677777
2106;16774073000;16675677777;16875677777
2107;16774074000;16675677777;16875677777
2108;16774075000;16675677777;16875677777
2109;16774076000;16675677777;16875677777
2110;16774077000;16675677777;16875677777
2111;16908792000;16675677777;16875677777
2100;16908795000;16634011111;16834011111
2124;17049232000;16758955555;16958955555
2125;17049234000;16758955555;16958955555
2126;17049252000;16758955555;16958955555
2127;17049253000;16758955555;16958955555
2128;17049254000;16758955555;16958955555
2129;17049256000;16758955555;16958955555
2130;17049257000;16758955555;16958955555
2131;17049258000;16758955555;16958955555
2132;17049260000;16758955555;16958955555
2133;17101397000;16758955555;16958955555
2156;17101403000;16884011111;17084011111
2157;17101404000;16884011111;17084011111
2158;17101405000;16884011111;17084011111
2159;17101406000;16884011111;17084011111
2160;17101407000;16884011111;17084011111
2161;17101408000;16884011111;17084011111
2162;17101409000;16884011111;17084011111
2163;17101410000;16884011111;17084011111
2164;17101411000;16884011111;17084011111
2165;17101412000;16884011111;17084011111
2166;17226186000;16884011111;17084011111
2189;17226192000;17009066666;17209066666
2190;17226193000;17009066666;17209066666
2191;17226194000;17009066666;17209066666
2192;17226195000;17009066666;17209066666
2193;17226196000;17009066666;17209066666
2194;17226197000;17009066666;17209066666
2195;17226198000;17009066666;17209066666
2196;17226199000;17009066666;17209066666
2197;17226200000;17009066666;17209066666
2198;17226201000;17009066666;17209066666
2199;17353279000;17009066666;17209066666
2210;17394480000;17050700000;17250700000
2244;17410756000;17217333333;17417333333
2245;17410761000;17217333333;17417333333
2246;17410765000;17217333333;17417333333
2247;17410766000;17217333333;17417333333
2248;17410768000;17217333333;17417333333
2249;17410769000;17217333333;17417333333
2250;17410916000;17217333333;17417333333
2251;17410918000;17217333333;17417333333
2252;17411097000;17217333333;17417333333
2253;17411321000;17217333333;17417333333
2254;17561108000;17217333333;17417333333
2299;17561117000;17425688888;17625688888
2300;17561119000;17425688888;17625688888
2301;17561120000;17425688888;17625688888
2302;17561121000;17425688888;17625688888
2303;17561123000;17425688888;17625688888
2304;17561124000;17425688888;17625688888
2305;17561125000;17425688888;17625688888
2306;17561126000;17425688888;17625688888
2307;17561127000;17425688888;17625688888
2308;17561138000;17425688888;17625688888
2309;17658343000;17425688888;17625688888
2277;17658346000;17342322222;17542322222
2278;17658347000;17342322222;17542322222
2279;17658348000;17342322222;17542322222
2280;17658357000;17342322222;17542322222
2281;17658358000;17342322222;17542322222
2282;17658358000;17342322222;17542322222
2283;17658359000;17342322222;17542322222
2284;17658360000;17342322222;17542322222
2285;17658360000;17342322222;17542322222
2286;17658361000;17342322222;17542322222
2287;17658362000;17342322222;17542322222
2343;17674668000;17592333333;17792333333
2344;17674671000;17592333333;17792333333
2345;17674672000;17592333333;17792333333
2346;17674673000;17592333333;17792333333
2347;17674674000;17592333333;17792333333
2348;17674675000;17592333333;17792333333
2349;17674864000;17592333333;17792333333
2350;17674867000;17592333333;17792333333
2351;17675056000;17592333333;17792333333
2352;17675209000;17592333333;17792333333
2353;17824895000;17592333333;17792333333
2376;17824901000;17717333333;17917333333
2377;17824902000;17717333333;17917333333
2378;17824903000;17717333333;17917333333
2379;17824905000;17717333333;17917333333
2380;17824905000;17717333333;17917333333
2381;17824906000;17717333333;17917333333
2382;17824907000;17717333333;17917333333
2383;17824908000;17717333333;17917333333
2384;17824909000;17717333333;17917333333
2385;17824910000;17717333333;17917333333
2386;17950390000;17717333333;17917333333
2364;17950393000;17634044444;17834044444
2365;17950394000;17675688888;17875688888
2366;17950395000;17675688888;17875688888
2367;17950395000;17675688888;17875688888
2368;17950396000;17675688888;17875688888
2369;17950397000;17675688888;17875688888
2370;17950397000;17675688888;17875688888
2371;17950398000;17675688888;17875688888
2372;17950398000;17675688888;17875688888
2373;17950399000;17675688888;17875688888
2374;17950400000;17675688888;17875688888
2375;17950400000;17675688888;17875688888
2409;18035420000;17842322222;18042322222
2410;18035422000;17842322222;18042322222
2411;18035432000;17842322222;18042322222
2412;18035433000;17842322222;18042322222
2413;18035435000;17842322222;18042322222
2414;18035436000;17842322222;18042322222
2415;18035582000;17842322222;18042322222
2416;18035584000;17842322222;18042322222
2417;18035799000;17842322222;18042322222
2418;18035993000;17842322222;18042322222
2419;18185780000;17842322222;18042322222
2464;18185785000;18050744444;18250744444
2465;18185786000;18050744444;18250744444
2466;18185787000;18050744444;18250744444
2467;18185788000;18050744444;18250744444
2468;18185789000;18050744444;18250744444
2469;18185790000;18050744444;18250744444
2470;18185791000;18050744444;18250744444
2471;18185792000;18050744444;18250744444
2472;18185793000;18050744444;18250744444
2473;18185794000;18050744444;18250744444
2474;18283531000;18050744444;18250744444
2442;18283537000;17967366666;18167366666
2443;18283538000;17967366666;18167366666
2444;18283539000;17967366666;18167366666
2445;18283540000;17967366666;18167366666
2446;18283540000;17967366666;18167366666
2447;18283541000;17967366666;18167366666
2448;18283542000;17967366666;18167366666
2449;18283543000;17967366666;18167366666
2450;18283544000;17967366666;18167366666
2451;18283545000;17967366666;18167366666
2452;18283545000;17967366666;18167366666
2453;18283546000;18009055555;18209055555
2454;18283547000;18009055555;18209055555
2455;18283548000;18009055555;18209055555
2456;18283548000;18009055555;18209055555
