seqnum;now;rtptime;deadline;packet_len;payload_len
22;9091881000;8893588888;9093588888;10240;10228
25;9092034000;8893588888;9093588888;10240;10228
26;9092045000;8893588888;9093588888;10240;10228
23;9092131000;8893588888;9093588888;10240;10228
29;9092202000;8893588888;9093588888;10240;10228
24;9092378000;8893588888;9093588888;10240;10228
27;9092387000;8893588888;9093588888;10240;10228
28;9092392000;8893588888;9093588888;10240;10228
30;9092400000;8893588888;9093588888;10240;10228
33;9092404000;8935277777;9135277777;10240;10228
31;9092651000;8893588888;9093588888;10240;10228
36;9092666000;8935277777;9135277777;10240;10228
32;9092683000;8893588888;9093588888;10240;10228
37;9092687000;8935277777;9135277777;10240;10228
40;9092851000;8935277777;9135277777;10240;10228
34;9092862000;8935277777;9135277777;10240;10228
35;9092867000;8935277777;9135277777;10240;10228
41;9093022000;8935277777;9135277777;10240;10228
44;9093034000;8976866666;9176866666;10240;10228
38;9093126000;8935277777;9135277777;10240;10228
39;9093138000;8935277777;9135277777;10240;10228
45;9093225000;8976866666;9176866666;10240;10228
48;9093238000;8976866666;9176866666;10240;10228
42;9093379000;8935277777;9135277777;10240;10228
43;9093390000;8935277777;9135277777;10240;10228
49;9093411000;8976866666;9176866666;10240;10228
52;9093661000;8976866666;9176866666;10240;10228
46;9093672000;8976866666;9176866666;10240;10228
53;9093677000;8976866666;9176866666;10240;10228
47;9093681000;8976866666;9176866666;10240;10228
50;9093685000;8976866666;9176866666;10240;10228
51;9093877000;8976866666;9176866666;10240;10228
54;9093888000;8976866666;9176866666;10240;10228
55;9100193000;9018522222;9218522222;10240;10228
56;9100386000;9018522222;9218522222;10240;10228
57;9100589000;9018522222;9218522222;10240;10228
58;9100602000;9018522222;9218522222;10240;10228
59;9100793000;9018522222;9218522222;10240;10228
60;9100804000;9018522222;9218522222;10240;10228
61;9100997000;9018522222;9218522222;10240;10228
62;9101186000;9018522222;9218522222;10240;10228
63;9101199000;9018522222;9218522222;10240;10228
64;9101406000;9018522222;9218522222;10240;10228
65;9101417000;9018522222;9218522222;10240;10228
66;9142246000;9060244444;9260244444;10240;10228
67;9142262000;9060244444;9260244444;10240;10228
68;9142472000;9060244444;9260244444;10240;10228
69;9142493000;9060244444;9260244444;10240;10228
70;9142753000;9060244444;9260244444;10240;10228
71;9142766000;9060244444;9260244444;10240;10228
72;9143030000;9060244444;9260244444;10240;10228
73;9143052000;9060244444;9260244444;10240;10228
74;9143264000;9060244444;9260244444;10240;10228
75;9143271000;9060244444;9260244444;10240;10228
76;9143275000;9060244444;9260244444;10240;10228
77;9183554000;9102077777;9302077777;10240;10228
78;9183756000;9102077777;9302077777;10240;10228
79;9183961000;9102077777;9302077777;10240;10228
80;9183976000;9102077777;9302077777;10240;10228
81;9184157000;9102077777;9302077777;10240;10228
82;9184167000;9102077777;9302077777;10240;10228
83;9184378000;9102077777;9302077777;10240;10228
84;9184400000;9102077777;9302077777;10240;10228
85;9184576000;9102077777;9302077777;10240;10228
86;9184792000;9102077777;9302077777;10240;10228
87;9184807000;9102077777;9302077777;10240;10228
88;9225490000;9143566666;9343566666;10240;10228
89;9225507000;9143566666;9343566666;10240;10228
90;9225768000;9143566666;9343566666;10240;10228
91;9225781000;9143566666;9343566666;10240;10228
92;9226015000;9143566666;9343566666;10240;10228
93;9226025000;9143566666;9343566666;10240;10228
94;9226240000;9143566666;9343566666;10240;10228
95;9226259000;9143566666;9343566666;10240;10228
96;9226481000;9143566666;9343566666;10240;10228
97;9226491000;9143566666;9343566666;10240;10228
98;9226733000;9143566666;9343566666;10240;10228
99;9267302000;9185333333;9385333333;10240;10228
100;9267320000;9185333333;9385333333;10240;10228
101;9267544000;9185333333;9385333333;10240;10228
102;9267558000;9185333333;9385333333;10240;10228
103;9267794000;9185333333;9385333333;10240;10228
104;9267809000;9185333333;9385333333;10240;10228
105;9267815000;9185333333;9385333333;10240;10228
106;9268034000;9185333333;9385333333;10240;10228
107;9268063000;9185333333;9385333333;10240;10228
108;9268259000;9185333333;9385333333;10240;10228
109;9268279000;9185333333;9385333333;10240;10228
110;9308543000;9226855555;9426855555;10240;10228
111;9308787000;9226855555;9426855555;10240;10228
112;9308798000;9226855555;9426855555;10240;10228
113;9308989000;9226855555;9426855555;10240;10228
114;9309174000;9226855555;9426855555;10240;10228
115;9309188000;9226855555;9426855555;10240;10228
116;9309384000;9226855555;9426855555;10240;10228
117;9309394000;9226855555;9426855555;10240;10228
118;9309599000;9226855555;9426855555;10240;10228
119;9309807000;9226855555;9426855555;10240;10228
120;9309821000;9226855555;9426855555;10240;10228
121;9350174000;9268588888;9468588888;10240;10228
122;9350360000;9268588888;9468588888;10240;10228
123;9350610000;9268588888;9468588888;10240;10228
124;9350624000;9268588888;9468588888;10240;10228
125;9350815000;9268588888;9468588888;10240;10228
126;9350829000;9268588888;9468588888;10240;10228
127;9351018000;9268588888;9468588888;10240;10228
128;9351029000;9268588888;9468588888;10240;10228
129;9351186000;9268588888;9468588888;10240;10228
130;9351382000;9268588888;9468588888;10240;10228
131;9351393000;9268588888;9468588888;10240;10228
132;9391842000;9310211111;9510211111;10240;10228
133;9392056000;9310211111;9510211111;10240;10228
134;9392068000;9310211111;9510211111;10240;10228
135;9392248000;9310211111;9510211111;10240;10228
136;9392416000;9310211111;9510211111;10240;10228
137;9392450000;9310211111;9510211111;10240;10228
138;9392667000;9310211111;9510211111;10240;10228
139;9392682000;9310211111;9510211111;10240;10228
140;9392854000;9310211111;9510211111;10240;10228
141;9393068000;9310211111;9510211111;10240;10228
142;9393077000;9310211111;9510211111;10240;10228
143;9433553000;9351855555;9551855555;10240;10228
144;9433724000;9351855555;9551855555;10240;10228
145;9433737000;9351855555;9551855555;10240;10228
146;9433912000;9351855555;9551855555;10240;10228
147;9434132000;9351855555;9551855555;10240;10228
148;9434151000;9351855555;9551855555;10240;10228
149;9434337000;9351855555;9551855555;10240;10228
150;9434356000;9351855555;9551855555;10240;10228
151;9434541000;9351855555;9551855555;10240;10228
152;9434739000;9351855555;9551855555;10240;10228
153;9434750000;9351855555;9551855555;10240;10228
154;9475167000;9393544444;9593544444;10240;10228
155;9475375000;9393544444;9593544444;10240;10228
156;9475388000;9393544444;9593544444;10240;10228
157;9475578000;9393544444;9593544444;10240;10228
158;9475741000;9393544444;9593544444;10240;10228
159;9475752000;9393544444;9593544444;10240;10228
160;9475980000;9393544444;9593544444;10240;10228
161;9476000000;9393544444;9593544444;10240;10228
162;9476190000;9393544444;9593544444;10240;10228
163;9476352000;9393544444;9593544444;10240;10228
164;9476362000;9393544444;9593544444;10240;10228
165;9516862000;9435222222;9635222222;10240;10228
166;9517070000;9435222222;9635222222;10240;10228
167;9517084000;9435222222;9635222222;10240;10228
168;9517264000;9435222222;9635222222;10240;10228
169;9517454000;9435222222;9635222222;10240;10228
170;9517464000;9435222222;9635222222;10240;10228
171;9517683000;9435222222;9635222222;10240;10228
172;9517698000;9435222222;9635222222;10240;10228
173;9517880000;9435222222;9635222222;10240;10228
174;9518087000;9435222222;9635222222;10240;10228
175;9518096000;9435222222;9635222222;10240;10228
176;9558542000;9476855555;9676855555;10240;10228
177;9558748000;9476855555;9676855555;10240;10228
178;9558762000;9476855555;9676855555;10240;10228
179;9558910000;9476855555;9676855555;10240;10228
180;9559147000;9476855555;9676855555;10240;10228
181;9559157000;9476855555;9676855555;10240;10228
182;9559318000;9476855555;9676855555;10240;10228
183;9559571000;9476855555;9676855555;10240;10228
