seqnum;now;rtptime;deadline;packet_len;payload_len
1;4276586000;4185644444;4385644444;10240;10228
2;4276721000;4185644444;4385644444;10240;10228
0;4276851000;4185644444;4385644444;10240;10228
3;4276887000;4185644444;4385644444;10240;10228
5;4276929000;4185644444;4385644444;10240;10228
6;4276940000;4185644444;4385644444;10240;10228
4;4277103000;4185644444;4385644444;10240;10228
7;4277113000;4185644444;4385644444;10240;10228
8;4317097000;4185644444;4385644444;10240;10228
9;4317261000;4185644444;4385644444;10240;10228
10;4317280000;4185644444;4385644444;10240;10228
11;4317458000;4217411111;4417411111;10240;10228
13;4317472000;4217411111;4417411111;10240;10228
14;4317663000;4217411111;4417411111;10240;10228
12;4317766000;4217411111;4417411111;10240;10228
15;4317776000;4217411111;4417411111;10240;10228
18;4317867000;4217411111;4417411111;10240;10228
19;4317881000;4217411111;4417411111;10240;10228
16;4318014000;4217411111;4417411111;10240;10228
17;4318020000;4217411111;4417411111;10240;10228
20;4318257000;4217411111;4417411111;10240;10228
21;4318264000;4217411111;4417411111;10240;10228
22;4326501000;4259122222;4459122222;10240;10228
23;4326732000;4259122222;4459122222;10240;10228
24;4357743000;4259122222;4459122222;10240;10228
25;4357914000;4259122222;4459122222;10240;10228
26;4357936000;4259122222;4459122222;10240;10228
27;4358107000;4259122222;4459122222;10240;10228
28;4358320000;4259122222;4459122222;10240;10228
29;4358339000;4259122222;4459122222;10240;10228
30;4358479000;4259122222;4459122222;10240;10228
31;4358736000;4259122222;4459122222;10240;10228
32;4358752000;4259122222;4459122222;10240;10228
34;4362433000;4300677777;4500677777;10240;10228
38;4362556000;4300677777;4500677777;10240;10228
33;4362700000;4300677777;4500677777;10240;10228
35;4362755000;4300677777;4500677777;10240;10228
40;4362787000;4300677777;4500677777;10240;10228
37;4362950000;4300677777;4500677777;10240;10228
39;4362960000;4300677777;4500677777;10240;10228
41;4363212000;4300677777;4500677777;10240;10228
42;4363225000;4300677777;4500677777;10240;10228
43;4363429000;4300677777;4500677777;10240;10228
44;4404041000;4342433333;4542433333;10240;10228
46;4404211000;4342433333;4542433333;10240;10228
48;4404224000;4342433333;4542433333;10240;10228
45;4404363000;4342433333;4542433333;10240;10228
47;4404371000;4342433333;4542433333;10240;10228
50;4404376000;4342433333;4542433333;10240;10228
49;4404611000;4342433333;4542433333;10240;10228
51;4404625000;4342433333;4542433333;10240;10228
52;4404631000;4342433333;4542433333;10240;10228
54;4404636000;4342433333;4542433333;10240;10228
53;4404862000;4342433333;4542433333;10240;10228
36;4444730000;4300677777;4500677777;10240;10228
56;4445703000;4384044444;4584044444;10240;10228
58;4445901000;4384044444;4584044444;10240;10228
55;4446046000;4384044444;4584044444;10240;10228
57;4446079000;4384044444;4584044444;10240;10228
60;4446091000;4384044444;4584044444;10240;10228
62;4446123000;4384044444;4584044444;10240;10228
59;4446299000;4384044444;4584044444;10240;10228
61;4446323000;4384044444;4584044444;10240;10228
64;4446328000;4384044444;4584044444;10240;10228
63;4446555000;4384044444;4584044444;10240;10228
65;4446576000;4384044444;4584044444;10240;10228
66;4487398000;4425722222;4625722222;10240;10228
68;4487569000;4425722222;4625722222;10240;10228
70;4487618000;4425722222;4625722222;10240;10228
67;4487735000;4425722222;4625722222;10240;10228
69;4487763000;4425722222;4625722222;10240;10228
73;4487979000;4425722222;4625722222;10240;10228
75;4488000000;4425722222;4625722222;10240;10228
78;4529039000;4467444444;4667444444;10240;10228
80;4529236000;4467444444;4667444444;10240;10228
82;4529249000;4467444444;4667444444;10240;10228
77;4529377000;4467444444;4667444444;10240;10228
79;4529388000;4467444444;4667444444;10240;10228
84;4529409000;4467444444;4667444444;10240;10228
81;4529632000;4467444444;4667444444;10240;10228
83;4529644000;4467444444;4667444444;10240;10228
86;4529648000;4467444444;4667444444;10240;10228
85;4529876000;4467444444;4667444444;10240;10228
87;4529897000;4467444444;4667444444;10240;10228
72;4570049000;4425722222;4625722222;10240;10228
74;4570099000;4425722222;4625722222;10240;10228
76;4570289000;4425722222;4625722222;10240;10228
71;4570323000;4425722222;4625722222;10240;10228
88;4570666000;4509055555;4709055555;10240;10228
90;4570869000;4509055555;4709055555;10240;10228
89;4571021000;4509055555;4709055555;10240;10228
92;4571073000;4509055555;4709055555;10240;10228
93;4571107000;4509055555;4709055555;10240;10228
91;4571260000;4509055555;4709055555;10240;10228
94;4610926000;4509055555;4709055555;10240;10228
95;4610967000;4509055555;4709055555;10240;10228
96;4611360000;4509055555;4709055555;10240;10228
97;4611730000;4509055555;4709055555;10240;10228
98;4611751000;4509055555;4709055555;10240;10228
99;4612374000;4550633333;4750633333;10240;10228
101;4612606000;4550633333;4750633333;10240;10228
103;4612635000;4550633333;4750633333;10240;10228
100;4612736000;4550633333;4750633333;10240;10228
102;4612767000;4550633333;4750633333;10240;10228
105;4612772000;4550633333;4750633333;10240;10228
104;4612997000;4550633333;4750633333;10240;10228
106;4613023000;4550633333;4750633333;10240;10228
107;4651840000;4550633333;4750633333;10240;10228
108;4651862000;4550633333;4750633333;10240;10228
109;4652637000;4550633333;4750633333;10240;10228
110;4654047000;4592344444;4792344444;10240;10228
112;4654255000;4592344444;4792344444;10240;10228
114;4654283000;4592344444;4792344444;10240;10228
111;4654406000;4592344444;4792344444;10240;10228
113;4654429000;4592344444;4792344444;10240;10228
116;4654434000;4592344444;4792344444;10240;10228
115;4654669000;4592344444;4792344444;10240;10228
117;4654697000;4592344444;4792344444;10240;10228
118;4654702000;4592344444;4792344444;10240;10228
119;4661324000;4592344444;4792344444;10240;10228
120;4661558000;4592344444;4792344444;10240;10228
122;4695706000;4634033333;4834033333;10240;10228
124;4695916000;4634033333;4834033333;10240;10228
128;4695932000;4634033333;4834033333;10240;10228
121;4696049000;4634033333;4834033333;10240;10228
123;4696077000;4634033333;4834033333;10240;10228
130;4696111000;4634033333;4834033333;10240;10228
125;4696295000;4634033333;4834033333;10240;10228
127;4696315000;4634033333;4834033333;10240;10228
129;4696559000;4634033333;4834033333;10240;10228
131;4696565000;4634033333;4834033333;10240;10228
132;4737338000;4675688888;4875688888;10240;10228
134;4737558000;4675688888;4875688888;10240;10228
136;4737583000;4675688888;4875688888;10240;10228
133;4737694000;4675688888;4875688888;10240;10228
135;4737716000;4675688888;4875688888;10240;10228
138;4737725000;4675688888;4875688888;10240;10228
137;4737944000;4675688888;4875688888;10240;10228
139;4737956000;4675688888;4875688888;10240;10228
140;4737961000;4675688888;4875688888;10240;10228
142;4737965000;4675688888;4875688888;10240;10228
141;4738181000;4675688888;4875688888;10240;10228
126;4778149000;4634033333;4834033333;10240;10228
146;4779060000;4717355555;4917355555;10240;10228
148;4779280000;4717355555;4917355555;10240;10228
150;4779291000;4717355555;4917355555;10240;10228
143;4779393000;4717355555;4917355555;10240;10228
145;4779417000;4717355555;4917355555;10240;10228
152;4779461000;4717355555;4917355555;10240;10228
147;4779656000;4717355555;4917355555;10240;10228
149;4779666000;4717355555;4917355555;10240;10228
151;4779913000;4717355555;4917355555;10240;10228
153;4779932000;4717355555;4917355555;10240;10228
144;4820095000;4717355555;4917355555;10240;10228
154;4820705000;4759055555;4959055555;10240;10228
156;4820920000;4759055555;4959055555;10240;10228
158;4820945000;4759055555;4959055555;10240;10228
155;4821064000;4759055555;4959055555;10240;10228
157;4821085000;4759055555;4959055555;10240;10228
159;4821306000;4759055555;4959055555;10240;10228
161;4821312000;4759055555;4959055555;10240;10228
162;4821564000;4759055555;4959055555;10240;10228
163;4821571000;4759055555;4959055555;10240;10228
164;4861051000;4759055555;4959055555;10240;10228
166;4862391000;4800700000;5000700000;10240;10228
168;4862589000;4800700000;5000700000;10240;10228
170;4862601000;4800700000;5000700000;10240;10228
165;4862719000;4800700000;5000700000;10240;10228
167;4862731000;4800700000;5000700000;10240;10228
172;4862772000;4800700000;5000700000;10240;10228
169;4862970000;4800700000;5000700000;10240;10228
171;4862981000;4800700000;5000700000;10240;10228
174;4862985000;4800700000;5000700000;10240;10228
173;4863215000;4800700000;5000700000;10240;10228
175;4863221000;4800700000;5000700000;10240;10228
160;4901882000;4759055555;4959055555;10240;10228
176;4904042000;4842400000;5042400000;10240;10228
178;4904257000;4842400000;5042400000;10240;10228
180;4904282000;4842400000;5042400000;10240;10228
177;4904368000;4842400000;5042400000;10240;10228
179;4904407000;4842400000;5042400000;10240;10228
182;4904442000;4842400000;5042400000;10240;10228
181;4904664000;4842400000;5042400000;10240;10228
183;4904694000;4842400000;5042400000;10240;10228
184;4904698000;4842400000;5042400000;10240;10228
185;4904912000;4842400000;5042400000;10240;10228
186;4904932000;4842400000;5042400000;10240;10228
188;4945670000;4884022222;5084022222;10240;10228
190;4945869000;4884022222;5084022222;10240;10228
187;4946054000;4884022222;5084022222;10240;10228
189;4946079000;4884022222;5084022222;10240;10228
194;4946094000;4884022222;5084022222;10240;10228
196;4946103000;4884022222;5084022222;10240;10228
191;4946295000;4884022222;5084022222;10240;10228
193;4946315000;4884022222;5084022222;10240;10228
195;4946510000;4884022222;5084022222;10240;10228
197;4946537000;4884022222;5084022222;10240;10228
198;4987341000;4925688888;5125688888;10240;10228
200;4987563000;4925688888;5125688888;10240;10228
202;4987586000;4925688888;5125688888;10240;10228
201;4987683000;4925688888;5125688888;10240;10228
203;4987705000;4925688888;5125688888;10240;10228
204;4987726000;4925688888;5125688888;10240;10228
205;4987938000;4925688888;5125688888;10240;10228
207;4987947000;4925688888;5125688888;10240;10228
206;4987953000;4925688888;5125688888;10240;10228
208;4988178000;4925688888;5125688888;10240;10228
192;5028129000;4884022222;5084022222;10240;10228
212;5029030000;4967355555;5167355555;10240;10228
199;5029206000;4925688888;5125688888;10240;10228
209;5029229000;4967355555;5167355555;10240;10228
213;5029234000;4967355555;5167355555;10240;10228
211;5029443000;4967355555;5167355555;10240;10228
214;5029449000;4967355555;5167355555;10240;10228
215;5069047000;4967355555;5167355555;10240;10228
216;5069056000;4967355555;5167355555;10240;10228
217;5069530000;4967355555;5167355555;10240;10228
218;5069719000;4967355555;5167355555;10240;10228
210;5069952000;4967355555;5167355555;10240;10228
219;5069980000;4967355555;5167355555;10240;10228
220;5071039000;5009011111;5209011111;10240;10228
221;5071059000;5009011111;5209011111;10240;10228
225;5109975000;5009011111;5209011111;10240;10228
222;5110095000;5009011111;5209011111;10240;10228
223;5110118000;5009011111;5209011111;10240;10228
226;5110178000;5009011111;5209011111;10240;10228
224;5110323000;5009011111;5209011111;10240;10228
227;5110379000;5009011111;5209011111;10240;10228
229;5111020000;5009011111;5209011111;10240;10228
230;5111974000;5009011111;5209011111;10240;10228
231;5112700000;5050666666;5250666666;10240;10228
232;5150445000;5050666666;5250666666;10240;10228
233;5150653000;5050666666;5250666666;10240;10228
236;5150853000;5050666666;5250666666;10240;10228
234;5150972000;5050666666;5250666666;10240;10228
235;5150994000;5050666666;5250666666;10240;10228
237;5151200000;5050666666;5250666666;10240;10228
238;5151219000;5050666666;5250666666;10240;10228
239;5151689000;5050666666;5250666666;10240;10228
240;5152040000;5050666666;5250666666;10240;10228
241;5152875000;5050666666;5250666666;10240;10228
242;5154381000;5092333333;5292333333;10240;10228
243;5190947000;5092333333;5292333333;10240;10228
244;5191144000;5092333333;5292333333;10240;10228
228;5191637000;5009011111;5209011111;10240;10228
245;5192008000;5092333333;5292333333;10240;10228
246;5192021000;5092333333;5292333333;10240;10228
249;5192140000;5092333333;5292333333;10240;10228
247;5192250000;5092333333;5292333333;10240;10228
248;5192270000;5092333333;5292333333;10240;10228
250;5192318000;5092333333;5292333333;10240;10228
251;5193067000;5092333333;5292333333;10240;10228
252;5193791000;5092333333;5292333333;10240;10228
253;5196047000;5134022222;5334022222;10240;10228
257;5232622000;5134022222;5334022222;10240;10228
256;5232674000;5134022222;5334022222;10240;10228
258;5232948000;5134022222;5334022222;10240;10228
259;5232968000;5134022222;5334022222;10240;10228
260;5233192000;5134022222;5334022222;10240;10228
261;5233211000;5134022222;5334022222;10240;10228
262;5245960000;5134022222;5334022222;10240;10228
265;5246150000;5175644444;5375644444;10240;10228
263;5246173000;5134022222;5334022222;10240;10228
264;5246439000;5175644444;5375644444;10240;10228
266;5246447000;5175644444;5375644444;10240;10228
267;5246695000;5175644444;5375644444;10240;10228
268;5273059000;5175644444;5375644444;10240;10228
269;5273720000;5175644444;5375644444;10240;10228
270;5273731000;5175644444;5375644444;10240;10228
271;5273969000;5175644444;5375644444;10240;10228
272;5273990000;5175644444;5375644444;10240;10228
273;5274224000;5175644444;5375644444;10240;10228
275;5279382000;5217355555;5417355555;10240;10228
276;5286436000;5217355555;5417355555;10240;10228
277;5286645000;5217355555;5417355555;10240;10228
254;5286966000;5134022222;5334022222;10240;10228
255;5286975000;5134022222;5334022222;10240;10228
278;5287476000;5217355555;5417355555;10240;10228
280;5314418000;5217355555;5417355555;10240;10228
281;5314629000;5217355555;5417355555;10240;10228
279;5314762000;5217355555;5417355555;10240;10228
282;5314773000;5217355555;5417355555;10240;10228
283;5315011000;5217355555;5417355555;10240;10228
284;5315032000;5217355555;5417355555;10240;10228
285;5315267000;5217355555;5417355555;10240;10228
286;5321016000;5259011111;5459011111;10240;10228
287;5321027000;5259011111;5459011111;10240;10228
288;5321270000;5259011111;5459011111;10240;10228
292;5327985000;5259011111;5459011111;10240;10228
293;5328464000;5259011111;5459011111;10240;10228
294;5354869000;5259011111;5459011111;10240;10228
295;5355074000;5259011111;5459011111;10240;10228
297;5362720000;5300644444;5500644444;10240;10228
298;5362730000;5300644444;5500644444;10240;10228
299;5362959000;5300644444;5500644444;10240;10228
300;5369028000;5300644444;5500644444;10240;10228
301;5369465000;5300644444;5500644444;10240;10228
303;5395537000;5300644444;5500644444;10240;10228
291;5403756000;5259011111;5459011111;10240;10228
304;5403766000;5300644444;5500644444;10240;10228
305;5410069000;5300644444;5500644444;10240;10228
306;5410450000;5300644444;5500644444;10240;10228
289;5436005000;5259011111;5459011111;10240;10228
290;5436207000;5259011111;5459011111;10240;10228
307;5444698000;5300644444;5500644444;10240;10228
308;5444949000;5342333333;5542333333;10240;10228
309;5451100000;5342333333;5542333333;10240;10228
310;5451123000;5342333333;5542333333;10240;10228
311;5451363000;5342333333;5542333333;10240;10228
312;5476484000;5342333333;5542333333;10240;10228
313;5476689000;5342333333;5542333333;10240;10228
315;5485422000;5342333333;5542333333;10240;10228
314;5485742000;5342333333;5542333333;10240;10228
316;5485752000;5342333333;5542333333;10240;10228
317;5492133000;5342333333;5542333333;10240;10228
318;5492156000;5342333333;5542333333;10240;10228
319;5492381000;5383988888;5583988888;10240;10228
320;5492402000;5383988888;5583988888;10240;10228
321;5516954000;5383988888;5583988888;10240;10228
322;5517151000;5383988888;5583988888;10240;10228
323;5517174000;5383988888;5583988888;10240;10228
