seqnum;now;rtptime;deadline
12;5430624000;5220911111;5420911111
13;5430628000;5220911111;5420911111
14;5430630000;5220911111;5420911111
15;5430632000;5220911111;5420911111
17;5430634000;5220911111;5420911111
18;5430635000;5220911111;5420911111
22;5476921000;5262622222;5462622222
24;5476928000;5262622222;5462622222
25;5476929000;5262622222;5462622222
26;5476931000;5262622222;5462622222
27;5476932000;5262622222;5462622222
28;5476933000;5262622222;5462622222
29;5476934000;5262622222;5462622222
30;5476939000;5262622222;5462622222
31;5476940000;5262622222;5462622222
32;5477077000;5262622222;5462622222
33;5477081000;5304222222;5504222222
45;5555404000;5345866666;5545866666
47;5555407000;5345866666;5545866666
48;5555408000;5345866666;5545866666
49;5555410000;5345866666;5545866666
50;5555411000;5345866666;5545866666
51;5555412000;5345866666;5545866666
52;5555412000;5345866666;5545866666
53;5555413000;5345866666;5545866666
54;5555425000;5345866666;5545866666
55;5555436000;5387533333;5587533333
56;5555437000;5387533333;5587533333
57;5555438000;5387533333;5587533333
60;5597044000;5387533333;5587533333
61;5597046000;5387533333;5587533333
66;5638668000;5429177777;5629177777
68;5638672000;5429177777;5629177777
69;5638673000;5429177777;5629177777
70;5638674000;5429177777;5629177777
72;5638675000;5429177777;5629177777
73;5638676000;5429177777;5629177777
74;5638677000;5429177777;5629177777
75;5638679000;5429177777;5629177777
76;5638689000;5429177777;5629177777
77;5638691000;5470877777;5670877777
78;5638702000;5470877777;5670877777
79;5638703000;5470877777;5670877777
80;5638704000;5470877777;5670877777
81;5638706000;5470877777;5670877777
83;5680408000;5470877777;5670877777
84;5680412000;5470877777;5670877777
85;5680414000;5470877777;5670877777
86;5680415000;5470877777;5670877777
89;5722012000;5512511111;5712511111
91;5722016000;5512511111;5712511111
93;5722017000;5512511111;5712511111
94;5722018000;5512511111;5712511111
95;5722019000;5512511111;5712511111
96;5722020000;5512511111;5712511111
97;5722021000;5512511111;5712511111
98;5722129000;5512511111;5712511111
100;5763754000;5554177777;5754177777
101;5763756000;5554177777;5754177777
102;5763757000;5554177777;5754177777
103;5763758000;5554177777;5754177777
104;5763759000;5554177777;5754177777
105;5763760000;5554177777;5754177777
106;5763761000;5554177777;5754177777
107;5763761000;5554177777;5754177777
108;5763762000;5554177777;5754177777
109;5763869000;5554177777;5754177777
110;5763875000;5595800000;5795800000
111;5763887000;5595800000;5795800000
112;5763888000;5595800000;5795800000
113;5782619000;5595800000;5795800000
114;5782782000;5595800000;5795800000
115;5782977000;5595800000;5795800000
116;5783200000;5595800000;5795800000
117;5783332000;5595800000;5795800000
121;5847190000;5637511111;5837511111
122;5847194000;5637511111;5837511111
123;5847195000;5637511111;5837511111
124;5847196000;5637511111;5837511111
125;5847197000;5637511111;5837511111
126;5847198000;5637511111;5837511111
127;5847199000;5637511111;5837511111
128;5847200000;5637511111;5837511111
129;5847200000;5637511111;5837511111
130;5847201000;5637511111;5837511111
