seqnum;now;rtptime;deadline;packet_len;payload_len
33;5215636000;5039788888;5239788888;10240;10228
36;5215807000;5039788888;5239788888;10240;10228
37;5215818000;5039788888;5239788888;10240;10228
34;5215971000;5039788888;5239788888;10240;10228
35;5215979000;5039788888;5239788888;10240;10228
40;5216002000;5039788888;5239788888;10240;10228
38;5216194000;5039788888;5239788888;10240;10228
39;5216214000;5039788888;5239788888;10240;10228
66;5336163000;5164711111;5364711111;10240;10228
67;5336297000;5164711111;5364711111;10240;10228
68;5336309000;5164711111;5364711111;10240;10228
69;5336476000;5164711111;5364711111;10240;10228
71;5336625000;5164711111;5364711111;10240;10228
74;5336637000;5164711111;5364711111;10240;10228
70;5336642000;5164711111;5364711111;10240;10228
72;5336653000;5164711111;5364711111;10240;10228
77;5336870000;5206422222;5406422222;10240;10228
80;5336882000;5206422222;5406422222;10240;10228
73;5336900000;5164711111;5364711111;10240;10228
75;5337099000;5164711111;5364711111;10240;10228
76;5337109000;5164711111;5364711111;10240;10228
78;5337136000;5206422222;5406422222;10240;10228
79;5337299000;5206422222;5406422222;10240;10228
99;5456673000;5289711111;5489711111;10240;10228
100;5456807000;5289711111;5489711111;10240;10228
101;5456818000;5289711111;5489711111;10240;10228
102;5457036000;5289711111;5489711111;10240;10228
103;5457206000;5289711111;5489711111;10240;10228
104;5457224000;5289711111;5489711111;10240;10228
105;5457399000;5289711111;5489711111;10240;10228
106;5457409000;5289711111;5489711111;10240;10228
115;5457487000;5331344444;5531344444;10240;10228
107;5457615000;5289711111;5489711111;10240;10228
116;5457756000;5331344444;5531344444;10240;10228
120;5457766000;5331344444;5531344444;10240;10228
108;5457771000;5289711111;5489711111;10240;10228
109;5457790000;5289711111;5489711111;10240;10228
110;5458021000;5331344444;5531344444;10240;10228
111;5458032000;5331344444;5531344444;10240;10228
112;5458215000;5331344444;5531344444;10240;10228
113;5458235000;5331344444;5531344444;10240;10228
114;5458420000;5331344444;5531344444;10240;10228
117;5458431000;5331344444;5531344444;10240;10228
118;5458632000;5331344444;5531344444;10240;10228
122;5474802000;5373066666;5573066666;10240;10228
123;5475010000;5373066666;5573066666;10240;10228
124;5475035000;5373066666;5573066666;10240;10228
125;5475128000;5373066666;5573066666;10240;10228
132;5577131000;5414755555;5614755555;10240;10228
133;5577304000;5414755555;5614755555;10240;10228
134;5577326000;5414755555;5614755555;10240;10228
135;5577491000;5414755555;5614755555;10240;10228
136;5577721000;5414755555;5614755555;10240;10228
137;5577731000;5414755555;5614755555;10240;10228
138;5577932000;5414755555;5614755555;10240;10228
139;5577943000;5414755555;5614755555;10240;10228
140;5578129000;5414755555;5614755555;10240;10228
141;5578325000;5414755555;5614755555;10240;10228
142;5578344000;5414755555;5614755555;10240;10228
147;5578407000;5456411111;5656411111;10240;10228
143;5578500000;5456411111;5656411111;10240;10228
144;5578542000;5456411111;5656411111;10240;10228
145;5578738000;5456411111;5656411111;10240;10228
146;5578749000;5456411111;5656411111;10240;10228
148;5578942000;5456411111;5656411111;10240;10228
149;5578962000;5456411111;5656411111;10240;10228
150;5579159000;5456411111;5656411111;10240;10228
151;5579344000;5456411111;5656411111;10240;10228
152;5579356000;5456411111;5656411111;10240;10228
153;5579536000;5456411111;5656411111;10240;10228
154;5599789000;5498088888;5698088888;10240;10228
155;5599996000;5498088888;5698088888;10240;10228
156;5600024000;5498088888;5698088888;10240;10228
163;5600183000;5498088888;5698088888;10240;10228
164;5600196000;5498088888;5698088888;10240;10228
157;5600200000;5498088888;5698088888;10240;10228
158;5600395000;5498088888;5698088888;10240;10228
159;5600406000;5498088888;5698088888;10240;10228
160;5600623000;5498088888;5698088888;10240;10228
161;5600635000;5498088888;5698088888;10240;10228
162;5600814000;5498088888;5698088888;10240;10228
165;5641761000;5539800000;5739800000;10240;10228
166;5697651000;5539800000;5739800000;10240;10228
167;5697814000;5539800000;5739800000;10240;10228
168;5697984000;5539800000;5739800000;10240;10228
169;5698218000;5539800000;5739800000;10240;10228
170;5698224000;5539800000;5739800000;10240;10228
171;5698393000;5539800000;5739800000;10240;10228
172;5698400000;5539800000;5739800000;10240;10228
173;5698633000;5539800000;5739800000;10240;10228
174;5698638000;5539800000;5739800000;10240;10228
175;5698829000;5539800000;5739800000;10240;10228
176;5698841000;5581400000;5781400000;10240;10228
177;5699037000;5581400000;5781400000;10240;10228
178;5699058000;5581400000;5781400000;10240;10228
181;5699247000;5581400000;5781400000;10240;10228
179;5699304000;5581400000;5781400000;10240;10228
182;5699445000;5581400000;5781400000;10240;10228
183;5699452000;5581400000;5781400000;10240;10228
180;5699579000;5581400000;5781400000;10240;10228
184;5699658000;5581400000;5781400000;10240;10228
185;5699676000;5581400000;5781400000;10240;10228
186;5699855000;5581400000;5781400000;10240;10228
187;5724796000;5623055555;5823055555;10240;10228
188;5724999000;5623055555;5823055555;10240;10228
189;5725021000;5623055555;5823055555;10240;10228
190;5725204000;5623055555;5823055555;10240;10228
191;5725397000;5623055555;5823055555;10240;10228
192;5725408000;5623055555;5823055555;10240;10228
193;5725617000;5623055555;5823055555;10240;10228
194;5725626000;5623055555;5823055555;10240;10228
195;5725828000;5623055555;5823055555;10240;10228
196;5726014000;5623055555;5823055555;10240;10228
197;5726035000;5623055555;5823055555;10240;10228
198;5766463000;5664788888;5864788888;10240;10228
199;5766694000;5664788888;5864788888;10240;10228
200;5766814000;5664788888;5864788888;10240;10228
201;5766827000;5664788888;5864788888;10240;10228
202;5767062000;5664788888;5864788888;10240;10228
203;5818102000;5664788888;5864788888;10240;10228
204;5818641000;5664788888;5864788888;10240;10228
205;5818852000;5664788888;5864788888;10240;10228
206;5818872000;5664788888;5864788888;10240;10228
207;5819057000;5664788888;5864788888;10240;10228
208;5819078000;5664788888;5864788888;10240;10228
210;5819263000;5706500000;5906500000;10240;10228
211;5819460000;5706500000;5906500000;10240;10228
212;5819470000;5706500000;5906500000;10240;10228
213;5819671000;5706500000;5906500000;10240;10228
214;5819689000;5706500000;5906500000;10240;10228
215;5819866000;5706500000;5906500000;10240;10228
216;5820077000;5706500000;5906500000;10240;10228
217;5820095000;5706500000;5906500000;10240;10228
218;5820271000;5706500000;5906500000;10240;10228
219;5820276000;5706500000;5906500000;10240;10228
222;5849791000;5748088888;5948088888;10240;10228
223;5849999000;5748088888;5948088888;10240;10228
224;5850019000;5748088888;5948088888;10240;10228
220;5850101000;5748088888;5948088888;10240;10228
221;5850117000;5748088888;5948088888;10240;10228
225;5850200000;5748088888;5948088888;10240;10228
226;5850407000;5748088888;5948088888;10240;10228
227;5850412000;5748088888;5948088888;10240;10228
228;5850594000;5748088888;5948088888;10240;10228
229;5850812000;5748088888;5948088888;10240;10228
230;5850818000;5748088888;5948088888;10240;10228
231;5891453000;5789788888;5989788888;10240;10228
232;5891652000;5789788888;5989788888;10240;10228
233;5891672000;5789788888;5989788888;10240;10228
234;5891855000;5789788888;5989788888;10240;10228
235;5892069000;5789788888;5989788888;10240;10228
236;5892090000;5789788888;5989788888;10240;10228
237;5892270000;5789788888;5989788888;10240;10228
238;5892280000;5789788888;5989788888;10240;10228
239;5892439000;5789788888;5989788888;10240;10228
240;5892680000;5789788888;5989788888;10240;10228
241;5892700000;5789788888;5989788888;10240;10228
