seqnum;now;rtptime;deadline;packet_len;payload_len
1;4324066000;4233000000;4433000000;10240;10228
2;4324219000;4233000000;4433000000;10240;10228
0;4324370000;4233000000;4433000000;10240;10228
3;4324387000;4233000000;4433000000;10240;10228
5;4324415000;4233000000;4433000000;10240;10228
6;4324426000;4233000000;4433000000;10240;10228
4;4324614000;4233000000;4433000000;10240;10228
7;4324620000;4233000000;4433000000;10240;10228
8;4364580000;4233000000;4433000000;10240;10228
10;4364715000;4233000000;4433000000;10240;10228
11;4364914000;4264688888;4464688888;10240;10228
13;4364930000;4264688888;4464688888;10240;10228
14;4365113000;4264688888;4464688888;10240;10228
18;4365123000;4264688888;4464688888;10240;10228
12;4365228000;4264688888;4464688888;10240;10228
16;4365235000;4264688888;4464688888;10240;10228
19;4365307000;4264688888;4464688888;10240;10228
17;4365441000;4264688888;4464688888;10240;10228
20;4365447000;4264688888;4464688888;10240;10228
21;4365737000;4264688888;4464688888;10240;10228
22;4375064000;4306411111;4506411111;10240;10228
23;4375327000;4306411111;4506411111;10240;10228
24;4405252000;4306411111;4506411111;10240;10228
25;4405401000;4306411111;4506411111;10240;10228
26;4405414000;4306411111;4506411111;10240;10228
27;4405603000;4306411111;4506411111;10240;10228
9;4405805000;4233000000;4433000000;10240;10228
28;4405819000;4306411111;4506411111;10240;10228
29;4406157000;4306411111;4506411111;10240;10228
30;4406163000;4306411111;4506411111;10240;10228
31;4406399000;4306411111;4506411111;10240;10228
32;4406404000;4306411111;4506411111;10240;10228
15;4406665000;4264688888;4464688888;10240;10228
33;4416131000;4347977777;4547977777;10240;10228
34;4445723000;4347977777;4547977777;10240;10228
35;4445890000;4347977777;4547977777;10240;10228
36;4446110000;4347977777;4547977777;10240;10228
37;4446132000;4347977777;4547977777;10240;10228
42;4447212000;4347977777;4547977777;10240;10228
43;4447240000;4347977777;4547977777;10240;10228
44;4451974000;4389644444;4589644444;10240;10228
45;4451999000;4389644444;4589644444;10240;10228
46;4452215000;4389644444;4589644444;10240;10228
47;4466659000;4389644444;4589644444;10240;10228
48;4486426000;4389644444;4589644444;10240;10228
49;4486603000;4389644444;4589644444;10240;10228
50;4486792000;4389644444;4589644444;10240;10228
51;4486806000;4389644444;4589644444;10240;10228
