seqnum;now;rtptime;deadline
12;5104765000;4794544444;4994544444
13;5104768000;4794544444;4994544444
14;5104770000;4794544444;4994544444
15;5104772000;4794544444;4994544444
16;5104773000;4794544444;4994544444
17;5104777000;4794544444;4994544444
18;5104778000;4794544444;4994544444
22;5146689000;4836300000;5036300000
23;5146694000;4836300000;5036300000
24;5146695000;4836300000;5036300000
25;5146697000;4836300000;5036300000
26;5146698000;4836300000;5036300000
27;5146699000;4836300000;5036300000
28;5146701000;4836300000;5036300000
29;5146702000;4836300000;5036300000
30;5146707000;4836300000;5036300000
31;5146708000;4836300000;5036300000
32;5146825000;4836300000;5036300000
33;5146831000;4877866666;5077866666
34;5146833000;4877866666;5077866666
35;5146834000;4877866666;5077866666
36;5146836000;4877866666;5077866666
37;5146837000;4877866666;5077866666
38;5146838000;4877866666;5077866666
39;5146839000;4877866666;5077866666
40;5146841000;4877866666;5077866666
44;5229492000;4919555555;5119555555
45;5229496000;4919555555;5119555555
46;5229498000;4919555555;5119555555
47;5229499000;4919555555;5119555555
48;5229500000;4919555555;5119555555
49;5229502000;4919555555;5119555555
50;5229503000;4919555555;5119555555
51;5229504000;4919555555;5119555555
52;5229506000;4919555555;5119555555
53;5229508000;4919555555;5119555555
54;5229557000;4919555555;5119555555
55;5229572000;4961200000;5161200000
56;5229574000;4961200000;5161200000
57;5229576000;4961200000;5161200000
58;5229578000;4961200000;5161200000
59;5229580000;4961200000;5161200000
60;5229582000;4961200000;5161200000
61;5229584000;4961200000;5161200000
62;5229586000;4961200000;5161200000
63;5229587000;4961200000;5161200000
64;5229588000;4961200000;5161200000
65;5270802000;4961200000;5161200000
66;5270808000;5002822222;5202822222
67;5270810000;5002822222;5202822222
68;5270811000;5002822222;5202822222
69;5270812000;5002822222;5202822222
70;5270813000;5002822222;5202822222
71;5270815000;5002822222;5202822222
72;5270816000;5002822222;5202822222
73;5270817000;5002822222;5202822222
74;5270819000;5002822222;5202822222
75;5270820000;5002822222;5202822222
76;5312426000;5002822222;5202822222
88;5312432000;5086188888;5286188888
89;5312433000;5086188888;5286188888
90;5312434000;5086188888;5286188888
91;5312435000;5086188888;5286188888
92;5312436000;5086188888;5286188888
93;5312437000;5086188888;5286188888
94;5312438000;5086188888;5286188888
97;5334814000;5086188888;5286188888
98;5395902000;5086188888;5286188888
108;5395908000;5127844444;5327844444
109;5437447000;5127844444;5327844444
120;5479138000;5169533333;5369533333
130;5479144000;5211188888;5411188888
131;5520793000;5211188888;5411188888
141;5520799000;5252822222;5452822222
142;5562426000;5252822222;5452822222
154;5562432000;5336277777;5536277777
155;5562433000;5336277777;5536277777
156;5562434000;5336277777;5536277777
157;5562435000;5336277777;5536277777
158;5562436000;5336277777;5536277777
159;5562437000;5336277777;5536277777
160;5562438000;5336277777;5536277777
161;5562439000;5336277777;5536277777
162;5562440000;5336277777;5536277777
163;5562440000;5336277777;5536277777
166;5687618000;5377911111;5577911111
186;5729244000;5419533333;5619533333
196;5729259000;5461222222;5661222222
197;5770824000;5461222222;5661222222
207;5770830000;5502833333;5702833333
208;5812434000;5502833333;5702833333
219;5854117000;5544500000;5744500000
229;5854123000;5586288888;5786288888
230;5895908000;5586288888;5786288888
240;5895914000;5627855555;5827855555
