seqnum;now;rtptime;deadline
79;5809101000;5531900000;5731900000
80;5809105000;5531900000;5731900000
81;5809107000;5531900000;5731900000
82;5809108000;5531900000;5731900000
83;5809126000;5531900000;5731900000
85;5809129000;5531900000;5731900000
86;5809130000;5531900000;5731900000
99;5918761000;5615266666;5815266666
100;5918765000;5615266666;5815266666
101;5918767000;5615266666;5815266666
102;5918767000;5615266666;5815266666
103;5918768000;5615266666;5815266666
104;5918769000;5615266666;5815266666
105;5918770000;5615266666;5815266666
106;5918771000;5615266666;5815266666
107;5918772000;5615266666;5815266666
108;5918773000;5615266666;5815266666
109;5918863000;5615266666;5815266666
110;5918867000;5656833333;5856833333
111;5918868000;5656833333;5856833333
112;5918869000;5656833333;5856833333
113;5918870000;5656833333;5856833333
114;5918871000;5656833333;5856833333
115;5918872000;5656833333;5856833333
116;5918873000;5656833333;5856833333
117;5918873000;5656833333;5856833333
118;5918874000;5656833333;5856833333
119;5918875000;5656833333;5856833333
120;5959441000;5656833333;5856833333
121;5959447000;5698522222;5898522222
122;5959448000;5698522222;5898522222
123;5959449000;5698522222;5898522222
124;5959450000;5698522222;5898522222
125;5959451000;5698522222;5898522222
126;5959452000;5698522222;5898522222
127;5959453000;5698522222;5898522222
128;5959454000;5698522222;5898522222
129;5959455000;5698522222;5898522222
130;5959456000;5698522222;5898522222
131;6001127000;5698522222;5898522222
132;6001133000;5740200000;5940200000
133;6001134000;5740200000;5940200000
134;6001135000;5740200000;5940200000
135;6001136000;5740200000;5940200000
136;6001137000;5740200000;5940200000
137;6001138000;5740200000;5940200000
138;6001139000;5740200000;5940200000
139;6001140000;5740200000;5940200000
140;6001141000;5740200000;5940200000
141;6001142000;5740200000;5940200000
142;6042814000;5740200000;5940200000
143;6042820000;5781855555;5981855555
144;6042821000;5781855555;5981855555
145;6042822000;5781855555;5981855555
146;6042823000;5781855555;5981855555
147;6042824000;5781855555;5981855555
148;6042825000;5781855555;5981855555
149;6042826000;5781855555;5981855555
150;6042827000;5781855555;5981855555
151;6042828000;5781855555;5981855555
152;6042829000;5781855555;5981855555
153;6084453000;5781855555;5981855555
154;6084459000;5823522222;6023522222
155;6084460000;5823522222;6023522222
156;6084461000;5823522222;6023522222
157;6084462000;5823522222;6023522222
158;6084463000;5823522222;6023522222
159;6084464000;5823522222;6023522222
160;6084465000;5823522222;6023522222
161;6084465000;5823522222;6023522222
162;6084466000;5823522222;6023522222
163;6084467000;5823522222;6023522222
164;6126126000;5823522222;6023522222
165;6126131000;5865222222;6065222222
166;6126133000;5865222222;6065222222
167;6126133000;5865222222;6065222222
168;6126134000;5865222222;6065222222
169;6126136000;5865222222;6065222222
170;6126136000;5865222222;6065222222
171;6126137000;5865222222;6065222222
172;6126138000;5865222222;6065222222
173;6126139000;5865222222;6065222222
174;6126140000;5865222222;6065222222
175;6167837000;5865222222;6065222222
176;6167842000;5906844444;6106844444
177;6167844000;5906844444;6106844444
178;6167844000;5906844444;6106844444
179;6167845000;5906844444;6106844444
180;6167846000;5906844444;6106844444
181;6167847000;5906844444;6106844444
182;6167848000;5906844444;6106844444
183;6167849000;5906844444;6106844444
184;6167850000;5906844444;6106844444
185;6167851000;5906844444;6106844444
186;6209458000;5906844444;6106844444
187;6209464000;5948533333;6148533333
188;6209465000;5948533333;6148533333
189;6209466000;5948533333;6148533333
190;6209467000;5948533333;6148533333
191;6209468000;5948533333;6148533333
192;6209469000;5948533333;6148533333
193;6209470000;5948533333;6148533333
194;6209471000;5948533333;6148533333
195;6209472000;5948533333;6148533333
196;6209472000;5948533333;6148533333
197;6251147000;5948533333;6148533333
198;6251154000;5990244444;6190244444
199;6251156000;5990244444;6190244444
200;6251157000;5990244444;6190244444
201;6251158000;5990244444;6190244444
202;6251159000;5990244444;6190244444
203;6251168000;5990244444;6190244444
204;6251169000;5990244444;6190244444
205;6251170000;5990244444;6190244444
206;6251171000;5990244444;6190244444
207;6251172000;5990244444;6190244444
208;6292859000;5990244444;6190244444
209;6292864000;6031900000;6231900000
210;6292865000;6031900000;6231900000
211;6292866000;6031900000;6231900000
212;6292867000;6031900000;6231900000
213;6292868000;6031900000;6231900000
214;6292869000;6031900000;6231900000
219;6334534000;6031900000;6231900000
220;6334541000;6073588888;6273588888
221;6334542000;6073588888;6273588888
222;6334543000;6073588888;6273588888
223;6334544000;6073588888;6273588888
224;6334545000;6073588888;6273588888
225;6334555000;6073588888;6273588888
226;6334556000;6073588888;6273588888
227;6334557000;6073588888;6273588888
228;6334558000;6073588888;6273588888
229;6334559000;6073588888;6273588888
230;6376248000;6073588888;6273588888
232;6383863000;6115300000;6315300000
233;6383865000;6115300000;6315300000
234;6383866000;6115300000;6315300000
235;6383867000;6115300000;6315300000
236;6383868000;6115300000;6315300000
237;6383869000;6115300000;6315300000
238;6383869000;6115300000;6315300000
239;6383870000;6115300000;6315300000
240;6383871000;6115300000;6315300000
241;6417921000;6115300000;6315300000
242;6417927000;6156922222;6356922222
243;6417928000;6156922222;6356922222
244;6417929000;6156922222;6356922222
245;6417930000;6156922222;6356922222
246;6417931000;6156922222;6356922222
247;6417932000;6156922222;6356922222
248;6417933000;6156922222;6356922222
249;6417934000;6156922222;6356922222
250;6417935000;6156922222;6356922222
251;6417936000;6156922222;6356922222
252;6459581000;6156922222;6356922222
253;6459595000;6198644444;6398644444
254;6459596000;6198644444;6398644444
255;6459597000;6198644444;6398644444
256;6459598000;6198644444;6398644444
257;6459599000;6198644444;6398644444
258;6459600000;6198644444;6398644444
259;6459601000;6198644444;6398644444
260;6459602000;6198644444;6398644444
261;6459603000;6198644444;6398644444
262;6459604000;6198644444;6398644444
263;6501328000;6198644444;6398644444
264;6501334000;6240288888;6440288888
265;6501335000;6240288888;6440288888
266;6501336000;6240288888;6440288888
267;6501337000;6240288888;6440288888
268;6501338000;6240288888;6440288888
269;6501339000;6240288888;6440288888
270;6501340000;6240288888;6440288888
271;6501340000;6240288888;6440288888
272;6501341000;6240288888;6440288888
273;6501342000;6240288888;6440288888
274;6542969000;6240288888;6440288888
275;6542975000;6281888888;6481888888
276;6542976000;6281888888;6481888888
277;6542977000;6281888888;6481888888
278;6542978000;6281888888;6481888888
279;6542979000;6281888888;6481888888
280;6542980000;6281888888;6481888888
281;6542981000;6281888888;6481888888
282;6542982000;6281888888;6481888888
283;6542982000;6281888888;6481888888
284;6542983000;6281888888;6481888888
285;6584577000;6281888888;6481888888
286;6584582000;6323611111;6523611111
287;6584584000;6323611111;6523611111
288;6584585000;6323611111;6523611111
289;6584586000;6323611111;6523611111
290;6584586000;6323611111;6523611111
291;6584587000;6323611111;6523611111
292;6584588000;6323611111;6523611111
293;6584589000;6323611111;6523611111
294;6584590000;6323611111;6523611111
295;6584591000;6323611111;6523611111
296;6626275000;6323611111;6523611111
297;6626281000;6365277777;6565277777
298;6626282000;6365277777;6565277777
299;6626283000;6365277777;6565277777
300;6626284000;6365277777;6565277777
301;6626285000;6365277777;6565277777
302;6626286000;6365277777;6565277777
303;6626287000;6365277777;6565277777
304;6626287000;6365277777;6565277777
305;6626288000;6365277777;6565277777
306;6626289000;6365277777;6565277777
307;6667943000;6365277777;6565277777
308;6667949000;6407044444;6607044444
309;6667950000;6407044444;6607044444
310;6667951000;6407044444;6607044444
311;6667952000;6407044444;6607044444
312;6667953000;6407044444;6607044444
313;6667954000;6407044444;6607044444
314;6667954000;6407044444;6607044444
315;6667955000;6407044444;6607044444
316;6667956000;6407044444;6607044444
317;6667957000;6407044444;6607044444
318;6709712000;6407044444;6607044444
319;6709718000;6448633333;6648633333
320;6709719000;6448633333;6648633333
321;6709720000;6448633333;6648633333
322;6709721000;6448633333;6648633333
323;6709721000;6448633333;6648633333
324;6709723000;6448633333;6648633333
325;6709723000;6448633333;6648633333
326;6709724000;6448633333;6648633333
327;6709725000;6448633333;6648633333
328;6709726000;6448633333;6648633333
329;6751263000;6448633333;6648633333
330;6751269000;6490300000;6690300000
331;6751270000;6490300000;6690300000
332;6751271000;6490300000;6690300000
333;6751272000;6490300000;6690300000
334;6751273000;6490300000;6690300000
335;6751274000;6490300000;6690300000
336;6751275000;6490300000;6690300000
337;6751276000;6490300000;6690300000
338;6751277000;6490300000;6690300000
339;6751278000;6490300000;6690300000
340;6792980000;6490300000;6690300000
341;6792986000;6531933333;6731933333
342;6792987000;6531933333;6731933333
343;6792988000;6531933333;6731933333
344;6792989000;6531933333;6731933333
345;6792990000;6531933333;6731933333
346;6792990000;6531933333;6731933333
347;6792991000;6531933333;6731933333
348;6792992000;6531933333;6731933333
349;6792993000;6531933333;6731933333
350;6792994000;6531933333;6731933333
351;6834598000;6531933333;6731933333
352;6834604000;6573600000;6773600000
353;6834605000;6573600000;6773600000
354;6834606000;6573600000;6773600000
355;6834607000;6573600000;6773600000
356;6834608000;6573600000;6773600000
357;6834609000;6573600000;6773600000
358;6834610000;6573600000;6773600000
359;6834611000;6573600000;6773600000
360;6834612000;6573600000;6773600000
361;6834612000;6573600000;6773600000
362;6876257000;6573600000;6773600000
363;6876263000;6615288888;6815288888
364;6876264000;6615288888;6815288888
365;6876265000;6615288888;6815288888
366;6876275000;6615288888;6815288888
367;6876276000;6615288888;6815288888
368;6876277000;6615288888;6815288888
369;6876278000;6615288888;6815288888
370;6876279000;6615288888;6815288888
371;6876280000;6615288888;6815288888
372;6876281000;6615288888;6815288888
373;6917958000;6615288888;6815288888
374;6917964000;6656922222;6856922222
375;6917965000;6656922222;6856922222
376;6917966000;6656922222;6856922222
377;6917967000;6656922222;6856922222
378;6917968000;6656922222;6856922222
379;6917969000;6656922222;6856922222
380;6917970000;6656922222;6856922222
381;6917971000;6656922222;6856922222
382;6917972000;6656922222;6856922222
383;6917973000;6656922222;6856922222
384;6959606000;6656922222;6856922222
385;6959619000;6698600000;6898600000
386;6959620000;6698600000;6898600000
387;6959622000;6698600000;6898600000
388;6959623000;6698600000;6898600000
389;6959624000;6698600000;6898600000
390;6959626000;6698600000;6898600000
391;6959627000;6698600000;6898600000
392;6959628000;6698600000;6898600000
393;6959629000;6698600000;6898600000
394;6959630000;6698600000;6898600000
395;7001365000;6698600000;6898600000
396;7001383000;6740255555;6940255555
397;7001384000;6740255555;6940255555
398;7001386000;6740255555;6940255555
399;7001387000;6740255555;6940255555
400;7001389000;6740255555;6940255555
401;7001390000;6740255555;6940255555
402;7001392000;6740255555;6940255555
403;7001393000;6740255555;6940255555
404;7001395000;6740255555;6940255555
405;7001396000;6740255555;6940255555
406;7042928000;6740255555;6940255555
407;7042945000;6781922222;6981922222
408;7042948000;6781922222;6981922222
409;7042950000;6781922222;6981922222
410;7042952000;6781922222;6981922222
411;7042953000;6781922222;6981922222
412;7042955000;6781922222;6981922222
413;7042956000;6781922222;6981922222
414;7042958000;6781922222;6981922222
415;7042959000;6781922222;6981922222
416;7042961000;6781922222;6981922222
417;7084722000;6781922222;6981922222
418;7084739000;6823633333;7023633333
419;7084741000;6823633333;7023633333
420;7084743000;6823633333;7023633333
421;7084744000;6823633333;7023633333
422;7084746000;6823633333;7023633333
423;7084747000;6823633333;7023633333
424;7084749000;6823633333;7023633333
425;7084750000;6823633333;7023633333
426;7084752000;6823633333;7023633333
427;7084753000;6823633333;7023633333
428;7126334000;6823633333;7023633333
429;7126370000;6865300000;7065300000
430;7126372000;6865300000;7065300000
431;7126373000;6865300000;7065300000
432;7126376000;6865300000;7065300000
433;7126377000;6865300000;7065300000
434;7126378000;6865300000;7065300000
435;7126380000;6865300000;7065300000
436;7126381000;6865300000;7065300000
437;7126383000;6865300000;7065300000
438;7126385000;6865300000;7065300000
439;7168064000;6865300000;7065300000
440;7168081000;6906933333;7106933333
441;7168082000;6906933333;7106933333
442;7168084000;6906933333;7106933333
443;7168085000;6906933333;7106933333
444;7168087000;6906933333;7106933333
445;7168088000;6906933333;7106933333
446;7168090000;6906933333;7106933333
447;7168091000;6906933333;7106933333
448;7168093000;6906933333;7106933333
449;7168094000;6906933333;7106933333
450;7209627000;6906933333;7106933333
451;7209636000;6948622222;7148622222
452;7209638000;6948622222;7148622222
453;7209639000;6948622222;7148622222
454;7209640000;6948622222;7148622222
455;7209642000;6948622222;7148622222
456;7209643000;6948622222;7148622222
457;7209645000;6948622222;7148622222
