seqnum;now;rtptime;deadline;packet_len;payload_len
0;6780110000;6289200000;6489200000;10240;10228
1;6780276000;6289200000;6489200000;10240;10228
0;6780372000;6289200000;6489200000;10240;10228
1;6780383000;6289200000;6489200000;10240;10228
2;6780443000;6289200000;6489200000;10240;10228
3;6780454000;6289200000;6489200000;10240;10228
2;6780636000;6289200000;6489200000;10240;10228
3;6780646000;6289200000;6489200000;10240;10228
4;6980645000;6289200000;6489200000;10240;10228
5;6980795000;6289200000;6489200000;10240;10228
6;6980995000;6289200000;6489200000;10240;10228
7;6981186000;6289200000;6489200000;10240;10228
8;6981212000;6289200000;6489200000;10240;10228
4;6981291000;6289200000;6489200000;10240;10228
5;6981302000;6289200000;6489200000;10240;10228
6;6981537000;6289200000;6489200000;10240;10228
7;6981561000;6289200000;6489200000;10240;10228
8;6981783000;6289200000;6489200000;10240;10228
9;6981803000;6289200000;6489200000;10240;10228
10;6982034000;6289200000;6489200000;10240;10228
11;6982061000;6320988888;6520988888;10240;10228
9;7181073000;6289200000;6489200000;10240;10228
10;7181285000;6289200000;6489200000;10240;10228
11;7181477000;6320988888;6520988888;10240;10228
12;7181688000;6320988888;6520988888;10240;10228
13;7181898000;6320988888;6520988888;10240;10228
12;7182141000;6320988888;6520988888;10240;10228
13;7182161000;6320988888;6520988888;10240;10228
14;7182384000;6320988888;6520988888;10240;10228
15;7182408000;6320988888;6520988888;10240;10228
16;7182636000;6320988888;6520988888;10240;10228
17;7182660000;6320988888;6520988888;10240;10228
18;7183032000;6320988888;6520988888;10240;10228
19;7183059000;6320988888;6520988888;10240;10228
20;7183252000;6320988888;6520988888;10240;10228
21;7183272000;6320988888;6520988888;10240;10228
22;7183502000;6362655555;6562655555;10240;10228
23;7183548000;6362655555;6562655555;10240;10228
24;7183760000;6362655555;6562655555;10240;10228
14;7381552000;6320988888;6520988888;10240;10228
15;7381756000;6320988888;6520988888;10240;10228
16;7381768000;6320988888;6520988888;10240;10228
17;7382156000;6320988888;6520988888;10240;10228
18;7382381000;6320988888;6520988888;10240;10228
19;7382390000;6320988888;6520988888;10240;10228
20;7382545000;6320988888;6520988888;10240;10228
21;7382554000;6320988888;6520988888;10240;10228
22;7382782000;6362655555;6562655555;10240;10228
25;7383100000;6362655555;6562655555;10240;10228
26;7383124000;6362655555;6562655555;10240;10228
27;7383343000;6362655555;6562655555;10240;10228
28;7383376000;6362655555;6562655555;10240;10228
29;7383602000;6362655555;6562655555;10240;10228
30;7383632000;6362655555;6562655555;10240;10228
31;7383854000;6362655555;6562655555;10240;10228
32;7383875000;6362655555;6562655555;10240;10228
33;7384068000;6404255555;6604255555;10240;10228
34;7384090000;6404255555;6604255555;10240;10228
35;7384303000;6404255555;6604255555;10240;10228
36;7384320000;6404255555;6604255555;10240;10228
37;7384556000;6404255555;6604255555;10240;10228
38;7384561000;6404255555;6604255555;10240;10228
39;7384856000;6404255555;6604255555;10240;10228
40;7384878000;6404255555;6604255555;10240;10228
41;7384893000;6404255555;6604255555;10240;10228
23;7582033000;6362655555;6562655555;10240;10228
24;7582234000;6362655555;6562655555;10240;10228
25;7582432000;6362655555;6562655555;10240;10228
26;7582442000;6362655555;6562655555;10240;10228
27;7582650000;6362655555;6562655555;10240;10228
23;7582658000;6362655555;6562655555;10240;10228
24;7582670000;6362655555;6562655555;10240;10228
25;7582671000;6362655555;6562655555;10240;10228
26;7582672000;6362655555;6562655555;10240;10228
27;7582689000;6362655555;6562655555;10240;10228
28;7582698000;6362655555;6562655555;10240;10228
29;7582850000;6362655555;6562655555;10240;10228
30;7582876000;6362655555;6562655555;10240;10228
31;7583047000;6362655555;6562655555;10240;10228
32;7583082000;6362655555;6562655555;10240;10228
33;7583258000;6404255555;6604255555;10240;10228
34;7583453000;6404255555;6604255555;10240;10228
35;7583481000;6404255555;6604255555;10240;10228
36;7583661000;6404255555;6604255555;10240;10228
37;7583696000;6404255555;6604255555;10240;10228
38;7583878000;6404255555;6604255555;10240;10228
39;7584080000;6404255555;6604255555;10240;10228
