seqnum;now;rtptime;deadline
1;6889761000;6348333333;6548333333
2;6889765000;6348333333;6548333333
3;6889766000;6348333333;6548333333
4;7039825000;6348333333;6548333333
5;7039981000;6348333333;6548333333
6;7040185000;6348333333;6548333333
7;7040760000;6348333333;6548333333
8;7040993000;6348333333;6548333333
9;7040999000;6348333333;6548333333
10;7242005000;6348333333;6548333333
11;7242011000;6380055555;6580055555
12;7242012000;6380055555;6580055555
13;7242023000;6380055555;6580055555
14;7242024000;6380055555;6580055555
15;7242156000;6380055555;6580055555
16;7242164000;6380055555;6580055555
17;7242448000;6380055555;6580055555
18;7242457000;6380055555;6580055555
19;7242665000;6380055555;6580055555
20;7242702000;6380055555;6580055555
21;7442410000;6380055555;6580055555
22;7442713000;6421777777;6621777777
23;7442720000;6421777777;6621777777
24;7442944000;6421777777;6621777777
25;7442952000;6421777777;6621777777
26;7443184000;6421777777;6621777777
27;7443202000;6421777777;6621777777
28;7443434000;6421777777;6621777777
29;7443450000;6421777777;6621777777
30;7443699000;6421777777;6621777777
31;7443706000;6421777777;6621777777
32;7643304000;6421777777;6621777777
35;7644084000;6463400000;6663400000
36;7644087000;6463400000;6663400000
37;7644214000;6463400000;6663400000
38;7644231000;6463400000;6663400000
39;7644459000;6463400000;6663400000
40;7644464000;6463400000;6663400000
41;7644754000;6463400000;6663400000
42;7842159000;6463400000;6663400000
43;7842182000;6463400000;6663400000
44;7845053000;6505055555;6705055555
45;7845061000;6505055555;6705055555
46;7845282000;6505055555;6705055555
47;7845770000;6505055555;6705055555
48;8043066000;6505055555;6705055555
49;8043088000;6505055555;6705055555
51;8046152000;6505055555;6705055555
52;8046155000;6505055555;6705055555
53;8046820000;6505055555;6705055555
54;8247080000;6505055555;6705055555
58;8247893000;6546700000;6746700000
26;8447999000;6421777777;6621777777
27;8448003000;6421777777;6621777777
28;8448005000;6421777777;6621777777
29;8448040000;6421777777;6621777777
30;8448053000;6421777777;6621777777
59;8623600000;6546700000;6746700000
31;8649728000;6421777777;6621777777
32;8649732000;6421777777;6621777777
33;8649735000;6463400000;6663400000
34;8649753000;6463400000;6663400000
35;8649761000;6463400000;6663400000
60;8825298000;6546700000;6746700000
61;8825300000;6546700000;6746700000
62;8850869000;6546700000;6746700000
63;8850898000;6546700000;6746700000
64;8851107000;6546700000;6746700000
42;9050652000;6463400000;6663400000
43;9050660000;6463400000;6663400000
44;9050668000;6505055555;6705055555
45;9050671000;6505055555;6705055555
46;9050677000;6505055555;6705055555
47;9050875000;6505055555;6705055555
65;9184549000;6546700000;6746700000
66;9184557000;6588355555;6788355555
67;9184559000;6588355555;6788355555
68;9252844000;6588355555;6788355555
69;9253118000;6588355555;6788355555
71;9453948000;6588355555;6788355555
72;9454169000;6588355555;6788355555
73;9654952000;6588355555;6788355555
74;9654954000;6588355555;6788355555
75;9856025000;6588355555;6788355555
76;9856090000;6588355555;6788355555
77;9856325000;6630044444;6830044444
78;10057014000;6630044444;6830044444
79;10057016000;6630044444;6830044444
80;10057265000;6630044444;6830044444
81;10258055000;6630044444;6830044444
82;10258058000;6630044444;6830044444
83;10258296000;6630044444;6830044444
84;10458159000;6630044444;6830044444
85;10459098000;6630044444;6830044444
86;10459363000;6630044444;6830044444
87;10654659000;6630044444;6830044444
88;10654842000;6671700000;6871700000
89;10654845000;6671700000;6871700000
90;10658623000;6671700000;6871700000
92;10854939000;6671700000;6871700000
93;10855111000;6671700000;6871700000
94;10855113000;6671700000;6871700000
95;10855304000;6671700000;6871700000
96;10855519000;6671700000;6871700000
97;10855522000;6671700000;6871700000
98;10859042000;6671700000;6871700000
100;11055609000;6713377777;6913377777
101;11055787000;6713377777;6913377777
102;11055790000;6713377777;6913377777
103;11055995000;6713377777;6913377777
104;11056187000;6713377777;6913377777
107;11256176000;6713377777;6913377777
108;11256307000;6713377777;6913377777
109;11256341000;6713377777;6913377777
110;11256472000;6755000000;6955000000
111;11256678000;6755000000;6955000000
112;11256681000;6755000000;6955000000
113;11456610000;6755000000;6955000000
114;11456820000;6755000000;6955000000
115;11457177000;6755000000;6955000000
116;11457375000;6755000000;6955000000
117;11657093000;6755000000;6955000000
119;11657690000;6755000000;6955000000
120;11657889000;6755000000;6955000000
121;11857574000;6796700000;6996700000
122;11858088000;6796700000;6996700000
123;11858297000;6796700000;6996700000
124;12058032000;6796700000;6996700000
125;12058569000;6796700000;6996700000
126;12058742000;6796700000;6996700000
127;12258491000;6796700000;6996700000
128;12259001000;6796700000;6996700000
129;12259213000;6796700000;6996700000
130;12458980000;6796700000;6996700000
131;12459364000;6796700000;6996700000
132;12459665000;6838344444;7038344444
133;12659481000;6838344444;7038344444
134;12660129000;6838344444;7038344444
135;12660326000;6838344444;7038344444
136;12860000000;6838344444;7038344444
137;12860627000;6838344444;7038344444
138;12860817000;6838344444;7038344444
139;13060433000;6838344444;7038344444
140;13061085000;6838344444;7038344444
141;13061286000;6838344444;7038344444
142;13260872000;6838344444;7038344444
143;13261652000;6879988888;7079988888
144;13261796000;6879988888;7079988888
145;13461329000;6879988888;7079988888
147;13462333000;6879988888;7079988888
148;13662785000;6879988888;7079988888
149;13662990000;6879988888;7079988888
150;13863256000;6879988888;7079988888
151;13863448000;6879988888;7079988888
152;13863668000;6879988888;7079988888
154;14063965000;6921711111;7121711111
155;14064124000;6921711111;7121711111
156;14264392000;6921711111;7121711111
157;14264654000;6921711111;7121711111
158;14270172000;6921711111;7121711111
159;14465081000;6921711111;7121711111
160;14465083000;6921711111;7121711111
161;14471174000;6921711111;7121711111
162;14670948000;6921711111;7121711111
163;14671131000;6921711111;7121711111
164;14671144000;6921711111;7121711111
166;14871688000;6963355555;7163355555
167;14871829000;6963355555;7163355555
168;14871831000;6963355555;7163355555
169;15072102000;6963355555;7163355555
170;15072346000;6963355555;7163355555
171;15072533000;6963355555;7163355555
172;15072541000;6963355555;7163355555
173;15072746000;6963355555;7163355555
174;15272575000;6963355555;7163355555
175;15272770000;6963355555;7163355555
176;15272979000;7005033333;7205033333
179;15473048000;7005033333;7205033333
180;15473211000;7005033333;7205033333
181;15473415000;7005033333;7205033333
182;15673690000;7005033333;7205033333
183;15673906000;7005033333;7205033333
184;15673908000;7005033333;7205033333
185;15874142000;7005033333;7205033333
186;15874345000;7005033333;7205033333
187;15874359000;7046677777;7246677777
188;15874574000;7046677777;7246677777
189;15874576000;7046677777;7246677777
190;16074605000;7046677777;7246677777
191;16074797000;7046677777;7246677777
192;16075014000;7046677777;7246677777
193;16075016000;7046677777;7246677777
194;16075206000;7046677777;7246677777
195;16275058000;7046677777;7246677777
197;16275415000;7046677777;7246677777
198;16275647000;7088333333;7288333333
199;16275799000;7088333333;7288333333
201;16475887000;7088333333;7288333333
203;16676384000;7088333333;7288333333
204;16676566000;7088333333;7288333333
205;16689652000;7088333333;7288333333
206;16689870000;7088333333;7288333333
207;16689872000;7088333333;7288333333
208;16689893000;7088333333;7288333333
209;16690101000;7130055555;7330055555
210;16890154000;7130055555;7330055555
211;16890595000;7130055555;7330055555
212;16890597000;7130055555;7330055555
213;16890851000;7130055555;7330055555
214;16890853000;7130055555;7330055555
215;16891101000;7130055555;7330055555
216;16891104000;7130055555;7330055555
217;16891342000;7130055555;7330055555
218;16891344000;7130055555;7330055555
219;16891614000;7130055555;7330055555
220;17091155000;7171711111;7371711111
222;17091657000;7171711111;7371711111
223;17091668000;7171711111;7371711111
224;17091891000;7171711111;7371711111
225;17092142000;7171711111;7371711111
227;17092180000;7171711111;7371711111
228;17092381000;7171711111;7371711111
229;17092383000;7171711111;7371711111
230;17292091000;7171711111;7371711111
231;17292667000;7213366666;7413366666
232;17292915000;7213366666;7413366666
233;17292917000;7213366666;7413366666
234;17293394000;7213366666;7413366666
235;17493905000;7213366666;7413366666
236;17493907000;7213366666;7413366666
218;17679333000;7130055555;7330055555
219;17679334000;7130055555;7330055555
220;17679335000;7171711111;7371711111
221;17679352000;7171711111;7371711111
222;17679353000;7171711111;7371711111
239;17813089000;7213366666;7413366666
240;17895934000;7213366666;7413366666
241;18682032000;7213366666;7413366666
242;18682115000;7255022222;7455022222
243;18682118000;7255022222;7455022222
244;18882134000;7255022222;7455022222
245;18882364000;7255022222;7455022222
246;18882529000;7255022222;7455022222
247;18882751000;7255022222;7455022222
248;19082583000;7255022222;7455022222
249;19082774000;7255022222;7455022222
250;19082982000;7255022222;7455022222
251;19083219000;7255022222;7455022222
252;19283000000;7255022222;7455022222
253;19283198000;7296711111;7496711111
254;19283415000;7296711111;7496711111
255;19283626000;7296711111;7496711111
256;19483469000;7296711111;7496711111
257;19483679000;7296711111;7496711111
258;19483877000;7296711111;7496711111
259;19484075000;7296711111;7496711111
260;19684128000;7296711111;7496711111
261;19684332000;7296711111;7496711111
262;19684334000;7296711111;7496711111
263;19684542000;7296711111;7496711111
264;19884577000;7338333333;7538333333
265;19884775000;7338333333;7538333333
266;19884980000;7338333333;7538333333
267;19885172000;7338333333;7538333333
268;20085053000;7338333333;7538333333
269;20085254000;7338333333;7538333333
270;20085256000;7338333333;7538333333
271;20085471000;7338333333;7538333333
272;20085699000;7338333333;7538333333
273;20285468000;7338333333;7538333333
274;20285718000;7338333333;7538333333
275;20285905000;7379977777;7579977777
277;20286122000;7379977777;7579977777
278;20300763000;7379977777;7579977777
279;20300988000;7379977777;7579977777
280;20300990000;7379977777;7579977777
281;20486520000;7379977777;7579977777
282;20487929000;7379977777;7579977777
283;20501772000;7379977777;7579977777
284;20501774000;7379977777;7579977777
285;20687032000;7379977777;7579977777
286;20687205000;7421700000;7621700000
287;20688970000;7421700000;7621700000
288;20702785000;7421700000;7621700000
289;20702787000;7421700000;7621700000
290;20887692000;7421700000;7621700000
291;20887694000;7421700000;7621700000
292;20903826000;7421700000;7621700000
294;21087976000;7421700000;7621700000
295;21088176000;7421700000;7621700000
296;21090637000;7421700000;7621700000
297;21288412000;7463366666;7663366666
298;21288600000;7463366666;7663366666
299;21288823000;7463366666;7663366666
300;21488884000;7463366666;7663366666
301;21489091000;7463366666;7663366666
302;21489287000;7463366666;7663366666
303;21689354000;7463366666;7663366666
304;21689582000;7463366666;7663366666
305;21689766000;7463366666;7663366666
306;21889822000;7463366666;7663366666
307;21890046000;7463366666;7663366666
308;21890224000;7505044444;7705044444
309;21895303000;7505044444;7705044444
310;22090495000;7505044444;7705044444
311;22090700000;7505044444;7705044444
312;22096093000;7505044444;7705044444
313;22096306000;7505044444;7705044444
314;22096309000;7505044444;7705044444
315;22096592000;7505044444;7705044444
316;22103033000;7505044444;7705044444
317;22291470000;7505044444;7705044444
318;22291503000;7505044444;7705044444
319;22297334000;7546700000;7746700000
320;22297336000;7546700000;7746700000
321;22297585000;7546700000;7746700000
322;22297596000;7546700000;7746700000
323;22304037000;7546700000;7746700000
324;22492510000;7546700000;7746700000
325;22492520000;7546700000;7746700000
326;22505075000;7546700000;7746700000
327;22505077000;7546700000;7746700000
328;22505313000;7546700000;7746700000
329;22505336000;7546700000;7746700000
330;22505580000;7588366666;7788366666
331;22693534000;7588366666;7788366666
332;22693553000;7588366666;7788366666
333;22706098000;7588366666;7788366666
334;22706128000;7588366666;7788366666
335;22706343000;7588366666;7788366666
336;22706346000;7588366666;7788366666
337;22706611000;7588366666;7788366666
338;22894612000;7588366666;7788366666
339;22894615000;7588366666;7788366666
340;22907063000;7588366666;7788366666
341;22907280000;7630000000;7830000000
342;22907282000;7630000000;7830000000
343;22907505000;7630000000;7830000000
344;22907508000;7630000000;7830000000
346;23095575000;7630000000;7830000000
347;23108059000;7630000000;7830000000
348;23108062000;7630000000;7830000000
349;23108323000;7630000000;7830000000
350;23108325000;7630000000;7830000000
351;23108584000;7630000000;7830000000
352;23296667000;7671688888;7871688888
355;23309412000;7671688888;7871688888
356;23510446000;7671688888;7871688888
358;23711484000;7671688888;7871688888
340;23895353000;7588366666;7788366666
341;23895355000;7630000000;7830000000
342;23895355000;7630000000;7830000000
343;23895363000;7630000000;7830000000
344;23895364000;7630000000;7830000000
345;23895486000;7630000000;7830000000
346;24095367000;7630000000;7830000000
347;24095569000;7630000000;7830000000
348;24095830000;7630000000;7830000000
349;24095980000;7630000000;7830000000
350;24095982000;7630000000;7830000000
351;24296383000;7630000000;7830000000
352;24296648000;7671688888;7871688888
353;24296798000;7671688888;7871688888
354;24296815000;7671688888;7871688888
355;24297008000;7671688888;7871688888
356;24297029000;7671688888;7871688888
357;24297187000;7671688888;7871688888
358;24496854000;7671688888;7871688888
359;24497306000;7671688888;7871688888
360;24497473000;7671688888;7871688888
361;24497475000;7671688888;7871688888
362;24497800000;7671688888;7871688888
364;25714308000;7713344444;7913344444
365;25714455000;7713344444;7913344444
366;25714457000;7713344444;7913344444
367;25714669000;7713344444;7913344444
368;25714876000;7713344444;7913344444
369;25714878000;7713344444;7913344444
371;25914955000;7713344444;7913344444
372;25915309000;7713344444;7913344444
373;25915531000;7713344444;7913344444
374;26115439000;7755000000;7955000000
375;26115806000;7755000000;7955000000
376;26115996000;7755000000;7955000000
377;26116196000;7755000000;7955000000
378;26315865000;7755000000;7955000000
379;26316160000;7755000000;7955000000
380;26316397000;7755000000;7955000000
381;26316639000;7755000000;7955000000
382;26516371000;7755000000;7955000000
383;26516642000;7755000000;7955000000
384;26516857000;7755000000;7955000000
386;26716849000;7796688888;7996688888
387;26717292000;7796688888;7996688888
388;26717492000;7796688888;7996688888
389;26917314000;7796688888;7996688888
391;26917947000;7796688888;7996688888
392;27117792000;7796688888;7996688888
393;27118356000;7796688888;7996688888
394;27318309000;7796688888;7996688888
395;27318775000;7796688888;7996688888
396;27318965000;7838344444;8038344444
397;27518731000;7838344444;8038344444
398;27519195000;7838344444;8038344444
399;27519400000;7838344444;8038344444
400;27719237000;7838344444;8038344444
402;27719888000;7838344444;8038344444
403;27919688000;7838344444;8038344444
404;27920293000;7838344444;8038344444
405;27922620000;7838344444;8038344444
406;27922642000;7838344444;8038344444
407;28123213000;7879977777;8079977777
