seqnum;now;rtptime;deadline
0;4519567000;4278166666;4478166666
1;4519571000;4278166666;4478166666
2;4519573000;4278166666;4478166666
3;4519575000;4278166666;4478166666
4;4549688000;4278166666;4478166666
5;4549812000;4278166666;4478166666
6;4550017000;4278166666;4478166666
7;4550213000;4278166666;4478166666
8;4550222000;4278166666;4478166666
9;4550872000;4278166666;4478166666
10;4551506000;4278166666;4478166666
11;4551524000;4309811111;4509811111
12;4630874000;4309811111;4509811111
13;4631052000;4309811111;4509811111
14;4631685000;4309811111;4509811111
15;4631694000;4309811111;4509811111
16;4631911000;4309811111;4509811111
17;4631919000;4309811111;4509811111
18;4632166000;4309811111;4509811111
19;4632175000;4309811111;4509811111
20;4632397000;4309811111;4509811111
21;4632493000;4309811111;4509811111
22;4632666000;4351566666;4551566666
23;4632682000;4351566666;4551566666
24;4632694000;4351566666;4551566666
25;4632921000;4351566666;4551566666
26;4632929000;4351566666;4551566666
27;4712422000;4351566666;4551566666
28;4712430000;4351566666;4551566666
29;4712672000;4351566666;4551566666
30;4712688000;4351566666;4551566666
33;4712995000;4393144444;4593144444
34;4712998000;4393144444;4593144444
35;4713179000;4393144444;4593144444
36;4713186000;4393144444;4593144444
37;4713376000;4393144444;4593144444
38;4713383000;4393144444;4593144444
39;4713694000;4393144444;4593144444
40;4713701000;4393144444;4593144444
41;4713936000;4393144444;4593144444
42;4713944000;4393144444;4593144444
43;4713964000;4393144444;4593144444
44;4714141000;4434811111;4634811111
45;4714375000;4434811111;4634811111
23;4791789000;4351566666;4551566666
24;4791821000;4351566666;4551566666
25;4791823000;4351566666;4551566666
26;4791824000;4351566666;4551566666
27;4791825000;4351566666;4551566666
28;4791826000;4351566666;4551566666
29;4791957000;4351566666;4551566666
30;4791980000;4351566666;4551566666
31;4792149000;4351566666;4551566666
32;4792170000;4351566666;4551566666
33;4792347000;4393144444;4593144444
34;4792523000;4393144444;4593144444
35;4792585000;4393144444;4593144444
36;4792745000;4393144444;4593144444
37;4792770000;4393144444;4593144444
38;4792947000;4393144444;4593144444
39;4792976000;4393144444;4593144444
44;4925297000;4434811111;4634811111
45;4925308000;4434811111;4634811111
46;4925313000;4434811111;4634811111
47;4925314000;4434811111;4634811111
48;4925315000;4434811111;4634811111
49;4925316000;4434811111;4634811111
50;4925317000;4434811111;4634811111
51;4925318000;4434811111;4634811111
52;4925319000;4434811111;4634811111
53;4925320000;4434811111;4634811111
54;4925490000;4434811111;4634811111
55;4925496000;4476444444;4676444444
56;4925498000;4476444444;4676444444
57;4925499000;4476444444;4676444444
58;4925500000;4476444444;4676444444
59;4925501000;4476444444;4676444444
60;4925502000;4476444444;4676444444
61;4925503000;4476444444;4676444444
62;4925503000;4476444444;4676444444
63;4925504000;4476444444;4676444444
64;4925505000;4476444444;4676444444
65;4966771000;4476444444;4676444444
66;4966786000;4518100000;4718100000
67;4966788000;4518100000;4718100000
68;4966788000;4518100000;4718100000
69;4966789000;4518100000;4718100000
70;4966790000;4518100000;4718100000
71;4966791000;4518100000;4718100000
72;4966792000;4518100000;4718100000
73;4966793000;4518100000;4718100000
74;4966794000;4518100000;4718100000
75;4966795000;4518100000;4718100000
76;5008589000;4518100000;4718100000
77;5036332000;4559800000;4759800000
78;5036593000;4559800000;4759800000
79;5036596000;4559800000;4759800000
80;5036728000;4559800000;4759800000
81;5036993000;4559800000;4759800000
82;5037006000;4559800000;4759800000
83;5037174000;4559800000;4759800000
84;5037181000;4559800000;4759800000
85;5037383000;4559800000;4759800000
86;5037540000;4559800000;4759800000
87;5050152000;4559800000;4759800000
88;5050158000;4601444444;4801444444
89;5050159000;4601444444;4801444444
90;5050160000;4601444444;4801444444
91;5050161000;4601444444;4801444444
92;5050162000;4601444444;4801444444
93;5050162000;4601444444;4801444444
94;5050163000;4601444444;4801444444
95;5050164000;4601444444;4801444444
96;5050165000;4601444444;4801444444
97;5050176000;4601444444;4801444444
98;5091941000;4601444444;4801444444
99;5091947000;4643122222;4843122222
100;5091948000;4643122222;4843122222
101;5091949000;4643122222;4843122222
102;5116789000;4643122222;4843122222
103;5117044000;4643122222;4843122222
104;5117250000;4643122222;4843122222
105;5117257000;4643122222;4843122222
106;5117419000;4643122222;4843122222
107;5117661000;4643122222;4843122222
108;5117669000;4643122222;4843122222
109;5133489000;4643122222;4843122222
110;5133494000;4684744444;4884744444
111;5133496000;4684744444;4884744444
112;5133497000;4684744444;4884744444
113;5133498000;4684744444;4884744444
114;5133498000;4684744444;4884744444
115;5133499000;4684744444;4884744444
116;5133500000;4684744444;4884744444
117;5133501000;4684744444;4884744444
118;5133502000;4684744444;4884744444
119;5133503000;4684744444;4884744444
120;5175217000;4684744444;4884744444
121;5175223000;4726433333;4926433333
122;5175224000;4726433333;4926433333
123;5175225000;4726433333;4926433333
124;5175226000;4726433333;4926433333
125;5175227000;4726433333;4926433333
126;5175228000;4726433333;4926433333
127;5175229000;4726433333;4926433333
128;5175230000;4726433333;4926433333
129;5175231000;4726433333;4926433333
130;5175232000;4726433333;4926433333
131;5216821000;4726433333;4926433333
144;5216826000;4809733333;5009733333
145;5216828000;4809733333;5009733333
146;5216828000;4809733333;5009733333
147;5216829000;4809733333;5009733333
148;5216830000;4809733333;5009733333
149;5216831000;4809733333;5009733333
150;5216832000;4809733333;5009733333
151;5216833000;4809733333;5009733333
152;5216834000;4809733333;5009733333
153;5300442000;4809733333;5009733333
122;5300446000;4726433333;4926433333
123;5300446000;4726433333;4926433333
