seqnum;now;rtptime;deadline;packet_len;payload_len
0;7450131000;7358966666;7558966666;10240;10228
1;7450222000;7358966666;7558966666;10240;10228
2;7450331000;7358966666;7558966666;10240;10228
3;7450337000;7358966666;7558966666;10240;10228
4;7491225000;7358966666;7558966666;10240;10228
5;7491245000;7358966666;7558966666;10240;10228
6;7491411000;7358966666;7558966666;10240;10228
7;7491420000;7358966666;7558966666;10240;10228
8;7491669000;7358966666;7558966666;10240;10228
9;7491692000;7358966666;7558966666;10240;10228
10;7491921000;7358966666;7558966666;10240;10228
11;7491943000;7390544444;7590544444;10240;10228
13;7532103000;7390544444;7590544444;10240;10228
14;7532163000;7390544444;7590544444;10240;10228
15;7532304000;7390544444;7590544444;10240;10228
16;7532326000;7390544444;7590544444;10240;10228
17;7532581000;7390544444;7590544444;10240;10228
18;7532614000;7390544444;7590544444;10240;10228
19;7532805000;7390544444;7590544444;10240;10228
20;7532828000;7390544444;7590544444;10240;10228
21;7533058000;7390544444;7590544444;10240;10228
25;7533080000;7432266666;7632266666;10240;10228
26;7539533000;7432266666;7632266666;10240;10228
27;7539544000;7432266666;7632266666;10240;10228
28;7572998000;7432266666;7632266666;10240;10228
29;7573033000;7432266666;7632266666;10240;10228
12;7573294000;7390544444;7590544444;10240;10228
30;7580605000;7432266666;7632266666;10240;10228
22;7580634000;7432266666;7632266666;10240;10228
23;7580788000;7432266666;7632266666;10240;10228
24;7580798000;7432266666;7632266666;10240;10228
31;7581050000;7432266666;7632266666;10240;10228
32;7613861000;7432266666;7632266666;10240;10228
33;7614050000;7473922222;7673922222;10240;10228
34;7614075000;7473922222;7673922222;10240;10228
35;7621631000;7473922222;7673922222;10240;10228
36;7621669000;7473922222;7673922222;10240;10228
37;7621848000;7473922222;7673922222;10240;10228
38;7621871000;7473922222;7673922222;10240;10228
39;7622105000;7473922222;7673922222;10240;10228
40;7631046000;7473922222;7673922222;10240;10228
41;7654876000;7473922222;7673922222;10240;10228
42;7654909000;7473922222;7673922222;10240;10228
43;7661425000;7473922222;7673922222;10240;10228
44;7662678000;7515555555;7715555555;10240;10228
45;7662702000;7515555555;7715555555;10240;10228
46;7662927000;7515555555;7715555555;10240;10228
47;7662941000;7515555555;7715555555;10240;10228
48;7671722000;7515555555;7715555555;10240;10228
49;7671746000;7515555555;7715555555;10240;10228
50;7681747000;7515555555;7715555555;10240;10228
51;7695856000;7515555555;7715555555;10240;10228
52;7695875000;7515555555;7715555555;10240;10228
53;7702447000;7515555555;7715555555;10240;10228
54;7703635000;7515555555;7715555555;10240;10228
55;7703886000;7557200000;7757200000;10240;10228
56;7703909000;7557200000;7757200000;10240;10228
57;7704144000;7557200000;7757200000;10240;10228
58;7712751000;7557200000;7757200000;10240;10228
59;7712771000;7557200000;7757200000;10240;10228
60;7713010000;7557200000;7757200000;10240;10228
61;7732803000;7557200000;7757200000;10240;10228
62;7736758000;7557200000;7757200000;10240;10228
63;7736778000;7557200000;7757200000;10240;10228
64;7744681000;7557200000;7757200000;10240;10228
65;7744701000;7557200000;7757200000;10240;10228
66;7744956000;7598833333;7798833333;10240;10228
67;7744979000;7598833333;7798833333;10240;10228
68;7753080000;7598833333;7798833333;10240;10228
69;7753760000;7598833333;7798833333;10240;10228
70;7753783000;7598833333;7798833333;10240;10228
71;7763294000;7598833333;7798833333;10240;10228
72;7763320000;7598833333;7798833333;10240;10228
73;7777814000;7598833333;7798833333;10240;10228
74;7777846000;7598833333;7798833333;10240;10228
75;7785708000;7598833333;7798833333;10240;10228
76;7785742000;7598833333;7798833333;10240;10228
77;7785956000;7640511111;7840511111;10240;10228
