seqnum;now;rtptime;deadline
11;4575346000;4365344444;4565344444
12;4575350000;4365344444;4565344444
13;4575352000;4365344444;4565344444
14;4575353000;4365344444;4565344444
22;4618253000;4407055555;4607055555
23;4618260000;4407055555;4607055555
24;4618261000;4407055555;4607055555
25;4618262000;4407055555;4607055555
26;4618267000;4407055555;4607055555
27;4618268000;4407055555;4607055555
28;4618270000;4407055555;4607055555
44;4700174000;4490333333;4690333333
45;4700177000;4490333333;4690333333
46;4700178000;4490333333;4690333333
47;4700179000;4490333333;4690333333
48;4700180000;4490333333;4690333333
49;4700181000;4490333333;4690333333
50;4700182000;4490333333;4690333333
51;4700183000;4490333333;4690333333
52;4700195000;4490333333;4690333333
53;4700196000;4490333333;4690333333
54;4700210000;4490333333;4690333333
66;4783239000;4573600000;4773600000
67;4783241000;4573600000;4773600000
68;4783242000;4573600000;4773600000
69;4783243000;4573600000;4773600000
70;4783244000;4573600000;4773600000
71;4783245000;4573600000;4773600000
72;4783246000;4573600000;4773600000
73;4783246000;4573600000;4773600000
74;4783247000;4573600000;4773600000
75;4783248000;4573600000;4773600000
76;4783365000;4573600000;4773600000
77;4783371000;4615322222;4815322222
78;4783373000;4615322222;4815322222
79;4783374000;4615322222;4815322222
80;4783375000;4615322222;4815322222
88;4866805000;4657000000;4857000000
89;4866809000;4657000000;4857000000
90;4866810000;4657000000;4857000000
91;4866811000;4657000000;4857000000
92;4866812000;4657000000;4857000000
93;4866813000;4657000000;4857000000
94;4866814000;4657000000;4857000000
95;4866815000;4657000000;4857000000
96;4866816000;4657000000;4857000000
97;4866817000;4657000000;4857000000
98;4866839000;4657000000;4857000000
99;4866851000;4698600000;4898600000
100;4866852000;4698600000;4898600000
101;4866853000;4698600000;4898600000
102;4866854000;4698600000;4898600000
103;4866855000;4698600000;4898600000
104;4866856000;4698600000;4898600000
105;4866857000;4698600000;4898600000
106;4866858000;4698600000;4898600000
107;4866859000;4698600000;4898600000
110;4950105000;4740266666;4940266666
111;4950109000;4740266666;4940266666
112;4950109000;4740266666;4940266666
113;4950110000;4740266666;4940266666
114;4950111000;4740266666;4940266666
115;4950112000;4740266666;4940266666
116;4950113000;4740266666;4940266666
117;4950114000;4740266666;4940266666
118;4950115000;4740266666;4940266666
119;4950116000;4740266666;4940266666
120;4950126000;4740266666;4940266666
121;4950127000;4781944444;4981944444
122;4950138000;4781944444;4981944444
123;4950139000;4781944444;4981944444
124;4950140000;4781944444;4981944444
125;4950141000;4781944444;4981944444
126;4950142000;4781944444;4981944444
127;4950143000;4781944444;4981944444
128;4950144000;4781944444;4981944444
129;4950145000;4781944444;4981944444
130;4950146000;4781944444;4981944444
131;4991811000;4781944444;4981944444
132;4991816000;4823600000;5023600000
133;5010720000;4823600000;5023600000
134;5010970000;4823600000;5023600000
135;5010973000;4823600000;5023600000
136;5011039000;4823600000;5023600000
137;5011217000;4823600000;5023600000
138;5011438000;4823600000;5023600000
139;5011440000;4823600000;5023600000
140;5011714000;4823600000;5023600000
141;5011716000;4823600000;5023600000
142;5033387000;4823600000;5023600000
143;5033398000;4865266666;5065266666
144;5033400000;4865266666;5065266666
145;5033401000;4865266666;5065266666
