seqnum;now;rtptime;deadline
55;5985631000;5742200000;5942200000
56;5985636000;5742200000;5942200000
57;5985637000;5742200000;5942200000
58;5985638000;5742200000;5942200000
99;6147185000;5908788888;6108788888
100;6147195000;5908788888;6108788888
101;6147196000;5908788888;6108788888
102;6147198000;5908788888;6108788888
103;6147207000;5908788888;6108788888
104;6147208000;5908788888;6108788888
105;6147220000;5908788888;6108788888
143;6308187000;6075455555;6275455555
144;6308190000;6075455555;6275455555
145;6308191000;6075455555;6275455555
146;6308192000;6075455555;6275455555
147;6308193000;6075455555;6275455555
148;6308194000;6075455555;6275455555
149;6308195000;6075455555;6275455555
150;6308196000;6075455555;6275455555
151;6308199000;6075455555;6275455555
152;6308200000;6075455555;6275455555
187;6469200000;6242133333;6442133333
188;6469204000;6242133333;6442133333
189;6469205000;6242133333;6442133333
190;6469215000;6242133333;6442133333
191;6469216000;6242133333;6442133333
193;6469217000;6242133333;6442133333
194;6469218000;6242133333;6442133333
195;6469219000;6242133333;6442133333
196;6469220000;6242133333;6442133333
197;6469328000;6242133333;6442133333
198;6469333000;6283777777;6483777777
199;6469334000;6283777777;6483777777
231;6630215000;6408822222;6608822222
232;6630218000;6408822222;6608822222
233;6630219000;6408822222;6608822222
234;6630220000;6408822222;6608822222
235;6630221000;6408822222;6608822222
236;6630222000;6408822222;6608822222
237;6630223000;6408822222;6608822222
238;6630224000;6408822222;6608822222
239;6630224000;6408822222;6608822222
240;6630225000;6408822222;6608822222
241;6630332000;6408822222;6608822222
242;6630337000;6450444444;6650444444
243;6630339000;6450444444;6650444444
244;6630340000;6450444444;6650444444
245;6630341000;6450444444;6650444444
246;6630342000;6450444444;6650444444
275;6796937000;6575444444;6775444444
276;6796941000;6575444444;6775444444
277;6796942000;6575444444;6775444444
278;6796943000;6575444444;6775444444
279;6796944000;6575444444;6775444444
280;6796945000;6575444444;6775444444
281;6796946000;6575444444;6775444444
282;6796947000;6575444444;6775444444
283;6796948000;6575444444;6775444444
284;6796949000;6575444444;6775444444
285;6796971000;6575444444;6775444444
286;6796973000;6617155555;6817155555
287;6796974000;6617155555;6817155555
288;6796974000;6617155555;6817155555
289;6796975000;6617155555;6817155555
290;6796976000;6617155555;6817155555
291;6796977000;6617155555;6817155555
292;6796978000;6617155555;6817155555
293;6796989000;6617155555;6817155555
294;6796990000;6617155555;6817155555
319;6963658000;6742144444;6942144444
320;6963670000;6742144444;6942144444
321;6963671000;6742144444;6942144444
322;6963672000;6742144444;6942144444
323;6963673000;6742144444;6942144444
324;6963674000;6742144444;6942144444
325;6963675000;6742144444;6942144444
327;6963676000;6742144444;6942144444
328;6963677000;6742144444;6942144444
329;6963685000;6742144444;6942144444
330;6963686000;6783777777;6983777777
331;6963698000;6783777777;6983777777
332;6963699000;6783777777;6983777777
333;6963700000;6783777777;6983777777
334;6963701000;6783777777;6983777777
352;7088450000;6867144444;7067144444
353;7088454000;6867144444;7067144444
354;7088455000;6867144444;7067144444
355;7088456000;6867144444;7067144444
356;7088457000;6867144444;7067144444
357;7088457000;6867144444;7067144444
358;7088458000;6867144444;7067144444
359;7088459000;6867144444;7067144444
360;7088460000;6867144444;7067144444
361;7088461000;6867144444;7067144444
362;7088470000;6867144444;7067144444
363;7088472000;6908777777;7108777777
364;7088483000;6908777777;7108777777
365;7088484000;6908777777;7108777777
366;7088485000;6908777777;7108777777
367;7088486000;6908777777;7108777777
368;7088487000;6908777777;7108777777
369;7088488000;6908777777;7108777777
370;7088489000;6908777777;7108777777
371;7088490000;6908777777;7108777777
397;7254998000;7033788888;7233788888
400;7255003000;7033788888;7233788888
401;7255004000;7033788888;7233788888
402;7255005000;7033788888;7233788888
403;7255015000;7033788888;7233788888
404;7255016000;7033788888;7233788888
405;7255016000;7033788888;7233788888
406;7255135000;7033788888;7233788888
407;7255140000;7075444444;7275444444
408;7255141000;7075444444;7275444444
409;7255142000;7075444444;7275444444
410;7255143000;7075444444;7275444444
411;7255144000;7075444444;7275444444
412;7255145000;7075444444;7275444444
413;7255146000;7075444444;7275444444
414;7255147000;7075444444;7275444444
415;7255148000;7075444444;7275444444
416;7255149000;7075444444;7275444444
417;7296779000;7075444444;7275444444
418;7296785000;7117155555;7317155555
419;7296786000;7117155555;7317155555
420;7296787000;7117155555;7317155555
421;7296788000;7117155555;7317155555
441;7421761000;7200500000;7400500000
447;7421770000;7200500000;7400500000
448;7421781000;7200500000;7400500000
449;7421783000;7200500000;7400500000
450;7421910000;7200500000;7400500000
451;7421916000;7242144444;7442144444
452;7421917000;7242144444;7442144444
453;7421919000;7242144444;7442144444
454;7421920000;7242144444;7442144444
455;7421922000;7242144444;7442144444
456;7421923000;7242144444;7442144444
457;7421924000;7242144444;7442144444
458;7421925000;7242144444;7442144444
459;7421926000;7242144444;7442144444
460;7421928000;7242144444;7442144444
461;7465644000;7242144444;7442144444
462;7465688000;7283766666;7483766666
463;7465689000;7283766666;7483766666
464;7465690000;7283766666;7483766666
465;7465692000;7283766666;7483766666
466;7465694000;7283766666;7483766666
467;7465696000;7283766666;7483766666
468;7465697000;7283766666;7483766666
485;7588420000;7367155555;7567155555
492;7588425000;7367155555;7567155555
493;7588426000;7367155555;7567155555
494;7588580000;7367155555;7567155555
495;7588586000;7408788888;7608788888
496;7588587000;7408788888;7608788888
497;7588588000;7408788888;7608788888
498;7588589000;7408788888;7608788888
499;7588590000;7408788888;7608788888
500;7588591000;7408788888;7608788888
501;7588592000;7408788888;7608788888
502;7588593000;7408788888;7608788888
503;7588594000;7408788888;7608788888
504;7588594000;7408788888;7608788888
505;7630117000;7408788888;7608788888
506;7630123000;7450433333;7650433333
507;7630124000;7450433333;7650433333
508;7630125000;7450433333;7650433333
509;7630126000;7450433333;7650433333
510;7630127000;7450433333;7650433333
