seqnum;now;rtptime;deadline
1;4652853000;4517500000;4717500000
6;4652858000;4517500000;4717500000
7;4652860000;4517500000;4717500000
10;4658295000;4517500000;4717500000
11;4658301000;4549311111;4749311111
12;4658303000;4549311111;4749311111
13;4658314000;4549311111;4749311111
14;4658315000;4549311111;4749311111
15;4658316000;4549311111;4749311111
16;4658318000;4549311111;4749311111
17;4658319000;4549311111;4749311111
18;4658320000;4549311111;4749311111
19;4658322000;4549311111;4749311111
20;4658323000;4549311111;4749311111
22;4732283000;4591022222;4791022222
23;4732288000;4591022222;4791022222
24;4732290000;4591022222;4791022222
25;4732291000;4591022222;4791022222
26;4732293000;4591022222;4791022222
27;4732294000;4591022222;4791022222
28;4732295000;4591022222;4791022222
29;4732297000;4591022222;4791022222
30;4732299000;4591022222;4791022222
31;4732300000;4591022222;4791022222
32;4732314000;4591022222;4791022222
33;4732316000;4632644444;4832644444
34;4732328000;4632644444;4832644444
35;4732330000;4632644444;4832644444
36;4732331000;4632644444;4832644444
37;4732332000;4632644444;4832644444
38;4732334000;4632644444;4832644444
39;4732335000;4632644444;4832644444
40;4732337000;4632644444;4832644444
41;4732338000;4632644444;4832644444
42;4732339000;4632644444;4832644444
43;4773679000;4632644444;4832644444
44;4773706000;4674300000;4874300000
45;4773708000;4674300000;4874300000
46;4773709000;4674300000;4874300000
47;4773712000;4674300000;4874300000
48;4773713000;4674300000;4874300000
49;4773714000;4674300000;4874300000
50;4773716000;4674300000;4874300000
51;4773717000;4674300000;4874300000
52;4773718000;4674300000;4874300000
53;4773720000;4674300000;4874300000
54;4815325000;4674300000;4874300000
55;4815353000;4715944444;4915944444
56;4815355000;4715944444;4915944444
57;4815356000;4715944444;4915944444
58;4815357000;4715944444;4915944444
59;4815359000;4715944444;4915944444
60;4815361000;4715944444;4915944444
61;4815362000;4715944444;4915944444
62;4815364000;4715944444;4915944444
63;4815365000;4715944444;4915944444
64;4815366000;4715944444;4915944444
65;4856879000;4715944444;4915944444
66;4856885000;4757555555;4957555555
67;4856887000;4757555555;4957555555
68;4856888000;4757555555;4957555555
69;4856889000;4757555555;4957555555
70;4856890000;4757555555;4957555555
71;4856891000;4757555555;4957555555
72;4856892000;4757555555;4957555555
73;4856893000;4757555555;4957555555
74;4856894000;4757555555;4957555555
75;4856895000;4757555555;4957555555
76;4898495000;4757555555;4957555555
77;4898501000;4799300000;4999300000
78;4898503000;4799300000;4999300000
79;4898504000;4799300000;4999300000
80;4898505000;4799300000;4999300000
81;4898506000;4799300000;4999300000
82;4898507000;4799300000;4999300000
83;4898508000;4799300000;4999300000
84;4898509000;4799300000;4999300000
85;4898510000;4799300000;4999300000
86;4898521000;4799300000;4999300000
87;4940294000;4799300000;4999300000
88;4940319000;4840911111;5040911111
89;4940321000;4840911111;5040911111
90;4940323000;4840911111;5040911111
91;4940324000;4840911111;5040911111
92;4940325000;4840911111;5040911111
93;4940327000;4840911111;5040911111
94;4940328000;4840911111;5040911111
95;4940330000;4840911111;5040911111
96;4940331000;4840911111;5040911111
97;4940332000;4840911111;5040911111
98;4981803000;4840911111;5040911111
99;4981809000;4882577777;5082577777
100;4985120000;4882577777;5082577777
101;4985122000;4882577777;5082577777
102;4985123000;4882577777;5082577777
103;4985124000;4882577777;5082577777
104;4985125000;4882577777;5082577777
105;4985136000;4882577777;5082577777
106;4985137000;4882577777;5082577777
107;4985138000;4882577777;5082577777
108;4985139000;4882577777;5082577777
109;5023540000;4882577777;5082577777
110;5023545000;4924255555;5124255555
111;5023547000;4924255555;5124255555
