seqnum;now;rtptime;deadline;packet_len;payload_len
12;4501175000;4342100000;4542100000;10240;10228
13;4501347000;4342100000;4542100000;10240;10228
16;4501357000;4342100000;4542100000;10240;10228
11;4501477000;4342100000;4542100000;10240;10228
14;4501496000;4342100000;4542100000;10240;10228
17;4501502000;4342100000;4542100000;10240;10228
15;4501718000;4342100000;4542100000;10240;10228
18;4501728000;4342100000;4542100000;10240;10228
20;4501733000;4342100000;4542100000;10240;10228
21;4501740000;4342100000;4542100000;10240;10228
24;4501933000;4383800000;4583800000;10240;10228
25;4501956000;4383800000;4583800000;10240;10228
19;4501968000;4342100000;4542100000;10240;10228
22;4501972000;4383800000;4583800000;10240;10228
28;4502170000;4383800000;4583800000;10240;10228
29;4502191000;4383800000;4583800000;10240;10228
23;4502200000;4383800000;4583800000;10240;10228
26;4502211000;4383800000;4583800000;10240;10228
32;4502364000;4383800000;4583800000;10240;10228
27;4502465000;4383800000;4583800000;10240;10228
30;4502477000;4383800000;4583800000;10240;10228
31;4502739000;4383800000;4583800000;10240;10228
33;4507494000;4425400000;4625400000;10240;10228
34;4507583000;4425400000;4625400000;10240;10228
35;4507621000;4425400000;4625400000;10240;10228
36;4507643000;4425400000;4625400000;10240;10228
37;4507880000;4425400000;4625400000;10240;10228
38;4507915000;4425400000;4625400000;10240;10228
39;4508121000;4425400000;4625400000;10240;10228
40;4508131000;4425400000;4625400000;10240;10228
41;4508374000;4425400000;4625400000;10240;10228
42;4508382000;4425400000;4625400000;10240;10228
43;4508637000;4425400000;4625400000;10240;10228
44;4548944000;4467155555;4667155555;10240;10228
45;4549159000;4467155555;4667155555;10240;10228
46;4549173000;4467155555;4667155555;10240;10228
47;4549398000;4467155555;4667155555;10240;10228
48;4549408000;4467155555;4667155555;10240;10228
49;4549659000;4467155555;4667155555;10240;10228
50;4549674000;4467155555;4667155555;10240;10228
51;4549910000;4467155555;4667155555;10240;10228
52;4549926000;4467155555;4667155555;10240;10228
53;4550147000;4467155555;4667155555;10240;10228
54;4550158000;4467155555;4667155555;10240;10228
55;4590398000;4508766666;4708766666;10240;10228
56;4590594000;4508766666;4708766666;10240;10228
57;4590765000;4508766666;4708766666;10240;10228
58;4590788000;4508766666;4708766666;10240;10228
59;4590968000;4508766666;4708766666;10240;10228
60;4590992000;4508766666;4708766666;10240;10228
61;4591165000;4508766666;4708766666;10240;10228
62;4591189000;4508766666;4708766666;10240;10228
63;4591368000;4508766666;4708766666;10240;10228
64;4591628000;4508766666;4708766666;10240;10228
65;4591638000;4508766666;4708766666;10240;10228
66;4632050000;4550400000;4750400000;10240;10228
67;4632221000;4550400000;4750400000;10240;10228
68;4632419000;4550400000;4750400000;10240;10228
69;4632431000;4550400000;4750400000;10240;10228
70;4632644000;4550400000;4750400000;10240;10228
71;4632665000;4550400000;4750400000;10240;10228
72;4632827000;4550400000;4750400000;10240;10228
73;4632835000;4550400000;4750400000;10240;10228
74;4633024000;4550400000;4750400000;10240;10228
75;4633228000;4550400000;4750400000;10240;10228
76;4633233000;4550400000;4750400000;10240;10228
77;4673757000;4592111111;4792111111;10240;10228
78;4673928000;4592111111;4792111111;10240;10228
79;4673940000;4592111111;4792111111;10240;10228
80;4674128000;4592111111;4792111111;10240;10228
81;4674326000;4592111111;4792111111;10240;10228
82;4674347000;4592111111;4792111111;10240;10228
83;4674528000;4592111111;4792111111;10240;10228
84;4674551000;4592111111;4792111111;10240;10228
85;4674750000;4592111111;4792111111;10240;10228
86;4674940000;4592111111;4792111111;10240;10228
87;4674961000;4592111111;4792111111;10240;10228
88;4715736000;4633755555;4833755555;10240;10228
89;4715749000;4633755555;4833755555;10240;10228
90;4715973000;4633755555;4833755555;10240;10228
91;4715986000;4633755555;4833755555;10240;10228
92;4716219000;4633755555;4833755555;10240;10228
93;4716229000;4633755555;4833755555;10240;10228
94;4716462000;4633755555;4833755555;10240;10228
95;4716472000;4633755555;4833755555;10240;10228
96;4716731000;4633755555;4833755555;10240;10228
97;4716745000;4633755555;4833755555;10240;10228
98;4716975000;4633755555;4833755555;10240;10228
99;4757564000;4675455555;4875455555;10240;10228
100;4757598000;4675455555;4875455555;10240;10228
101;4757604000;4675455555;4875455555;10240;10228
102;4757780000;4675455555;4875455555;10240;10228
103;4757794000;4675455555;4875455555;10240;10228
104;4758030000;4675455555;4875455555;10240;10228
105;4758043000;4675455555;4875455555;10240;10228
106;4758265000;4675455555;4875455555;10240;10228
107;4758276000;4675455555;4875455555;10240;10228
108;4758540000;4675455555;4875455555;10240;10228
109;4758561000;4675455555;4875455555;10240;10228
110;4799124000;4717055555;4917055555;10240;10228
111;4799143000;4717055555;4917055555;10240;10228
112;4799336000;4717055555;4917055555;10240;10228
113;4799345000;4717055555;4917055555;10240;10228
114;4799628000;4717055555;4917055555;10240;10228
115;4799647000;4717055555;4917055555;10240;10228
116;4799866000;4717055555;4917055555;10240;10228
117;4799880000;4717055555;4917055555;10240;10228
118;4800095000;4717055555;4917055555;10240;10228
119;4800110000;4717055555;4917055555;10240;10228
120;4800117000;4717055555;4917055555;10240;10228
121;4840729000;4758744444;4958744444;10240;10228
122;4840742000;4758744444;4958744444;10240;10228
123;4840960000;4758744444;4958744444;10240;10228
124;4840969000;4758744444;4958744444;10240;10228
125;4841208000;4758744444;4958744444;10240;10228
126;4841217000;4758744444;4958744444;10240;10228
127;4841460000;4758744444;4958744444;10240;10228
128;4841469000;4758744444;4958744444;10240;10228
129;4841715000;4758744444;4958744444;10240;10228
130;4841725000;4758744444;4958744444;10240;10228
131;4841957000;4758744444;4958744444;10240;10228
132;4882263000;4800433333;5000433333;10240;10228
133;4882534000;4800433333;5000433333;10240;10228
134;4882549000;4800433333;5000433333;10240;10228
135;4882771000;4800433333;5000433333;10240;10228
136;4882785000;4800433333;5000433333;10240;10228
137;4883015000;4800433333;5000433333;10240;10228
138;4883028000;4800433333;5000433333;10240;10228
139;4883262000;4800433333;5000433333;10240;10228
140;4883273000;4800433333;5000433333;10240;10228
141;4883518000;4800433333;5000433333;10240;10228
142;4883529000;4800433333;5000433333;10240;10228
143;4924082000;4842033333;5042033333;10240;10228
144;4924096000;4842033333;5042033333;10240;10228
145;4924321000;4842033333;5042033333;10240;10228
146;4924330000;4842033333;5042033333;10240;10228
147;4924561000;4842033333;5042033333;10240;10228
148;4924567000;4842033333;5042033333;10240;10228
149;4924789000;4842033333;5042033333;10240;10228
150;4924797000;4842033333;5042033333;10240;10228
151;4925087000;4842033333;5042033333;10240;10228
153;4925099000;4842033333;5042033333;10240;10228
154;4965728000;4883777777;5083777777;10240;10228
155;4965740000;4883777777;5083777777;10240;10228
156;4965965000;4883777777;5083777777;10240;10228
157;4965979000;4883777777;5083777777;10240;10228
158;4966211000;4883777777;5083777777;10240;10228
159;4966222000;4883777777;5083777777;10240;10228
160;4966455000;4883777777;5083777777;10240;10228
161;4966466000;4883777777;5083777777;10240;10228
162;4966725000;4883777777;5083777777;10240;10228
163;4966741000;4883777777;5083777777;10240;10228
164;4966966000;4883777777;5083777777;10240;10228
165;5007088000;4925444444;5125444444;10240;10228
166;5007310000;4925444444;5125444444;10240;10228
167;5007330000;4925444444;5125444444;10240;10228
168;5007447000;4925444444;5125444444;10240;10228
169;5007660000;4925444444;5125444444;10240;10228
170;5007740000;4925444444;5125444444;10240;10228
171;5007905000;4925444444;5125444444;10240;10228
172;5007925000;4925444444;5125444444;10240;10228
173;5008106000;4925444444;5125444444;10240;10228
174;5008277000;4925444444;5125444444;10240;10228
175;5008286000;4925444444;5125444444;10240;10228
176;5048717000;4967177777;5167177777;10240;10228
177;5048924000;4967177777;5167177777;10240;10228
178;5048936000;4967177777;5167177777;10240;10228
179;5049122000;4967177777;5167177777;10240;10228
180;5049321000;4967177777;5167177777;10240;10228
181;5049330000;4967177777;5167177777;10240;10228
182;5049486000;4967177777;5167177777;10240;10228
183;5049736000;4967177777;5167177777;10240;10228
184;5049757000;4967177777;5167177777;10240;10228
185;5049934000;4967177777;5167177777;10240;10228
186;5049953000;4967177777;5167177777;10240;10228
187;5090417000;5008711111;5208711111;10240;10228
188;5090638000;5008711111;5208711111;10240;10228
189;5090659000;5008711111;5208711111;10240;10228
190;5090818000;5008711111;5208711111;10240;10228
191;5091022000;5008711111;5208711111;10240;10228
192;5091031000;5008711111;5208711111;10240;10228
193;5091234000;5008711111;5208711111;10240;10228
194;5091243000;5008711111;5208711111;10240;10228
195;5091424000;5008711111;5208711111;10240;10228
196;5091635000;5008711111;5208711111;10240;10228
197;5091645000;5008711111;5208711111;10240;10228
198;5132372000;5050422222;5250422222;10240;10228
199;5132384000;5050422222;5250422222;10240;10228
200;5132651000;5050422222;5250422222;10240;10228
201;5132663000;5050422222;5250422222;10240;10228
202;5132908000;5050422222;5250422222;10240;10228
203;5132920000;5050422222;5250422222;10240;10228
204;5133145000;5050422222;5250422222;10240;10228
205;5133157000;5050422222;5250422222;10240;10228
206;5133394000;5050422222;5250422222;10240;10228
207;5133404000;5050422222;5250422222;10240;10228
208;5133413000;5050422222;5250422222;10240;10228
209;5173747000;5092033333;5292033333;10240;10228
210;5173935000;5092033333;5292033333;10240;10228
211;5173956000;5092033333;5292033333;10240;10228
212;5174139000;5092033333;5292033333;10240;10228
213;5174340000;5092033333;5292033333;10240;10228
214;5174350000;5092033333;5292033333;10240;10228
215;5174506000;5092033333;5292033333;10240;10228
216;5174754000;5092033333;5292033333;10240;10228
217;5174774000;5092033333;5292033333;10240;10228
218;5174947000;5092033333;5292033333;10240;10228
219;5174968000;5092033333;5292033333;10240;10228
220;5215376000;5133755555;5333755555;10240;10228
221;5215577000;5133755555;5333755555;10240;10228
222;5215597000;5133755555;5333755555;10240;10228
223;5215779000;5133755555;5333755555;10240;10228
224;5215982000;5133755555;5333755555;10240;10228
225;5216000000;5133755555;5333755555;10240;10228
226;5216196000;5133755555;5333755555;10240;10228
227;5216205000;5133755555;5333755555;10240;10228
228;5216388000;5133755555;5333755555;10240;10228
229;5216585000;5133755555;5333755555;10240;10228
231;5257034000;5175422222;5375422222;10240;10228
232;5257240000;5175422222;5375422222;10240;10228
233;5257251000;5175422222;5375422222;10240;10228
234;5257406000;5175422222;5375422222;10240;10228
235;5257654000;5175422222;5375422222;10240;10228
236;5257664000;5175422222;5375422222;10240;10228
237;5257852000;5175422222;5375422222;10240;10228
238;5257872000;5175422222;5375422222;10240;10228
239;5258066000;5175422222;5375422222;10240;10228
240;5258264000;5175422222;5375422222;10240;10228
241;5258274000;5175422222;5375422222;10240;10228
242;5299026000;5217033333;5417033333;10240;10228
243;5299040000;5217033333;5417033333;10240;10228
244;5299240000;5217033333;5417033333;10240;10228
245;5299251000;5217033333;5417033333;10240;10228
247;5299488000;5217033333;5417033333;10240;10228
248;5299498000;5217033333;5417033333;10240;10228
249;5299750000;5217033333;5417033333;10240;10228
250;5299765000;5217033333;5417033333;10240;10228
251;5300001000;5217033333;5417033333;10240;10228
252;5300016000;5217033333;5417033333;10240;10228
253;5340694000;5258733333;5458733333;10240;10228
254;5340709000;5258733333;5458733333;10240;10228
255;5340938000;5258733333;5458733333;10240;10228
256;5340953000;5258733333;5458733333;10240;10228
257;5341179000;5258733333;5458733333;10240;10228
258;5341190000;5258733333;5458733333;10240;10228
259;5341429000;5258733333;5458733333;10240;10228
260;5341440000;5258733333;5458733333;10240;10228
261;5341687000;5258733333;5458733333;10240;10228
262;5341697000;5258733333;5458733333;10240;10228
263;5341927000;5258733333;5458733333;10240;10228
246;5380468000;5217033333;5417033333;10240;10228
264;5382498000;5300422222;5500422222;10240;10228
265;5382538000;5300422222;5500422222;10240;10228
266;5382554000;5300422222;5500422222;10240;10228
267;5382744000;5300422222;5500422222;10240;10228
268;5382758000;5300422222;5500422222;10240;10228
269;5382989000;5300422222;5500422222;10240;10228
270;5383003000;5300422222;5500422222;10240;10228
271;5383235000;5300422222;5500422222;10240;10228
272;5383245000;5300422222;5500422222;10240;10228
273;5383488000;5300422222;5500422222;10240;10228
274;5383500000;5300422222;5500422222;10240;10228
275;5424063000;5342144444;5542144444;10240;10228
276;5424076000;5342144444;5542144444;10240;10228
277;5424300000;5342144444;5542144444;10240;10228
278;5424308000;5342144444;5542144444;10240;10228
279;5424612000;5342144444;5542144444;10240;10228
280;5424630000;5342144444;5542144444;10240;10228
281;5424821000;5342144444;5542144444;10240;10228
282;5424833000;5342144444;5542144444;10240;10228
283;5425089000;5342144444;5542144444;10240;10228
284;5425102000;5342144444;5542144444;10240;10228
285;5425109000;5342144444;5542144444;10240;10228
286;5465358000;5383755555;5583755555;10240;10228
287;5465566000;5383755555;5583755555;10240;10228
288;5465578000;5383755555;5583755555;10240;10228
289;5465773000;5383755555;5583755555;10240;10228
290;5465978000;5383755555;5583755555;10240;10228
291;5465997000;5383755555;5583755555;10240;10228
292;5466192000;5383755555;5583755555;10240;10228
293;5466201000;5383755555;5583755555;10240;10228
294;5466385000;5383755555;5583755555;10240;10228
295;5466599000;5383755555;5583755555;10240;10228
296;5466623000;5383755555;5583755555;10240;10228
297;5507038000;5425388888;5625388888;10240;10228
298;5507241000;5425388888;5625388888;10240;10228
299;5507261000;5425388888;5625388888;10240;10228
300;5507435000;5425388888;5625388888;10240;10228
301;5507650000;5425388888;5625388888;10240;10228
