seqnum;now;rtptime;deadline
34;5542720000;5357777777;5557777777
35;5542724000;5357777777;5557777777
36;5542726000;5357777777;5557777777
37;5542729000;5357777777;5557777777
38;5542730000;5357777777;5557777777
39;5542733000;5357777777;5557777777
40;5542735000;5357777777;5557777777
41;5542737000;5357777777;5557777777
42;5542739000;5357777777;5557777777
43;5583590000;5357777777;5557777777
44;5583610000;5399455555;5599455555
45;5583611000;5399455555;5599455555
46;5583614000;5399455555;5599455555
47;5583615000;5399455555;5599455555
48;5583617000;5399455555;5599455555
49;5583618000;5399455555;5599455555
50;5583620000;5399455555;5599455555
51;5583630000;5399455555;5599455555
52;5583631000;5399455555;5599455555
53;5583633000;5399455555;5599455555
54;5625244000;5399455555;5599455555
55;5625264000;5441100000;5641100000
56;5625265000;5441100000;5641100000
57;5625267000;5441100000;5641100000
58;5625269000;5441100000;5641100000
59;5625270000;5441100000;5641100000
60;5625272000;5441100000;5641100000
61;5625273000;5441100000;5641100000
62;5625275000;5441100000;5641100000
63;5625276000;5441100000;5641100000
64;5625278000;5441100000;5641100000
65;5666905000;5441100000;5641100000
66;5666923000;5482800000;5682800000
67;5666925000;5482800000;5682800000
68;5666927000;5482800000;5682800000
69;5666928000;5482800000;5682800000
70;5666939000;5482800000;5682800000
71;5666940000;5482800000;5682800000
72;5666942000;5482800000;5682800000
73;5666943000;5482800000;5682800000
74;5666944000;5482800000;5682800000
75;5666946000;5482800000;5682800000
76;5708529000;5482800000;5682800000
77;5708535000;5524544444;5724544444
78;5708537000;5524544444;5724544444
79;5708539000;5524544444;5724544444
80;5708540000;5524544444;5724544444
81;5708541000;5524544444;5724544444
82;5708542000;5524544444;5724544444
83;5708553000;5524544444;5724544444
84;5708554000;5524544444;5724544444
85;5708556000;5524544444;5724544444
86;5708557000;5524544444;5724544444
87;5750326000;5524544444;5724544444
88;5750332000;5566244444;5766244444
89;5750333000;5566244444;5766244444
90;5750334000;5566244444;5766244444
91;5750336000;5566244444;5766244444
92;5750337000;5566244444;5766244444
93;5750337000;5566244444;5766244444
94;5750339000;5566244444;5766244444
95;5750339000;5566244444;5766244444
96;5750341000;5566244444;5766244444
97;5750342000;5566244444;5766244444
98;5791993000;5566244444;5766244444
99;5792013000;5607822222;5807822222
100;5792024000;5607822222;5807822222
101;5792026000;5607822222;5807822222
102;5792028000;5607822222;5807822222
103;5792031000;5607822222;5807822222
104;5792033000;5607822222;5807822222
105;5792034000;5607822222;5807822222
106;5792036000;5607822222;5807822222
107;5792038000;5607822222;5807822222
108;5792040000;5607822222;5807822222
109;5833589000;5607822222;5807822222
110;5833596000;5649466666;5849466666
111;5833597000;5649466666;5849466666
112;5833598000;5649466666;5849466666
113;5833600000;5649466666;5849466666
114;5833601000;5649466666;5849466666
115;5833602000;5649466666;5849466666
116;5833604000;5649466666;5849466666
117;5833605000;5649466666;5849466666
118;5833606000;5649466666;5849466666
119;5833607000;5649466666;5849466666
120;5875250000;5649466666;5849466666
121;5875256000;5691166666;5891166666
122;5875257000;5691166666;5891166666
123;5875258000;5691166666;5891166666
124;5875259000;5691166666;5891166666
125;5875260000;5691166666;5891166666
126;5875261000;5691166666;5891166666
127;5875263000;5691166666;5891166666
128;5875264000;5691166666;5891166666
129;5875265000;5691166666;5891166666
130;5875266000;5691166666;5891166666
131;5916946000;5691166666;5891166666
132;5916952000;5732788888;5932788888
133;5916953000;5732788888;5932788888
134;5916954000;5732788888;5932788888
135;5916955000;5732788888;5932788888
136;5916956000;5732788888;5932788888
137;5916957000;5732788888;5932788888
138;5916958000;5732788888;5932788888
139;5916959000;5732788888;5932788888
140;5916960000;5732788888;5932788888
141;5916961000;5732788888;5932788888
142;5958544000;5732788888;5932788888
143;5958549000;5774455555;5974455555
144;5958551000;5774455555;5974455555
145;5958552000;5774455555;5974455555
146;5958575000;5774455555;5974455555
147;5958576000;5774455555;5974455555
148;5958577000;5774455555;5974455555
149;5958578000;5774455555;5974455555
150;5958578000;5774455555;5974455555
151;5958580000;5774455555;5974455555
152;5958581000;5774455555;5974455555
153;6000223000;5774455555;5974455555
154;6000229000;5816188888;6016188888
155;6000230000;5816188888;6016188888
156;6000231000;5816188888;6016188888
157;6000232000;5816188888;6016188888
158;6000233000;5816188888;6016188888
159;6000234000;5816188888;6016188888
160;6000235000;5816188888;6016188888
161;6000236000;5816188888;6016188888
162;6000237000;5816188888;6016188888
163;6000238000;5816188888;6016188888
168;6083608000;5857811111;6057811111
176;6125255000;5899466666;6099466666
184;6125267000;5899466666;6099466666
185;6125268000;5899466666;6099466666
186;6125375000;5899466666;6099466666
187;6125381000;5941166666;6141166666
188;6125382000;5941166666;6141166666
189;6125383000;5941166666;6141166666
190;6125384000;5941166666;6141166666
191;6125385000;5941166666;6141166666
192;6125386000;5941166666;6141166666
193;6125387000;5941166666;6141166666
194;6125388000;5941166666;6141166666
195;6125389000;5941166666;6141166666
196;6125390000;5941166666;6141166666
197;6166933000;5941166666;6141166666
198;6166939000;5982788888;6182788888
199;6166940000;5982788888;6182788888
202;6167777000;5982788888;6182788888
203;6167781000;5982788888;6182788888
204;6167792000;5982788888;6182788888
205;6167793000;5982788888;6182788888
206;6167794000;5982788888;6182788888
207;6167795000;5982788888;6182788888
208;6208587000;5982788888;6182788888
209;6208592000;6024511111;6224511111
210;6208594000;6024511111;6224511111
211;6208595000;6024511111;6224511111
212;6208596000;6024511111;6224511111
213;6208597000;6024511111;6224511111
214;6208598000;6024511111;6224511111
215;6208599000;6024511111;6224511111
216;6208600000;6024511111;6224511111
217;6208600000;6024511111;6224511111
218;6208601000;6024511111;6224511111
219;6250278000;6024511111;6224511111
222;6250973000;6066188888;6266188888
223;6250975000;6066188888;6266188888
224;6250976000;6066188888;6266188888
225;6250977000;6066188888;6266188888
226;6250978000;6066188888;6266188888
227;6250989000;6066188888;6266188888
228;6250990000;6066188888;6266188888
229;6250991000;6066188888;6266188888
230;6291952000;6066188888;6266188888
233;6292623000;6107800000;6307800000
234;6292635000;6107800000;6307800000
235;6292636000;6107800000;6307800000
236;6292637000;6107800000;6307800000
237;6292638000;6107800000;6307800000
238;6292639000;6107800000;6307800000
239;6292639000;6107800000;6307800000
240;6292640000;6107800000;6307800000
241;6333563000;6107800000;6307800000
242;6333587000;6149477777;6349477777
243;6333599000;6149477777;6349477777
244;6333600000;6149477777;6349477777
245;6333601000;6149477777;6349477777
246;6333602000;6149477777;6349477777
247;6333603000;6149477777;6349477777
248;6333604000;6149477777;6349477777
249;6333605000;6149477777;6349477777
250;6333606000;6149477777;6349477777
251;6333607000;6149477777;6349477777
252;6375245000;6149477777;6349477777
253;6375251000;6191166666;6391166666
254;6375252000;6191166666;6391166666
255;6375253000;6191166666;6391166666
256;6375254000;6191166666;6391166666
257;6375255000;6191166666;6391166666
258;6375256000;6191166666;6391166666
259;6375257000;6191166666;6391166666
260;6375258000;6191166666;6391166666
261;6375259000;6191166666;6391166666
262;6375260000;6191166666;6391166666
263;6416931000;6191166666;6391166666
264;6416936000;6232811111;6432811111
265;6416938000;6232811111;6432811111
266;6416939000;6232811111;6432811111
267;6416940000;6232811111;6432811111
268;6416941000;6232811111;6432811111
269;6416942000;6232811111;6432811111
270;6416943000;6232811111;6432811111
271;6416944000;6232811111;6432811111
272;6416944000;6232811111;6432811111
273;6416945000;6232811111;6432811111
274;6458526000;6232811111;6432811111
275;6458542000;6274477777;6474477777
276;6458544000;6274477777;6474477777
277;6458545000;6274477777;6474477777
278;6458547000;6274477777;6474477777
279;6458548000;6274477777;6474477777
280;6458550000;6274477777;6474477777
281;6458560000;6274477777;6474477777
282;6458561000;6274477777;6474477777
