seqnum;now;rtptime;deadline;packet_len;payload_len
56;8290951000;8098255555;8298255555;10240;10228
57;8291150000;8098255555;8298255555;10240;10228
55;8291266000;8098255555;8298255555;10240;10228
60;8291288000;8098255555;8298255555;10240;10228
61;8291300000;8098255555;8298255555;10240;10228
59;8291486000;8098255555;8298255555;10240;10228
62;8291495000;8098255555;8298255555;10240;10228
64;8291501000;8098255555;8298255555;10240;10228
65;8291508000;8098255555;8298255555;10240;10228
68;8291764000;8139955555;8339955555;10240;10228
69;8291775000;8139955555;8339955555;10240;10228
63;8291780000;8098255555;8298255555;10240;10228
66;8291786000;8139955555;8339955555;10240;10228
67;8291791000;8139955555;8339955555;10240;10228
72;8291962000;8139955555;8339955555;10240;10228
73;8291983000;8139955555;8339955555;10240;10228
70;8291996000;8139955555;8339955555;10240;10228
71;8292008000;8139955555;8339955555;10240;10228
76;8292115000;8139955555;8339955555;10240;10228
74;8292265000;8139955555;8339955555;10240;10228
75;8292276000;8139955555;8339955555;10240;10228
77;8303664000;8181611111;8381611111;10240;10228
78;8303699000;8181611111;8381611111;10240;10228
79;8303850000;8181611111;8381611111;10240;10228
80;8304130000;8181611111;8381611111;10240;10228
81;8304145000;8181611111;8381611111;10240;10228
82;8304160000;8181611111;8381611111;10240;10228
83;8304375000;8181611111;8381611111;10240;10228
84;8304385000;8181611111;8381611111;10240;10228
85;8304606000;8181611111;8381611111;10240;10228
86;8304705000;8181611111;8381611111;10240;10228
87;8304822000;8181611111;8381611111;10240;10228
88;8345309000;8223344444;8423344444;10240;10228
89;8345325000;8223344444;8423344444;10240;10228
90;8345621000;8223344444;8423344444;10240;10228
91;8345631000;8223344444;8423344444;10240;10228
92;8345800000;8223344444;8423344444;10240;10228
93;8345810000;8223344444;8423344444;10240;10228
94;8346052000;8223344444;8423344444;10240;10228
95;8346072000;8223344444;8423344444;10240;10228
97;8346332000;8223344444;8423344444;10240;10228
98;8346359000;8223344444;8423344444;10240;10228
99;8386965000;8264955555;8464955555;10240;10228
100;8386995000;8264955555;8464955555;10240;10228
101;8387218000;8264955555;8464955555;10240;10228
102;8387229000;8264955555;8464955555;10240;10228
103;8387488000;8264955555;8464955555;10240;10228
104;8387500000;8264955555;8464955555;10240;10228
105;8387726000;8264955555;8464955555;10240;10228
106;8387739000;8264955555;8464955555;10240;10228
107;8387978000;8264955555;8464955555;10240;10228
108;8387989000;8264955555;8464955555;10240;10228
109;8387993000;8264955555;8464955555;10240;10228
110;8428633000;8306588888;8506588888;10240;10228
111;8428642000;8306588888;8506588888;10240;10228
112;8428874000;8306588888;8506588888;10240;10228
113;8428884000;8306588888;8506588888;10240;10228
114;8429145000;8306588888;8506588888;10240;10228
115;8429165000;8306588888;8506588888;10240;10228
116;8429335000;8306588888;8506588888;10240;10228
117;8429356000;8306588888;8506588888;10240;10228
118;8429584000;8306588888;8506588888;10240;10228
119;8429667000;8306588888;8506588888;10240;10228
120;8429875000;8306588888;8506588888;10240;10228
121;8470027000;8348311111;8548311111;10240;10228
122;8470187000;8348311111;8548311111;10240;10228
123;8470377000;8348311111;8548311111;10240;10228
124;8470387000;8348311111;8548311111;10240;10228
125;8470591000;8348311111;8548311111;10240;10228
126;8470617000;8348311111;8548311111;10240;10228
127;8470793000;8348311111;8548311111;10240;10228
128;8470815000;8348311111;8548311111;10240;10228
129;8471006000;8348311111;8548311111;10240;10228
130;8471199000;8348311111;8548311111;10240;10228
131;8471219000;8348311111;8548311111;10240;10228
132;8511626000;8389955555;8589955555;10240;10228
133;8511822000;8389955555;8589955555;10240;10228
134;8511846000;8389955555;8589955555;10240;10228
135;8512023000;8389955555;8589955555;10240;10228
136;8512226000;8389955555;8589955555;10240;10228
137;8512246000;8389955555;8589955555;10240;10228
138;8512421000;8389955555;8589955555;10240;10228
