seqnum;now;rtptime;deadline
88;6754918000;6496688888;6696688888
89;6754922000;6496688888;6696688888
90;6754923000;6496688888;6696688888
91;6754924000;6496688888;6696688888
92;6754926000;6496688888;6696688888
93;6754927000;6496688888;6696688888
94;6754929000;6496688888;6696688888
95;6754931000;6496688888;6696688888
96;6754933000;6496688888;6696688888
97;6754934000;6496688888;6696688888
98;6755518000;6496688888;6696688888
99;6755533000;6538333333;6738333333
100;6755535000;6538333333;6738333333
101;6755536000;6538333333;6738333333
102;6755538000;6538333333;6738333333
103;6755539000;6538333333;6738333333
104;6755540000;6538333333;6738333333
105;6755542000;6538333333;6738333333
106;6755543000;6538333333;6738333333
107;6755544000;6538333333;6738333333
108;6755545000;6538333333;6738333333
109;6796215000;6538333333;6738333333
110;6796220000;6580055555;6780055555
111;6796221000;6580055555;6780055555
112;6796223000;6580055555;6780055555
113;6796223000;6580055555;6780055555
114;6796224000;6580055555;6780055555
115;6796226000;6580055555;6780055555
116;6796226000;6580055555;6780055555
117;6796227000;6580055555;6780055555
118;6796228000;6580055555;6780055555
119;6796229000;6580055555;6780055555
120;6837994000;6580055555;6780055555
121;6838009000;6621744444;6821744444
122;6838011000;6621744444;6821744444
123;6838012000;6621744444;6821744444
124;6838014000;6621744444;6821744444
125;6838024000;6621744444;6821744444
126;6838025000;6621744444;6821744444
127;6838027000;6621744444;6821744444
128;6838028000;6621744444;6821744444
129;6838030000;6621744444;6821744444
130;6838031000;6621744444;6821744444
131;6879669000;6621744444;6821744444
132;6879675000;6663433333;6863433333
133;6879677000;6663433333;6863433333
134;6879678000;6663433333;6863433333
143;6963195000;6704955555;6904955555
144;6963198000;6704955555;6904955555
145;6963199000;6704955555;6904955555
146;6963200000;6704955555;6904955555
147;6963201000;6704955555;6904955555
148;6963202000;6704955555;6904955555
149;6963203000;6704955555;6904955555
150;6963204000;6704955555;6904955555
151;6963205000;6704955555;6904955555
152;6963206000;6704955555;6904955555
153;6963219000;6704955555;6904955555
154;6963220000;6746644444;6946644444
155;6963232000;6746644444;6946644444
156;6963233000;6746644444;6946644444
157;6963233000;6746644444;6946644444
158;6963234000;6746644444;6946644444
159;6963236000;6746644444;6946644444
160;6963236000;6746644444;6946644444
161;6963237000;6746644444;6946644444
162;6963238000;6746644444;6946644444
163;6963239000;6746644444;6946644444
164;7004543000;6746644444;6946644444
165;7004558000;6788444444;6988444444
166;7004559000;6788444444;6988444444
167;7004560000;6788444444;6988444444
168;7004561000;6788444444;6988444444
169;7004562000;6788444444;6988444444
170;7004563000;6788444444;6988444444
171;7004564000;6788444444;6988444444
172;7004565000;6788444444;6988444444
173;7004566000;6788444444;6988444444
174;7004567000;6788444444;6988444444
175;7046346000;6788444444;6988444444
176;7046352000;6830100000;7030100000
177;7046353000;6830100000;7030100000
178;7046354000;6830100000;7030100000
179;7046355000;6830100000;7030100000
180;7046356000;6830100000;7030100000
181;7046357000;6830100000;7030100000
182;7046358000;6830100000;7030100000
183;7046359000;6830100000;7030100000
184;7046360000;6830100000;7030100000
185;7046360000;6830100000;7030100000
