seqnum;now;rtptime;deadline;packet_len;payload_len
1;4130167000;4039288888;4239288888;10240;10228
2;4130288000;4039288888;4239288888;10240;10228
0;4130451000;4039288888;4239288888;10240;10228
3;4130480000;4039288888;4239288888;10240;10228
5;4130578000;4039288888;4239288888;10240;10228
6;4130588000;4039288888;4239288888;10240;10228
4;4130723000;4039288888;4239288888;10240;10228
7;4130737000;4039288888;4239288888;10240;10228
9;4130741000;4039288888;4239288888;10240;10228
10;4130748000;4039288888;4239288888;10240;10228
8;4130971000;4039288888;4239288888;10240;10228
12;4132627000;4070866666;4270866666;10240;10228
14;4132803000;4070866666;4270866666;10240;10228
16;4132823000;4070866666;4270866666;10240;10228
11;4132935000;4070866666;4270866666;10240;10228
13;4132957000;4070866666;4270866666;10240;10228
18;4132975000;4070866666;4270866666;10240;10228
15;4133209000;4070866666;4270866666;10240;10228
17;4133230000;4070866666;4270866666;10240;10228
20;4133234000;4070866666;4270866666;10240;10228
19;4133433000;4070866666;4270866666;10240;10228
21;4133442000;4070866666;4270866666;10240;10228
22;4174277000;4112622222;4312622222;10240;10228
24;4174428000;4112622222;4312622222;10240;10228
23;4174593000;4112622222;4312622222;10240;10228
25;4174605000;4112622222;4312622222;10240;10228
26;4174619000;4112622222;4312622222;10240;10228
28;4174639000;4112622222;4312622222;10240;10228
27;4174834000;4112622222;4312622222;10240;10228
29;4174845000;4112622222;4312622222;10240;10228
30;4174850000;4112622222;4312622222;10240;10228
32;4174854000;4112622222;4312622222;10240;10228
31;4175060000;4112622222;4312622222;10240;10228
34;4215986000;4154211111;4354211111;10240;10228
36;4216152000;4154211111;4354211111;10240;10228
38;4216161000;4154211111;4354211111;10240;10228
33;4216263000;4154211111;4354211111;10240;10228
35;4216282000;4154211111;4354211111;10240;10228
40;4216313000;4154211111;4354211111;10240;10228
37;4216532000;4154211111;4354211111;10240;10228
39;4216555000;4154211111;4354211111;10240;10228
42;4216569000;4154211111;4354211111;10240;10228
41;4216765000;4154211111;4354211111;10240;10228
43;4216784000;4154211111;4354211111;10240;10228
44;4257634000;4195900000;4395900000;10240;10228
46;4257777000;4195900000;4395900000;10240;10228
45;4257924000;4195900000;4395900000;10240;10228
47;4257950000;4195900000;4395900000;10240;10228
48;4257955000;4195900000;4395900000;10240;10228
50;4257977000;4195900000;4395900000;10240;10228
49;4258151000;4195900000;4395900000;10240;10228
51;4258163000;4195900000;4395900000;10240;10228
52;4258168000;4195900000;4395900000;10240;10228
54;4258173000;4195900000;4395900000;10240;10228
53;4258391000;4195900000;4395900000;10240;10228
56;4299317000;4237511111;4437511111;10240;10228
58;4299472000;4237511111;4437511111;10240;10228
60;4299503000;4237511111;4437511111;10240;10228
55;4299624000;4237511111;4437511111;10240;10228
57;4299637000;4237511111;4437511111;10240;10228
62;4299657000;4237511111;4437511111;10240;10228
59;4299858000;4237511111;4437511111;10240;10228
61;4299881000;4237511111;4437511111;10240;10228
64;4299900000;4237511111;4437511111;10240;10228
63;4300108000;4237511111;4437511111;10240;10228
65;4300131000;4237511111;4437511111;10240;10228
66;4340958000;4279211111;4479211111;10240;10228
68;4341130000;4279211111;4479211111;10240;10228
70;4341155000;4279211111;4479211111;10240;10228
67;4341278000;4279211111;4479211111;10240;10228
69;4341308000;4279211111;4479211111;10240;10228
76;4341325000;4279211111;4479211111;10240;10228
71;4341499000;4279211111;4479211111;10240;10228
73;4341550000;4279211111;4479211111;10240;10228
75;4341754000;4279211111;4479211111;10240;10228
78;4382583000;4320900000;4520900000;10240;10228
80;4382791000;4320900000;4520900000;10240;10228
82;4382802000;4320900000;4520900000;10240;10228
77;4382907000;4320900000;4520900000;10240;10228
79;4382928000;4320900000;4520900000;10240;10228
84;4382997000;4320900000;4520900000;10240;10228
81;4383185000;4320900000;4520900000;10240;10228
83;4383196000;4320900000;4520900000;10240;10228
86;4383201000;4320900000;4520900000;10240;10228
85;4383408000;4320900000;4520900000;10240;10228
87;4383438000;4320900000;4520900000;10240;10228
72;4423600000;4279211111;4479211111;10240;10228
74;4423609000;4279211111;4479211111;10240;10228
88;4424249000;4362566666;4562566666;10240;10228
90;4424450000;4362566666;4562566666;10240;10228
92;4424462000;4362566666;4562566666;10240;10228
89;4424596000;4362566666;4562566666;10240;10228
91;4424608000;4362566666;4562566666;10240;10228
94;4424627000;4362566666;4562566666;10240;10228
93;4424869000;4362566666;4562566666;10240;10228
95;4424880000;4362566666;4562566666;10240;10228
96;4424884000;4362566666;4562566666;10240;10228
98;4424888000;4362566666;4562566666;10240;10228
97;4425079000;4362566666;4562566666;10240;10228
100;4465966000;4404200000;4604200000;10240;10228
102;4466159000;4404200000;4604200000;10240;10228
104;4466193000;4404200000;4604200000;10240;10228
99;4466253000;4404200000;4604200000;10240;10228
106;4466368000;4404200000;4604200000;10240;10228
101;4466530000;4404200000;4604200000;10240;10228
103;4466556000;4404200000;4604200000;10240;10228
105;4466560000;4404200000;4604200000;10240;10228
108;4466573000;4404200000;4604200000;10240;10228
107;4466761000;4404200000;4604200000;10240;10228
109;4466780000;4404200000;4604200000;10240;10228
110;4507582000;4445811111;4645811111;10240;10228
112;4507780000;4445811111;4645811111;10240;10228
114;4507792000;4445811111;4645811111;10240;10228
111;4507900000;4445811111;4645811111;10240;10228
113;4507925000;4445811111;4645811111;10240;10228
116;4508004000;4445811111;4645811111;10240;10228
115;4508180000;4445811111;4645811111;10240;10228
117;4508204000;4445811111;4645811111;10240;10228
118;4508209000;4445811111;4645811111;10240;10228
120;4508213000;4445811111;4645811111;10240;10228
119;4508403000;4445811111;4645811111;10240;10228
122;4549254000;4487500000;4687500000;10240;10228
124;4549481000;4487500000;4687500000;10240;10228
126;4549495000;4487500000;4687500000;10240;10228
121;4549599000;4487500000;4687500000;10240;10228
128;4549665000;4487500000;4687500000;10240;10228
123;4549850000;4487500000;4687500000;10240;10228
125;4549877000;4487500000;4687500000;10240;10228
127;4549882000;4487500000;4687500000;10240;10228
130;4549894000;4487500000;4687500000;10240;10228
129;4550079000;4487500000;4687500000;10240;10228
131;4550103000;4487500000;4687500000;10240;10228
132;4590949000;4529211111;4729211111;10240;10228
134;4591120000;4529211111;4729211111;10240;10228
133;4591253000;4529211111;4729211111;10240;10228
135;4591279000;4529211111;4729211111;10240;10228
136;4591393000;4529211111;4729211111;10240;10228
138;4591402000;4529211111;4729211111;10240;10228
140;4591528000;4529211111;4729211111;10240;10228
142;4591548000;4529211111;4729211111;10240;10228
137;4591562000;4529211111;4729211111;10240;10228
139;4591581000;4529211111;4729211111;10240;10228
141;4591788000;4529211111;4729211111;10240;10228
144;4632566000;4570833333;4770833333;10240;10228
146;4632762000;4570833333;4770833333;10240;10228
143;4632892000;4570833333;4770833333;10240;10228
145;4632921000;4570833333;4770833333;10240;10228
148;4633040000;4570833333;4770833333;10240;10228
150;4633063000;4570833333;4770833333;10240;10228
147;4633206000;4570833333;4770833333;10240;10228
149;4633230000;4570833333;4770833333;10240;10228
152;4633245000;4570833333;4770833333;10240;10228
151;4633423000;4570833333;4770833333;10240;10228
153;4633450000;4570833333;4770833333;10240;10228
154;4674271000;4612522222;4812522222;10240;10228
156;4674472000;4612522222;4812522222;10240;10228
158;4674496000;4612522222;4812522222;10240;10228
155;4674581000;4612522222;4812522222;10240;10228
160;4674726000;4612522222;4812522222;10240;10228
157;4674812000;4612522222;4812522222;10240;10228
159;4674840000;4612522222;4812522222;10240;10228
162;4674856000;4612522222;4812522222;10240;10228
164;4674923000;4612522222;4812522222;10240;10228
161;4675017000;4612522222;4812522222;10240;10228
163;4675044000;4612522222;4812522222;10240;10228
166;4715895000;4654211111;4854211111;10240;10228
170;4716161000;4654211111;4854211111;10240;10228
172;4716180000;4654211111;4854211111;10240;10228
165;4716287000;4654211111;4854211111;10240;10228
167;4716333000;4654211111;4854211111;10240;10228
174;4716338000;4654211111;4854211111;10240;10228
169;4716530000;4654211111;4854211111;10240;10228
171;4716551000;4654211111;4854211111;10240;10228
173;4716779000;4654211111;4854211111;10240;10228
175;4716788000;4654211111;4854211111;10240;10228
168;4756818000;4654211111;4854211111;10240;10228
176;4757575000;4695844444;4895844444;10240;10228
178;4757756000;4695844444;4895844444;10240;10228
180;4757778000;4695844444;4895844444;10240;10228
177;4757899000;4695844444;4895844444;10240;10228
179;4757925000;4695844444;4895844444;10240;10228
182;4757942000;4695844444;4895844444;10240;10228
181;4758145000;4695844444;4895844444;10240;10228
183;4758171000;4695844444;4895844444;10240;10228
184;4758176000;4695844444;4895844444;10240;10228
186;4758191000;4695844444;4895844444;10240;10228
185;4758380000;4695844444;4895844444;10240;10228
188;4799268000;4737466666;4937466666;10240;10228
190;4799488000;4737466666;4937466666;10240;10228
192;4799494000;4737466666;4937466666;10240;10228
187;4799627000;4737466666;4937466666;10240;10228
189;4799653000;4737466666;4937466666;10240;10228
194;4799671000;4737466666;4937466666;10240;10228
191;4799879000;4737466666;4937466666;10240;10228
193;4799908000;4737466666;4937466666;10240;10228
196;4799913000;4737466666;4937466666;10240;10228
195;4800104000;4737466666;4937466666;10240;10228
197;4800129000;4737466666;4937466666;10240;10228
198;4840931000;4779188888;4979188888;10240;10228
200;4841125000;4779188888;4979188888;10240;10228
199;4841253000;4779188888;4979188888;10240;10228
201;4841269000;4779188888;4979188888;10240;10228
202;4841309000;4779188888;4979188888;10240;10228
204;4841317000;4779188888;4979188888;10240;10228
203;4841564000;4779188888;4979188888;10240;10228
205;4841592000;4779188888;4979188888;10240;10228
206;4841598000;4779188888;4979188888;10240;10228
208;4841611000;4779188888;4979188888;10240;10228
207;4841771000;4779188888;4979188888;10240;10228
210;4882570000;4820855555;5020855555;10240;10228
212;4882784000;4820855555;5020855555;10240;10228
214;4882794000;4820855555;5020855555;10240;10228
209;4882902000;4820855555;5020855555;10240;10228
211;4882940000;4820855555;5020855555;10240;10228
216;4882961000;4820855555;5020855555;10240;10228
213;4883173000;4820855555;5020855555;10240;10228
215;4883200000;4820855555;5020855555;10240;10228
218;4883205000;4820855555;5020855555;10240;10228
217;4883397000;4820855555;5020855555;10240;10228
219;4883423000;4820855555;5020855555;10240;10228
220;4924270000;4862511111;5062511111;10240;10228
222;4924472000;4862511111;5062511111;10240;10228
224;4924495000;4862511111;5062511111;10240;10228
221;4924615000;4862511111;5062511111;10240;10228
223;4924641000;4862511111;5062511111;10240;10228
226;4924649000;4862511111;5062511111;10240;10228
225;4924866000;4862511111;5062511111;10240;10228
227;4924893000;4862511111;5062511111;10240;10228
228;4924898000;4862511111;5062511111;10240;10228
230;4924917000;4862511111;5062511111;10240;10228
229;4925096000;4862511111;5062511111;10240;10228
232;4965944000;4904211111;5104211111;10240;10228
234;4966121000;4904211111;5104211111;10240;10228
231;4966252000;4904211111;5104211111;10240;10228
233;4966279000;4904211111;5104211111;10240;10228
236;4966360000;4904211111;5104211111;10240;10228
238;4966385000;4904211111;5104211111;10240;10228
235;4966519000;4904211111;5104211111;10240;10228
237;4966548000;4904211111;5104211111;10240;10228
240;4966562000;4904211111;5104211111;10240;10228
239;4966789000;4904211111;5104211111;10240;10228
241;4966813000;4904211111;5104211111;10240;10228
242;5007579000;4945822222;5145822222;10240;10228
244;5007778000;4945822222;5145822222;10240;10228
246;5007802000;4945822222;5145822222;10240;10228
243;5007918000;4945822222;5145822222;10240;10228
245;5007946000;4945822222;5145822222;10240;10228
248;5007957000;4945822222;5145822222;10240;10228
247;5008172000;4945822222;5145822222;10240;10228
249;5008199000;4945822222;5145822222;10240;10228
250;5008204000;4945822222;5145822222;10240;10228
252;5008213000;4945822222;5145822222;10240;10228
251;5008395000;4945822222;5145822222;10240;10228
254;5049271000;4987511111;5187511111;10240;10228
256;5049445000;4987511111;5187511111;10240;10228
253;5049587000;4987511111;5187511111;10240;10228
255;5049612000;4987511111;5187511111;10240;10228
258;5049699000;4987511111;5187511111;10240;10228
260;5049721000;4987511111;5187511111;10240;10228
257;5049845000;4987511111;5187511111;10240;10228
259;5049884000;4987511111;5187511111;10240;10228
262;5049898000;4987511111;5187511111;10240;10228
261;5050122000;4987511111;5187511111;10240;10228
263;5050145000;4987511111;5187511111;10240;10228
264;5090911000;5029222222;5229222222;10240;10228
266;5091111000;5029222222;5229222222;10240;10228
268;5091134000;5029222222;5229222222;10240;10228
265;5091249000;5029222222;5229222222;10240;10228
267;5091288000;5029222222;5229222222;10240;10228
270;5091293000;5029222222;5229222222;10240;10228
269;5091491000;5029222222;5229222222;10240;10228
271;5091526000;5029222222;5229222222;10240;10228
272;5091532000;5029222222;5229222222;10240;10228
274;5091536000;5029222222;5229222222;10240;10228
273;5091733000;5029222222;5229222222;10240;10228
276;5132572000;5070800000;5270800000;10240;10228
278;5132778000;5070800000;5270800000;10240;10228
280;5132790000;5070800000;5270800000;10240;10228
275;5132892000;5070800000;5270800000;10240;10228
277;5132920000;5070800000;5270800000;10240;10228
282;5133030000;5070800000;5270800000;10240;10228
279;5133178000;5070800000;5270800000;10240;10228
281;5133223000;5070800000;5270800000;10240;10228
284;5133229000;5070800000;5270800000;10240;10228
283;5133395000;5070800000;5270800000;10240;10228
285;5133423000;5070800000;5270800000;10240;10228
286;5174277000;5112500000;5312500000;10240;10228
288;5174478000;5112500000;5312500000;10240;10228
290;5174502000;5112500000;5312500000;10240;10228
287;5174647000;5112500000;5312500000;10240;10228
289;5174684000;5112500000;5312500000;10240;10228
292;5174693000;5112500000;5312500000;10240;10228
291;5174874000;5112500000;5312500000;10240;10228
293;5174899000;5112500000;5312500000;10240;10228
294;5174905000;5112500000;5312500000;10240;10228
296;5174910000;5112500000;5312500000;10240;10228
295;5175083000;5112500000;5312500000;10240;10228
298;5215929000;5154211111;5354211111;10240;10228
300;5216160000;5154211111;5354211111;10240;10228
302;5216180000;5154211111;5354211111;10240;10228
297;5216250000;5154211111;5354211111;10240;10228
304;5216367000;5154211111;5354211111;10240;10228
299;5216488000;5154211111;5354211111;10240;10228
301;5216527000;5154211111;5354211111;10240;10228
303;5216548000;5154211111;5354211111;10240;10228
306;5216559000;5154211111;5354211111;10240;10228
305;5216759000;5154211111;5354211111;10240;10228
307;5216786000;5154211111;5354211111;10240;10228
308;5257576000;5195822222;5395822222;10240;10228
310;5257811000;5195822222;5395822222;10240;10228
312;5257843000;5195822222;5395822222;10240;10228
309;5257920000;5195822222;5395822222;10240;10228
311;5257948000;5195822222;5395822222;10240;10228
314;5257954000;5195822222;5395822222;10240;10228
313;5258105000;5195822222;5395822222;10240;10228
315;5258192000;5195822222;5395822222;10240;10228
316;5258204000;5195822222;5395822222;10240;10228
318;5258208000;5195822222;5395822222;10240;10228
317;5258368000;5195822222;5395822222;10240;10228
320;5299263000;5237511111;5437511111;10240;10228
322;5299484000;5237511111;5437511111;10240;10228
324;5299489000;5237511111;5437511111;10240;10228
319;5299632000;5237511111;5437511111;10240;10228
326;5299738000;5237511111;5437511111;10240;10228
321;5299867000;5237511111;5437511111;10240;10228
323;5299894000;5237511111;5437511111;10240;10228
325;5299904000;5237511111;5437511111;10240;10228
328;5299915000;5237511111;5437511111;10240;10228
327;5300053000;5237511111;5437511111;10240;10228
329;5300080000;5237511111;5437511111;10240;10228
330;5340937000;5279200000;5479200000;10240;10228
332;5341143000;5279200000;5479200000;10240;10228
334;5341164000;5279200000;5479200000;10240;10228
331;5341289000;5279200000;5479200000;10240;10228
333;5341318000;5279200000;5479200000;10240;10228
336;5341332000;5279200000;5479200000;10240;10228
335;5341530000;5279200000;5479200000;10240;10228
337;5341566000;5279200000;5479200000;10240;10228
338;5341571000;5279200000;5479200000;10240;10228
340;5341585000;5279200000;5479200000;10240;10228
339;5341761000;5279200000;5479200000;10240;10228
342;5382572000;5320833333;5520833333;10240;10228
344;5382787000;5320833333;5520833333;10240;10228
346;5382796000;5320833333;5520833333;10240;10228
341;5382904000;5320833333;5520833333;10240;10228
343;5382941000;5320833333;5520833333;10240;10228
348;5382947000;5320833333;5520833333;10240;10228
345;5383172000;5320833333;5520833333;10240;10228
347;5383197000;5320833333;5520833333;10240;10228
350;5383204000;5320833333;5520833333;10240;10228
349;5383400000;5320833333;5520833333;10240;10228
351;5383426000;5320833333;5520833333;10240;10228
352;5424271000;5362511111;5562511111;10240;10228
354;5424476000;5362511111;5562511111;10240;10228
356;5424498000;5362511111;5562511111;10240;10228
355;5424613000;5362511111;5562511111;10240;10228
357;5424624000;5362511111;5562511111;10240;10228
358;5424647000;5362511111;5562511111;10240;10228
359;5424866000;5362511111;5562511111;10240;10228
361;5424877000;5362511111;5562511111;10240;10228
360;5424882000;5362511111;5562511111;10240;10228
362;5424886000;5362511111;5562511111;10240;10228
353;5465642000;5362511111;5562511111;10240;10228
364;5465924000;5404188888;5604188888;10240;10228
366;5466128000;5404188888;5604188888;10240;10228
368;5466146000;5404188888;5604188888;10240;10228
363;5466291000;5404188888;5604188888;10240;10228
365;5466328000;5404188888;5604188888;10240;10228
370;5466353000;5404188888;5604188888;10240;10228
367;5466530000;5404188888;5604188888;10240;10228
369;5466568000;5404188888;5604188888;10240;10228
372;5466573000;5404188888;5604188888;10240;10228
371;5466772000;5404188888;5604188888;10240;10228
373;5466795000;5404188888;5604188888;10240;10228
374;5507565000;5445822222;5645822222;10240;10228
376;5507757000;5445822222;5645822222;10240;10228
375;5507892000;5445822222;5645822222;10240;10228
377;5507919000;5445822222;5645822222;10240;10228
378;5508000000;5445822222;5645822222;10240;10228
380;5508020000;5445822222;5645822222;10240;10228
379;5508213000;5445822222;5645822222;10240;10228
381;5508239000;5445822222;5645822222;10240;10228
382;5508254000;5445822222;5645822222;10240;10228
384;5508258000;5445822222;5645822222;10240;10228
383;5508417000;5445822222;5645822222;10240;10228
386;5549236000;5487477777;5687477777;10240;10228
388;5549466000;5487477777;5687477777;10240;10228
390;5549477000;5487477777;5687477777;10240;10228
385;5549619000;5487477777;5687477777;10240;10228
387;5549647000;5487477777;5687477777;10240;10228
392;5549658000;5487477777;5687477777;10240;10228
389;5549876000;5487477777;5687477777;10240;10228
391;5549903000;5487477777;5687477777;10240;10228
394;5549908000;5487477777;5687477777;10240;10228
393;5550108000;5487477777;5687477777;10240;10228
395;5550142000;5487477777;5687477777;10240;10228
396;5590930000;5529200000;5729200000;10240;10228
398;5591096000;5529200000;5729200000;10240;10228
397;5591232000;5529200000;5729200000;10240;10228
399;5591257000;5529200000;5729200000;10240;10228
400;5591291000;5529200000;5729200000;10240;10228
402;5591310000;5529200000;5729200000;10240;10228
401;5591489000;5529200000;5729200000;10240;10228
403;5591525000;5529200000;5729200000;10240;10228
404;5591531000;5529200000;5729200000;10240;10228
406;5591548000;5529200000;5729200000;10240;10228
405;5591765000;5529200000;5729200000;10240;10228
408;5632616000;5570822222;5770822222;10240;10228
410;5632780000;5570822222;5770822222;10240;10228
412;5632791000;5570822222;5770822222;10240;10228
407;5632903000;5570822222;5770822222;10240;10228
409;5632956000;5570822222;5770822222;10240;10228
414;5632963000;5570822222;5770822222;10240;10228
411;5633173000;5570822222;5770822222;10240;10228
413;5633204000;5570822222;5770822222;10240;10228
416;5633209000;5570822222;5770822222;10240;10228
415;5633396000;5570822222;5770822222;10240;10228
417;5633420000;5570822222;5770822222;10240;10228
418;5674317000;5612500000;5812500000;10240;10228
420;5674448000;5612500000;5812500000;10240;10228
419;5674631000;5612500000;5812500000;10240;10228
421;5674667000;5612500000;5812500000;10240;10228
422;5674689000;5612500000;5812500000;10240;10228
424;5674696000;5612500000;5812500000;10240;10228
423;5674835000;5612500000;5812500000;10240;10228
425;5674870000;5612500000;5812500000;10240;10228
426;5674894000;5612500000;5812500000;10240;10228
427;5675099000;5612500000;5812500000;10240;10228
430;5715965000;5654211111;5854211111;10240;10228
432;5716125000;5654211111;5854211111;10240;10228
434;5716144000;5654211111;5854211111;10240;10228
429;5716287000;5654211111;5854211111;10240;10228
431;5716310000;5654211111;5854211111;10240;10228
436;5716316000;5654211111;5854211111;10240;10228
433;5716531000;5654211111;5854211111;10240;10228
435;5716553000;5654211111;5854211111;10240;10228
438;5716567000;5654211111;5854211111;10240;10228
437;5716767000;5654211111;5854211111;10240;10228
439;5716789000;5654211111;5854211111;10240;10228
428;5756586000;5612500000;5812500000;10240;10228
440;5757687000;5695855555;5895855555;10240;10228
442;5757790000;5695855555;5895855555;10240;10228
441;5757949000;5695855555;5895855555;10240;10228
443;5757982000;5695855555;5895855555;10240;10228
444;5757992000;5695855555;5895855555;10240;10228
446;5757998000;5695855555;5895855555;10240;10228
445;5758168000;5695855555;5895855555;10240;10228
447;5758204000;5695855555;5895855555;10240;10228
448;5758227000;5695855555;5895855555;10240;10228
450;5758233000;5695855555;5895855555;10240;10228
449;5758404000;5695855555;5895855555;10240;10228
452;5799310000;5737477777;5937477777;10240;10228
454;5799454000;5737477777;5937477777;10240;10228
456;5799461000;5737477777;5937477777;10240;10228
451;5799568000;5737477777;5937477777;10240;10228
458;5799681000;5737477777;5937477777;10240;10228
453;5799861000;5737477777;5937477777;10240;10228
455;5799892000;5737477777;5937477777;10240;10228
457;5799899000;5737477777;5937477777;10240;10228
460;5799910000;5737477777;5937477777;10240;10228
459;5800081000;5737477777;5937477777;10240;10228
461;5800119000;5737477777;5937477777;10240;10228
462;5840966000;5779188888;5979188888;10240;10228
464;5841139000;5779188888;5979188888;10240;10228
466;5841164000;5779188888;5979188888;10240;10228
463;5841288000;5779188888;5979188888;10240;10228
465;5841333000;5779188888;5979188888;10240;10228
468;5841351000;5779188888;5979188888;10240;10228
467;5841524000;5779188888;5979188888;10240;10228
469;5841550000;5779188888;5979188888;10240;10228
470;5841556000;5779188888;5979188888;10240;10228
472;5841570000;5779188888;5979188888;10240;10228
471;5841763000;5779188888;5979188888;10240;10228
474;5882554000;5820833333;6020833333;10240;10228
476;5882778000;5820833333;6020833333;10240;10228
478;5882797000;5820833333;6020833333;10240;10228
473;5882954000;5820833333;6020833333;10240;10228
475;5882982000;5820833333;6020833333;10240;10228
480;5882998000;5820833333;6020833333;10240;10228
477;5883184000;5820833333;6020833333;10240;10228
479;5883211000;5820833333;6020833333;10240;10228
482;5883227000;5820833333;6020833333;10240;10228
481;5883402000;5820833333;6020833333;10240;10228
483;5883433000;5820833333;6020833333;10240;10228
484;5924268000;5862522222;6062522222;10240;10228
486;5924472000;5862522222;6062522222;10240;10228
488;5924494000;5862522222;6062522222;10240;10228
485;5924623000;5862522222;6062522222;10240;10228
487;5924661000;5862522222;6062522222;10240;10228
490;5924667000;5862522222;6062522222;10240;10228
489;5924874000;5862522222;6062522222;10240;10228
491;5924903000;5862522222;6062522222;10240;10228
492;5924922000;5862522222;6062522222;10240;10228
494;5924928000;5862522222;6062522222;10240;10228
493;5925111000;5862522222;6062522222;10240;10228
496;5965903000;5904211111;6104211111;10240;10228
498;5966109000;5904211111;6104211111;10240;10228
500;5966128000;5904211111;6104211111;10240;10228
495;5966226000;5904211111;6104211111;10240;10228
497;5966253000;5904211111;6104211111;10240;10228
502;5966342000;5904211111;6104211111;10240;10228
499;5966494000;5904211111;6104211111;10240;10228
501;5966533000;5904211111;6104211111;10240;10228
504;5966578000;5904211111;6104211111;10240;10228
503;5966733000;5904211111;6104211111;10240;10228
505;5966761000;5904211111;6104211111;10240;10228
506;6007575000;5945788888;6145788888;10240;10228
508;6007779000;5945788888;6145788888;10240;10228
510;6007801000;5945788888;6145788888;10240;10228
507;6007923000;5945788888;6145788888;10240;10228
509;6007950000;5945788888;6145788888;10240;10228
512;6007967000;5945788888;6145788888;10240;10228
511;6008170000;5945788888;6145788888;10240;10228
513;6008199000;5945788888;6145788888;10240;10228
514;6008215000;5945788888;6145788888;10240;10228
516;6008235000;5945788888;6145788888;10240;10228
515;6008387000;5945788888;6145788888;10240;10228
518;6049274000;5987500000;6187500000;10240;10228
520;6049491000;5987500000;6187500000;10240;10228
522;6049500000;5987500000;6187500000;10240;10228
517;6049634000;5987500000;6187500000;10240;10228
519;6049668000;5987500000;6187500000;10240;10228
524;6049687000;5987500000;6187500000;10240;10228
521;6049873000;5987500000;6187500000;10240;10228
523;6049903000;5987500000;6187500000;10240;10228
526;6049918000;5987500000;6187500000;10240;10228
525;6050088000;5987500000;6187500000;10240;10228
527;6050124000;5987500000;6187500000;10240;10228
528;6090931000;6029211111;6229211111;10240;10228
530;6091125000;6029211111;6229211111;10240;10228
529;6091241000;6029211111;6229211111;10240;10228
532;6091415000;6029211111;6229211111;10240;10228
534;6091436000;6029211111;6229211111;10240;10228
531;6091567000;6029211111;6229211111;10240;10228
533;6091612000;6029211111;6229211111;10240;10228
535;6091637000;6029211111;6229211111;10240;10228
536;6091651000;6029211111;6229211111;10240;10228
538;6091656000;6029211111;6229211111;10240;10228
537;6091798000;6029211111;6229211111;10240;10228
540;6132568000;6070855555;6270855555;10240;10228
542;6132777000;6070855555;6270855555;10240;10228
544;6132788000;6070855555;6270855555;10240;10228
539;6132891000;6070855555;6270855555;10240;10228
541;6132920000;6070855555;6270855555;10240;10228
546;6133029000;6070855555;6270855555;10240;10228
543;6133160000;6070855555;6270855555;10240;10228
545;6133189000;6070855555;6270855555;10240;10228
548;6133205000;6070855555;6270855555;10240;10228
547;6133390000;6070855555;6270855555;10240;10228
549;6133418000;6070855555;6270855555;10240;10228
550;6174250000;6112511111;6312511111;10240;10228
552;6174448000;6112511111;6312511111;10240;10228
554;6174473000;6112511111;6312511111;10240;10228
551;6174575000;6112511111;6312511111;10240;10228
553;6174615000;6112511111;6312511111;10240;10228
556;6174637000;6112511111;6312511111;10240;10228
555;6174841000;6112511111;6312511111;10240;10228
557;6174871000;6112511111;6312511111;10240;10228
558;6174887000;6112511111;6312511111;10240;10228
560;6174893000;6112511111;6312511111;10240;10228
559;6175061000;6112511111;6312511111;10240;10228
562;6215892000;6154188888;6354188888;10240;10228
564;6216100000;6154188888;6354188888;10240;10228
566;6216111000;6154188888;6354188888;10240;10228
561;6216237000;6154188888;6354188888;10240;10228
563;6216278000;6154188888;6354188888;10240;10228
568;6216285000;6154188888;6354188888;10240;10228
565;6216489000;6154188888;6354188888;10240;10228
567;6216529000;6154188888;6354188888;10240;10228
570;6216555000;6154188888;6354188888;10240;10228
569;6216752000;6154188888;6354188888;10240;10228
571;6216778000;6154188888;6354188888;10240;10228
572;6257577000;6195811111;6395811111;10240;10228
574;6257778000;6195811111;6395811111;10240;10228
576;6257802000;6195811111;6395811111;10240;10228
573;6257917000;6195811111;6395811111;10240;10228
575;6257957000;6195811111;6395811111;10240;10228
578;6257964000;6195811111;6395811111;10240;10228
577;6258165000;6195811111;6395811111;10240;10228
579;6258194000;6195811111;6395811111;10240;10228
580;6258209000;6195811111;6395811111;10240;10228
582;6258223000;6195811111;6395811111;10240;10228
581;6258349000;6195811111;6395811111;10240;10228
584;6299264000;6237500000;6437500000;10240;10228
586;6299469000;6237500000;6437500000;10240;10228
588;6299486000;6237500000;6437500000;10240;10228
