seqnum;now;rtptime;deadline;packet_len;payload_len
33;8582191000;8406333333;8606333333;10240;10228
36;8582356000;8406333333;8606333333;10240;10228
34;8582472000;8406333333;8606333333;10240;10228
35;8582483000;8406333333;8606333333;10240;10228
40;8582504000;8406333333;8606333333;10240;10228
41;8582525000;8406333333;8606333333;10240;10228
38;8582725000;8406333333;8606333333;10240;10228
39;8582735000;8406333333;8606333333;10240;10228
44;8582742000;8447911111;8647911111;10240;10228
45;8582747000;8447911111;8647911111;10240;10228
48;8582960000;8447911111;8647911111;10240;10228
42;8582971000;8406333333;8606333333;10240;10228
43;8582989000;8406333333;8606333333;10240;10228
49;8583150000;8447911111;8647911111;10240;10228
52;8583170000;8447911111;8647911111;10240;10228
46;8583241000;8447911111;8647911111;10240;10228
47;8583252000;8447911111;8647911111;10240;10228
53;8583339000;8447911111;8647911111;10240;10228
50;8583465000;8447911111;8647911111;10240;10228
51;8583485000;8447911111;8647911111;10240;10228
54;8583728000;8447911111;8647911111;10240;10228
55;8591282000;8489555555;8689555555;10240;10228
56;8591442000;8489555555;8689555555;10240;10228
57;8591453000;8489555555;8689555555;10240;10228
58;8591667000;8489555555;8689555555;10240;10228
59;8591858000;8489555555;8689555555;10240;10228
60;8591868000;8489555555;8689555555;10240;10228
63;8592056000;8489555555;8689555555;10240;10228
65;8592077000;8489555555;8689555555;10240;10228
66;8632973000;8531288888;8731288888;10240;10228
67;8633146000;8531288888;8731288888;10240;10228
68;8633319000;8531288888;8731288888;10240;10228
69;8633340000;8531288888;8731288888;10240;10228
70;8633537000;8531288888;8731288888;10240;10228
71;8633560000;8531288888;8731288888;10240;10228
72;8633732000;8531288888;8731288888;10240;10228
73;8633938000;8531288888;8731288888;10240;10228
74;8633948000;8531288888;8731288888;10240;10228
75;8634135000;8531288888;8731288888;10240;10228
76;8634155000;8531288888;8731288888;10240;10228
37;8641083000;8406333333;8606333333;10240;10228
77;8674956000;8573000000;8773000000;10240;10228
78;8674979000;8573000000;8773000000;10240;10228
79;8675143000;8573000000;8773000000;10240;10228
80;8675164000;8573000000;8773000000;10240;10228
81;8675398000;8573000000;8773000000;10240;10228
82;8675409000;8573000000;8773000000;10240;10228
83;8675636000;8573000000;8773000000;10240;10228
84;8675657000;8573000000;8773000000;10240;10228
85;8675894000;8573000000;8773000000;10240;10228
86;8675907000;8573000000;8773000000;10240;10228
87;8676130000;8573000000;8773000000;10240;10228
61;8703151000;8489555555;8689555555;10240;10228
62;8703376000;8489555555;8689555555;10240;10228
88;8716569000;8614611111;8814611111;10240;10228
89;8716587000;8614611111;8814611111;10240;10228
90;8716803000;8614611111;8814611111;10240;10228
91;8716816000;8614611111;8814611111;10240;10228
92;8717057000;8614611111;8814611111;10240;10228
93;8717069000;8614611111;8814611111;10240;10228
