seqnum;now;rtptime;deadline
72;10721167000;10474066666;10674066666
75;10721205000;10474066666;10674066666
76;10777128000;10474066666;10674066666
77;10777144000;10515777777;10715777777
78;10777149000;10515777777;10715777777
79;10777150000;10515777777;10715777777
80;10777151000;10515777777;10715777777
81;10777153000;10515777777;10715777777
82;10777154000;10515777777;10715777777
83;10777155000;10515777777;10715777777
84;10777157000;10515777777;10715777777
85;10777158000;10515777777;10715777777
86;10777159000;10515777777;10715777777
87;10818864000;10515777777;10715777777
98;10860517000;10557488888;10757488888
110;10860524000;10640766666;10840766666
111;10860525000;10640766666;10840766666
112;10860527000;10640766666;10840766666
113;10860528000;10640766666;10840766666
114;10860529000;10640766666;10840766666
115;10860531000;10640766666;10840766666
116;10860532000;10640766666;10840766666
117;10860533000;10640766666;10840766666
118;10860534000;10640766666;10840766666
121;10985689000;10682400000;10882400000
141;11027187000;10724166666;10924166666
152;11068832000;10765822222;10965822222
164;11110482000;10807544444;11007544444
174;11110497000;10849188888;11049188888
175;11152217000;10849188888;11049188888
185;11152223000;10890800000;11090800000
186;11193807000;10890800000;11090800000
195;11193813000;10932466666;11132466666
196;11193815000;10932466666;11132466666
197;11235461000;10932466666;11132466666
206;11235467000;10974133333;11174133333
207;11235468000;10974133333;11174133333
212;11318862000;11015788888;11215788888
231;11402362000;11099144444;11299144444
244;11443622000;11140755555;11340755555
255;11485509000;11182511111;11382511111
269;11527121000;11224144444;11424144444
282;11568789000;11265788888;11465788888
294;11610491000;11307477777;11507477777
304;11652155000;11349144444;11549144444
316;11693787000;11390777777;11590777777
329;11735475000;11432466666;11632466666
341;11735491000;11515800000;11715800000
342;11735492000;11515800000;11715800000
343;11735493000;11515800000;11715800000
344;11735494000;11515800000;11715800000
345;11735496000;11515800000;11715800000
346;11735496000;11515800000;11715800000
347;11735497000;11515800000;11715800000
348;11735498000;11515800000;11715800000
349;11735499000;11515800000;11715800000
350;11735500000;11515800000;11715800000
351;11819015000;11515800000;11715800000
359;11819021000;11557511111;11757511111
362;11860381000;11557511111;11757511111
371;11860387000;11599155555;11799155555
372;11860388000;11599155555;11799155555
375;11943862000;11640766666;11840766666
396;12027417000;11724133333;11924133333
413;12070394000;11765788888;11965788888
424;12110571000;11807500000;12007500000
436;12152246000;11849166666;12049166666
450;12193983000;11890800000;12090800000
462;12194002000;11974133333;12174133333
463;12194004000;11974133333;12174133333
464;12194005000;11974133333;12174133333
467;12221276000;11974133333;12174133333
468;12221279000;11974133333;12174133333
469;12221291000;11974133333;12174133333
470;12221293000;11974133333;12174133333
