seqnum;now;rtptime;deadline;packet_len;payload_len
88;7460884000;7292955555;7492955555;10240;10228
89;7460989000;7292955555;7492955555;10240;10228
90;7461107000;7292955555;7492955555;10240;10228
91;7461116000;7292955555;7492955555;10240;10228
92;7461332000;7292955555;7492955555;10240;10228
93;7461353000;7292955555;7492955555;10240;10228
94;7461638000;7292955555;7492955555;10240;10228
95;7461659000;7292955555;7492955555;10240;10228
96;7461837000;7292955555;7492955555;10240;10228
97;7461849000;7292955555;7492955555;10240;10228
98;7462086000;7292955555;7492955555;10240;10228
99;7476725000;7334600000;7534600000;10240;10228
100;7476746000;7334600000;7534600000;10240;10228
101;7476914000;7334600000;7534600000;10240;10228
102;7476924000;7334600000;7534600000;10240;10228
103;7477165000;7334600000;7534600000;10240;10228
104;7477175000;7334600000;7534600000;10240;10228
105;7477413000;7334600000;7534600000;10240;10228
106;7477436000;7334600000;7534600000;10240;10228
107;7477667000;7334600000;7534600000;10240;10228
108;7477680000;7334600000;7534600000;10240;10228
109;7477915000;7334600000;7534600000;10240;10228
110;7518354000;7376333333;7576333333;10240;10228
111;7518379000;7376333333;7576333333;10240;10228
112;7518628000;7376333333;7576333333;10240;10228
113;7518639000;7376333333;7576333333;10240;10228
114;7518830000;7376333333;7576333333;10240;10228
115;7518840000;7376333333;7576333333;10240;10228
116;7519090000;7376333333;7576333333;10240;10228
117;7519111000;7376333333;7576333333;10240;10228
118;7519297000;7376333333;7576333333;10240;10228
119;7519324000;7376333333;7576333333;10240;10228
120;7519602000;7376333333;7576333333;10240;10228
121;7559996000;7418022222;7618022222;10240;10228
122;7560007000;7418022222;7618022222;10240;10228
123;7560239000;7418022222;7618022222;10240;10228
124;7560259000;7418022222;7618022222;10240;10228
125;7560509000;7418022222;7618022222;10240;10228
126;7560545000;7418022222;7618022222;10240;10228
127;7560735000;7418022222;7618022222;10240;10228
128;7560746000;7418022222;7618022222;10240;10228
129;7560990000;7418022222;7618022222;10240;10228
130;7561000000;7418022222;7618022222;10240;10228
131;7561240000;7418022222;7618022222;10240;10228
132;7601618000;7459677777;7659677777;10240;10228
133;7601630000;7459677777;7659677777;10240;10228
134;7601889000;7459677777;7659677777;10240;10228
135;7601900000;7459677777;7659677777;10240;10228
136;7602132000;7459677777;7659677777;10240;10228
137;7602142000;7459677777;7659677777;10240;10228
138;7602371000;7459677777;7659677777;10240;10228
139;7602392000;7459677777;7659677777;10240;10228
140;7602653000;7459677777;7659677777;10240;10228
141;7602665000;7459677777;7659677777;10240;10228
142;7602902000;7459677777;7659677777;10240;10228
143;7643311000;7501322222;7701322222;10240;10228
144;7643336000;7501322222;7701322222;10240;10228
145;7643575000;7501322222;7701322222;10240;10228
146;7643595000;7501322222;7701322222;10240;10228
147;7643801000;7501322222;7701322222;10240;10228
148;7643813000;7501322222;7701322222;10240;10228
149;7644047000;7501322222;7701322222;10240;10228
150;7644057000;7501322222;7701322222;10240;10228
151;7644263000;7501322222;7701322222;10240;10228
152;7644283000;7501322222;7701322222;10240;10228
153;7644572000;7501322222;7701322222;10240;10228
154;7684972000;7543011111;7743011111;10240;10228
155;7684991000;7543011111;7743011111;10240;10228
156;7685224000;7543011111;7743011111;10240;10228
157;7685243000;7543011111;7743011111;10240;10228
158;7685491000;7543011111;7743011111;10240;10228
159;7685503000;7543011111;7743011111;10240;10228
160;7685716000;7543011111;7743011111;10240;10228
161;7685736000;7543011111;7743011111;10240;10228
162;7685974000;7543011111;7743011111;10240;10228
163;7685994000;7543011111;7743011111;10240;10228
164;7686227000;7543011111;7743011111;10240;10228
165;7726578000;7584677777;7784677777;10240;10228
166;7726875000;7584677777;7784677777;10240;10228
167;7726886000;7584677777;7784677777;10240;10228
168;7726891000;7584677777;7784677777;10240;10228
169;7727135000;7584677777;7784677777;10240;10228
170;7727160000;7584677777;7784677777;10240;10228
171;7727325000;7584677777;7784677777;10240;10228
172;7727331000;7584677777;7784677777;10240;10228
