seqnum;now;rtptime;deadline
88;7144124000;6925755555;7125755555
89;7144128000;6925755555;7125755555
90;7144130000;6925755555;7125755555
91;7144131000;6925755555;7125755555
92;7144133000;6925755555;7125755555
93;7144134000;6925755555;7125755555
94;7144136000;6925755555;7125755555
95;7144138000;6925755555;7125755555
96;7144140000;6925755555;7125755555
97;7144141000;6925755555;7125755555
98;7144754000;6925755555;7125755555
99;7144761000;6967411111;7167411111
100;7144762000;6967411111;7167411111
101;7144764000;6967411111;7167411111
102;7144765000;6967411111;7167411111
103;7144766000;6967411111;7167411111
104;7144768000;6967411111;7167411111
105;7144769000;6967411111;7167411111
106;7144770000;6967411111;7167411111
107;7144771000;6967411111;7167411111
108;7144773000;6967411111;7167411111
109;7185652000;6967411111;7167411111
110;7185658000;7009144444;7209144444
111;7185659000;7009144444;7209144444
112;7185660000;7009144444;7209144444
113;7185661000;7009144444;7209144444
114;7185662000;7009144444;7209144444
115;7185663000;7009144444;7209144444
116;7185664000;7009144444;7209144444
117;7185665000;7009144444;7209144444
118;7185666000;7009144444;7209144444
119;7185667000;7009144444;7209144444
120;7227381000;7009144444;7209144444
121;7227387000;7050833333;7250833333
122;7227388000;7050833333;7250833333
123;7227389000;7050833333;7250833333
124;7227390000;7050833333;7250833333
125;7227391000;7050833333;7250833333
126;7227392000;7050833333;7250833333
127;7227393000;7050833333;7250833333
128;7227394000;7050833333;7250833333
129;7227395000;7050833333;7250833333
130;7227396000;7050833333;7250833333
131;7269119000;7050833333;7250833333
132;7269133000;7092488888;7292488888
133;7269135000;7092488888;7292488888
134;7269137000;7092488888;7292488888
135;7269138000;7092488888;7292488888
136;7269148000;7092488888;7292488888
137;7269150000;7092488888;7292488888
138;7269151000;7092488888;7292488888
139;7269152000;7092488888;7292488888
140;7269153000;7092488888;7292488888
141;7269154000;7092488888;7292488888
142;7310644000;7092488888;7292488888
143;7310650000;7134255555;7334255555
144;7310651000;7134255555;7334255555
145;7310653000;7134255555;7334255555
146;7310653000;7134255555;7334255555
147;7310654000;7134255555;7334255555
148;7310655000;7134255555;7334255555
