seqnum;now;rtptime;deadline
88;7933773000;7715355555;7915355555
89;7933778000;7715355555;7915355555
90;7933779000;7715355555;7915355555
91;7933780000;7715355555;7915355555
92;7933782000;7715355555;7915355555
93;7933784000;7715355555;7915355555
94;7933785000;7715355555;7915355555
95;7933787000;7715355555;7915355555
96;7933788000;7715355555;7915355555
97;7933790000;7715355555;7915355555
98;7934349000;7715355555;7915355555
99;7934364000;7756988888;7956988888
100;7934366000;7756988888;7956988888
101;7934367000;7756988888;7956988888
102;7934368000;7756988888;7956988888
103;7934370000;7756988888;7956988888
104;7934371000;7756988888;7956988888
105;7934372000;7756988888;7956988888
106;7934373000;7756988888;7956988888
107;7934383000;7756988888;7956988888
108;7934385000;7756988888;7956988888
109;7975244000;7756988888;7956988888
110;7975258000;7798722222;7998722222
111;7975259000;7798722222;7998722222
112;7975260000;7798722222;7998722222
113;7975261000;7798722222;7998722222
114;7975262000;7798722222;7998722222
115;7975263000;7798722222;7998722222
116;7975263000;7798722222;7998722222
117;7975264000;7798722222;7998722222
118;7975265000;7798722222;7998722222
119;7975266000;7798722222;7998722222
120;8017056000;7798722222;7998722222
121;8017062000;7840444444;8040444444
123;8058860000;7840444444;8040444444
124;8058863000;7840444444;8040444444
125;8058864000;7840444444;8040444444
126;8058865000;7840444444;8040444444
127;8058867000;7840444444;8040444444
128;8058869000;7840444444;8040444444
129;8058870000;7840444444;8040444444
130;8058871000;7840444444;8040444444
131;8059033000;7840444444;8040444444
132;8059039000;7882100000;8082100000
133;8059041000;7882100000;8082100000
134;8059042000;7882100000;8082100000
135;8059044000;7882100000;8082100000
136;8059045000;7882100000;8082100000
137;8059046000;7882100000;8082100000
138;8059048000;7882100000;8082100000
139;8059049000;7882100000;8082100000
140;8059050000;7882100000;8082100000
141;8059051000;7882100000;8082100000
142;8100406000;7882100000;8082100000
143;8100412000;7923733333;8123733333
144;8100413000;7923733333;8123733333
145;8100414000;7923733333;8123733333
149;8142144000;7923733333;8123733333
150;8142146000;7923733333;8123733333
151;8142147000;7923733333;8123733333
152;8142148000;7923733333;8123733333
153;8142283000;7923733333;8123733333
154;8142289000;7965444444;8165444444
155;8142290000;7965444444;8165444444
156;8142291000;7965444444;8165444444
157;8142292000;7965444444;8165444444
158;8142293000;7965444444;8165444444
159;8142294000;7965444444;8165444444
160;8142295000;7965444444;8165444444
161;8142296000;7965444444;8165444444
162;8142297000;7965444444;8165444444
163;8142298000;7965444444;8165444444
164;8183746000;7965444444;8165444444
165;8183752000;8007100000;8207100000
166;8183753000;8007100000;8207100000
167;8183754000;8007100000;8207100000
168;8183755000;8007100000;8207100000
169;8183756000;8007100000;8207100000
170;8183757000;8007100000;8207100000
171;8183757000;8007100000;8207100000
173;8225494000;8007100000;8207100000
174;8225497000;8007100000;8207100000
175;8225627000;8007100000;8207100000
176;8225632000;8048766666;8248766666
177;8225633000;8048766666;8248766666
178;8225634000;8048766666;8248766666
179;8225635000;8048766666;8248766666
180;8225636000;8048766666;8248766666
181;8225637000;8048766666;8248766666
182;8225638000;8048766666;8248766666
183;8225639000;8048766666;8248766666
184;8225640000;8048766666;8248766666
185;8225641000;8048766666;8248766666
186;8267057000;8048766666;8248766666
187;8267063000;8090433333;8290433333
188;8267064000;8090433333;8290433333
189;8267065000;8090433333;8290433333
190;8267066000;8090433333;8290433333
191;8267067000;8090433333;8290433333
192;8267068000;8090433333;8290433333
193;8267069000;8090433333;8290433333
196;8308849000;8090433333;8290433333
197;8308986000;8090433333;8290433333
198;8308992000;8132055555;8332055555
199;8308993000;8132055555;8332055555
200;8309008000;8132055555;8332055555
201;8309009000;8132055555;8332055555
202;8309010000;8132055555;8332055555
203;8309011000;8132055555;8332055555
204;8309012000;8132055555;8332055555
205;8309013000;8132055555;8332055555
206;8309034000;8132055555;8332055555
207;8309035000;8132055555;8332055555
208;8350353000;8132055555;8332055555
209;8350359000;8173744444;8373744444
210;8350360000;8173744444;8373744444
211;8350361000;8173744444;8373744444
212;8350362000;8173744444;8373744444
213;8350363000;8173744444;8373744444
214;8350364000;8173744444;8373744444
215;8350365000;8173744444;8373744444
216;8350366000;8173744444;8373744444
217;8350367000;8173744444;8373744444
218;8350368000;8173744444;8373744444
219;8391986000;8173744444;8373744444
220;8391992000;8215466666;8415466666
221;8391993000;8215466666;8415466666
222;8391995000;8215466666;8415466666
223;8391996000;8215466666;8415466666
224;8392006000;8215466666;8415466666
225;8392007000;8215466666;8415466666
226;8392008000;8215466666;8415466666
227;8392009000;8215466666;8415466666
228;8392010000;8215466666;8415466666
229;8392011000;8215466666;8415466666
230;8433743000;8215466666;8415466666
231;8433749000;8257100000;8457100000
233;8475474000;8257100000;8457100000
234;8475476000;8257100000;8457100000
235;8475477000;8257100000;8457100000
236;8475478000;8257100000;8457100000
237;8475479000;8257100000;8457100000
238;8475480000;8257100000;8457100000
239;8475481000;8257100000;8457100000
240;8475482000;8257100000;8457100000
241;8475608000;8257100000;8457100000
242;8475614000;8298722222;8498722222
243;8475615000;8298722222;8498722222
244;8475616000;8298722222;8498722222
245;8475617000;8298722222;8498722222
246;8475618000;8298722222;8498722222
247;8475619000;8298722222;8498722222
248;8475619000;8298722222;8498722222
249;8475620000;8298722222;8498722222
250;8475621000;8298722222;8498722222
251;8475622000;8298722222;8498722222
252;8517022000;8298722222;8498722222
253;8517028000;8340466666;8540466666
254;8517029000;8340466666;8540466666
255;8517030000;8340466666;8540466666
256;8517031000;8340466666;8540466666
257;8517032000;8340466666;8540466666
258;8517043000;8340466666;8540466666
260;8558604000;8340466666;8540466666
261;8558617000;8340466666;8540466666
262;8558618000;8340466666;8540466666
263;8558740000;8340466666;8540466666
265;8600279000;8382066666;8582066666
266;8600281000;8382066666;8582066666
268;8600282000;8382066666;8582066666
269;8600283000;8382066666;8582066666
270;8600284000;8382066666;8582066666
271;8600285000;8382066666;8582066666
272;8600295000;8382066666;8582066666
273;8600296000;8382066666;8582066666
274;8600432000;8382066666;8582066666
275;8600437000;8423722222;8623722222
276;8600439000;8423722222;8623722222
278;8641947000;8423722222;8623722222
279;8641951000;8423722222;8623722222
280;8641952000;8423722222;8623722222
281;8641963000;8423722222;8623722222
282;8641963000;8423722222;8623722222
283;8641964000;8423722222;8623722222
284;8641965000;8423722222;8623722222
285;8642074000;8423722222;8623722222
286;8642080000;8465466666;8665466666
288;8683681000;8465466666;8665466666
289;8683684000;8465466666;8665466666
290;8683696000;8465466666;8665466666
291;8683697000;8465466666;8665466666
292;8683697000;8465466666;8665466666
