seqnum;now;rtptime;deadline;packet_len;payload_len
11;4380717000;4221122222;4421122222;10240;10228
12;4380801000;4221122222;4421122222;10240;10228
13;4380901000;4221122222;4421122222;10240;10228
14;4380913000;4221122222;4421122222;10240;10228
15;4381144000;4221122222;4421122222;10240;10228
16;4381156000;4221122222;4421122222;10240;10228
17;4381433000;4221122222;4421122222;10240;10228
18;4381443000;4221122222;4421122222;10240;10228
19;4381699000;4221122222;4421122222;10240;10228
20;4381711000;4221122222;4421122222;10240;10228
21;4381716000;4221122222;4421122222;10240;10228
22;4381928000;4262811111;4462811111;10240;10228
23;4381945000;4262811111;4462811111;10240;10228
24;4382153000;4262811111;4462811111;10240;10228
25;4382161000;4262811111;4462811111;10240;10228
26;4382405000;4262811111;4462811111;10240;10228
27;4382415000;4262811111;4462811111;10240;10228
28;4382658000;4262811111;4462811111;10240;10228
29;4382667000;4262811111;4462811111;10240;10228
31;4382904000;4262811111;4462811111;10240;10228
32;4382915000;4262811111;4462811111;10240;10228
33;4386548000;4304422222;4504422222;10240;10228
34;4386595000;4304422222;4504422222;10240;10228
35;4386684000;4304422222;4504422222;10240;10228
36;4386694000;4304422222;4504422222;10240;10228
37;4386932000;4304422222;4504422222;10240;10228
38;4386940000;4304422222;4504422222;10240;10228
39;4387177000;4304422222;4504422222;10240;10228
40;4387187000;4304422222;4504422222;10240;10228
41;4387416000;4304422222;4504422222;10240;10228
42;4387424000;4304422222;4504422222;10240;10228
43;4387657000;4304422222;4504422222;10240;10228
44;4428225000;4346188888;4546188888;10240;10228
45;4428245000;4346188888;4546188888;10240;10228
46;4428429000;4346188888;4546188888;10240;10228
47;4428439000;4346188888;4546188888;10240;10228
48;4428725000;4346188888;4546188888;10240;10228
49;4428735000;4346188888;4546188888;10240;10228
50;4428752000;4346188888;4546188888;10240;10228
51;4428966000;4346188888;4546188888;10240;10228
52;4428987000;4346188888;4546188888;10240;10228
53;4429220000;4346188888;4546188888;10240;10228
54;4429231000;4346188888;4546188888;10240;10228
55;4469848000;4387800000;4587800000;10240;10228
56;4469876000;4387800000;4587800000;10240;10228
57;4470034000;4387800000;4587800000;10240;10228
58;4470059000;4387800000;4587800000;10240;10228
59;4470307000;4387800000;4587800000;10240;10228
60;4470316000;4387800000;4587800000;10240;10228
61;4470569000;4387800000;4587800000;10240;10228
62;4470590000;4387800000;4587800000;10240;10228
63;4470802000;4387800000;4587800000;10240;10228
64;4470811000;4387800000;4587800000;10240;10228
65;4470828000;4387800000;4587800000;10240;10228
66;4511435000;4429455555;4629455555;10240;10228
67;4511459000;4429455555;4629455555;10240;10228
68;4511664000;4429455555;4629455555;10240;10228
69;4511684000;4429455555;4629455555;10240;10228
70;4511921000;4429455555;4629455555;10240;10228
71;4511940000;4429455555;4629455555;10240;10228
72;4512166000;4429455555;4629455555;10240;10228
73;4512178000;4429455555;4629455555;10240;10228
74;4512365000;4429455555;4629455555;10240;10228
75;4512371000;4429455555;4629455555;10240;10228
76;4512668000;4429455555;4629455555;10240;10228
77;4553228000;4471177777;4671177777;10240;10228
78;4553261000;4471177777;4671177777;10240;10228
79;4553462000;4471177777;4671177777;10240;10228
80;4553469000;4471177777;4671177777;10240;10228
81;4553473000;4471177777;4671177777;10240;10228
82;4553718000;4471177777;4671177777;10240;10228
83;4553725000;4471177777;4671177777;10240;10228
84;4553978000;4471177777;4671177777;10240;10228
85;4553985000;4471177777;4671177777;10240;10228
86;4554219000;4471177777;4671177777;10240;10228
87;4554225000;4471177777;4671177777;10240;10228
88;4594798000;4512777777;4712777777;10240;10228
89;4594819000;4512777777;4712777777;10240;10228
90;4595053000;4512777777;4712777777;10240;10228
91;4595075000;4512777777;4712777777;10240;10228
92;4595296000;4512777777;4712777777;10240;10228
93;4595317000;4512777777;4712777777;10240;10228
95;4595503000;4512777777;4712777777;10240;10228
97;4595537000;4512777777;4712777777;10240;10228
98;4595803000;4512777777;4712777777;10240;10228
99;4636428000;4554466666;4754466666;10240;10228
100;4636440000;4554466666;4754466666;10240;10228
101;4636708000;4554466666;4754466666;10240;10228
102;4636719000;4554466666;4754466666;10240;10228
103;4636965000;4554466666;4754466666;10240;10228
104;4636998000;4554466666;4754466666;10240;10228
105;4637200000;4554466666;4754466666;10240;10228
106;4637207000;4554466666;4754466666;10240;10228
107;4637444000;4554466666;4754466666;10240;10228
108;4637450000;4554466666;4754466666;10240;10228
109;4637707000;4554466666;4754466666;10240;10228
94;4676774000;4512777777;4712777777;10240;10228
110;4678020000;4596122222;4796122222;10240;10228
111;4678278000;4596122222;4796122222;10240;10228
112;4678300000;4596122222;4796122222;10240;10228
113;4678535000;4596122222;4796122222;10240;10228
114;4678547000;4596122222;4796122222;10240;10228
115;4678771000;4596122222;4796122222;10240;10228
116;4678783000;4596122222;4796122222;10240;10228
117;4678788000;4596122222;4796122222;10240;10228
118;4679015000;4596122222;4796122222;10240;10228
119;4679035000;4596122222;4796122222;10240;10228
120;4679273000;4596122222;4796122222;10240;10228
121;4719804000;4637755555;4837755555;10240;10228
122;4719824000;4637755555;4837755555;10240;10228
123;4720054000;4637755555;4837755555;10240;10228
124;4720072000;4637755555;4837755555;10240;10228
125;4720255000;4637755555;4837755555;10240;10228
126;4720260000;4637755555;4837755555;10240;10228
127;4720571000;4637755555;4837755555;10240;10228
128;4720589000;4637755555;4837755555;10240;10228
129;4720813000;4637755555;4837755555;10240;10228
130;4720832000;4637755555;4837755555;10240;10228
131;4721058000;4637755555;4837755555;10240;10228
132;4761380000;4679466666;4879466666;10240;10228
133;4761637000;4679466666;4879466666;10240;10228
134;4761648000;4679466666;4879466666;10240;10228
135;4761862000;4679466666;4879466666;10240;10228
136;4761884000;4679466666;4879466666;10240;10228
137;4762106000;4679466666;4879466666;10240;10228
138;4762127000;4679466666;4879466666;10240;10228
139;4762358000;4679466666;4879466666;10240;10228
140;4762369000;4679466666;4879466666;10240;10228
141;4762606000;4679466666;4879466666;10240;10228
142;4762627000;4679466666;4879466666;10240;10228
143;4803136000;4721122222;4921122222;10240;10228
144;4803156000;4721122222;4921122222;10240;10228
145;4803417000;4721122222;4921122222;10240;10228
146;4803428000;4721122222;4921122222;10240;10228
147;4803632000;4721122222;4921122222;10240;10228
148;4803637000;4721122222;4921122222;10240;10228
149;4803927000;4721122222;4921122222;10240;10228
150;4803946000;4721122222;4921122222;10240;10228
151;4804172000;4721122222;4921122222;10240;10228
152;4804191000;4721122222;4921122222;10240;10228
153;4804197000;4721122222;4921122222;10240;10228
154;4844792000;4762811111;4962811111;10240;10228
155;4844812000;4762811111;4962811111;10240;10228
156;4845071000;4762811111;4962811111;10240;10228
157;4845091000;4762811111;4962811111;10240;10228
158;4845323000;4762811111;4962811111;10240;10228
159;4845343000;4762811111;4962811111;10240;10228
160;4845616000;4762811111;4962811111;10240;10228
161;4845634000;4762811111;4962811111;10240;10228
162;4845832000;4762811111;4962811111;10240;10228
163;4845842000;4762811111;4962811111;10240;10228
164;4845860000;4762811111;4962811111;10240;10228
165;4886449000;4804444444;5004444444;10240;10228
166;4886461000;4804444444;5004444444;10240;10228
167;4886705000;4804444444;5004444444;10240;10228
168;4886727000;4804444444;5004444444;10240;10228
169;4886955000;4804444444;5004444444;10240;10228
170;4886976000;4804444444;5004444444;10240;10228
171;4887194000;4804444444;5004444444;10240;10228
172;4887214000;4804444444;5004444444;10240;10228
173;4887409000;4804444444;5004444444;10240;10228
174;4887416000;4804444444;5004444444;10240;10228
175;4887705000;4804444444;5004444444;10240;10228
176;4928026000;4846133333;5046133333;10240;10228
177;4928267000;4846133333;5046133333;10240;10228
178;4928286000;4846133333;5046133333;10240;10228
180;4928506000;4846133333;5046133333;10240;10228
181;4928528000;4846133333;5046133333;10240;10228
182;4928773000;4846133333;5046133333;10240;10228
183;4928783000;4846133333;5046133333;10240;10228
184;4929011000;4846133333;5046133333;10240;10228
185;4929033000;4846133333;5046133333;10240;10228
187;4969783000;4887766666;5087766666;10240;10228
188;4969807000;4887766666;5087766666;10240;10228
189;4970034000;4887766666;5087766666;10240;10228
190;4970055000;4887766666;5087766666;10240;10228
191;4970276000;4887766666;5087766666;10240;10228
192;4970297000;4887766666;5087766666;10240;10228
193;4970482000;4887766666;5087766666;10240;10228
194;4970495000;4887766666;5087766666;10240;10228
196;4970785000;4887766666;5087766666;10240;10228
197;4970807000;4887766666;5087766666;10240;10228
179;5009797000;4846133333;5046133333;10240;10228
198;5011424000;4929422222;5129422222;10240;10228
199;5011435000;4929422222;5129422222;10240;10228
200;5011676000;4929422222;5129422222;10240;10228
201;5011688000;4929422222;5129422222;10240;10228
202;5011926000;4929422222;5129422222;10240;10228
203;5011948000;4929422222;5129422222;10240;10228
204;5012167000;4929422222;5129422222;10240;10228
205;5012189000;4929422222;5129422222;10240;10228
206;5012421000;4929422222;5129422222;10240;10228
207;5012432000;4929422222;5129422222;10240;10228
208;5012677000;4929422222;5129422222;10240;10228
209;5052992000;4971122222;5171122222;10240;10228
210;5053240000;4971122222;5171122222;10240;10228
211;5053263000;4971122222;5171122222;10240;10228
212;5053444000;4971122222;5171122222;10240;10228
213;5053464000;4971122222;5171122222;10240;10228
214;5053743000;4971122222;5171122222;10240;10228
215;5053752000;4971122222;5171122222;10240;10228
