seqnum;now;rtptime;deadline;packet_len;payload_len
0;5587274000;5520977777;6020977777;1398;1386
1;5587327000;5520977777;6020977777;1400;1388
2;5587348000;5520977777;6020977777;1398;1386
0;5587375000;5520977777;6020977777;1398;1386
3;5587400000;5547033333;6047033333;1400;1388
4;5587424000;5547033333;6047033333;1400;1388
7;5587430000;5547033333;6047033333;1398;1386
8;5587441000;5547033333;6047033333;1400;1388
9;5587447000;5547033333;6047033333;1400;1388
10;5587453000;5547055555;6047055555;982;970
1;5587528000;5520977777;6020977777;1400;1388
2;5587766000;5520977777;6020977777;1398;1386
3;5587775000;5547033333;6047033333;1400;1388
4;5587947000;5547033333;6047033333;1400;1388
5;5587957000;5547033333;6047033333;1398;1386
6;5588149000;5547033333;6047033333;1400;1388
7;5588158000;5547033333;6047033333;1398;1386
8;5588343000;5547033333;6047033333;1400;1388
9;5588591000;5547033333;6047033333;1400;1388
10;5588606000;5547055555;6047055555;982;970
11;5628872000;5547511111;6047511111;1398;1386
12;5628899000;5547511111;6047511111;1400;1388
13;5628904000;5547511111;6047511111;1398;1386
15;5628908000;5588677777;6088677777;1400;1388
16;5628921000;5588677777;6088677777;1398;1386
17;5628925000;5588677777;6088677777;1400;1388
18;5628929000;5588677777;6088677777;1398;1386
19;5628933000;5588677777;6088677777;1400;1388
20;5628939000;5588677777;6088677777;1400;1388
21;5628943000;5588700000;6088700000;982;970
11;5629021000;5547511111;6047511111;1398;1386
12;5629203000;5547511111;6047511111;1400;1388
13;5629405000;5547511111;6047511111;1398;1386
14;5629412000;5588677777;6088677777;1400;1388
15;5629610000;5588677777;6088677777;1400;1388
16;5629615000;5588677777;6088677777;1398;1386
17;5629814000;5588677777;6088677777;1400;1388
18;5629819000;5588677777;6088677777;1398;1386
19;5630018000;5588677777;6088677777;1400;1388
20;5630222000;5588677777;6088677777;1400;1388
22;5670589000;5589200000;6089200000;1398;1386
23;5670614000;5589200000;6089200000;1400;1388
24;5670622000;5589200000;6089200000;1398;1386
25;5670627000;5630377777;6130377777;1400;1388
26;5670633000;5630377777;6130377777;1400;1388
27;5670638000;5630377777;6130377777;1398;1386
30;5670643000;5630377777;6130377777;1400;1388
31;5670676000;5630377777;6130377777;1400;1388
32;5670705000;5630400000;6130400000;982;970
22;5670746000;5589200000;6089200000;1398;1386
23;5670908000;5589200000;6089200000;1400;1388
24;5671113000;5589200000;6089200000;1398;1386
25;5671123000;5630377777;6130377777;1400;1388
26;5671317000;5630377777;6130377777;1400;1388
27;5671327000;5630377777;6130377777;1398;1386
28;5671554000;5630377777;6130377777;1400;1388
29;5671586000;5630377777;6130377777;1398;1386
30;5671744000;5630377777;6130377777;1400;1388
31;5671753000;5630377777;6130377777;1400;1388
32;5671931000;5630400000;6130400000;982;970
33;5712235000;5630722222;6130722222;1398;1386
34;5712250000;5630722222;6130722222;1400;1388
35;5712262000;5630722222;6130722222;1398;1386
36;5712268000;5672055555;6172055555;1400;1388
37;5712272000;5672055555;6172055555;1400;1388
39;5712275000;5672055555;6172055555;1400;1388
40;5712293000;5672055555;6172055555;1398;1386
41;5712297000;5672055555;6172055555;1400;1388
42;5712301000;5672055555;6172055555;1400;1388
43;5712310000;5672077777;6172077777;982;970
33;5712405000;5630722222;6130722222;1398;1386
34;5712597000;5630722222;6130722222;1400;1388
35;5712606000;5630722222;6130722222;1398;1386
36;5712805000;5672055555;6172055555;1400;1388
37;5712989000;5672055555;6172055555;1400;1388
38;5712998000;5672055555;6172055555;1398;1386
39;5713194000;5672055555;6172055555;1400;1388
40;5713203000;5672055555;6172055555;1398;1386
41;5713397000;5672055555;6172055555;1400;1388
42;5713602000;5672055555;6172055555;1400;1388
43;5713611000;5672077777;6172077777;982;970
44;5754041000;5672455555;6172455555;1398;1386
44;5754112000;5672455555;6172455555;1398;1386
45;5754128000;5672455555;6172455555;1400;1388
47;5754134000;5713677777;6213677777;1400;1388
48;5754142000;5713677777;6213677777;1400;1388
49;5754157000;5713677777;6213677777;1398;1386
50;5754161000;5713677777;6213677777;1400;1388
53;5754180000;5713677777;6213677777;1400;1388
45;5754245000;5672455555;6172455555;1400;1388
54;5754294000;5713700000;6213700000;982;970
46;5754391000;5672455555;6172455555;1398;1386
47;5754416000;5713677777;6213677777;1400;1388
48;5754592000;5713677777;6213677777;1400;1388
49;5754598000;5713677777;6213677777;1398;1386
50;5754796000;5713677777;6213677777;1400;1388
51;5754802000;5713677777;6213677777;1398;1386
