seqnum;now;rtptime;deadline
1;3766645000;3728944444;4228944444
2;3766674000;3728944444;4228944444
3;3848708000;3760200000;4260200000
11;3851975000;3760555555;4260555555
13;3852024000;3760555555;4260555555
14;3888815000;3801822222;4301822222
15;3888833000;3801822222;4301822222
16;3888835000;3801822222;4301822222
17;3888879000;3801822222;4301822222
18;3888881000;3801822222;4301822222
19;3888883000;3801822222;4301822222
20;3888885000;3801822222;4301822222
21;3889103000;3801844444;4301844444
22;3889142000;3802222222;4302222222
23;3889147000;3802222222;4302222222
24;3889150000;3802222222;4302222222
25;3933225000;3843488888;4343488888
27;3933281000;3843488888;4343488888
28;3933299000;3843488888;4343488888
29;3933301000;3843488888;4343488888
30;3933303000;3843488888;4343488888
31;3933306000;3843488888;4343488888
32;3933513000;3843511111;4343511111
33;3933540000;3843833333;4343833333
34;3933548000;3843833333;4343833333
35;3933565000;3843833333;4343833333
36;3971358000;3885166666;4385166666
37;3971369000;3885166666;4385166666
38;3971371000;3885166666;4385166666
39;3971372000;3885166666;4385166666
40;3971374000;3885166666;4385166666
41;3971375000;3885166666;4385166666
42;3971377000;3885166666;4385166666
43;3971601000;3885177777;4385177777
44;3971651000;3885511111;4385511111
45;3971659000;3885511111;4385511111
46;3971661000;3885511111;4385511111
47;4012109000;3926855555;4426855555
55;4012254000;3927188888;4427188888
56;4012277000;3927188888;4427188888
57;4012289000;3927188888;4427188888
58;4052350000;3968522222;4468522222
66;4052473000;3968822222;4468822222
67;4052485000;3968822222;4468822222
68;4052487000;3968822222;4468822222
69;4091865000;4010155555;4510155555
77;4092017000;4010511111;4510511111
78;4092025000;4010511111;4510511111
79;4092036000;4010511111;4510511111
80;4130657000;4051822222;4551822222
88;4130777000;4052155555;4552155555
89;4130809000;4052155555;4552155555
90;4130811000;4052155555;4552155555
91;4169064000;4093511111;4593511111
99;4169230000;4093822222;4593822222
100;4169255000;4093822222;4593822222
101;4169256000;4093822222;4593822222
102;4207164000;4135200000;4635200000
110;4207313000;4135511111;4635511111
111;4207317000;4135511111;4635511111
112;4207318000;4135511111;4635511111
113;4245251000;4176822222;4676822222
115;4245278000;4176822222;4676822222
116;4245280000;4176822222;4676822222
117;4245281000;4176822222;4676822222
118;4245282000;4176822222;4676822222
119;4245283000;4176822222;4676822222
120;4245494000;4176833333;4676833333
121;4245535000;4177133333;4677133333
122;4245537000;4177133333;4677133333
123;4245553000;4177133333;4677133333
124;4282844000;4218533333;4718533333
132;4282943000;4218833333;4718833333
133;4282962000;4218833333;4718833333
134;4282963000;4218833333;4718833333
135;4321955000;4260188888;4760188888
143;4322067000;4260477777;4760477777
144;4322093000;4260477777;4760477777
145;4322095000;4260477777;4760477777
146;4360700000;4301855555;4801855555
154;4360834000;4302188888;4802188888
155;4360838000;4302188888;4802188888
156;4360839000;4302188888;4802188888
157;4401652000;4343511111;4843511111
159;4401674000;4343511111;4843511111
160;4401677000;4343511111;4843511111
161;4401678000;4343511111;4843511111
162;4401681000;4343511111;4843511111
163;4401683000;4343511111;4843511111
164;4401876000;4343533333;4843533333
165;4401896000;4343833333;4843833333
166;4401908000;4343833333;4843833333
167;4401910000;4343833333;4843833333
168;4442081000;4385188888;4885188888
176;4442203000;4385488888;4885488888
177;4442218000;4385488888;4885488888
178;4442221000;4385488888;4885488888
179;4483172000;4426855555;4926855555
187;4483293000;4427155555;4927155555
188;4483310000;4427155555;4927155555
189;4483312000;4427155555;4927155555
190;4524493000;4468488888;4968488888
198;4524614000;4468766666;4968766666
199;4524630000;4468766666;4968766666
200;4524632000;4468766666;4968766666
201;4566029000;4510188888;5010188888
209;4566155000;4510511111;5010511111
210;4566170000;4510511111;5010511111
211;4566173000;4510511111;5010511111
212;4607644000;4551822222;5051822222
220;4607807000;4552166666;5052166666
221;4607830000;4552166666;5052166666
222;4607859000;4552166666;5052166666
223;4649206000;4593522222;5093522222
231;4649370000;4593822222;5093822222
232;4649387000;4593822222;5093822222
233;4649390000;4593822222;5093822222
234;4690934000;4635188888;5135188888
242;4691076000;4635466666;5135466666
243;4691080000;4635466666;5135466666
244;4691099000;4635466666;5135466666
245;4732569000;4676844444;5176844444
253;4732692000;4677188888;5177188888
254;4732708000;4677188888;5177188888
255;4732711000;4677188888;5177188888
256;4774240000;4718500000;5218500000
264;4774386000;4718811111;5218811111
265;4774402000;4718811111;5218811111
266;4774404000;4718811111;5218811111
267;4815912000;4760188888;5260188888
