seqnum;now;rtptime;deadline
1;5092408000;5013677777;5513677777
3;5134264000;5045166666;5545166666
4;5134322000;5045166666;5545166666
5;5134334000;5045166666;5545166666
6;5134338000;5045166666;5545166666
7;5134340000;5045166666;5545166666
8;5134342000;5045166666;5545166666
9;5134345000;5045166666;5545166666
10;5134598000;5045188888;5545188888
11;5134641000;5045522222;5545522222
13;5134659000;5045522222;5545522222
14;5174027000;5086777777;5586777777
18;5174092000;5086777777;5586777777
19;5174096000;5086777777;5586777777
20;5174099000;5086777777;5586777777
21;5174285000;5086800000;5586800000
22;5174319000;5087177777;5587177777
23;5174336000;5087177777;5587177777
24;5174339000;5087177777;5587177777
25;5215456000;5128477777;5628477777
28;5215518000;5128477777;5628477777
29;5215522000;5128477777;5628477777
30;5215541000;5128477777;5628477777
31;5215544000;5128477777;5628477777
32;5215751000;5128500000;5628500000
33;5215788000;5128822222;5628822222
34;5215806000;5128822222;5628822222
35;5215809000;5128822222;5628822222
36;5256456000;5170111111;5670111111
44;5256641000;5170455555;5670455555
45;5256646000;5170455555;5670455555
46;5256648000;5170455555;5670455555
47;5299603000;5211777777;5711777777
55;5299803000;5212100000;5712100000
56;5299836000;5212100000;5712100000
57;5299839000;5212100000;5712100000
58;5337744000;5253444444;5753444444
66;5337885000;5253755555;5753755555
67;5337897000;5253755555;5753755555
68;5337916000;5253755555;5753755555
69;5377246000;5295133333;5795133333
76;5377507000;5295166666;5795166666
77;5377510000;5295555555;5795555555
78;5377528000;5295555555;5795555555
79;5377530000;5295555555;5795555555
80;5420092000;5336777777;5836777777
88;5420275000;5337100000;5837100000
92;5454649000;5378455555;5878455555
99;5454827000;5378855555;5878855555
100;5454831000;5378855555;5878855555
101;5454854000;5378855555;5878855555
102;5493004000;5420111111;5920111111
105;5493033000;5420111111;5920111111
106;5493035000;5420111111;5920111111
107;5493036000;5420111111;5920111111
108;5493038000;5420111111;5920111111
109;5493278000;5420133333;5920133333
110;5493307000;5420466666;5920466666
111;5493313000;5420466666;5920466666
112;5493314000;5420466666;5920466666
113;5530372000;5461777777;5961777777
121;5530575000;5462188888;5962188888
122;5530602000;5462188888;5962188888
123;5530604000;5462188888;5962188888
124;5568603000;5503444444;6003444444
132;5568766000;5503733333;6003733333
133;5568770000;5503733333;6003733333
134;5568792000;5503733333;6003733333
135;5607376000;5545111111;6045111111
143;5607524000;5545400000;6045400000
144;5607528000;5545400000;6045400000
145;5607550000;5545400000;6045400000
146;5647067000;5586777777;6086777777
154;5647216000;5587077777;6087077777
155;5647241000;5587077777;6087077777
156;5647242000;5587077777;6087077777
157;5686352000;5628477777;6128477777
165;5686503000;5628788888;6128788888
166;5686506000;5628788888;6128788888
167;5686507000;5628788888;6128788888
168;5726956000;5670155555;6170155555
173;5726984000;5670155555;6170155555
175;5727221000;5670166666;6170166666
176;5727239000;5670455555;6170455555
177;5727263000;5670455555;6170455555
178;5727265000;5670455555;6170455555
179;5768266000;5711811111;6211811111
187;5768429000;5712111111;6212111111
188;5768454000;5712111111;6212111111
189;5768455000;5712111111;6212111111
190;5809543000;5753477777;6253477777
197;5809780000;5753488888;6253488888
198;5809818000;5753755555;6253755555
199;5809820000;5753755555;6253755555
200;5809822000;5753755555;6253755555
201;5851115000;5795144444;6295144444
209;5851309000;5795444444;6295444444
210;5851313000;5795444444;6295444444
211;5851315000;5795444444;6295444444
212;5892552000;5836777777;6336777777
220;5892716000;5837111111;6337111111
221;5892741000;5837111111;6337111111
222;5892743000;5837111111;6337111111
223;5934201000;5878477777;6378477777
231;5934350000;5878788888;6378788888
232;5934374000;5878788888;6378788888
233;5934376000;5878788888;6378788888
234;5975838000;5920155555;6420155555
242;5975987000;5920433333;6420433333
243;5976012000;5920433333;6420433333
244;5976013000;5920433333;6420433333
245;6017471000;5961777777;6461777777
253;6017663000;5962111111;6462111111
254;6017687000;5962111111;6462111111
255;6017689000;5962111111;6462111111
256;6059185000;6003477777;6503477777
263;6059438000;6003500000;6503500000
264;6059445000;6003766666;6503766666
265;6059446000;6003766666;6503766666
266;6059470000;6003766666;6503766666
267;6100837000;6045144444;6545144444
275;6100985000;6045433333;6545433333
276;6101010000;6045433333;6545433333
277;6101012000;6045433333;6545433333
278;6142499000;6086822222;6586822222
286;6142662000;6087166666;6587166666
287;6142687000;6087166666;6587166666
288;6142688000;6087166666;6587166666
289;6183962000;6128444444;6628444444
297;6184219000;6128722222;6628722222
298;6184223000;6128722222;6628722222
299;6184245000;6128722222;6628722222
300;6225839000;6170155555;6670155555
308;6226011000;6170422222;6670422222
309;6226035000;6170422222;6670422222
310;6226037000;6170422222;6670422222
311;6267484000;6211811111;6711811111
319;6267645000;6212122222;6712122222
320;6267670000;6212122222;6712122222
321;6267671000;6212122222;6712122222
322;6309149000;6253477777;6753477777
327;6309174000;6253477777;6753477777
328;6309175000;6253477777;6753477777
329;6309399000;6253488888;6753488888
330;6309406000;6253766666;6753766666
331;6309430000;6253766666;6753766666
332;6309431000;6253766666;6753766666
333;6350849000;6295155555;6795155555
341;6350997000;6295455555;6795455555
346;6392335000;6336811111;6836811111
352;6392626000;6337122222;6837122222
353;6392650000;6337122222;6837122222
354;6392652000;6337122222;6837122222
355;6434123000;6378444444;6878444444
363;6434286000;6378733333;6878733333
364;6434310000;6378733333;6878733333
365;6434312000;6378733333;6878733333
366;6475845000;6420144444;6920144444
374;6476006000;6420411111;6920411111
375;6476031000;6420411111;6920411111
376;6476032000;6420411111;6920411111
377;6517478000;6461788888;6961788888
385;6517640000;6462088888;6962088888
386;6517664000;6462088888;6962088888
387;6517665000;6462088888;6962088888
388;6559156000;6503455555;7003455555
396;6559317000;6503755555;7003755555
397;6559341000;6503755555;7003755555
398;6559342000;6503755555;7003755555
399;6600784000;6545111111;7045111111
407;6600945000;6545411111;7045411111
408;6600970000;6545411111;7045411111
409;6600971000;6545411111;7045411111
410;6642545000;6586811111;7086811111
417;6642831000;6586822222;7086822222
418;6642848000;6587122222;7087122222
419;6642872000;6587122222;7087122222
420;6642875000;6587122222;7087122222
421;6684236000;6628477777;7128477777
429;6684427000;6628777777;7128777777
430;6684452000;6628777777;7128777777
431;6684454000;6628777777;7128777777
432;6725862000;6670155555;7170155555
437;6725898000;6670155555;7170155555
438;6725901000;6670155555;7170155555
439;6726107000;6670166666;7170166666
440;6726136000;6670455555;7170455555
441;6726138000;6670455555;7170455555
442;6726140000;6670455555;7170455555
443;6767612000;6711811111;7211811111
444;6767661000;6711811111;7211811111
445;6767663000;6711811111;7211811111
446;6767665000;6711811111;7211811111
447;6767667000;6711811111;7211811111
448;6767669000;6711811111;7211811111
449;6767671000;6711811111;7211811111
450;6767936000;6711822222;7211822222
451;6767967000;6712100000;7212100000
452;6767974000;6712100000;7212100000
453;6767976000;6712100000;7212100000
454;6809200000;6753477777;7253477777
462;6809371000;6753755555;7253755555
463;6809397000;6753755555;7253755555
464;6809399000;6753755555;7253755555
465;6850911000;6795166666;7295166666
470;6850949000;6795166666;7295166666
471;6850951000;6795166666;7295166666
472;6851202000;6795188888;7295188888
473;6851240000;6795455555;7295455555
475;6851246000;6795455555;7295455555
478;6892350000;6836811111;7336811111
484;6892642000;6837133333;7337133333
485;6892646000;6837133333;7337133333
486;6892647000;6837133333;7337133333
487;6934157000;6878477777;7378477777
489;6934185000;6878477777;7378477777
490;6934186000;6878477777;7378477777
491;6934188000;6878477777;7378477777
492;6934189000;6878477777;7378477777
493;6934190000;6878477777;7378477777
494;6934430000;6878488888;7378488888
495;6934446000;6878777777;7378777777
496;6934470000;6878777777;7378777777
497;6934480000;6878777777;7378777777
498;6975822000;6920144444;7420144444
506;6975970000;6920422222;7420422222
507;6975995000;6920422222;7420422222
508;6975997000;6920422222;7420422222
509;7017472000;6961777777;7461777777
517;7017621000;6962100000;7462100000
518;7017646000;6962100000;7462100000
519;7017648000;6962100000;7462100000
520;7059226000;7003477777;7503477777
528;7059401000;7003777777;7503777777
529;7059429000;7003777777;7503777777
530;7059431000;7003777777;7503777777
531;7100835000;7045155555;7545155555
539;7100985000;7045444444;7545444444
540;7101010000;7045444444;7545444444
541;7101011000;7045444444;7545444444
542;7142471000;7086777777;7586777777
550;7142620000;7087111111;7587111111
551;7142645000;7087111111;7587111111
552;7142646000;7087111111;7587111111
553;7184151000;7128444444;7628444444
560;7184389000;7128466666;7628466666
561;7184405000;7128733333;7628733333
562;7184429000;7128733333;7628733333
563;7184430000;7128733333;7628733333
564;7225822000;7170144444;7670144444
572;7225970000;7170433333;7670433333
573;7225994000;7170433333;7670433333
574;7225996000;7170433333;7670433333
575;7267488000;7211811111;7711811111
583;7267651000;7212133333;7712133333
584;7267676000;7212133333;7712133333
585;7267678000;7212133333;7712133333
586;7309157000;7253477777;7753477777
594;7309307000;7253777777;7753777777
595;7309311000;7253777777;7753777777
596;7309312000;7253777777;7753777777
597;7350835000;7295155555;7795155555
598;7350863000;7295155555;7795155555
599;7350865000;7295155555;7795155555
600;7350866000;7295155555;7795155555
601;7350867000;7295155555;7795155555
602;7350868000;7295155555;7795155555
603;7350869000;7295155555;7795155555
604;7351101000;7295177777;7795177777
605;7351139000;7295477777;7795477777
606;7351145000;7295477777;7795477777
607;7351146000;7295477777;7795477777
608;7392471000;7336777777;7836777777
616;7392620000;7337100000;7837100000
617;7392644000;7337100000;7837100000
618;7392646000;7337100000;7837100000
619;7434122000;7378444444;7878444444
627;7434285000;7378755555;7878755555
628;7434309000;7378755555;7878755555
629;7434311000;7378755555;7878755555
630;7479245000;7420155555;7920155555
637;7479521000;7420166666;7920166666
638;7479566000;7420422222;7920422222
639;7479568000;7420422222;7920422222
640;7479570000;7420422222;7920422222
641;7517439000;7461777777;7961777777
648;7517684000;7461800000;7961800000
649;7517723000;7462088888;7962088888
650;7517729000;7462088888;7962088888
651;7517730000;7462088888;7962088888
652;7559158000;7503477777;8003477777
660;7559307000;7503777777;8003777777
661;7559335000;7503777777;8003777777
662;7559336000;7503777777;8003777777
663;7600863000;7545155555;8045155555
671;7601020000;7545444444;8045444444
673;7601066000;7545444444;8045444444
674;7642460000;7586777777;8086777777
680;7642485000;7586777777;8086777777
682;7642736000;7587111111;8087111111
683;7642739000;7587111111;8087111111
684;7642741000;7587111111;8087111111
685;7684178000;7628477777;8128477777
686;7684206000;7628477777;8128477777
687;7684207000;7628477777;8128477777
688;7684209000;7628477777;8128477777
689;7684210000;7628477777;8128477777
690;7684211000;7628477777;8128477777
691;7684213000;7628477777;8128477777
692;7684458000;7628488888;8128488888
693;7684499000;7628788888;8128788888
694;7684501000;7628788888;8128788888
695;7684502000;7628788888;8128788888
696;7725848000;7670155555;8170155555
705;7726069000;7670477777;8170477777
706;7726103000;7670477777;8170477777
707;7767455000;7711777777;8211777777
715;7767604000;7712088888;8212088888
716;7767628000;7712088888;8212088888
717;7767630000;7712088888;8212088888
718;7809146000;7753477777;8253477777
