seqnum;now;rtptime;deadline;packet_len;payload_len
0;6064701000;5952711111;6452711111;1398;1386
0;6064777000;5952711111;6452711111;1398;1386
1;6064803000;5952711111;6452711111;1400;1388
1;6064818000;5952711111;6452711111;1400;1388
2;6064830000;5952711111;6452711111;1398;1386
3;6064835000;5984200000;6484200000;1400;1388
4;6064841000;5984200000;6484200000;1400;1388
5;6064854000;5984200000;6484200000;1398;1386
6;6064862000;5984200000;6484200000;1400;1388
7;6064869000;5984200000;6484200000;1398;1386
8;6064873000;5984200000;6484200000;1400;1388
9;6064876000;5984200000;6484200000;1400;1388
10;6064879000;5984222222;6484222222;982;970
2;6064937000;5952711111;6452711111;1398;1386
3;6064947000;5984200000;6484200000;1400;1388
4;6065177000;5984200000;6484200000;1400;1388
5;6065196000;5984200000;6484200000;1398;1386
6;6065361000;5984200000;6484200000;1400;1388
7;6065380000;5984200000;6484200000;1398;1386
8;6065545000;5984200000;6484200000;1400;1388
9;6065749000;5984200000;6484200000;1400;1388
10;6065770000;5984222222;6484222222;982;970
11;6106233000;5984544444;6484544444;1398;1386
12;6106267000;5984544444;6484544444;1400;1388
11;6106284000;5984544444;6484544444;1398;1386
13;6106343000;5984544444;6484544444;1398;1386
14;6106381000;6025855555;6525855555;1400;1388
12;6106398000;5984544444;6484544444;1400;1388
15;6106414000;6025855555;6525855555;1400;1388
16;6106428000;6025855555;6525855555;1398;1386
17;6106436000;6025855555;6525855555;1400;1388
13;6106450000;5984544444;6484544444;1398;1386
18;6106467000;6025855555;6525855555;1398;1386
19;6106478000;6025855555;6525855555;1400;1388
20;6106484000;6025855555;6525855555;1400;1388
21;6106490000;6025877777;6525877777;982;970
14;6106643000;6025855555;6525855555;1400;1388
15;6106652000;6025855555;6525855555;1400;1388
16;6106774000;6025855555;6525855555;1398;1386
17;6107073000;6025855555;6525855555;1400;1388
18;6107099000;6025855555;6525855555;1398;1386
19;6107238000;6025855555;6525855555;1400;1388
20;6107247000;6025855555;6525855555;1400;1388
21;6107407000;6025877777;6525877777;982;970
22;6147882000;6026266666;6526266666;1398;1386
22;6147907000;6026266666;6526266666;1398;1386
23;6147927000;6026266666;6526266666;1400;1388
24;6147933000;6026266666;6526266666;1398;1386
25;6147937000;6067522222;6567522222;1400;1388
26;6147941000;6067522222;6567522222;1400;1388
