seqnum;now;rtptime;deadline;packet_len;payload_len
0;3734073000;3692466666;4192466666;1398;1386
1;3734092000;3692466666;4192466666;1400;1388
2;3734161000;3692466666;4192466666;1398;1386
3;3734169000;3723522222;4223522222;1400;1388
4;3734174000;3723522222;4223522222;1400;1388
5;3734177000;3723522222;4223522222;1398;1386
6;3734182000;3723522222;4223522222;1400;1388
7;3734185000;3723522222;4223522222;1398;1386
8;3734190000;3723522222;4223522222;1400;1388
9;3734193000;3723522222;4223522222;1400;1388
10;3734197000;3723533333;4223533333;982;970
11;3775609000;3723855555;4223855555;1398;1386
12;3775635000;3723855555;4223855555;1400;1388
13;3775640000;3723855555;4223855555;1398;1386
14;3775643000;3765166666;4265166666;1400;1388
17;3775648000;3765166666;4265166666;1400;1388
18;3775658000;3765166666;4265166666;1398;1386
19;3775674000;3765166666;4265166666;1400;1388
20;3775678000;3765166666;4265166666;1400;1388
21;3775681000;3765177777;4265177777;982;970
22;3817295000;3765566666;4265566666;1398;1386
23;3817314000;3765566666;4265566666;1400;1388
24;3817318000;3765566666;4265566666;1398;1386
25;3817324000;3806833333;4306833333;1400;1388
26;3817328000;3806833333;4306833333;1400;1388
27;3817332000;3806833333;4306833333;1398;1386
28;3817335000;3806833333;4306833333;1400;1388
29;3817348000;3806833333;4306833333;1398;1386
30;3817352000;3806833333;4306833333;1400;1388
31;3817355000;3806833333;4306833333;1400;1388
32;3817359000;3806844444;4306844444;982;970
33;3859035000;3807177777;4307177777;1398;1386
35;3859093000;3807177777;4307177777;1398;1386
36;3859113000;3848500000;4348500000;1400;1388
37;3859119000;3848500000;4348500000;1400;1388
38;3859136000;3848500000;4348500000;1398;1386
39;3859141000;3848500000;4348500000;1400;1388
40;3859157000;3848500000;4348500000;1398;1386
41;3859161000;3848500000;4348500000;1400;1388
42;3859164000;3848500000;4348500000;1400;1388
43;3859168000;3848511111;4348511111;982;970
44;3900615000;3848844444;4348844444;1398;1386
45;3900630000;3848844444;4348844444;1400;1388
46;3900634000;3848844444;4348844444;1398;1386
47;3900638000;3890188888;4390188888;1400;1388
48;3900642000;3890188888;4390188888;1400;1388
49;3900646000;3890188888;4390188888;1398;1386
50;3900649000;3890188888;4390188888;1400;1388
51;3900653000;3890188888;4390188888;1398;1386
52;3900656000;3890188888;4390188888;1400;1388
53;3900660000;3890188888;4390188888;1400;1388
54;3900663000;3890200000;4390200000;982;970
55;3942292000;3890555555;4390555555;1398;1386
56;3942306000;3890555555;4390555555;1400;1388
57;3942310000;3890555555;4390555555;1398;1386
58;3942314000;3931833333;4431833333;1400;1388
59;3942317000;3931833333;4431833333;1400;1388
60;3942321000;3931833333;4431833333;1398;1386
61;3942324000;3931833333;4431833333;1400;1388
62;3942327000;3931833333;4431833333;1398;1386
63;3942330000;3931833333;4431833333;1400;1388
64;3942333000;3931833333;4431833333;1400;1388
65;3942337000;3931844444;4431844444;982;970
66;3983916000;3932133333;4432133333;1398;1386
68;3983932000;3932133333;4432133333;1398;1386
70;3983940000;3973500000;4473500000;1400;1388
71;3983954000;3973500000;4473500000;1398;1386
72;3983958000;3973500000;4473500000;1400;1388
73;3983963000;3973500000;4473500000;1398;1386
74;3983967000;3973500000;4473500000;1400;1388
75;3983970000;3973500000;4473500000;1400;1388
76;3983974000;3973511111;4473511111;982;970
77;4025626000;3973844444;4473844444;1398;1386
78;4025639000;3973844444;4473844444;1400;1388
79;4025643000;3973844444;4473844444;1398;1386
80;4025646000;4015166666;4515166666;1400;1388
81;4025650000;4015166666;4515166666;1400;1388
82;4025654000;4015166666;4515166666;1398;1386
84;4025657000;4015166666;4515166666;1398;1386
85;4025661000;4015166666;4515166666;1400;1388
86;4025664000;4015166666;4515166666;1400;1388
87;4025668000;4015177777;4515177777;982;970
88;4067245000;4015488888;4515488888;1398;1386
89;4067253000;4015488888;4515488888;1400;1388
91;4067257000;4056833333;4556833333;1400;1388
92;4067261000;4056833333;4556833333;1400;1388
93;4067264000;4056833333;4556833333;1398;1386
95;4067267000;4056833333;4556833333;1398;1386
96;4067271000;4056833333;4556833333;1400;1388
97;4067295000;4056833333;4556833333;1400;1388
98;4067298000;4056844444;4556844444;982;970
99;4108966000;4057177777;4557177777;1398;1386
100;4108990000;4057177777;4557177777;1400;1388
101;4108994000;4057177777;4557177777;1398;1386
102;4108999000;4098511111;4598511111;1400;1388
103;4109002000;4098511111;4598511111;1400;1388
104;4109006000;4098511111;4598511111;1398;1386
105;4109010000;4098511111;4598511111;1400;1388
106;4109013000;4098511111;4598511111;1398;1386
107;4109019000;4098511111;4598511111;1400;1388
109;4109022000;4098522222;4598522222;982;970
113;4150617000;4140166666;4640166666;1400;1388
114;4150625000;4140166666;4640166666;1400;1388
115;4150629000;4140166666;4640166666;1398;1386
116;4150632000;4140166666;4640166666;1400;1388
117;4150635000;4140166666;4640166666;1398;1386
118;4150639000;4140166666;4640166666;1400;1388
119;4150642000;4140166666;4640166666;1400;1388
120;4150645000;4140188888;4640188888;982;970
121;4192233000;4140488888;4640488888;1398;1386
122;4192238000;4140488888;4640488888;1400;1388
123;4192241000;4140488888;4640488888;1398;1386
124;4192245000;4181833333;4681833333;1400;1388
126;4192248000;4181833333;4681833333;1398;1386
127;4192251000;4181833333;4681833333;1400;1388
129;4192255000;4181833333;4681833333;1400;1388
130;4192258000;4181833333;4681833333;1400;1388
131;4192261000;4181844444;4681844444;982;970
132;4233904000;4182133333;4682133333;1398;1386
133;4233908000;4182133333;4682133333;1400;1388
134;4233912000;4182133333;4682133333;1398;1386
135;4233915000;4223500000;4723500000;1400;1388
