seqnum;now;rtptime;deadline;packet_len;payload_len
0;7663674000;7512166666;8012166666;1398;1386
1;7663694000;7512166666;8012166666;1400;1388
2;7663762000;7512166666;8012166666;1398;1386
3;7663769000;7543466666;8043466666;1400;1388
4;7663774000;7543466666;8043466666;1400;1388
5;7663777000;7543466666;8043466666;1398;1386
6;7663782000;7543466666;8043466666;1400;1388
7;7663786000;7543466666;8043466666;1398;1386
8;7663790000;7543466666;8043466666;1400;1388
9;7663793000;7543466666;8043466666;1400;1388
10;7663797000;7543477777;8043477777;982;970
11;7705246000;7543788888;8043788888;1398;1386
12;7705273000;7543788888;8043788888;1400;1388
13;7705283000;7543788888;8043788888;1398;1386
14;7705287000;7585111111;8085111111;1400;1388
15;7705296000;7585111111;8085111111;1400;1388
16;7705305000;7585111111;8085111111;1398;1386
17;7705316000;7585111111;8085111111;1400;1388
18;7705320000;7585111111;8085111111;1398;1386
19;7705323000;7585111111;8085111111;1400;1388
20;7705328000;7585111111;8085111111;1400;1388
21;7705332000;7585122222;8085122222;982;970
22;7746920000;7585511111;8085511111;1398;1386
23;7746945000;7585511111;8085511111;1400;1388
24;7746949000;7585511111;8085511111;1398;1386
25;7746953000;7626777777;8126777777;1400;1388
26;7746957000;7626777777;8126777777;1400;1388
27;7746961000;7626777777;8126777777;1398;1386
28;7746964000;7626777777;8126777777;1400;1388
29;7746968000;7626777777;8126777777;1398;1386
30;7746973000;7626777777;8126777777;1400;1388
31;7746976000;7626777777;8126777777;1400;1388
32;7746980000;7626788888;8126788888;982;970
33;7788760000;7627111111;8127111111;1398;1386
34;7788774000;7627111111;8127111111;1400;1388
35;7788778000;7627111111;8127111111;1398;1386
36;7788782000;7668444444;8168444444;1400;1388
37;7788785000;7668444444;8168444444;1400;1388
38;7788790000;7668444444;8168444444;1398;1386
39;7788793000;7668444444;8168444444;1400;1388
40;7788796000;7668444444;8168444444;1398;1386
41;7788799000;7668444444;8168444444;1400;1388
42;7788802000;7668444444;8168444444;1400;1388
43;7788806000;7668455555;8168455555;982;970
44;7830283000;7668777777;8168777777;1398;1386
45;7830302000;7668777777;8168777777;1400;1388
46;7830306000;7668777777;8168777777;1398;1386
47;7830310000;7710111111;8210111111;1400;1388
48;7830313000;7710111111;8210111111;1400;1388
49;7830317000;7710111111;8210111111;1398;1386
50;7830320000;7710111111;8210111111;1400;1388
51;7830324000;7710111111;8210111111;1398;1386
52;7830327000;7710111111;8210111111;1400;1388
53;7830331000;7710111111;8210111111;1400;1388
54;7830491000;7710122222;8210122222;982;970
55;7872078000;7710455555;8210455555;1398;1386
56;7872093000;7710455555;8210455555;1400;1388
57;7872097000;7710455555;8210455555;1398;1386
58;7872100000;7751777777;8251777777;1400;1388
59;7872104000;7751777777;8251777777;1400;1388
60;7872107000;7751777777;8251777777;1398;1386
61;7872111000;7751777777;8251777777;1400;1388
62;7872114000;7751777777;8251777777;1398;1386
63;7872117000;7751777777;8251777777;1400;1388
64;7872121000;7751777777;8251777777;1400;1388
65;7872124000;7751788888;8251788888;982;970
66;7913619000;7752066666;8252066666;1398;1386
67;7913640000;7752066666;8252066666;1400;1388
68;7913644000;7752066666;8252066666;1398;1386
69;7913648000;7793444444;8293444444;1400;1388
70;7913652000;7793444444;8293444444;1400;1388
71;7913655000;7793444444;8293444444;1398;1386
72;7913660000;7793444444;8293444444;1400;1388
73;7913664000;7793444444;8293444444;1398;1386
74;7913668000;7793444444;8293444444;1400;1388
75;7913671000;7793444444;8293444444;1400;1388
76;7913820000;7793455555;8293455555;982;970
77;7955434000;7793777777;8293777777;1398;1386
78;7955448000;7793777777;8293777777;1400;1388
79;7955452000;7793777777;8293777777;1398;1386
80;7955455000;7835122222;8335122222;1400;1388
81;7955458000;7835122222;8335122222;1400;1388
82;7955461000;7835122222;8335122222;1398;1386
83;7955465000;7835122222;8335122222;1400;1388
84;7955468000;7835122222;8335122222;1398;1386
85;7955471000;7835122222;8335122222;1400;1388
86;7955474000;7835122222;8335122222;1400;1388
87;7955477000;7835144444;8335144444;982;970
88;7996901000;7835500000;8335500000;1398;1386
89;7996933000;7835500000;8335500000;1400;1388
90;7996937000;7835500000;8335500000;1398;1386
91;7996940000;7876777777;8376777777;1400;1388
92;7996944000;7876777777;8376777777;1400;1388
93;7996947000;7876777777;8376777777;1398;1386
94;7996950000;7876777777;8376777777;1400;1388
95;7996954000;7876777777;8376777777;1398;1386
96;7997154000;7876777777;8376777777;1400;1388
97;7997162000;7876777777;8376777777;1400;1388
98;7997166000;7876788888;8376788888;982;970
99;8038708000;7877100000;8377100000;1398;1386
100;8038716000;7877100000;8377100000;1400;1388
101;8038719000;7877100000;8377100000;1398;1386
102;8038722000;7918444444;8418444444;1400;1388
103;8038726000;7918444444;8418444444;1400;1388
104;8038729000;7918444444;8418444444;1398;1386
105;8038732000;7918444444;8418444444;1400;1388
106;8038736000;7918444444;8418444444;1398;1386
107;8038739000;7918444444;8418444444;1400;1388
108;8038742000;7918444444;8418444444;1400;1388
109;8038745000;7918455555;8418455555;982;970
110;8080278000;7918722222;8418722222;1398;1386
111;8080292000;7918722222;8418722222;1400;1388
112;8080296000;7918722222;8418722222;1398;1386
113;8080299000;7960111111;8460111111;1400;1388
114;8080303000;7960111111;8460111111;1400;1388
115;8080306000;7960111111;8460111111;1398;1386
116;8080310000;7960111111;8460111111;1400;1388
117;8080313000;7960111111;8460111111;1398;1386
118;8080316000;7960111111;8460111111;1400;1388
119;8080319000;7960111111;8460111111;1400;1388
120;8080322000;7960122222;8460122222;982;970
121;8122060000;7960422222;8460422222;1398;1386
122;8122069000;7960422222;8460422222;1400;1388
123;8122073000;7960422222;8460422222;1398;1386
124;8122077000;8001777777;8501777777;1400;1388
125;8122080000;8001777777;8501777777;1400;1388
126;8122083000;8001777777;8501777777;1398;1386
127;8122086000;8001777777;8501777777;1400;1388
128;8122089000;8001777777;8501777777;1398;1386
129;8122092000;8001777777;8501777777;1400;1388
130;8122096000;8001777777;8501777777;1400;1388
131;8122099000;8001788888;8501788888;982;970
132;8163704000;8002066666;8502066666;1398;1386
133;8163712000;8002066666;8502066666;1400;1388
