seqnum;now;rtptime;deadline
1;11079818000;10807533333;11307533333
3;11119673000;10838911111;11338911111
4;11119683000;10838911111;11338911111
5;11119686000;10838911111;11338911111
6;11119688000;10838911111;11338911111
7;11119691000;10838911111;11338911111
8;11119693000;10838911111;11338911111
9;11119695000;10838911111;11338911111
10;11125739000;10838933333;11338933333
14;11125764000;10880555555;11380555555
15;11125766000;10880555555;11380555555
16;11125769000;10880555555;11380555555
17;11125771000;10880555555;11380555555
18;11125773000;10880555555;11380555555
19;11125775000;10880555555;11380555555
20;11125777000;10880555555;11380555555
21;11161388000;10880566666;11380566666
22;11161402000;10880944444;11380944444
23;11161404000;10880944444;11380944444
24;11161407000;10880944444;11380944444
25;11205580000;10922222222;11422222222
33;11205694000;10922566666;11422566666
34;11205699000;10922566666;11422566666
35;11205701000;10922566666;11422566666
36;11244229000;10963888888;11463888888
37;11244241000;10963888888;11463888888
38;11244243000;10963888888;11463888888
39;11244246000;10963888888;11463888888
40;11244248000;10963888888;11463888888
41;11244250000;10963888888;11463888888
42;11244252000;10963888888;11463888888
43;11244437000;10963900000;11463900000
44;11244447000;10964244444;11464244444
45;11244449000;10964244444;11464244444
46;11244451000;10964244444;11464244444
47;11289147000;11005555555;11505555555
55;11289290000;11005877777;11505877777
56;11289295000;11005877777;11505877777
57;11289298000;11005877777;11505877777
58;11326171000;11047222222;11547222222
59;11326182000;11047222222;11547222222
60;11326184000;11047222222;11547222222
61;11326186000;11047222222;11547222222
62;11326187000;11047222222;11547222222
63;11326189000;11047222222;11547222222
64;11326191000;11047222222;11547222222
65;11326409000;11047233333;11547233333
66;11326427000;11047522222;11547522222
67;11326428000;11047522222;11547522222
68;11326430000;11047522222;11547522222
69;11366493000;11088888888;11588888888
70;11366497000;11088888888;11588888888
71;11366499000;11088888888;11588888888
72;11366501000;11088888888;11588888888
73;11366503000;11088888888;11588888888
74;11366504000;11088888888;11588888888
75;11366506000;11088888888;11588888888
76;11366708000;11088900000;11588900000
77;11366724000;11089233333;11589233333
78;11366725000;11089233333;11589233333
79;11366727000;11089233333;11589233333
80;11406364000;11130555555;11630555555
81;11406368000;11130555555;11630555555
82;11406370000;11130555555;11630555555
83;11406371000;11130555555;11630555555
84;11406372000;11130555555;11630555555
85;11406373000;11130555555;11630555555
86;11406374000;11130555555;11630555555
87;11406575000;11130566666;11630566666
88;11406583000;11130877777;11630877777
89;11406584000;11130877777;11630877777
90;11406585000;11130877777;11630877777
91;11445966000;11172222222;11672222222
