seqnum;now;rtptime;deadline
2;6475329000;6085111111;6585111111
18;6599211000;6158088888;6658088888
58;6719142000;6324766666;6824766666
119;6828835000;6533100000;7033100000
151;6867117000;6658100000;7158100000
162;7132722000;6699800000;7199800000
229;7178077000;6949777777;7449777777
241;7280825000;6991500000;7491500000
274;7377835000;7116500000;7616500000
297;7377842000;7200122222;7700122222
298;7377843000;7200122222;7700122222
299;7377844000;7200122222;7700122222
300;7453174000;7241433333;7741433333
319;7614919000;7283544444;7783544444
363;7732336000;7450100000;7950100000
385;7771831000;7533455555;8033455555
396;7775872000;7575111111;8075111111
397;7775876000;7575111111;8075111111
398;7775877000;7575111111;8075111111
399;7821006000;7616444444;8116444444
409;7821119000;7616800000;8116800000
410;7832007000;7658100000;8158100000
419;7832119000;7658577777;8158577777
420;7832122000;7658577777;8158577777
421;7867060000;7699766666;8199766666
431;7867136000;7700111111;8200111111
432;7894186000;7741444444;8241444444
433;7894204000;7741444444;8241444444
434;7894206000;7741444444;8241444444
435;7894207000;7741444444;8241444444
436;7894209000;7741444444;8241444444
437;7894210000;7741444444;8241444444
438;7894211000;7741444444;8241444444
439;7895596000;7741500000;8241500000
440;7895603000;7741811111;8241811111
441;7895605000;7741811111;8241811111
442;7895606000;7741811111;8241811111
443;7927858000;7783100000;8283100000
444;7927868000;7783100000;8283100000
445;7927871000;7783100000;8283100000
446;7927872000;7783100000;8283100000
447;7927874000;7783100000;8283100000
448;7927875000;7783100000;8283100000
449;7927877000;7783100000;8283100000
450;7927986000;7783155555;8283155555
451;7927991000;7783444444;8283444444
452;7927993000;7783444444;8283444444
453;7927994000;7783444444;8283444444
454;7960594000;7824777777;8324777777
455;7960598000;7824777777;8324777777
456;7960599000;7824777777;8324777777
457;7960600000;7824777777;8324777777
458;7960602000;7824777777;8324777777
459;7960603000;7824777777;8324777777
460;7960604000;7824777777;8324777777
461;7963161000;7824833333;8324833333
462;7963167000;7825100000;8325100000
463;7963178000;7825100000;8325100000
464;7963179000;7825100000;8325100000
465;8001030000;7866433333;8366433333
466;8001033000;7866433333;8366433333
467;8001034000;7866433333;8366433333
468;8001035000;7866433333;8366433333
469;8001037000;7866433333;8366433333
470;8001038000;7866433333;8366433333
471;8001039000;7866433333;8366433333
472;8001157000;7866488888;8366488888
473;8001162000;7866877777;8366877777
474;8001163000;7866877777;8366877777
476;8040435000;7908100000;8408100000
477;8040438000;7908100000;8408100000
478;8040439000;7908100000;8408100000
479;8040440000;7908100000;8408100000
480;8040441000;7908100000;8408100000
481;8040442000;7908100000;8408100000
482;8040443000;7908100000;8408100000
483;8040516000;7908155555;8408155555
484;8040531000;7908466666;8408466666
485;8040532000;7908466666;8408466666
486;8040533000;7908466666;8408466666
487;8081076000;7949766666;8449766666
488;8081080000;7949766666;8449766666
489;8081081000;7949766666;8449766666
490;8081082000;7949766666;8449766666
491;8081083000;7949766666;8449766666
492;8081084000;7949766666;8449766666
493;8081085000;7949766666;8449766666
494;8081197000;7949822222;8449822222
495;8081202000;7950111111;8450111111
496;8081203000;7950111111;8450111111
498;8122395000;7991444444;8491444444
500;8122401000;7991444444;8491444444
502;8122403000;7991444444;8491444444
503;8122404000;7991444444;8491444444
504;8122406000;7991444444;8491444444
506;8122420000;7991766666;8491766666
507;8122422000;7991766666;8491766666
508;8122433000;7991766666;8491766666
509;8163606000;8033100000;8533100000
510;8163618000;8033100000;8533100000
511;8163619000;8033100000;8533100000
512;8163620000;8033100000;8533100000
513;8163622000;8033100000;8533100000
514;8163623000;8033100000;8533100000
515;8163625000;8033100000;8533100000
516;8163759000;8033155555;8533155555
517;8163765000;8033577777;8533577777
518;8163766000;8033577777;8533577777
519;8163767000;8033577777;8533577777
520;8398920000;8074777777;8574777777
563;8563145000;8200100000;8700100000
604;8633566000;8366488888;8866488888
626;8765229000;8449822222;8949822222
659;8904873000;8574822222;9074822222
693;8904883000;8700133333;9200133333
694;8904886000;8700133333;9200133333
695;8904887000;8700133333;9200133333
696;8999797000;8741444444;9241444444
726;9026764000;8825100000;9325100000
727;9026767000;8825100000;9325100000
728;9026768000;8825100000;9325100000
729;9071800000;8866433333;9366433333
743;9238192000;8908100000;9408100000
781;9315861000;9033455555;9533455555
803;9357041000;9116822222;9616822222
814;9360109000;9158477777;9658477777
815;9360122000;9158477777;9658477777
816;9360123000;9158477777;9658477777
817;9405213000;9199777777;9699777777
832;9415607000;9241433333;9741433333
837;9415672000;9241788888;9741788888
838;9415675000;9241788888;9741788888
839;9450632000;9283088888;9783088888
849;9450698000;9283566666;9783566666
850;9473132000;9324800000;9824800000
851;9473140000;9324800000;9824800000
852;9473141000;9324800000;9824800000
853;9473143000;9324800000;9824800000
854;9473144000;9324800000;9824800000
855;9473145000;9324800000;9824800000
856;9473146000;9324800000;9824800000
857;9479211000;9324844444;9824844444
858;9479230000;9325144444;9825144444
859;9479232000;9325144444;9825144444
860;9479233000;9325144444;9825144444
861;9511309000;9366433333;9866433333
862;9511317000;9366433333;9866433333
863;9511319000;9366433333;9866433333
864;9511321000;9366433333;9866433333
865;9511322000;9366433333;9866433333
866;9511323000;9366433333;9866433333
867;9511324000;9366433333;9866433333
868;9511445000;9366488888;9866488888
869;9511451000;9366800000;9866800000
870;9511452000;9366800000;9866800000
871;9511454000;9366800000;9866800000
872;9544066000;9408100000;9908100000
873;9544070000;9408100000;9908100000
874;9544071000;9408100000;9908100000
875;9544073000;9408100000;9908100000
876;9544074000;9408100000;9908100000
877;9544075000;9408100000;9908100000
878;9544077000;9408100000;9908100000
879;9546545000;9408155555;9908155555
880;9546551000;9408466666;9908466666
881;9546553000;9408466666;9908466666
882;9546554000;9408466666;9908466666
883;9584397000;9449766666;9949766666
884;9584401000;9449766666;9949766666
885;9584402000;9449766666;9949766666
886;9584403000;9449766666;9949766666
887;9584404000;9449766666;9949766666
888;9584405000;9449766666;9949766666
889;9584406000;9449766666;9949766666
890;9584519000;9449822222;9949822222
891;9584523000;9450111111;9950111111
892;9584525000;9450111111;9950111111
893;9584526000;9450111111;9950111111
894;9623121000;9491433333;9991433333
895;9623124000;9491433333;9991433333
896;9623125000;9491433333;9991433333
897;9623126000;9491433333;9991433333
898;9623127000;9491433333;9991433333
899;9623128000;9491433333;9991433333
900;9623129000;9491433333;9991433333
901;9623781000;9491488888;9991488888
902;9623786000;9491811111;9991811111
903;9623787000;9491811111;9991811111
904;9623788000;9491811111;9991811111
905;9664279000;9533122222;10033122222
906;9664282000;9533122222;10033122222
907;9664283000;9533122222;10033122222
908;9664284000;9533122222;10033122222
909;9664285000;9533122222;10033122222
910;9664286000;9533122222;10033122222
911;9664287000;9533122222;10033122222
912;9664399000;9533166666;10033166666
913;9664405000;9533488888;10033488888
914;9664406000;9533488888;10033488888
