seqnum;now;rtptime;deadline;packet_len;payload_len
0;7122447000;6632811111;7132811111;10240;10228
1;7122525000;6632811111;7132811111;10240;10228
2;7122549000;6632811111;7132811111;10240;10228
3;7122589000;6663955555;7163955555;10240;10228
4;7122601000;6663955555;7163955555;10240;10228
5;7122612000;6663955555;7163955555;10240;10228
6;7122624000;6663955555;7163955555;10240;10228
7;7122630000;6663955555;7163955555;10240;10228
8;7122637000;6663955555;7163955555;10240;10228
9;7122645000;6663955555;7163955555;10240;10228
10;7122658000;6663966666;7163966666;10240;10228
11;7122666000;6664311111;7164311111;10240;10228
12;7122676000;6664311111;7164311111;10240;10228
13;7122683000;6664311111;7164311111;10240;10228
14;7122690000;6705600000;7205600000;10240;10228
15;7122696000;6705600000;7205600000;10240;10228
16;7122716000;6705600000;7205600000;10240;10228
17;7122723000;6705600000;7205600000;10240;10228
18;7122731000;6705600000;7205600000;10240;10228
19;7122739000;6705600000;7205600000;10240;10228
20;7122746000;6705600000;7205600000;10240;10228
21;7122753000;6705611111;7205611111;10240;10228
22;7122761000;6706000000;7206000000;10240;10228
23;7122767000;6706000000;7206000000;10240;10228
24;7122777000;6706000000;7206000000;10240;10228
25;7122783000;6747266666;7247266666;10240;10228
26;7122794000;6747266666;7247266666;10240;10228
27;7122801000;6747266666;7247266666;10240;10228
28;7122810000;6747266666;7247266666;10240;10228
29;7122817000;6747266666;7247266666;10240;10228
30;7122847000;6747266666;7247266666;10240;10228
31;7122857000;6747266666;7247266666;10240;10228
32;7122864000;6747277777;7247277777;10240;10228
33;7122873000;6747611111;7247611111;10240;10228
34;7122882000;6747611111;7247611111;10240;10228
35;7122897000;6747611111;7247611111;10240;10228
36;7122906000;6788933333;7288933333;10240;10228
37;7122913000;6788933333;7288933333;10240;10228
38;7122921000;6788933333;7288933333;10240;10228
39;7122944000;6788933333;7288933333;10240;10228
40;7122952000;6788933333;7288933333;10240;10228
41;7122959000;6788933333;7288933333;10240;10228
42;7122966000;6788933333;7288933333;10240;10228
43;7122993000;6788944444;7288944444;10240;10228
44;7123001000;6789288888;7289288888;10240;10228
45;7123010000;6789288888;7289288888;10240;10228
46;7123017000;6789288888;7289288888;10240;10228
47;7123070000;6830600000;7330600000;10240;10228
48;7123089000;6830600000;7330600000;10240;10228
49;7123108000;6830600000;7330600000;10240;10228
50;7123116000;6830600000;7330600000;10240;10228
51;7123123000;6830600000;7330600000;10240;10228
52;7123130000;6830600000;7330600000;10240;10228
53;7123136000;6830600000;7330600000;10240;10228
54;7123143000;6830622222;7330622222;10240;10228
55;7123151000;6830933333;7330933333;10240;10228
56;7123162000;6830933333;7330933333;10240;10228
57;7123168000;6830933333;7330933333;10240;10228
58;7123176000;6872266666;7372266666;10240;10228
59;7123182000;6872266666;7372266666;10240;10228
60;7123191000;6872266666;7372266666;10240;10228
61;7123201000;6872266666;7372266666;10240;10228
62;7123208000;6872266666;7372266666;10240;10228
63;7123215000;6872266666;7372266666;10240;10228
64;7123243000;6872266666;7372266666;10240;10228
65;7123250000;6872288888;7372288888;10240;10228
66;7123258000;6872577777;7372577777;10240;10228
67;7123265000;6872577777;7372577777;10240;10228
68;7123271000;6872577777;7372577777;10240;10228
