seqnum;now;rtptime;deadline
2;7611843000;7021533333;7521533333
4;7693141000;7052700000;7552700000
57;7855258000;7219744444;7719744444
136;8036569000;7552688888;8052688888
137;8036581000;7552688888;8052688888
138;8036589000;7552688888;8052688888
139;8036590000;7552688888;8052688888
140;8036592000;7552688888;8052688888
141;8036593000;7552688888;8052688888
142;8036734000;7552700000;8052700000
143;8036737000;7552966666;8052966666
144;8036738000;7552966666;8052966666
145;8036738000;7552966666;8052966666
146;8047703000;7594355555;8094355555
147;8047704000;7594355555;8094355555
148;8047705000;7594355555;8094355555
149;8047706000;7594355555;8094355555
150;8047707000;7594355555;8094355555
151;8047708000;7594355555;8094355555
152;8047709000;7594355555;8094355555
153;8047853000;7594366666;8094366666
154;8047856000;7594711111;8094711111
155;8047857000;7594711111;8094711111
156;8047858000;7594711111;8094711111
157;8052745000;7636011111;8136011111
158;8052747000;7636011111;8136011111
159;8092832000;7636011111;8136011111
160;8092839000;7636011111;8136011111
161;8092844000;7636011111;8136011111
162;8092850000;7636011111;8136011111
163;8092861000;7636011111;8136011111
164;8143331000;7636022222;8136022222
212;8143346000;7844355555;8344355555
213;8143348000;7844355555;8344355555
214;8143349000;7844355555;8344355555
215;8143350000;7844355555;8344355555
216;8143351000;7844355555;8344355555
217;8143351000;7844355555;8344355555
218;8143352000;7844355555;8344355555
219;8345546000;7844366666;8344366666
284;8345553000;8094333333;8594333333
285;8490523000;8094355555;8594355555
292;8490528000;8136000000;8636000000
293;8490529000;8136000000;8636000000
294;8490530000;8136000000;8636000000
295;8490532000;8136000000;8636000000
296;8505227000;8136022222;8636022222
297;8505230000;8136288888;8636288888
298;8505231000;8136288888;8636288888
299;8505233000;8136288888;8636288888
300;8517786000;8177688888;8677688888
301;8517788000;8177688888;8677688888
304;8518617000;8177688888;8677688888
305;8518618000;8177688888;8677688888
306;8518619000;8177688888;8677688888
307;8518765000;8177700000;8677700000
308;8518768000;8177966666;8677966666
309;8518769000;8177966666;8677966666
310;8518770000;8177966666;8677966666
311;8529783000;8219366666;8719366666
312;8529785000;8219366666;8719366666
313;8529786000;8219366666;8719366666
314;8529787000;8219366666;8719366666
315;8573800000;8219366666;8719366666
316;8573815000;8219366666;8719366666
317;8573818000;8219366666;8719366666
318;8624289000;8219377777;8719377777
362;8788545000;8386033333;8886033333
368;8788576000;8427688888;8927688888
369;8788579000;8427688888;8927688888
370;8788582000;8427688888;8927688888
371;8788584000;8427688888;8927688888
372;8788585000;8427688888;8927688888
373;8825511000;8427700000;8927700000
417;8965658000;8594355555;9094355555
447;8965665000;8719377777;9219377777
448;8965667000;8719377777;9219377777
449;8965667000;8719377777;9219377777
450;9012306000;8719422222;9219422222
451;9012329000;8719733333;9219733333
452;9012330000;8719733333;9219733333
453;9012332000;8719733333;9219733333
454;9027700000;8761033333;9261033333
455;9027710000;8761033333;9261033333
456;9027712000;8761033333;9261033333
457;9027714000;8761033333;9261033333
458;9027715000;8761033333;9261033333
459;9027718000;8761033333;9261033333
460;9027719000;8761033333;9261033333
461;9027904000;8761088888;9261088888
462;9027908000;8761355555;9261355555
463;9027910000;8761355555;9261355555
464;9027911000;8761355555;9261355555
465;9046167000;8802711111;9302711111
466;9046179000;8802711111;9302711111
467;9046181000;8802711111;9302711111
468;9046183000;8802711111;9302711111
469;9046184000;8802711111;9302711111
470;9054909000;8802711111;9302711111
471;9054930000;8802711111;9302711111
472;9106485000;8802755555;9302755555
495;9106496000;8886322222;9386322222
496;9106507000;8886322222;9386322222
497;9106508000;8886322222;9386322222
498;9229716000;8927666666;9427666666
526;9308130000;9011033333;9511033333
549;9381397000;9094422222;9594422222
563;9381404000;9136300000;9636300000
564;9636628000;9177700000;9677700000
636;9729536000;9427700000;9927700000
659;9766218000;9511077777;10011077777
670;9784693000;9552744444;10052744444
671;9784699000;9553022222;10053022222
672;9784700000;9553022222;10053022222
673;9784701000;9553022222;10053022222
674;9807654000;9594366666;10094366666
682;10018512000;9594788888;10094788888
736;10208956000;9802744444;10302744444
780;10268644000;9969411111;10469411111
802;10299938000;10052744444;10552744444
813;10320661000;10094433333;10594433333
814;10320667000;10094788888;10594788888
815;10320668000;10094788888;10594788888
816;10320670000;10094788888;10594788888
817;10345372000;10136033333;10636033333
825;10345489000;10136366666;10636366666
826;10345492000;10136366666;10636366666
827;10345493000;10136366666;10636366666
828;10373978000;10177700000;10677700000
829;10373981000;10177700000;10677700000
830;10373982000;10177700000;10677700000
831;10373983000;10177700000;10677700000
832;10373984000;10177700000;10677700000
833;10373985000;10177700000;10677700000
834;10373986000;10177700000;10677700000
835;10374207000;10177744444;10677744444
836;10374223000;10178055555;10678055555
837;10374224000;10178055555;10678055555
838;10374225000;10178055555;10678055555
839;10406119000;10219366666;10719366666
840;10406123000;10219366666;10719366666
841;10406124000;10219366666;10719366666
842;10406125000;10219366666;10719366666
843;10406126000;10219366666;10719366666
844;10406127000;10219366666;10719366666
845;10406128000;10219366666;10719366666
846;10406336000;10219411111;10719411111
847;10406351000;10219755555;10719755555
848;10406352000;10219755555;10719755555
849;10406353000;10219755555;10719755555
850;10441217000;10261033333;10761033333
851;10441221000;10261033333;10761033333
852;10441222000;10261033333;10761033333
853;10441223000;10261033333;10761033333
854;10441224000;10261033333;10761033333
855;10441225000;10261033333;10761033333
856;10441226000;10261033333;10761033333
857;10441434000;10261077777;10761077777
858;10441440000;10261377777;10761377777
859;10441441000;10261377777;10761377777
860;10441442000;10261377777;10761377777
861;10493327000;10302700000;10802700000
862;10493333000;10302700000;10802700000
863;10493334000;10302700000;10802700000
864;10493335000;10302700000;10802700000
865;10493337000;10302700000;10802700000
866;10493338000;10302700000;10802700000
867;10493339000;10302700000;10802700000
868;10513934000;10302744444;10802744444
872;10513950000;10344366666;10844366666
873;10513951000;10344366666;10844366666
874;10513953000;10344366666;10844366666
875;10513954000;10344366666;10844366666
876;10513955000;10344366666;10844366666
877;10513956000;10344366666;10844366666
878;10513958000;10344366666;10844366666
879;10517734000;10344411111;10844411111
880;10517754000;10344755555;10844755555
881;10517756000;10344755555;10844755555
882;10517757000;10344755555;10844755555
883;10557965000;10386033333;10886033333
884;10557972000;10386033333;10886033333
885;10557974000;10386033333;10886033333
886;10557976000;10386033333;10886033333
887;10557977000;10386033333;10886033333
888;10557979000;10386033333;10886033333
889;10557980000;10386033333;10886033333
890;10558218000;10386077777;10886077777
891;10558234000;10386377777;10886377777
892;10558235000;10386377777;10886377777
893;10558236000;10386377777;10886377777
894;10598792000;10427700000;10927700000
895;10598796000;10427700000;10927700000
896;10598797000;10427700000;10927700000
897;10598798000;10427700000;10927700000
898;10598799000;10427700000;10927700000
899;10598800000;10427700000;10927700000
900;10598801000;10427700000;10927700000
901;10599011000;10427744444;10927744444
902;10599026000;10428033333;10928033333
903;10599028000;10428033333;10928033333
904;10599029000;10428033333;10928033333
905;10640074000;10469366666;10969366666
906;10640078000;10469366666;10969366666
907;10640079000;10469366666;10969366666
908;10640080000;10469366666;10969366666
909;10640081000;10469366666;10969366666
910;10640082000;10469366666;10969366666
911;10640083000;10469366666;10969366666
912;10640292000;10469411111;10969411111
913;10640308000;10469766666;10969766666
914;10640309000;10469766666;10969766666
915;10640310000;10469766666;10969766666
916;10681563000;10511033333;11011033333
917;10681567000;10511033333;11011033333
918;10681568000;10511033333;11011033333
919;10681569000;10511033333;11011033333
920;10681570000;10511033333;11011033333
921;10681571000;10511033333;11011033333
922;10681572000;10511033333;11011033333
923;10681774000;10511077777;11011077777
924;10681779000;10511377777;11011377777
925;10681780000;10511377777;11011377777
927;10723219000;10552700000;11052700000
928;10723222000;10552700000;11052700000
929;10723224000;10552700000;11052700000
930;10723224000;10552700000;11052700000
931;10723225000;10552700000;11052700000
932;10723226000;10552700000;11052700000
933;10723227000;10552700000;11052700000
934;10723355000;10552744444;11052744444
935;10723371000;10553033333;11053033333
936;10723372000;10553033333;11053033333
937;10723373000;10553033333;11053033333
938;10764793000;10594366666;11094366666
939;10764796000;10594366666;11094366666
940;10764797000;10594366666;11094366666
941;10764799000;10594366666;11094366666
942;10764799000;10594366666;11094366666
943;10764800000;10594366666;11094366666
944;10764801000;10594366666;11094366666
945;10765009000;10594411111;11094411111
946;10765025000;10594766666;11094766666
947;10765027000;10594766666;11094766666
948;10765028000;10594766666;11094766666
949;10819160000;10636033333;11136033333
950;10819165000;10636033333;11136033333
951;10819166000;10636033333;11136033333
952;10819167000;10636033333;11136033333
953;10819169000;10636033333;11136033333
954;10819170000;10636033333;11136033333
955;10819171000;10636033333;11136033333
956;10819333000;10636077777;11136077777
957;10819336000;10636388888;11136388888
958;10819337000;10636388888;11136388888
959;10819339000;10636388888;11136388888
960;10848139000;10677700000;11177700000
961;10848146000;10677700000;11177700000
962;10848148000;10677700000;11177700000
963;10848150000;10677700000;11177700000
964;10848151000;10677700000;11177700000
965;10848153000;10677700000;11177700000
966;10848155000;10677700000;11177700000
967;10848382000;10677744444;11177744444
