seqnum;now;rtptime;deadline;packet_len;payload_len
0;3444657000;3365555555;3865555555;10240;10228
1;3444731000;3365555555;3865555555;10240;10228
2;3444749000;3365555555;3865555555;10240;10228
3;3444757000;3396722222;3896722222;10240;10228
4;3444763000;3396722222;3896722222;10240;10228
5;3444773000;3396722222;3896722222;10240;10228
6;3444778000;3396722222;3896722222;10240;10228
7;3444782000;3396722222;3896722222;10240;10228
8;3444814000;3396722222;3896722222;10240;10228
9;3444820000;3396722222;3896722222;10240;10228
10;3444851000;3396744444;3896744444;10240;10228
0;3444860000;3365555555;3865555555;10240;10228
1;3445058000;3365555555;3865555555;10240;10228
2;3445260000;3365555555;3865555555;10240;10228
3;3445272000;3396722222;3896722222;10240;10228
4;3445469000;3396722222;3896722222;10240;10228
5;3445480000;3396722222;3896722222;10240;10228
6;3445663000;3396722222;3896722222;10240;10228
7;3445683000;3396722222;3896722222;10240;10228
8;3445866000;3396722222;3896722222;10240;10228
9;3446063000;3396722222;3896722222;10240;10228
10;3446084000;3396744444;3896744444;10240;10228
11;3447893000;3397100000;3897100000;10240;10228
12;3447911000;3397100000;3897100000;10240;10228
13;3447916000;3397100000;3897100000;10240;10228
14;3447925000;3438400000;3938400000;10240;10228
15;3447943000;3438400000;3938400000;10240;10228
16;3447963000;3438400000;3938400000;10240;10228
17;3447972000;3438400000;3938400000;10240;10228
18;3447989000;3438400000;3938400000;10240;10228
19;3448004000;3438400000;3938400000;10240;10228
20;3448013000;3438400000;3938400000;10240;10228
21;3448020000;3438488888;3938488888;10240;10228
11;3448099000;3397100000;3897100000;10240;10228
12;3448304000;3397100000;3897100000;10240;10228
13;3448512000;3397100000;3897100000;10240;10228
14;3448532000;3438400000;3938400000;10240;10228
15;3448714000;3438400000;3938400000;10240;10228
16;3448735000;3438400000;3938400000;10240;10228
17;3448918000;3438400000;3938400000;10240;10228
18;3448931000;3438400000;3938400000;10240;10228
19;3449164000;3438400000;3938400000;10240;10228
20;3449341000;3438400000;3938400000;10240;10228
21;3449351000;3438488888;3938488888;10240;10228
22;3489639000;3438900000;3938900000;10240;10228
23;3489665000;3438900000;3938900000;10240;10228
24;3489678000;3438900000;3938900000;10240;10228
25;3489684000;3480066666;3980066666;10240;10228
26;3489689000;3480066666;3980066666;10240;10228
27;3489695000;3480066666;3980066666;10240;10228
28;3489717000;3480066666;3980066666;10240;10228
29;3489734000;3480066666;3980066666;10240;10228
30;3489755000;3480066666;3980066666;10240;10228
31;3489769000;3480066666;3980066666;10240;10228
32;3489780000;3480144444;3980144444;10240;10228
22;3489799000;3438900000;3938900000;10240;10228
23;3489991000;3438900000;3938900000;10240;10228
24;3490190000;3438900000;3938900000;10240;10228
25;3490202000;3480066666;3980066666;10240;10228
26;3490371000;3480066666;3980066666;10240;10228
27;3490386000;3480066666;3980066666;10240;10228
28;3490566000;3480066666;3980066666;10240;10228
29;3490576000;3480066666;3980066666;10240;10228
30;3490770000;3480066666;3980066666;10240;10228
31;3491000000;3480066666;3980066666;10240;10228
32;3491011000;3480144444;3980144444;10240;10228
33;3531339000;3480477777;3980477777;10240;10228
34;3531367000;3480477777;3980477777;10240;10228
35;3531373000;3480477777;3980477777;10240;10228
36;3531381000;3521844444;4021844444;10240;10228
37;3531445000;3521844444;4021844444;10240;10228
38;3531459000;3521844444;4021844444;10240;10228
39;3531464000;3521844444;4021844444;10240;10228
40;3531469000;3521844444;4021844444;10240;10228
41;3531490000;3521844444;4021844444;10240;10228
33;3531511000;3480477777;3980477777;10240;10228
42;3531518000;3521844444;4021844444;10240;10228
43;3531528000;3521988888;4021988888;10240;10228
34;3531681000;3480477777;3980477777;10240;10228
35;3531879000;3480477777;3980477777;10240;10228
36;3531892000;3521844444;4021844444;10240;10228
37;3532098000;3521844444;4021844444;10240;10228
38;3532110000;3521844444;4021844444;10240;10228
39;3532262000;3521844444;4021844444;10240;10228
40;3532467000;3521844444;4021844444;10240;10228
41;3532497000;3521844444;4021844444;10240;10228
42;3532695000;3521844444;4021844444;10240;10228
43;3532708000;3521988888;4021988888;10240;10228
44;3572972000;3522711111;4022711111;10240;10228
45;3572998000;3522711111;4022711111;10240;10228
46;3573009000;3522711111;4022711111;10240;10228
47;3573026000;3563411111;4063411111;10240;10228
48;3573058000;3563411111;4063411111;10240;10228
49;3573092000;3563411111;4063411111;10240;10228
50;3573108000;3563411111;4063411111;10240;10228
51;3573127000;3563411111;4063411111;10240;10228
52;3573133000;3563411111;4063411111;10240;10228
53;3573154000;3563411111;4063411111;10240;10228
54;3573160000;3563500000;4063500000;10240;10228
44;3573179000;3522711111;4022711111;10240;10228
45;3573264000;3522711111;4022711111;10240;10228
46;3573465000;3522711111;4022711111;10240;10228
47;3573474000;3563411111;4063411111;10240;10228
48;3573671000;3563411111;4063411111;10240;10228
49;3573689000;3563411111;4063411111;10240;10228
50;3573889000;3563411111;4063411111;10240;10228
51;3574096000;3563411111;4063411111;10240;10228
