seqnum;now;rtptime;deadline;packet_len;payload_len
0;6876162000;6386466666;6886466666;10240;10228
3;6876253000;6417633333;6917633333;10240;10228
4;6876292000;6417633333;6917633333;10240;10228
7;6876328000;6417633333;6917633333;10240;10228
8;6876335000;6417633333;6917633333;10240;10228
11;6876340000;6418000000;6918000000;10240;10228
12;6876346000;6418000000;6918000000;10240;10228
15;6876349000;6459288888;6959288888;10240;10228
16;6876358000;6459288888;6959288888;10240;10228
19;6876368000;6459288888;6959288888;10240;10228
20;6876373000;6459288888;6959288888;10240;10228
23;6876379000;6459688888;6959688888;10240;10228
24;6876386000;6459688888;6959688888;10240;10228
27;6876391000;6500955555;7000955555;10240;10228
28;6876402000;6500955555;7000955555;10240;10228
31;6876406000;6500955555;7000955555;10240;10228
32;6876410000;6500966666;7000966666;10240;10228
35;6876415000;6501288888;7001288888;10240;10228
36;6876428000;6542622222;7042622222;10240;10228
39;6876432000;6542622222;7042622222;10240;10228
1;6876436000;6386466666;6886466666;10240;10228
40;6876545000;6542622222;7042622222;10240;10228
43;6876557000;6542633333;7042633333;10240;10228
44;6876563000;6542955555;7042955555;10240;10228
47;6876569000;6584288888;7084288888;10240;10228
48;6876573000;6584288888;7084288888;10240;10228
51;6876578000;6584288888;7084288888;10240;10228
52;6876583000;6584288888;7084288888;10240;10228
55;6876604000;6584622222;7084622222;10240;10228
2;6876610000;6386466666;6886466666;10240;10228
5;6876616000;6417633333;6917633333;10240;10228
56;6876620000;6584622222;7084622222;10240;10228
59;6876630000;6625955555;7125955555;10240;10228
60;6876638000;6625955555;7125955555;10240;10228
63;6876658000;6625955555;7125955555;10240;10228
64;6876669000;6625955555;7125955555;10240;10228
67;6876685000;6626255555;7126255555;10240;10228
68;6876690000;6626255555;7126255555;10240;10228
71;6876694000;6667622222;7167622222;10240;10228
72;6876698000;6667622222;7167622222;10240;10228
75;6876704000;6667622222;7167622222;10240;10228
76;6876709000;6667633333;7167633333;10240;10228
79;6876728000;6667966666;7167966666;10240;10228
6;6876735000;6417633333;6917633333;10240;10228
9;6876942000;6417633333;6917633333;10240;10228
10;6876954000;6417655555;6917655555;10240;10228
13;6877152000;6418000000;6918000000;10240;10228
14;6877167000;6459288888;6959288888;10240;10228
17;6877326000;6459288888;6959288888;10240;10228
18;6877347000;6459288888;6959288888;10240;10228
21;6877521000;6459300000;6959300000;10240;10228
22;6877533000;6459688888;6959688888;10240;10228
25;6877759000;6500955555;7000955555;10240;10228
