seqnum;now;rtptime;deadline;packet_len;payload_len
1;8711556000;8122222222;8622222222;10240;10228
2;8711620000;8122222222;8622222222;10240;10228
5;8711644000;8153600000;8653600000;10240;10228
6;8711650000;8153600000;8653600000;10240;10228
9;8711657000;8153600000;8653600000;10240;10228
10;8711661000;8153622222;8653622222;10240;10228
13;8711681000;8154022222;8654022222;10240;10228
14;8711685000;8195255555;8695255555;10240;10228
17;8711690000;8195255555;8695255555;10240;10228
18;8711698000;8195255555;8695255555;10240;10228
21;8711712000;8195266666;8695266666;10240;10228
22;8711717000;8195655555;8695655555;10240;10228
25;8711723000;8236911111;8736911111;10240;10228
26;8711728000;8236911111;8736911111;10240;10228
29;8711733000;8236911111;8736911111;10240;10228
30;8711738000;8236911111;8736911111;10240;10228
33;8711742000;8237255555;8737255555;10240;10228
34;8711746000;8237255555;8737255555;10240;10228
37;8711765000;8278588888;8778588888;10240;10228
0;8711772000;8122222222;8622222222;10240;10228
38;8711789000;8278588888;8778588888;10240;10228
41;8711798000;8278588888;8778588888;10240;10228
42;8711808000;8278588888;8778588888;10240;10228
45;8711812000;8278922222;8778922222;10240;10228
46;8711818000;8278922222;8778922222;10240;10228
49;8711821000;8320244444;8820244444;10240;10228
50;8711829000;8320244444;8820244444;10240;10228
54;8711836000;8320266666;8820266666;10240;10228
56;8711845000;8320588888;8820588888;10240;10228
57;8711858000;8320588888;8820588888;10240;10228
60;8711878000;8361922222;8861922222;10240;10228
61;8711883000;8361922222;8861922222;10240;10228
64;8711901000;8361922222;8861922222;10240;10228
65;8711916000;8361933333;8861933333;10240;10228
68;8711928000;8362222222;8862222222;10240;10228
69;8711933000;8403588888;8903588888;10240;10228
72;8711942000;8403588888;8903588888;10240;10228
4;8711947000;8153600000;8653600000;10240;10228
73;8711956000;8403588888;8903588888;10240;10228
76;8711961000;8403600000;8903600000;10240;10228
77;8711970000;8403933333;8903933333;10240;10228
7;8712127000;8153600000;8653600000;10240;10228
8;8712142000;8153600000;8653600000;10240;10228
