seqnum;now;rtptime;deadline;packet_len;payload_len
1;7539541000;6996033333;7496033333;10240;10228
2;7539643000;6996033333;7496033333;10240;10228
5;7539660000;7027333333;7527333333;10240;10228
6;7539668000;7027333333;7527333333;10240;10228
9;7539673000;7027333333;7527333333;10240;10228
10;7539677000;7027344444;7527344444;10240;10228
14;7539682000;7069000000;7569000000;10240;10228
17;7539687000;7069000000;7569000000;10240;10228
18;7539699000;7069000000;7569000000;10240;10228
21;7539709000;7069022222;7569022222;10240;10228
22;7539717000;7069400000;7569400000;10240;10228
25;7539730000;7110644444;7610644444;10240;10228
26;7539748000;7110644444;7610644444;10240;10228
29;7539755000;7110644444;7610644444;10240;10228
30;7539764000;7110644444;7610644444;10240;10228
33;7539771000;7111000000;7611000000;10240;10228
36;7539779000;7152311111;7652311111;10240;10228
37;7539788000;7152311111;7652311111;10240;10228
40;7539805000;7152311111;7652311111;10240;10228
41;7539813000;7152311111;7652311111;10240;10228
0;7539821000;6996033333;7496033333;10240;10228
44;7539829000;7152655555;7652655555;10240;10228
45;7539851000;7152655555;7652655555;10240;10228
48;7539862000;7193977777;7693977777;10240;10228
3;7539869000;7027333333;7527333333;10240;10228
49;7539898000;7193977777;7693977777;10240;10228
52;7539915000;7193977777;7693977777;10240;10228
53;7539958000;7193977777;7693977777;10240;10228
56;7539977000;7194311111;7694311111;10240;10228
57;7539989000;7194311111;7694311111;10240;10228
60;7539994000;7235644444;7735644444;10240;10228
61;7540007000;7235644444;7735644444;10240;10228
64;7540020000;7235644444;7735644444;10240;10228
65;7540040000;7235666666;7735666666;10240;10228
68;7540060000;7235966666;7735966666;10240;10228
69;7540067000;7277311111;7777311111;10240;10228
72;7540077000;7277311111;7777311111;10240;10228
73;7540083000;7277311111;7777311111;10240;10228
76;7540091000;7277333333;7777333333;10240;10228
4;7540109000;7027333333;7527333333;10240;10228
7;7540137000;7027333333;7527333333;10240;10228
8;7540307000;7027333333;7527333333;10240;10228
15;7540317000;7069000000;7569000000;10240;10228
16;7540479000;7069000000;7569000000;10240;10228
19;7540672000;7069000000;7569000000;10240;10228
20;7540681000;7069000000;7569000000;10240;10228
23;7540875000;7069400000;7569400000;10240;10228
24;7540886000;7069400000;7569400000;10240;10228
27;7541107000;7110644444;7610644444;10240;10228
28;7541134000;7110644444;7610644444;10240;10228
31;7541314000;7110644444;7610644444;10240;10228
32;7541338000;7110655555;7610655555;10240;10228
34;7541504000;7111000000;7611000000;10240;10228
35;7541712000;7111000000;7611000000;10240;10228
38;7541737000;7152311111;7652311111;10240;10228
39;7541916000;7152311111;7652311111;10240;10228
42;7541940000;7152311111;7652311111;10240;10228
43;7542119000;7152333333;7652333333;10240;10228
46;7542143000;7152655555;7652655555;10240;10228
47;7542325000;7193977777;7693977777;10240;10228
50;7542344000;7193977777;7693977777;10240;10228
51;7542535000;7193977777;7693977777;10240;10228
54;7542560000;7194000000;7694000000;10240;10228
55;7542732000;7194311111;7694311111;10240;10228
58;7542938000;7235644444;7735644444;10240;10228
59;7542949000;7235644444;7735644444;10240;10228
62;7543144000;7235644444;7735644444;10240;10228
63;7543154000;7235644444;7735644444;10240;10228
66;7543349000;7235966666;7735966666;10240;10228
67;7543564000;7235966666;7735966666;10240;10228
70;7543577000;7277311111;7777311111;10240;10228
71;7543769000;7277311111;7777311111;10240;10228
74;7543779000;7277311111;7777311111;10240;10228
75;7543954000;7277311111;7777311111;10240;10228
78;7552863000;7277666666;7777666666;10240;10228
77;7552886000;7277666666;7777666666;10240;10228
81;7700018000;7319011111;7819011111;10240;10228
85;7700035000;7319011111;7819011111;10240;10228
89;7700041000;7319322222;7819322222;10240;10228
90;7700048000;7319322222;7819322222;10240;10228
93;7700052000;7360644444;7860644444;10240;10228
99;7700067000;7360955555;7860955555;10240;10228
103;7700153000;7402277777;7902277777;10240;10228
13;7700161000;7027700000;7527700000;10240;10228
104;7700167000;7402277777;7902277777;10240;10228
105;7700192000;7402277777;7902277777;10240;10228
107;7700197000;7402277777;7902277777;10240;10228
108;7700202000;7402277777;7902277777;10240;10228
109;7700209000;7402300000;7902300000;10240;10228
80;7700214000;7319011111;7819011111;10240;10228
112;7700220000;7402544444;7902544444;10240;10228
114;7700225000;7443977777;7943977777;10240;10228
115;7700230000;7443977777;7943977777;10240;10228
116;7700235000;7443977777;7943977777;10240;10228
117;7700240000;7443977777;7943977777;10240;10228
118;7700290000;7443977777;7943977777;10240;10228
83;7700394000;7319011111;7819011111;10240;10228
119;7700508000;7443977777;7943977777;10240;10228
84;7700582000;7319011111;7819011111;10240;10228
88;7700595000;7319322222;7819322222;10240;10228
91;7700792000;7360644444;7860644444;10240;10228
92;7700819000;7360644444;7860644444;10240;10228
11;7700943000;7027700000;7527700000;10240;10228
12;7700966000;7027700000;7527700000;10240;10228
96;7700996000;7360644444;7860644444;10240;10228
97;7701006000;7360644444;7860644444;10240;10228
100;7701191000;7360955555;7860955555;10240;10228
101;7701401000;7360955555;7860955555;10240;10228
120;7701428000;7444000000;7944000000;10240;10228
122;7719313000;7444300000;7944300000;10240;10228
124;7719329000;7485666666;7985666666;10240;10228
126;7719334000;7485666666;7985666666;10240;10228
128;7719340000;7485666666;7985666666;10240;10228
130;7719362000;7485666666;7985666666;10240;10228
121;7719490000;7444300000;7944300000;10240;10228
123;7719688000;7444300000;7944300000;10240;10228
125;7719905000;7485666666;7985666666;10240;10228
127;7719919000;7485666666;7985666666;10240;10228
129;7720112000;7485666666;7985666666;10240;10228
131;7720132000;7485711111;7985711111;10240;10228
132;7761011000;7486022222;7986022222;10240;10228
134;7761023000;7486022222;7986022222;10240;10228
136;7761028000;7527333333;8027333333;10240;10228
138;7761034000;7527333333;8027333333;10240;10228
140;7761039000;7527333333;8027333333;10240;10228
142;7761045000;7527377777;8027377777;10240;10228
133;7761184000;7486022222;7986022222;10240;10228
135;7761386000;7527333333;8027333333;10240;10228
137;7761398000;7527333333;8027333333;10240;10228
139;7761594000;7527333333;8027333333;10240;10228
141;7761802000;7527333333;8027333333;10240;10228
146;7802660000;7568988888;8068988888;10240;10228
148;7802672000;7568988888;8068988888;10240;10228
150;7802678000;7568988888;8068988888;10240;10228
152;7802682000;7568988888;8068988888;10240;10228
143;7802812000;7527655555;8027655555;10240;10228
145;7803024000;7527655555;8027655555;10240;10228
147;7803038000;7568988888;8068988888;10240;10228
149;7803218000;7568988888;8068988888;10240;10228
151;7803420000;7568988888;8068988888;10240;10228
153;7803434000;7569044444;8069044444;10240;10228
154;7844350000;7569355555;8069355555;10240;10228
157;7860375000;7610622222;8110622222;10240;10228
159;7860386000;7610622222;8110622222;10240;10228
163;7860394000;7610622222;8110622222;10240;10228
164;7860416000;7610644444;8110644444;10240;10228
106;7860501000;7402277777;7902277777;10240;10228
111;7860513000;7402544444;7902544444;10240;10228
155;7860528000;7569355555;8069355555;10240;10228
156;7860717000;7569355555;8069355555;10240;10228
79;7860734000;7277666666;7777666666;10240;10228
82;7860927000;7319011111;7819011111;10240;10228
158;7861125000;7610622222;8110622222;10240;10228
86;7861137000;7319011111;7819011111;10240;10228
160;7861339000;7610622222;8110622222;10240;10228
161;7861359000;7610622222;8110622222;10240;10228
162;7861527000;7610622222;8110622222;10240;10228
102;7861741000;7402277777;7902277777;10240;10228
87;7861756000;7319022222;7819022222;10240;10228
110;7879946000;7402544444;7902544444;10240;10228
113;7879957000;7443977777;7943977777;10240;10228
166;7885975000;7610933333;8110933333;10240;10228
168;7885988000;7652300000;8152300000;10240;10228
170;7885994000;7652300000;8152300000;10240;10228
172;7885998000;7652300000;8152300000;10240;10228
174;7886004000;7652300000;8152300000;10240;10228
165;7886162000;7610933333;8110933333;10240;10228
167;7886366000;7610933333;8110933333;10240;10228
169;7886378000;7652300000;8152300000;10240;10228
171;7886577000;7652300000;8152300000;10240;10228
173;7886776000;7652300000;8152300000;10240;10228
175;7886791000;7652355555;8152355555;10240;10228
176;7927717000;7652644444;8152644444;10240;10228
178;7927729000;7652644444;8152644444;10240;10228
180;7927736000;7694022222;8194022222;10240;10228
182;7927741000;7694022222;8194022222;10240;10228
184;7927746000;7694022222;8194022222;10240;10228
186;7927751000;7694077777;8194077777;10240;10228
177;7927870000;7652644444;8152644444;10240;10228
179;7928079000;7694022222;8194022222;10240;10228
181;7928095000;7694022222;8194022222;10240;10228
183;7928274000;7694022222;8194022222;10240;10228
185;7928478000;7694022222;8194022222;10240;10228
144;7963103000;7527655555;8027655555;10240;10228
188;7969300000;7694411111;8194411111;10240;10228
190;7969312000;7735644444;8235644444;10240;10228
192;7969317000;7735644444;8235644444;10240;10228
194;7969323000;7735644444;8235644444;10240;10228
196;7969328000;7735644444;8235644444;10240;10228
187;7969505000;7694411111;8194411111;10240;10228
189;7969703000;7694411111;8194411111;10240;10228
191;7969718000;7735644444;8235644444;10240;10228
193;7969906000;7735644444;8235644444;10240;10228
195;7970104000;7735644444;8235644444;10240;10228
197;7970117000;7735688888;8235688888;10240;10228
198;8011003000;7735988888;8235988888;10240;10228
204;8011013000;7777311111;8277311111;10240;10228
206;8011018000;7777311111;8277311111;10240;10228
208;8011034000;7777355555;8277355555;10240;10228
199;8011150000;7735988888;8235988888;10240;10228
201;8011351000;7777311111;8277311111;10240;10228
203;8011363000;7777311111;8277311111;10240;10228
205;8011607000;7777311111;8277311111;10240;10228
207;8011764000;7777311111;8277311111;10240;10228
210;8052646000;7777644444;8277644444;10240;10228
212;8052657000;7818977777;8318977777;10240;10228
214;8052666000;7818977777;8318977777;10240;10228
216;8052671000;7818977777;8318977777;10240;10228
218;8052676000;7818977777;8318977777;10240;10228
209;8052833000;7777644444;8277644444;10240;10228
211;8053039000;7777644444;8277644444;10240;10228
213;8053054000;7818977777;8318977777;10240;10228
215;8053234000;7818977777;8318977777;10240;10228
217;8053439000;7818977777;8318977777;10240;10228
222;8094368000;7819333333;8319333333;10240;10228
226;8094383000;7860633333;8360633333;10240;10228
230;8094389000;7860677777;8360677777;10240;10228
223;8094496000;7860633333;8360633333;10240;10228
225;8094711000;7860633333;8360633333;10240;10228
227;8094727000;7860633333;8360633333;10240;10228
229;8094917000;7860633333;8360633333;10240;10228
232;8135953000;7861044444;8361044444;10240;10228
234;8135965000;7902300000;8402300000;10240;10228
236;8135971000;7902300000;8402300000;10240;10228
238;8135977000;7902300000;8402300000;10240;10228
240;8135982000;7902300000;8402300000;10240;10228
231;8136148000;7861044444;8361044444;10240;10228
233;8136356000;7861044444;8361044444;10240;10228
235;8136381000;7902300000;8402300000;10240;10228
239;8136607000;7902300000;8402300000;10240;10228
241;8136759000;7902355555;8402355555;10240;10228
202;8171355000;7777311111;8277311111;10240;10228
200;8171462000;7735988888;8235988888;10240;10228
242;8177686000;7902622222;8402622222;10240;10228
244;8177702000;7902622222;8402622222;10240;10228
246;8177712000;7944022222;8444022222;10240;10228
248;8177721000;7944022222;8444022222;10240;10228
250;8177729000;7944022222;8444022222;10240;10228
252;8177737000;7944077777;8444077777;10240;10228
247;8177896000;7944022222;8444022222;10240;10228
249;8178097000;7944022222;8444022222;10240;10228
251;8178109000;7944022222;8444022222;10240;10228
254;8219338000;7944377777;8444377777;10240;10228
256;8219354000;7985633333;8485633333;10240;10228
258;8219364000;7985633333;8485633333;10240;10228
262;8219373000;7985633333;8485633333;10240;10228
253;8219438000;7944377777;8444377777;10240;10228
255;8219687000;7944377777;8444377777;10240;10228
257;8219703000;7985633333;8485633333;10240;10228
261;8219892000;7985633333;8485633333;10240;10228
263;8219906000;7985677777;8485677777;10240;10228
220;8254845000;7819333333;8319333333;10240;10228
219;8255020000;7819022222;8319022222;10240;10228
221;8255159000;7819333333;8319333333;10240;10228
264;8261019000;7985988888;8485988888;10240;10228
266;8261048000;7985988888;8485988888;10240;10228
268;8261067000;8027344444;8527344444;10240;10228
270;8261085000;8027344444;8527344444;10240;10228
272;8261107000;8027344444;8527344444;10240;10228
274;8261115000;8027388888;8527388888;10240;10228
265;8261143000;7985988888;8485988888;10240;10228
267;8261358000;8027344444;8527344444;10240;10228
269;8261575000;8027344444;8527344444;10240;10228
271;8261591000;8027344444;8527344444;10240;10228
273;8261778000;8027344444;8527344444;10240;10228
228;8296349000;7860633333;8360633333;10240;10228
224;8296423000;7860633333;8360633333;10240;10228
278;8302654000;8069000000;8569000000;10240;10228
280;8302669000;8069000000;8569000000;10240;10228
282;8302681000;8069000000;8569000000;10240;10228
275;8302803000;8027666666;8527666666;10240;10228
277;8302999000;8027666666;8527666666;10240;10228
279;8303201000;8069000000;8569000000;10240;10228
281;8303216000;8069000000;8569000000;10240;10228
283;8303407000;8069000000;8569000000;10240;10228
285;8303418000;8069122222;8569122222;10240;10228
237;8338201000;7902300000;8402300000;10240;10228
286;8344300000;8069488888;8569488888;10240;10228
288;8344326000;8069488888;8569488888;10240;10228
290;8344336000;8110644444;8610644444;10240;10228
292;8344346000;8110644444;8610644444;10240;10228
294;8344354000;8110644444;8610644444;10240;10228
296;8344362000;8110688888;8610688888;10240;10228
287;8344456000;8069488888;8569488888;10240;10228
289;8344706000;8110644444;8610644444;10240;10228
291;8344720000;8110644444;8610644444;10240;10228
293;8344907000;8110644444;8610644444;10240;10228
243;8379665000;7902622222;8402622222;10240;10228
245;8379805000;7944022222;8444022222;10240;10228
298;8385994000;8111011111;8611011111;10240;10228
300;8386005000;8152300000;8652300000;10240;10228
302;8386011000;8152300000;8652300000;10240;10228
304;8386016000;8152300000;8652300000;10240;10228
306;8386021000;8152300000;8652300000;10240;10228
299;8386165000;8111011111;8611011111;10240;10228
301;8386390000;8152300000;8652300000;10240;10228
303;8386401000;8152300000;8652300000;10240;10228
305;8386582000;8152300000;8652300000;10240;10228
260;8421542000;7985633333;8485633333;10240;10228
259;8421746000;7985633333;8485633333;10240;10228
308;8427655000;8152622222;8652622222;10240;10228
314;8427670000;8194000000;8694000000;10240;10228
316;8427676000;8194000000;8694000000;10240;10228
309;8427835000;8152622222;8652622222;10240;10228
311;8428047000;8194000000;8694000000;10240;10228
313;8428061000;8194000000;8694000000;10240;10228
315;8428240000;8194000000;8694000000;10240;10228
317;8428442000;8194000000;8694000000;10240;10228
276;8463000000;8027666666;8527666666;10240;10228
320;8469328000;8194344444;8694344444;10240;10228
