seqnum;now;rtptime;deadline;packet_len;payload_len
1;10728374000;10184544444;10684544444;10240;10228
2;10728430000;10184544444;10684544444;10240;10228
3;10728438000;10216100000;10716100000;10240;10228
4;10728443000;10216100000;10716100000;10240;10228
5;10728457000;10216100000;10716100000;10240;10228
6;10728464000;10216100000;10716100000;10240;10228
7;10728468000;10216100000;10716100000;10240;10228
8;10728472000;10216100000;10716100000;10240;10228
9;10728475000;10216100000;10716100000;10240;10228
10;10728505000;10216111111;10716111111;10240;10228
11;10728510000;10216455555;10716455555;10240;10228
12;10728515000;10216455555;10716455555;10240;10228
13;10728522000;10216455555;10716455555;10240;10228
14;10728535000;10257766666;10757766666;10240;10228
15;10728539000;10257766666;10757766666;10240;10228
16;10728546000;10257766666;10757766666;10240;10228
17;10728552000;10257766666;10757766666;10240;10228
18;10728558000;10257766666;10757766666;10240;10228
19;10728564000;10257766666;10757766666;10240;10228
20;10728570000;10257766666;10757766666;10240;10228
22;10728598000;10258166666;10758166666;10240;10228
24;10728607000;10258166666;10758166666;10240;10228
25;10728623000;10299433333;10799433333;10240;10228
26;10728632000;10299433333;10799433333;10240;10228
27;10728638000;10299433333;10799433333;10240;10228
28;10728646000;10299433333;10799433333;10240;10228
29;10728655000;10299433333;10799433333;10240;10228
30;10728663000;10299433333;10799433333;10240;10228
31;10728669000;10299433333;10799433333;10240;10228
33;10728676000;10299766666;10799766666;10240;10228
34;10728684000;10299766666;10799766666;10240;10228
35;10728695000;10299766666;10799766666;10240;10228
36;10728702000;10341100000;10841100000;10240;10228
37;10728835000;10341100000;10841100000;10240;10228
38;10728865000;10341100000;10841100000;10240;10228
39;10728887000;10341100000;10841100000;10240;10228
40;10728892000;10341100000;10841100000;10240;10228
41;10728896000;10341100000;10841100000;10240;10228
42;10728901000;10341100000;10841100000;10240;10228
43;10728905000;10341111111;10841111111;10240;10228
44;10728914000;10341444444;10841444444;10240;10228
45;10728922000;10341444444;10841444444;10240;10228
46;10728944000;10341444444;10841444444;10240;10228
47;10728951000;10382777777;10882777777;10240;10228
48;10728961000;10382777777;10882777777;10240;10228
49;10728969000;10382777777;10882777777;10240;10228
52;10728986000;10382777777;10882777777;10240;10228
54;10728992000;10382788888;10882788888;10240;10228
55;10728996000;10383166666;10883166666;10240;10228
56;10729004000;10383166666;10883166666;10240;10228
57;10729008000;10383166666;10883166666;10240;10228
58;10729014000;10424433333;10924433333;10240;10228
59;10729020000;10424433333;10924433333;10240;10228
60;10729029000;10424433333;10924433333;10240;10228
61;10729033000;10424433333;10924433333;10240;10228
62;10729064000;10424433333;10924433333;10240;10228
63;10729083000;10424433333;10924433333;10240;10228
64;10729099000;10424433333;10924433333;10240;10228
65;10729106000;10424444444;10924444444;10240;10228
66;10729113000;10424733333;10924733333;10240;10228
69;10729130000;10466100000;10966100000;10240;10228
70;10729146000;10466100000;10966100000;10240;10228
72;10729180000;10466100000;10966100000;10240;10228
74;10729185000;10466100000;10966100000;10240;10228
75;10729190000;10466100000;10966100000;10240;10228
76;10729194000;10466111111;10966111111;10240;10228
77;10741661000;10466455555;10966455555;10240;10228
78;10741689000;10466455555;10966455555;10240;10228
80;10888909000;10507788888;11007788888;10240;10228
81;10888936000;10507788888;11007788888;10240;10228
82;10888944000;10507788888;11007788888;10240;10228
83;10888954000;10507788888;11007788888;10240;10228
84;10888964000;10507788888;11007788888;10240;10228
85;10888979000;10507788888;11007788888;10240;10228
86;10888986000;10507788888;11007788888;10240;10228
87;10888993000;10507800000;11007800000;10240;10228
88;10889000000;10508122222;11008122222;10240;10228
89;10889008000;10508122222;11008122222;10240;10228
90;10889013000;10508122222;11008122222;10240;10228
91;10889017000;10549433333;11049433333;10240;10228
92;10889048000;10549433333;11049433333;10240;10228
93;10889052000;10549433333;11049433333;10240;10228
95;10889056000;10549433333;11049433333;10240;10228
96;10889060000;10549433333;11049433333;10240;10228
97;10889065000;10549433333;11049433333;10240;10228
98;10889069000;10549444444;11049444444;10240;10228
99;10889074000;10549733333;11049733333;10240;10228
100;10889084000;10549733333;11049733333;10240;10228
101;10889103000;10549733333;11049733333;10240;10228
21;10889145000;10257777777;10757777777;10240;10228
102;10889151000;10591088888;11091088888;10240;10228
103;10889169000;10591088888;11091088888;10240;10228
23;10889175000;10258166666;10758166666;10240;10228
104;10889185000;10591088888;11091088888;10240;10228
32;10889190000;10299444444;10799444444;10240;10228
109;10889194000;10591111111;11091111111;10240;10228
110;10889198000;10591355555;11091355555;10240;10228
111;10889217000;10591355555;11091355555;10240;10228
112;10889221000;10591355555;11091355555;10240;10228
113;10889226000;10632766666;11132766666;10240;10228
115;10889230000;10632766666;11132766666;10240;10228
116;10889236000;10632766666;11132766666;10240;10228
118;10889241000;10632766666;11132766666;10240;10228
119;10889258000;10632766666;11132766666;10240;10228
120;10889264000;10632777777;11132777777;10240;10228
50;10889268000;10382777777;10882777777;10240;10228
51;10889278000;10382777777;10882777777;10240;10228
53;10889283000;10382777777;10882777777;10240;10228
67;10889290000;10424733333;10924733333;10240;10228
68;10889331000;10424733333;10924733333;10240;10228
71;10889343000;10466100000;10966100000;10240;10228
73;10889373000;10466100000;10966100000;10240;10228
121;10908295000;10633088888;11133088888;10240;10228
122;10908308000;10633088888;11133088888;10240;10228
123;10908319000;10633088888;11133088888;10240;10228
124;10908328000;10674455555;11174455555;10240;10228
125;10908332000;10674455555;11174455555;10240;10228
126;10908337000;10674455555;11174455555;10240;10228
127;10908353000;10674455555;11174455555;10240;10228
128;10908358000;10674455555;11174455555;10240;10228
129;10908367000;10674455555;11174455555;10240;10228
130;10908373000;10674455555;11174455555;10240;10228
131;10908377000;10674500000;11174500000;10240;10228
133;10949977000;10674788888;11174788888;10240;10228
134;10949990000;10674788888;11174788888;10240;10228
135;10949994000;10716122222;11216122222;10240;10228
136;10950000000;10716122222;11216122222;10240;10228
137;10950004000;10716122222;11216122222;10240;10228
138;10950023000;10716122222;11216122222;10240;10228
139;10950028000;10716122222;11216122222;10240;10228
140;10950036000;10716122222;11216122222;10240;10228
141;10950041000;10716122222;11216122222;10240;10228
142;10950044000;10716166666;11216166666;10240;10228
143;10991552000;10716444444;11216444444;10240;10228
145;10991563000;10716444444;11216444444;10240;10228
148;11049161000;10757766666;11257766666;10240;10228
149;11049172000;10757766666;11257766666;10240;10228
150;11049177000;10757766666;11257766666;10240;10228
151;11049181000;10757766666;11257766666;10240;10228
152;11049188000;10757766666;11257766666;10240;10228
156;11049196000;10758211111;11258211111;10240;10228
157;11049265000;10799411111;11299411111;10240;10228
158;11049275000;10799411111;11299411111;10240;10228
159;11049280000;10799411111;11299411111;10240;10228
160;11049284000;10799411111;11299411111;10240;10228
161;11049288000;10799411111;11299411111;10240;10228
162;11049292000;10799411111;11299411111;10240;10228
163;11049296000;10799411111;11299411111;10240;10228
164;11049304000;10799433333;11299433333;10240;10228
94;11049361000;10549433333;11049433333;10240;10228
105;11049390000;10591088888;11091088888;10240;10228
106;11049395000;10591088888;11091088888;10240;10228
107;11049400000;10591088888;11091088888;10240;10228
108;11049461000;10591088888;11091088888;10240;10228
114;11049472000;10632766666;11132766666;10240;10228
117;11049476000;10632766666;11132766666;10240;10228
165;11074893000;10799833333;11299833333;10240;10228
167;11074903000;10799833333;11299833333;10240;10228
168;11074908000;10841100000;11341100000;10240;10228
169;11074929000;10841100000;11341100000;10240;10228
171;11074933000;10841100000;11341100000;10240;10228
172;11074941000;10841100000;11341100000;10240;10228
173;11074946000;10841100000;11341100000;10240;10228
174;11074950000;10841100000;11341100000;10240;10228
175;11074954000;10841155555;11341155555;10240;10228
132;11110266000;10674788888;11174788888;10240;10228
176;11116590000;10841533333;11341533333;10240;10228
177;11116603000;10841533333;11341533333;10240;10228
178;11116607000;10841533333;11341533333;10240;10228
179;11116612000;10882755555;11382755555;10240;10228
180;11116620000;10882755555;11382755555;10240;10228
181;11116624000;10882755555;11382755555;10240;10228
182;11116632000;10882755555;11382755555;10240;10228
183;11116641000;10882755555;11382755555;10240;10228
185;11116646000;10882755555;11382755555;10240;10228
186;11116652000;10882811111;11382811111;10240;10228
187;11158218000;10883222222;11383222222;10240;10228
188;11158228000;10883222222;11383222222;10240;10228
189;11158237000;10883222222;11383222222;10240;10228
190;11158242000;10924422222;11424422222;10240;10228
191;11158246000;10924422222;11424422222;10240;10228
192;11158250000;10924422222;11424422222;10240;10228
194;11158259000;10924422222;11424422222;10240;10228
195;11158349000;10924422222;11424422222;10240;10228
196;11158360000;10924422222;11424422222;10240;10228
197;11158364000;10924488888;11424488888;10240;10228
198;11199941000;10924855555;11424855555;10240;10228
200;11199953000;10924855555;11424855555;10240;10228
201;11199958000;10966088888;11466088888;10240;10228
202;11199963000;10966088888;11466088888;10240;10228
203;11199968000;10966088888;11466088888;10240;10228
204;11199973000;10966088888;11466088888;10240;10228
205;11199977000;10966088888;11466088888;10240;10228
207;11199982000;10966088888;11466088888;10240;10228
208;11199986000;10966155555;11466155555;10240;10228
144;11209638000;10716444444;11216444444;10240;10228
146;11209669000;10757766666;11257766666;10240;10228
147;11209677000;10757766666;11257766666;10240;10228
154;11209688000;10758211111;11258211111;10240;10228
155;11209703000;10758211111;11258211111;10240;10228
166;11235190000;10799833333;11299833333;10240;10228
170;11235217000;10841100000;11341100000;10240;10228
209;11241556000;10966522222;11466522222;10240;10228
210;11241583000;10966522222;11466522222;10240;10228
211;11241588000;10966522222;11466522222;10240;10228
212;11241593000;11007755555;11507755555;10240;10228
213;11241610000;11007755555;11507755555;10240;10228
217;11241615000;11007755555;11507755555;10240;10228
218;11241625000;11007755555;11507755555;10240;10228
219;11241630000;11007811111;11507811111;10240;10228
220;11283267000;11008255555;11508255555;10240;10228
221;11283278000;11008255555;11508255555;10240;10228
222;11283287000;11008255555;11508255555;10240;10228
223;11283293000;11049422222;11549422222;10240;10228
224;11283297000;11049422222;11549422222;10240;10228
226;11283301000;11049422222;11549422222;10240;10228
228;11283305000;11049422222;11549422222;10240;10228
229;11283310000;11049422222;11549422222;10240;10228
230;11283314000;11049477777;11549477777;10240;10228
184;11318495000;10882755555;11382755555;10240;10228
231;11324875000;11049855555;11549855555;10240;10228
232;11324886000;11049855555;11549855555;10240;10228
233;11324892000;11049855555;11549855555;10240;10228
234;11324896000;11091088888;11591088888;10240;10228
235;11324905000;11091088888;11591088888;10240;10228
236;11324911000;11091088888;11591088888;10240;10228
237;11324921000;11091088888;11591088888;10240;10228
238;11324926000;11091088888;11591088888;10240;10228
239;11324994000;11091088888;11591088888;10240;10228
240;11324999000;11091088888;11591088888;10240;10228
241;11325003000;11091144444;11591144444;10240;10228
199;11360245000;10924855555;11424855555;10240;10228
242;11366596000;11091500000;11591500000;10240;10228
243;11366606000;11091500000;11591500000;10240;10228
244;11366621000;11091500000;11591500000;10240;10228
245;11366625000;11132755555;11632755555;10240;10228
246;11366639000;11132755555;11632755555;10240;10228
247;11366644000;11132755555;11632755555;10240;10228
248;11366657000;11132755555;11632755555;10240;10228
249;11366671000;11132755555;11632755555;10240;10228
250;11366675000;11132755555;11632755555;10240;10228
251;11366680000;11132755555;11632755555;10240;10228
252;11366684000;11132811111;11632811111;10240;10228
206;11401897000;10966088888;11466088888;10240;10228
153;11401927000;10757800000;11257800000;10240;10228
214;11401942000;11007755555;11507755555;10240;10228
216;11401952000;11007755555;11507755555;10240;10228
253;11408259000;11133244444;11633244444;10240;10228
