seqnum;now;rtptime;deadline;packet_len;payload_len
0;7581502000;7091933333;7591933333;10240;10228
3;7581598000;7123055555;7623055555;10240;10228
4;7581627000;7123055555;7623055555;10240;10228
7;7581635000;7123055555;7623055555;10240;10228
8;7581644000;7123055555;7623055555;10240;10228
11;7581660000;7123422222;7623422222;10240;10228
12;7581668000;7123422222;7623422222;10240;10228
15;7581675000;7164722222;7664722222;10240;10228
16;7581686000;7164722222;7664722222;10240;10228
19;7581711000;7164722222;7664722222;10240;10228
20;7581720000;7164722222;7664722222;10240;10228
23;7581738000;7165133333;7665133333;10240;10228
24;7581745000;7165133333;7665133333;10240;10228
27;7581760000;7206388888;7706388888;10240;10228
28;7581769000;7206388888;7706388888;10240;10228
31;7581789000;7206388888;7706388888;10240;10228
32;7581799000;7206400000;7706400000;10240;10228
35;7581809000;7206722222;7706722222;10240;10228
36;7581817000;7248055555;7748055555;10240;10228
1;7581826000;7091933333;7591933333;10240;10228
39;7581839000;7248055555;7748055555;10240;10228
40;7581867000;7248055555;7748055555;10240;10228
43;7581877000;7248066666;7748066666;10240;10228
44;7581887000;7248422222;7748422222;10240;10228
47;7581895000;7289722222;7789722222;10240;10228
2;7581904000;7091933333;7591933333;10240;10228
48;7581913000;7289722222;7789722222;10240;10228
51;7581926000;7289722222;7789722222;10240;10228
52;7581942000;7289722222;7789722222;10240;10228
55;7581956000;7290044444;7790044444;10240;10228
5;7582086000;7123055555;7623055555;10240;10228
6;7582107000;7123055555;7623055555;10240;10228
9;7582298000;7123055555;7623055555;10240;10228
10;7582308000;7123077777;7623077777;10240;10228
13;7582514000;7123422222;7623422222;10240;10228
14;7582610000;7164722222;7664722222;10240;10228
17;7582703000;7164722222;7664722222;10240;10228
18;7582894000;7164722222;7664722222;10240;10228
21;7582906000;7164733333;7664733333;10240;10228
22;7583092000;7165133333;7665133333;10240;10228
25;7583172000;7206388888;7706388888;10240;10228
26;7583305000;7206388888;7706388888;10240;10228
29;7583332000;7206388888;7706388888;10240;10228
30;7583538000;7206388888;7706388888;10240;10228
33;7583563000;7206722222;7706722222;10240;10228
34;7583765000;7206722222;7706722222;10240;10228
37;7583798000;7248055555;7748055555;10240;10228
38;7583931000;7248055555;7748055555;10240;10228
41;7584193000;7248055555;7748055555;10240;10228
42;7584222000;7248055555;7748055555;10240;10228
45;7584354000;7248422222;7748422222;10240;10228
46;7584383000;7248422222;7748422222;10240;10228
49;7584559000;7289722222;7789722222;10240;10228
50;7584764000;7289722222;7789722222;10240;10228
54;7584776000;7289733333;7789733333;10240;10228
56;7782037000;7290044444;7790044444;10240;10228
59;7782102000;7331388888;7831388888;10240;10228
60;7782114000;7331388888;7831388888;10240;10228
61;7782139000;7331388888;7831388888;10240;10228
62;7782150000;7331388888;7831388888;10240;10228
63;7782161000;7331388888;7831388888;10240;10228
64;7782169000;7331388888;7831388888;10240;10228
67;7782178000;7331700000;7831700000;10240;10228
