seqnum;now;rtptime;deadline
1;3350710000;3267566666;3767566666
3;3394477000;3298644444;3798644444
12;3394658000;3299044444;3799044444
13;3394662000;3299044444;3799044444
14;3431868000;3340277777;3840277777
15;3431884000;3340277777;3840277777
16;3431885000;3340277777;3840277777
17;3431887000;3340277777;3840277777
18;3431888000;3340277777;3840277777
19;3431891000;3340277777;3840277777
20;3431893000;3340277777;3840277777
21;3432141000;3340322222;3840322222
22;3432157000;3340711111;3840711111
23;3432158000;3340711111;3840711111
24;3432160000;3340711111;3840711111
25;3476090000;3381966666;3881966666
33;3476281000;3382377777;3882377777
34;3476284000;3382377777;3882377777
35;3476285000;3382377777;3882377777
36;3514674000;3423633333;3923633333
37;3514684000;3423633333;3923633333
38;3514686000;3423633333;3923633333
39;3514687000;3423633333;3923633333
40;3514689000;3423633333;3923633333
41;3514691000;3423633333;3923633333
42;3514692000;3423633333;3923633333
43;3514924000;3423688888;3923688888
44;3514940000;3424088888;3924088888
45;3514941000;3424088888;3924088888
46;3514943000;3424088888;3924088888
47;3554904000;3465300000;3965300000
48;3554913000;3465300000;3965300000
49;3554915000;3465300000;3965300000
50;3554917000;3465300000;3965300000
51;3554919000;3465300000;3965300000
52;3554921000;3465300000;3965300000
53;3554922000;3465300000;3965300000
54;3555397000;3465344444;3965344444
55;3555404000;3465666666;3965666666
56;3555407000;3465666666;3965666666
57;3555408000;3465666666;3965666666
58;3595988000;3506944444;4006944444
59;3595994000;3506944444;4006944444
60;3595995000;3506944444;4006944444
61;3595996000;3506944444;4006944444
62;3595998000;3506944444;4006944444
63;3595999000;3506944444;4006944444
64;3596000000;3506944444;4006944444
65;3596218000;3506988888;4006988888
66;3596234000;3507311111;4007311111
67;3596235000;3507311111;4007311111
68;3596236000;3507311111;4007311111
69;3634526000;3548633333;4048633333
70;3634530000;3548633333;4048633333
71;3634531000;3548633333;4048633333
72;3634532000;3548633333;4048633333
73;3634533000;3548633333;4048633333
74;3634535000;3548633333;4048633333
