seqnum;now;rtptime;deadline
1;7348257000;6657366666;7157366666
11;7569101000;6689055555;7189055555
86;7834779000;6980355555;7480355555
139;7834843000;7188688888;7688688888
140;7834846000;7188688888;7688688888
141;7834847000;7188688888;7688688888
142;7834928000;7188700000;7688700000
143;7834933000;7188966666;7688966666
144;7834934000;7188966666;7688966666
145;7834935000;7188966666;7688966666
146;7834953000;7230355555;7730355555
147;7834956000;7230355555;7730355555
148;7834957000;7230355555;7730355555
149;7834958000;7230355555;7730355555
150;7834958000;7230355555;7730355555
151;7834959000;7230355555;7730355555
152;7834970000;7230355555;7730355555
153;7905164000;7230366666;7730366666
154;7905170000;7230677777;7730677777
155;7905171000;7230677777;7730677777
156;7905172000;7230677777;7730677777
157;7905224000;7272022222;7772022222
158;7905227000;7272022222;7772022222
159;7905228000;7272022222;7772022222
160;7905229000;7272022222;7772022222
161;7905230000;7272022222;7772022222
162;7905230000;7272022222;7772022222
163;7905232000;7272022222;7772022222
164;7927533000;7272033333;7772033333
165;7927537000;7272333333;7772333333
166;7927539000;7272333333;7772333333
167;7927540000;7272333333;7772333333
168;7943774000;7313688888;7813688888
169;7943777000;7313688888;7813688888
170;7943787000;7313688888;7813688888
171;7943788000;7313688888;7813688888
172;7943789000;7313688888;7813688888
173;7943790000;7313688888;7813688888
174;7943791000;7313688888;7813688888
175;7943858000;7313700000;7813700000
176;7943872000;7314000000;7814000000
177;7943874000;7314000000;7814000000
178;7943875000;7314000000;7814000000
179;7970322000;7355322222;7855322222
191;7996714000;7397022222;7897022222
192;7996717000;7397022222;7897022222
193;7996718000;7397022222;7897022222
194;7996719000;7397022222;7897022222
195;7996720000;7397022222;7897022222
196;7996721000;7397022222;7897022222
197;7996802000;7397033333;7897033333
198;7996808000;7397344444;7897344444
199;7996809000;7397344444;7897344444
200;7996810000;7397344444;7897344444
201;7996879000;7438677777;7938677777
202;7996882000;7438677777;7938677777
203;7996883000;7438677777;7938677777
204;7996884000;7438677777;7938677777
205;7996885000;7438677777;7938677777
206;7996886000;7438677777;7938677777
207;7996887000;7438677777;7938677777
208;7996975000;7438688888;7938688888
209;7996980000;7438966666;7938966666
210;7996981000;7438966666;7938966666
211;7996982000;7438966666;7938966666
212;8029946000;7480355555;7980355555
213;8029949000;7480355555;7980355555
214;8029951000;7480355555;7980355555
215;8029952000;7480355555;7980355555
216;8029953000;7480355555;7980355555
217;8029954000;7480355555;7980355555
218;8029955000;7480355555;7980355555
219;8030066000;7480366666;7980366666
220;8030072000;7480677777;7980677777
221;8030073000;7480677777;7980677777
222;8030074000;7480677777;7980677777
223;8069144000;7522022222;8022022222
224;8069146000;7522022222;8022022222
225;8069147000;7522022222;8022022222
226;8069148000;7522022222;8022022222
227;8069149000;7522022222;8022022222
228;8069150000;7522022222;8022022222
229;8069151000;7522022222;8022022222
230;8069238000;7522033333;8022033333
231;8069243000;7522333333;8022333333
232;8069244000;7522333333;8022333333
233;8069245000;7522333333;8022333333
234;8106948000;7563677777;8063677777
235;8106951000;7563677777;8063677777
236;8106951000;7563677777;8063677777
237;8106952000;7563677777;8063677777
238;8106953000;7563677777;8063677777
239;8106954000;7563677777;8063677777
240;8106955000;7563677777;8063677777
241;8107040000;7563688888;8063688888
242;8107055000;7563988888;8063988888
243;8107056000;7563988888;8063988888
244;8107057000;7563988888;8063988888
245;8146699000;7605344444;8105344444
246;8146702000;7605344444;8105344444
247;8146703000;7605344444;8105344444
248;8146713000;7605344444;8105344444
249;8146714000;7605344444;8105344444
250;8146715000;7605344444;8105344444
251;8146716000;7605344444;8105344444
252;8146831000;7605355555;8105355555
253;8146836000;7605666666;8105666666
254;8146837000;7605666666;8105666666
255;8146838000;7605666666;8105666666
256;8186411000;7647011111;8147011111
257;8186414000;7647011111;8147011111
258;8186437000;7647011111;8147011111
259;8186438000;7647011111;8147011111
260;8186439000;7647011111;8147011111
261;8186439000;7647011111;8147011111
262;8186440000;7647011111;8147011111
263;8186559000;7647022222;8147022222
264;8186564000;7647311111;8147311111
265;8186565000;7647311111;8147311111
266;8186566000;7647311111;8147311111
267;8227410000;7688688888;8188688888
268;8227413000;7688688888;8188688888
269;8227414000;7688688888;8188688888
270;8227424000;7688688888;8188688888
271;8227425000;7688688888;8188688888
272;8227426000;7688688888;8188688888
273;8227427000;7688688888;8188688888
274;8227543000;7688700000;8188700000
275;8227548000;7688955555;8188955555
276;8227549000;7688955555;8188955555
277;8227550000;7688955555;8188955555
278;8268325000;7730355555;8230355555
279;8268327000;7730355555;8230355555
280;8268328000;7730355555;8230355555
281;8268329000;7730355555;8230355555
282;8268330000;7730355555;8230355555
283;8268331000;7730355555;8230355555
284;8268332000;7730355555;8230355555
285;8268416000;7730366666;8230366666
286;8268421000;7730666666;8230666666
287;8268422000;7730666666;8230666666
288;8268423000;7730666666;8230666666
289;8309733000;7772011111;8272011111
290;8309736000;7772011111;8272011111
291;8309737000;7772011111;8272011111
292;8309738000;7772011111;8272011111
293;8309739000;7772011111;8272011111
294;8309740000;7772011111;8272011111
295;8309741000;7772011111;8272011111
296;8309830000;7772022222;8272022222
297;8309835000;7772300000;8272300000
298;8309836000;7772300000;8272300000
299;8309837000;7772300000;8272300000
300;8348937000;7813677777;8313677777
301;8348939000;7813677777;8313677777
302;8348940000;7813677777;8313677777
303;8348941000;7813677777;8313677777
304;8348942000;7813677777;8313677777
305;8348943000;7813677777;8313677777
306;8348944000;7813677777;8313677777
307;8349032000;7813688888;8313688888
308;8349037000;7813977777;8313977777
309;8349038000;7813977777;8313977777
310;8349039000;7813977777;8313977777
311;8386954000;7855322222;8355322222
312;8386958000;7855322222;8355322222
313;8386959000;7855322222;8355322222
314;8386960000;7855322222;8355322222
315;8386961000;7855322222;8355322222
316;8386962000;7855322222;8355322222
317;8386962000;7855322222;8355322222
318;8387082000;7855344444;8355344444
319;8387088000;7855622222;8355622222
320;8387089000;7855622222;8355622222
321;8387090000;7855622222;8355622222
322;8427756000;7897022222;8397022222
323;8427759000;7897022222;8397022222
324;8427760000;7897022222;8397022222
325;8427761000;7897022222;8397022222
326;8427762000;7897022222;8397022222
327;8427763000;7897022222;8397022222
328;8427764000;7897022222;8397022222
329;8427887000;7897033333;8397033333
330;8427892000;7897322222;8397322222
331;8427893000;7897322222;8397322222
332;8427894000;7897322222;8397322222
333;8468772000;7938655555;8438655555
334;8468775000;7938655555;8438655555
335;8468776000;7938655555;8438655555
336;8468777000;7938655555;8438655555
337;8468778000;7938655555;8438655555
338;8468779000;7938655555;8438655555
339;8468779000;7938655555;8438655555
340;8468866000;7938677777;8438677777
341;8468871000;7938944444;8438944444
342;8468872000;7938944444;8438944444
344;8510448000;7980322222;8480322222
345;8510460000;7980322222;8480322222
346;8510461000;7980322222;8480322222
347;8510462000;7980322222;8480322222
348;8510463000;7980322222;8480322222
349;8510464000;7980322222;8480322222
350;8510465000;7980322222;8480322222
351;8510533000;7980344444;8480344444
352;8510548000;7980633333;8480633333
353;8510549000;7980633333;8480633333
354;8510550000;7980633333;8480633333
355;8548681000;8022022222;8522022222
356;8548690000;8022022222;8522022222
357;8548691000;8022022222;8522022222
358;8548693000;8022022222;8522022222
359;8548695000;8022022222;8522022222
360;8548696000;8022022222;8522022222
361;8548698000;8022022222;8522022222
362;8548845000;8022033333;8522033333
363;8548851000;8022344444;8522344444
364;8548853000;8022344444;8522344444
365;8548854000;8022344444;8522344444
366;8589349000;8063688888;8563688888
367;8589364000;8063688888;8563688888
368;8589366000;8063688888;8563688888
369;8589394000;8063688888;8563688888
370;8589397000;8063688888;8563688888
371;8589399000;8063688888;8563688888
372;8589401000;8063688888;8563688888
373;8589563000;8063700000;8563700000
374;8589570000;8063966666;8563966666
375;8589571000;8063966666;8563966666
376;8589573000;8063966666;8563966666
377;8627972000;8105355555;8605355555
378;8627982000;8105355555;8605355555
379;8627985000;8105355555;8605355555
380;8627987000;8105355555;8605355555
