seqnum;now;rtptime;deadline;packet_len;payload_len
0;12439922000;11849311111;12349311111;10240;10228
1;12440032000;11849311111;12349311111;10240;10228
2;12440072000;11849311111;12349311111;10240;10228
3;12440077000;11880500000;12380500000;10240;10228
4;12440091000;11880500000;12380500000;10240;10228
5;12440095000;11880500000;12380500000;10240;10228
6;12440110000;11880500000;12380500000;10240;10228
7;12440114000;11880500000;12380500000;10240;10228
8;12440118000;11880500000;12380500000;10240;10228
0;12440122000;11849311111;12349311111;10240;10228
9;12440201000;11880500000;12380500000;10240;10228
10;12440212000;11880522222;12380522222;10240;10228
11;12440218000;11880866666;12380866666;10240;10228
12;12440235000;11880866666;12380866666;10240;10228
13;12440239000;11880866666;12380866666;10240;10228
14;12440243000;11922166666;12422166666;10240;10228
15;12440257000;11922166666;12422166666;10240;10228
16;12440263000;11922166666;12422166666;10240;10228
17;12440268000;11922166666;12422166666;10240;10228
18;12440280000;11922166666;12422166666;10240;10228
20;12440285000;11922166666;12422166666;10240;10228
21;12440292000;11922188888;12422188888;10240;10228
22;12440297000;11922577777;12422577777;10240;10228
1;12440306000;11849311111;12349311111;10240;10228
23;12440314000;11922577777;12422577777;10240;10228
24;12440324000;11922577777;12422577777;10240;10228
25;12440331000;11963811111;12463811111;10240;10228
26;12440339000;11963811111;12463811111;10240;10228
27;12440345000;11963811111;12463811111;10240;10228
2;12440459000;11849311111;12349311111;10240;10228
3;12440471000;11880500000;12380500000;10240;10228
4;12440684000;11880500000;12380500000;10240;10228
5;12440697000;11880500000;12380500000;10240;10228
6;12440858000;11880500000;12380500000;10240;10228
7;12440880000;11880500000;12380500000;10240;10228
8;12441054000;11880500000;12380500000;10240;10228
9;12441250000;11880500000;12380500000;10240;10228
10;12441263000;11880522222;12380522222;10240;10228
11;12441454000;11880866666;12380866666;10240;10228
12;12441476000;11880866666;12380866666;10240;10228
13;12441675000;11880866666;12380866666;10240;10228
14;12441697000;11922166666;12422166666;10240;10228
15;12441879000;11922166666;12422166666;10240;10228
16;12442083000;11922166666;12422166666;10240;10228
17;12442102000;11922166666;12422166666;10240;10228
18;12442294000;11922166666;12422166666;10240;10228
19;12442306000;11922166666;12422166666;10240;10228
20;12442493000;11922166666;12422166666;10240;10228
22;12442513000;11922577777;12422577777;10240;10228
23;12442704000;11922577777;12422577777;10240;10228
24;12442903000;11922577777;12422577777;10240;10228
25;12442913000;11963811111;12463811111;10240;10228
26;12443121000;11963811111;12463811111;10240;10228
27;12443140000;11963811111;12463811111;10240;10228
28;12680565000;11963811111;12463811111;10240;10228
29;12680597000;11963811111;12463811111;10240;10228
30;12680607000;11963811111;12463811111;10240;10228
31;12680620000;11963811111;12463811111;10240;10228
32;12680629000;11963833333;12463833333;10240;10228
33;12680636000;11964166666;12464166666;10240;10228
34;12680641000;11964166666;12464166666;10240;10228
35;12680649000;11964166666;12464166666;10240;10228
36;12680654000;12005500000;12505500000;10240;10228
37;12680659000;12005500000;12505500000;10240;10228
38;12680663000;12005500000;12505500000;10240;10228
39;12680669000;12005500000;12505500000;10240;10228
40;12680673000;12005500000;12505500000;10240;10228
41;12680690000;12005500000;12505500000;10240;10228
29;12680694000;11963811111;12463811111;10240;10228
43;12680775000;12005522222;12505522222;10240;10228
44;12680802000;12005922222;12505922222;10240;10228
45;12680809000;12005922222;12505922222;10240;10228
46;12680823000;12005922222;12505922222;10240;10228
47;12680827000;12047155555;12547155555;10240;10228
48;12680842000;12047155555;12547155555;10240;10228
49;12680848000;12047155555;12547155555;10240;10228
50;12680853000;12047155555;12547155555;10240;10228
51;12680862000;12047155555;12547155555;10240;10228
52;12680868000;12047155555;12547155555;10240;10228
53;12680872000;12047155555;12547155555;10240;10228
54;12680899000;12047177777;12547177777;10240;10228
55;12680904000;12047511111;12547511111;10240;10228
56;12680911000;12047511111;12547511111;10240;10228
57;12680919000;12047511111;12547511111;10240;10228
60;12680924000;12088822222;12588822222;10240;10228
61;12680929000;12088822222;12588822222;10240;10228
30;12680936000;11963811111;12463811111;10240;10228
31;12680942000;11963811111;12463811111;10240;10228
32;12680946000;11963833333;12463833333;10240;10228
33;12681078000;11964166666;12464166666;10240;10228
34;12681310000;11964166666;12464166666;10240;10228
35;12681338000;11964166666;12464166666;10240;10228
36;12681509000;12005500000;12505500000;10240;10228
37;12681536000;12005500000;12505500000;10240;10228
38;12681678000;12005500000;12505500000;10240;10228
39;12681885000;12005500000;12505500000;10240;10228
40;12681896000;12005500000;12505500000;10240;10228
41;12682132000;12005500000;12505500000;10240;10228
43;12682142000;12005522222;12505522222;10240;10228
44;12682307000;12005922222;12505922222;10240;10228
45;12682329000;12005922222;12505922222;10240;10228
46;12682521000;12005922222;12505922222;10240;10228
47;12682719000;12047155555;12547155555;10240;10228
48;12682729000;12047155555;12547155555;10240;10228
50;12682907000;12047155555;12547155555;10240;10228
51;12682920000;12047155555;12547155555;10240;10228
52;12683153000;12047155555;12547155555;10240;10228
53;12683173000;12047155555;12547155555;10240;10228
54;12683332000;12047177777;12547177777;10240;10228
55;12683351000;12047511111;12547511111;10240;10228
56;12683604000;12047511111;12547511111;10240;10228
62;12920792000;12088822222;12588822222;10240;10228
63;12920913000;12088822222;12588822222;10240;10228
64;12920937000;12088822222;12588822222;10240;10228
65;12920953000;12088844444;12588844444;10240;10228
66;12920962000;12089144444;12589144444;10240;10228
67;12920967000;12089144444;12589144444;10240;10228
68;12920973000;12089144444;12589144444;10240;10228
70;12920977000;12130488888;12630488888;10240;10228
71;12920993000;12130488888;12630488888;10240;10228
72;12921009000;12130488888;12630488888;10240;10228
73;12921014000;12130488888;12630488888;10240;10228
57;12921037000;12047511111;12547511111;10240;10228
75;12921058000;12130488888;12630488888;10240;10228
76;12921074000;12130500000;12630500000;10240;10228
77;12921082000;12130844444;12630844444;10240;10228
78;12921110000;12130844444;12630844444;10240;10228
79;12921119000;12130844444;12630844444;10240;10228
80;12921123000;12172155555;12672155555;10240;10228
81;12921128000;12172155555;12672155555;10240;10228
82;12921207000;12172155555;12672155555;10240;10228
83;12921219000;12172155555;12672155555;10240;10228
84;12921224000;12172155555;12672155555;10240;10228
85;12921228000;12172155555;12672155555;10240;10228
58;12921231000;12088822222;12588822222;10240;10228
86;12921236000;12172155555;12672155555;10240;10228
87;12921240000;12172177777;12672177777;10240;10228
90;12921245000;12172488888;12672488888;10240;10228
91;12921259000;12213822222;12713822222;10240;10228
92;12921264000;12213822222;12713822222;10240;10228
94;12921269000;12213822222;12713822222;10240;10228
95;12921378000;12213822222;12713822222;10240;10228
96;12921399000;12213822222;12713822222;10240;10228
97;12921404000;12213822222;12713822222;10240;10228
61;12921621000;12088822222;12588822222;10240;10228
62;12921632000;12088822222;12588822222;10240;10228
63;12921808000;12088822222;12588822222;10240;10228
65;12921828000;12088844444;12588844444;10240;10228
66;12922021000;12089144444;12589144444;10240;10228
67;12922065000;12089144444;12589144444;10240;10228
68;12922235000;12089144444;12589144444;10240;10228
69;12922432000;12130488888;12630488888;10240;10228
70;12922466000;12130488888;12630488888;10240;10228
71;12922632000;12130488888;12630488888;10240;10228
72;12922657000;12130488888;12630488888;10240;10228
73;12922806000;12130488888;12630488888;10240;10228
74;12923009000;12130488888;12630488888;10240;10228
75;12923037000;12130488888;12630488888;10240;10228
76;12923227000;12130500000;12630500000;10240;10228
77;12923269000;12130844444;12630844444;10240;10228
78;12923454000;12130844444;12630844444;10240;10228
79;12923482000;12130844444;12630844444;10240;10228
80;12923659000;12172155555;12672155555;10240;10228
81;12923669000;12172155555;12672155555;10240;10228
82;12923819000;12172155555;12672155555;10240;10228
83;12924028000;12172155555;12672155555;10240;10228
84;12924034000;12172155555;12672155555;10240;10228
85;12924257000;12172155555;12672155555;10240;10228
86;12924264000;12172155555;12672155555;10240;10228
87;12924461000;12172177777;12672177777;10240;10228
