seqnum;now;rtptime;deadline
3;6146720000;5787544444;6287544444
4;6146724000;5787544444;6287544444
5;6146726000;5787544444;6287544444
6;6146728000;5787544444;6287544444
7;6146730000;5787544444;6287544444
8;6146732000;5787544444;6287544444
9;6146733000;5787544444;6287544444
10;6228040000;5787566666;6287566666
14;6228076000;5829200000;6329200000
15;6228079000;5829200000;6329200000
16;6228081000;5829200000;6329200000
17;6228083000;5829200000;6329200000
18;6228085000;5829200000;6329200000
19;6228087000;5829200000;6329200000
20;6228089000;5829200000;6329200000
21;6271171000;5829211111;6329211111
22;6271194000;5829600000;6329600000
23;6271196000;5829600000;6329600000
24;6271198000;5829600000;6329600000
25;6310454000;5870866666;6370866666
47;6389356000;5954200000;6454200000
51;6389368000;5954200000;6454200000
52;6389370000;5954200000;6454200000
53;6389371000;5954200000;6454200000
54;6389628000;5954211111;6454211111
55;6389638000;5954533333;6454533333
56;6389640000;5954533333;6454533333
57;6389642000;5954533333;6454533333
58;6427738000;5995866666;6495866666
59;6427748000;5995866666;6495866666
60;6427750000;5995866666;6495866666
61;6427752000;5995866666;6495866666
62;6427753000;5995866666;6495866666
63;6427755000;5995866666;6495866666
64;6427757000;5995866666;6495866666
65;6481229000;5995877777;6495877777
88;6481245000;6079533333;6579533333
89;6481246000;6079533333;6579533333
90;6481248000;6079533333;6579533333
91;6590644000;6120866666;6620866666
93;6590648000;6120866666;6620866666
94;6590650000;6120866666;6620866666
95;6590651000;6120866666;6620866666
96;6590652000;6120866666;6620866666
97;6590653000;6120866666;6620866666
98;6590859000;6120877777;6620877777
99;6590875000;6121211111;6621211111
100;6590876000;6121211111;6621211111
101;6590877000;6121211111;6621211111
102;6616451000;6162533333;6662533333
103;6616455000;6162533333;6662533333
104;6616456000;6162533333;6662533333
105;6616457000;6162533333;6662533333
106;6616458000;6162533333;6662533333
107;6616459000;6162533333;6662533333
108;6616460000;6162533333;6662533333
109;6616626000;6162544444;6662544444
110;6616629000;6162833333;6662833333
111;6616630000;6162833333;6662833333
112;6616631000;6162833333;6662833333
113;6643463000;6204200000;6704200000
127;6761294000;6245866666;6745866666
135;6801398000;6287544444;6787544444
168;6909041000;6412533333;6912533333
170;6909059000;6412533333;6912533333
171;6909060000;6412533333;6912533333
172;6909061000;6412533333;6912533333
173;6909063000;6412533333;6912533333
174;6909064000;6412533333;6912533333
175;6909270000;6412544444;6912544444
176;6909286000;6412855555;6912855555
177;6909287000;6412855555;6912855555
178;6909288000;6412855555;6912855555
179;6932265000;6454200000;6954200000
180;6932269000;6454200000;6954200000
181;6932270000;6454200000;6954200000
182;6932271000;6454200000;6954200000
183;6932272000;6454200000;6954200000
184;6932273000;6454200000;6954200000
185;6932274000;6454200000;6954200000
186;6932450000;6454211111;6954211111
187;6932455000;6454500000;6954500000
188;6932456000;6454500000;6954500000
189;6932457000;6454500000;6954500000
190;6947569000;6495855555;6995855555
191;6948186000;6495855555;6995855555
192;6948237000;6495855555;6995855555
193;6948239000;6495855555;6995855555
194;6948255000;6495855555;6995855555
195;6948269000;6495855555;6995855555
196;6948279000;6495855555;6995855555
197;6998643000;6495866666;6995866666
219;7123207000;6579233333;7079233333
260;7123213000;6745866666;7245866666
261;7123214000;6745866666;7245866666
262;7123216000;6745866666;7245866666
263;7324124000;6745877777;7245877777
304;7324140000;6912533333;7412533333
314;7526112000;6954188888;7454188888
347;7594131000;7079200000;7579200000
407;7843966000;7287800000;7787800000
459;7953082000;7495866666;7995866666
510;8124310000;7704211111;8204211111
563;8288133000;7871155555;8371155555
614;8506244000;8079188888;8579188888
659;8637979000;8245866666;8745866666
703;8957521000;8412533333;8912533333
732;8957528000;8537533333;9037533333
780;9209304000;8704222222;9204222222
829;9209319000;8912522222;9412522222
836;9336170000;8912844444;9412844444
837;9336174000;8912844444;9412844444
838;9336186000;8912844444;9412844444
839;9352225000;8954266666;9454266666
840;9352229000;8954266666;9454266666
841;9352230000;8954266666;9454266666
842;9352231000;8954266666;9454266666
843;9352232000;8954266666;9454266666
844;9352233000;8954266666;9454266666
845;9352234000;8954266666;9454266666
846;9352440000;8954288888;9454288888
847;9352456000;8954633333;9454633333
848;9352457000;8954633333;9454633333
849;9352458000;8954633333;9454633333
850;9411796000;8995866666;9495866666
872;9567058000;9079188888;9579188888
905;9663799000;9204188888;9704188888
906;9663803000;9204188888;9704188888
907;9663804000;9204188888;9704188888
908;9663805000;9204188888;9704188888
909;9663806000;9204188888;9704188888
910;9663807000;9204188888;9704188888
911;9663808000;9204188888;9704188888
912;9664007000;9204200000;9704200000
913;9664022000;9204511111;9704511111
914;9664024000;9204511111;9704511111
915;9664025000;9204511111;9704511111
916;9677614000;9245855555;9745855555
927;9807140000;9287533333;9787533333
952;9884383000;9370855555;9870855555
991;10039482000;9496188888;9996188888
1040;10279982000;9704188888;10204188888
1061;10334121000;9787533333;10287533333
1081;10438668000;9870855555;10370855555
1082;10438672000;9870855555;10370855555
1083;10438673000;9870855555;10370855555
1084;10438674000;9870855555;10370855555
1085;10438676000;9870855555;10370855555
1086;10438677000;9870855555;10370855555
1087;10438678000;9870855555;10370855555
1088;10438883000;9870877777;10370877777
1089;10438898000;9871155555;10371155555
1090;10438900000;9871155555;10371155555
1091;10438901000;9871155555;10371155555
1092;10468307000;9912522222;10412522222
1093;10468310000;9912522222;10412522222
1094;10468311000;9912522222;10412522222
1095;10468312000;9912522222;10412522222
1096;10468313000;9912522222;10412522222
1097;10468314000;9912522222;10412522222
1098;10468316000;9912522222;10412522222
1099;10468506000;9912544444;10412544444
1100;10475631000;9912855555;10412855555
1101;10475686000;9912855555;10412855555
1102;10475688000;9912855555;10412855555
1103;10567576000;9954200000;10454200000
1129;10649350000;10037522222;10537522222
1180;10904270000;10245866666;10745866666
1228;10972167000;10412522222;10912522222
1278;11059394000;10579522222;11079522222
1279;11097412000;10620866666;11120866666
1280;11097415000;10620866666;11120866666
1281;11097416000;10620866666;11120866666
1282;11097417000;10620866666;11120866666
1283;11097418000;10620866666;11120866666
1284;11097419000;10620866666;11120866666
1285;11097421000;10620866666;11120866666
1286;11097643000;10620877777;11120877777
1287;11097658000;10621166666;11121166666
1288;11097660000;10621166666;11121166666
1289;11097661000;10621166666;11121166666
1290;11106011000;10662522222;11162522222
1291;11106014000;10662522222;11162522222
1292;11106015000;10662522222;11162522222
1293;11106016000;10662522222;11162522222
1294;11106017000;10662522222;11162522222
1295;11106018000;10662522222;11162522222
1296;11106020000;10662522222;11162522222
1297;11106197000;10662533333;11162533333
1298;11106201000;10662822222;11162822222
1299;11106202000;10662822222;11162822222
1300;11106204000;10662822222;11162822222
1301;11292242000;10704188888;11204188888
1374;11394101000;10954211111;11454211111
1375;11394117000;10954511111;11454511111
1376;11394118000;10954511111;11454511111
1377;11394119000;10954511111;11454511111
1378;11421930000;10995855555;11495855555
1379;11421934000;10995855555;11495855555
1380;11421935000;10995855555;11495855555
1381;11421936000;10995855555;11495855555
1382;11421937000;10995855555;11495855555
1383;11421938000;10995855555;11495855555
1384;11421939000;10995855555;11495855555
1385;11422154000;10995877777;11495877777
1386;11422169000;10996200000;11496200000
1387;11422170000;10996200000;11496200000
1388;11422171000;10996200000;11496200000
1389;11503399000;11037555555;11537555555
1390;11503402000;11037555555;11537555555
1391;11503403000;11037555555;11537555555
1392;11503404000;11037555555;11537555555
1393;11503405000;11037555555;11537555555
