seqnum;now;rtptime;deadline
3;8647104000;8388022222;8888022222
6;8647110000;8388022222;8888022222
7;8647112000;8388022222;8888022222
8;8647114000;8388022222;8888022222
9;8647115000;8388022222;8888022222
10;8728207000;8388044444;8888044444
11;8728227000;8388411111;8888411111
12;8728229000;8388411111;8888411111
13;8728230000;8388411111;8888411111
14;8769476000;8429666666;8929666666
51;8890768000;8554666666;9054666666
98;9028246000;8721344444;9221344444
127;9028262000;8846333333;9346333333
128;9028263000;8846333333;9346333333
129;9028264000;8846333333;9346333333
130;9028266000;8846333333;9346333333
131;9224543000;8846344444;9346344444
161;9224559000;8971333333;9471333333
168;9296322000;9012988888;9512988888
195;9463631000;9096333333;9596333333
216;9536201000;9179655555;9679655555
238;9693306000;9262988888;9762988888
264;9815173000;9346622222;9846622222
286;9838609000;9429966666;9929966666
287;9838613000;9429966666;9929966666
288;9838614000;9429966666;9929966666
289;9864453000;9471333333;9971333333
311;9904358000;9554666666;10054666666
313;9904361000;9554666666;10054666666
314;9904362000;9554666666;10054666666
315;9904363000;9554666666;10054666666
317;9904364000;9554666666;10054666666
318;9904563000;9554677777;10054677777
319;9904578000;9554966666;10054966666
320;9904579000;9554966666;10054966666
331;10023585000;9596611111;10096611111
333;10063824000;9637988888;10137988888
334;10063828000;9637988888;10137988888
335;10063829000;9637988888;10137988888
336;10063830000;9637988888;10137988888
337;10063831000;9637988888;10137988888
338;10063832000;9637988888;10137988888
339;10063833000;9637988888;10137988888
340;10064040000;9638000000;10138000000
341;10064063000;9638300000;10138300000
343;10064065000;9638300000;10138300000
344;10100141000;9679666666;10179666666
362;10226181000;9721344444;10221344444
378;10331256000;9804666666;10304666666
380;10331260000;9804666666;10304666666
381;10331262000;9804666666;10304666666
383;10331264000;9804666666;10304666666
384;10331554000;9804677777;10304677777
403;10331570000;9887988888;10387988888
404;10331571000;9887988888;10387988888
405;10331572000;9887988888;10387988888
406;10425521000;9888000000;10388000000
407;10425540000;9888288888;10388288888
409;10425542000;9888288888;10388288888
410;10464013000;9929666666;10429666666
429;10501536000;9971622222;10471622222
430;10501539000;9971622222;10471622222
431;10501540000;9971622222;10471622222
432;10537483000;10013000000;10513000000
433;10537487000;10013000000;10513000000
434;10537488000;10013000000;10513000000
435;10537489000;10013000000;10513000000
436;10537490000;10013000000;10513000000
437;10537491000;10013000000;10513000000
438;10537492000;10013000000;10513000000
439;10537700000;10013011111;10513011111
440;10537715000;10013300000;10513300000
441;10537716000;10013300000;10513300000
442;10537718000;10013300000;10513300000
443;10571906000;10054666666;10554666666
444;10571910000;10054666666;10554666666
445;10571911000;10054666666;10554666666
446;10571912000;10054666666;10554666666
447;10571913000;10054666666;10554666666
448;10571915000;10054666666;10554666666
449;10571916000;10054666666;10554666666
453;10572156000;10054955555;10554955555
457;10607505000;10096322222;10596322222
458;10607508000;10096322222;10596322222
459;10607509000;10096322222;10596322222
460;10607510000;10096322222;10596322222
461;10607725000;10096344444;10596344444
463;10607740000;10096611111;10596611111
464;10607741000;10096611111;10596611111
465;10638930000;10138000000;10638000000
466;10638934000;10138000000;10638000000
467;10638935000;10138000000;10638000000
468;10638936000;10138000000;10638000000
469;10638937000;10138000000;10638000000
470;10638938000;10138000000;10638000000
471;10638939000;10138000000;10638000000
473;10639060000;10138288888;10638288888
474;10639063000;10138288888;10638288888
475;10639064000;10138288888;10638288888
476;10672751000;10179633333;10679633333
477;10672755000;10179633333;10679633333
478;10672756000;10179633333;10679633333
480;10672757000;10179633333;10679633333
482;10692239000;10179633333;10679633333
483;10742703000;10179655555;10679655555
487;10742718000;10221322222;10721322222
490;10784374000;10221322222;10721322222
491;10784376000;10221322222;10721322222
492;10784377000;10221322222;10721322222
493;10784378000;10221322222;10721322222
495;10784495000;10221633333;10721633333
496;10784498000;10221633333;10721633333
497;10784499000;10221633333;10721633333
498;10825764000;10263000000;10763000000
515;10866866000;10304666666;10804666666
516;10867068000;10304677777;10804677777
517;10867074000;10304977777;10804977777
518;10867075000;10304977777;10804977777
519;10867076000;10304977777;10804977777
521;10907399000;10346322222;10846322222
522;10907402000;10346322222;10846322222
523;10907404000;10346322222;10846322222
