seqnum;now;rtptime;deadline
2;18050963000;17460577777;17960577777
6;18132293000;17491777777;17991777777
14;18172866000;17533433333;18033433333
15;18172872000;17533433333;18033433333
16;18172873000;17533433333;18033433333
17;18172875000;17533433333;18033433333
18;18172876000;17533433333;18033433333
19;18172882000;17533433333;18033433333
20;18172883000;17533433333;18033433333
21;18173534000;17533455555;18033455555
22;18173542000;17533844444;18033844444
23;18173543000;17533844444;18033844444
24;18173545000;17533844444;18033844444
25;18214766000;17575100000;18075100000
26;18214770000;17575100000;18075100000
27;18214771000;17575100000;18075100000
28;18291037000;17575100000;18075100000
29;18291040000;17575100000;18075100000
30;18291057000;17575100000;18075100000
31;18291161000;17575100000;18075100000
32;18341695000;17575122222;18075122222
47;18341711000;17658433333;18158433333
48;18341712000;17658433333;18158433333
49;18341713000;17658433333;18158433333
50;18341715000;17658433333;18158433333
51;18341716000;17658433333;18158433333
52;18341717000;17658433333;18158433333
53;18341718000;17658433333;18158433333
54;18424891000;17658455555;18158455555
55;18424896000;17658766666;18158766666
57;18424925000;17658766666;18158766666
58;18465438000;17700100000;18200100000
59;18465441000;17700100000;18200100000
60;18531306000;17700100000;18200100000
61;18531309000;17700100000;18200100000
62;18531310000;17700100000;18200100000
63;18531311000;17700100000;18200100000
64;18531371000;17700100000;18200100000
65;18581756000;17700122222;18200122222
80;18581772000;17783433333;18283433333
81;18581773000;17783433333;18283433333
82;18581774000;17783433333;18283433333
83;18581775000;17783433333;18283433333
84;18581775000;17783433333;18283433333
85;18581776000;17783433333;18283433333
86;18581777000;17783433333;18283433333
87;18706072000;17783455555;18283455555
88;18706079000;17783766666;18283766666
89;18706081000;17783766666;18283766666
90;18706082000;17783766666;18283766666
91;18745274000;17825100000;18325100000
92;18745278000;17825100000;18325100000
93;18745279000;17825100000;18325100000
94;18771650000;17825100000;18325100000
95;18771653000;17825100000;18325100000
96;18771655000;17825100000;18325100000
101;18822323000;17825444444;18325444444
121;18946774000;17908766666;18408766666
122;18946777000;17908766666;18408766666
123;18946778000;17908766666;18408766666
124;18985603000;17950100000;18450100000
125;18985606000;17950100000;18450100000
126;18985607000;17950100000;18450100000
127;18985608000;17950100000;18450100000
128;18985609000;17950100000;18450100000
130;18985934000;17950100000;18450100000
131;18986157000;17950122222;18450122222
132;18986172000;17950422222;18450422222
133;18986174000;17950422222;18450422222
137;19022988000;17991766666;18491766666
165;19204916000;18075433333;18575433333
166;19204919000;18075433333;18575433333
167;19204920000;18075433333;18575433333
168;19265153000;18116755555;18616755555
215;19475942000;18283433333;18783433333
218;19492660000;18283433333;18783433333
219;19514757000;18283455555;18783455555
