seqnum;now;rtptime;deadline;packet_len;payload_len
0;7901785000;7410777777;7910777777;10240;10228
1;7901979000;7410777777;7910777777;10240;10228
0;7902058000;7410777777;7910777777;10240;10228
2;7902068000;7410777777;7910777777;10240;10228
2;7902153000;7410777777;7910777777;10240;10228
3;7902162000;7442077777;7942077777;10240;10228
3;7902277000;7442077777;7942077777;10240;10228
4;7902297000;7442077777;7942077777;10240;10228
4;7902301000;7442077777;7942077777;10240;10228
5;7902308000;7442077777;7942077777;10240;10228
5;7902544000;7442077777;7942077777;10240;10228
6;7902555000;7442077777;7942077777;10240;10228
6;7902569000;7442077777;7942077777;10240;10228
7;7902573000;7442077777;7942077777;10240;10228
8;7902776000;7442077777;7942077777;10240;10228
7;7902787000;7442077777;7942077777;10240;10228
8;7902792000;7442077777;7942077777;10240;10228
9;7902962000;7442077777;7942077777;10240;10228
10;7902982000;7442100000;7942100000;10240;10228
9;7903015000;7442077777;7942077777;10240;10228
10;7903023000;7442100000;7942100000;10240;10228
11;7903165000;7442477777;7942477777;10240;10228
12;7903179000;7442477777;7942477777;10240;10228
11;7903275000;7442477777;7942477777;10240;10228
12;7903296000;7442477777;7942477777;10240;10228
13;7903316000;7442477777;7942477777;10240;10228
14;7903322000;7483722222;7983722222;10240;10228
13;7903568000;7442477777;7942477777;10240;10228
14;7903591000;7483722222;7983722222;10240;10228
15;7903606000;7483722222;7983722222;10240;10228
16;7903782000;7483722222;7983722222;10240;10228
17;7903792000;7483722222;7983722222;10240;10228
15;7903797000;7483722222;7983722222;10240;10228
16;7903812000;7483722222;7983722222;10240;10228
17;7903822000;7483722222;7983722222;10240;10228
18;7903977000;7483722222;7983722222;10240;10228
19;7904000000;7483722222;7983722222;10240;10228
18;7904035000;7483722222;7983722222;10240;10228
20;7904055000;7483722222;7983722222;10240;10228
20;7904213000;7483722222;7983722222;10240;10228
21;7904250000;7483744444;7983744444;10240;10228
21;7904294000;7483744444;7983744444;10240;10228
22;7904310000;7484144444;7984144444;10240;10228
22;7904379000;7484144444;7984144444;10240;10228
23;7904391000;7484144444;7984144444;10240;10228
23;7904546000;7484144444;7984144444;10240;10228
24;7904564000;7484144444;7984144444;10240;10228
24;7904569000;7484144444;7984144444;10240;10228
25;7904808000;7525388888;8025388888;10240;10228
26;7904820000;7525388888;8025388888;10240;10228
25;7904834000;7525388888;8025388888;10240;10228
26;7904838000;7525388888;8025388888;10240;10228
28;7905032000;7525388888;8025388888;10240;10228
29;7905052000;7525388888;8025388888;10240;10228
27;7905057000;7525388888;8025388888;10240;10228
28;7905061000;7525388888;8025388888;10240;10228
30;7905215000;7525388888;8025388888;10240;10228
31;7905224000;7525388888;8025388888;10240;10228
29;7905298000;7525388888;8025388888;10240;10228
31;7905308000;7525388888;8025388888;10240;10228
32;7905314000;7525411111;8025411111;10240;10228
32;7905383000;7525411111;8025411111;10240;10228
33;7905541000;7525744444;8025744444;10240;10228
34;7905550000;7525744444;8025744444;10240;10228
33;7905643000;7525744444;8025744444;10240;10228
34;7905653000;7525744444;8025744444;10240;10228
35;7905821000;7525744444;8025744444;10240;10228
36;7905832000;7567055555;8067055555;10240;10228
35;7905837000;7525744444;8025744444;10240;10228
36;7905842000;7567055555;8067055555;10240;10228
37;7906055000;7567055555;8067055555;10240;10228
38;7906067000;7567055555;8067055555;10240;10228
37;7906071000;7567055555;8067055555;10240;10228
38;7906076000;7567055555;8067055555;10240;10228
39;7906281000;7567055555;8067055555;10240;10228
40;8102641000;7567055555;8067055555;10240;10228
