seqnum;now;rtptime;deadline
1;8191819000;7998655555;8498655555
3;8271686000;8030133333;8530133333
26;8354513000;8113488888;8613488888
58;8460068000;8238500000;8738500000
91;8540845000;8363466666;8863466666
113;8589199000;8446800000;8946800000
124;8615655000;8488466666;8988466666
135;8645015000;8530133333;9030133333
136;8645019000;8530133333;9030133333
137;8645020000;8530133333;9030133333
138;8645024000;8530133333;9030133333
139;8645025000;8530133333;9030133333
140;8645027000;8530133333;9030133333
141;8645028000;8530133333;9030133333
142;8645226000;8530222222;9030222222
143;8645241000;8530488888;9030488888
144;8645243000;8530488888;9030488888
145;8645244000;8530488888;9030488888
146;8677418000;8571800000;9071800000
147;8677422000;8571800000;9071800000
148;8677423000;8571800000;9071800000
149;8677424000;8571800000;9071800000
150;8677425000;8571800000;9071800000
151;8677426000;8571800000;9071800000
152;8677427000;8571800000;9071800000
153;8677630000;8571900000;9071900000
154;8677645000;8572233333;9072233333
155;8677647000;8572233333;9072233333
156;8677648000;8572233333;9072233333
157;8711420000;8613466666;9113466666
158;8711423000;8613466666;9113466666
159;8711424000;8613466666;9113466666
160;8711425000;8613466666;9113466666
161;8711426000;8613466666;9113466666
162;8711427000;8613466666;9113466666
163;8711437000;8613466666;9113466666
164;8711573000;8613555555;9113555555
165;8711576000;8613844444;9113844444
166;8711577000;8613844444;9113844444
167;8711578000;8613844444;9113844444
168;8749714000;8655133333;9155133333
169;8749727000;8655133333;9155133333
170;8749728000;8655133333;9155133333
171;8749729000;8655133333;9155133333
172;8749730000;8655133333;9155133333
173;8749731000;8655133333;9155133333
174;8749732000;8655133333;9155133333
175;8749929000;8655222222;9155222222
176;8749944000;8655522222;9155522222
177;8749946000;8655522222;9155522222
178;8749947000;8655522222;9155522222
179;8789433000;8696800000;9196800000
180;8789436000;8696800000;9196800000
181;8789437000;8696800000;9196800000
182;8789438000;8696800000;9196800000
183;8789439000;8696800000;9196800000
184;8789440000;8696800000;9196800000
185;8789441000;8696800000;9196800000
186;8789639000;8696911111;9196911111
187;8789655000;8697211111;9197211111
188;8789656000;8697211111;9197211111
189;8789657000;8697211111;9197211111
190;8829935000;8738466666;9238466666
191;8829939000;8738466666;9238466666
192;8829940000;8738466666;9238466666
193;8829941000;8738466666;9238466666
194;8829941000;8738466666;9238466666
195;8829942000;8738466666;9238466666
196;8829943000;8738466666;9238466666
197;8830157000;8738555555;9238555555
198;8830174000;8738833333;9238833333
199;8830175000;8738833333;9238833333
200;8830176000;8738833333;9238833333
201;8871326000;8780144444;9280144444
202;8871329000;8780144444;9280144444
203;8871331000;8780144444;9280144444
204;8871332000;8780144444;9280144444
205;8871333000;8780144444;9280144444
206;8871334000;8780144444;9280144444
207;8871335000;8780144444;9280144444
208;8871561000;8780222222;9280222222
209;8871576000;8780511111;9280511111
210;8871577000;8780511111;9280511111
211;8871578000;8780511111;9280511111
212;8912724000;8821800000;9321800000
213;8912726000;8821800000;9321800000
214;8912728000;8821800000;9321800000
215;8912729000;8821800000;9321800000
216;8912730000;8821800000;9321800000
217;8912730000;8821800000;9321800000
218;8912741000;8821800000;9321800000
219;8912871000;8821900000;9321900000
220;8912874000;8822233333;9322233333
221;8912875000;8822233333;9322233333
222;8912876000;8822233333;9322233333
223;8954242000;8863466666;9363466666
224;8954246000;8863466666;9363466666
225;8954247000;8863466666;9363466666
226;8954248000;8863466666;9363466666
227;8954249000;8863466666;9363466666
228;8954250000;8863466666;9363466666
229;8954251000;8863466666;9363466666
230;8954456000;8863544444;9363544444
231;8954462000;8863844444;9363844444
232;8954463000;8863844444;9363844444
233;8954465000;8863844444;9363844444
234;8996083000;8905166666;9405166666
235;8996086000;8905166666;9405166666
236;8996087000;8905166666;9405166666
237;8996088000;8905166666;9405166666
238;8996089000;8905166666;9405166666
239;8996102000;8905166666;9405166666
240;8996103000;8905166666;9405166666
241;8996319000;8905255555;9405255555
242;8996334000;8905700000;9405700000
243;8996335000;8905700000;9405700000
244;8996336000;8905700000;9405700000
245;9037706000;8946811111;9446811111
246;9037709000;8946811111;9446811111
247;9037710000;8946811111;9446811111
248;9037711000;8946811111;9446811111
249;9037712000;8946811111;9446811111
250;9037713000;8946811111;9446811111
251;9037714000;8946811111;9446811111
252;9037912000;8946922222;9446922222
253;9037927000;8947244444;9447244444
254;9037928000;8947244444;9447244444
255;9037929000;8947244444;9447244444
256;9079361000;8988466666;9488466666
257;9079364000;8988466666;9488466666
258;9079365000;8988466666;9488466666
259;9079366000;8988466666;9488466666
260;9079367000;8988466666;9488466666
261;9079368000;8988466666;9488466666
262;9079369000;8988466666;9488466666
263;9079575000;8988555555;9488555555
264;9079590000;8988833333;9488833333
265;9079591000;8988833333;9488833333
266;9079592000;8988833333;9488833333
267;9121025000;9030133333;9530133333
268;9121028000;9030133333;9530133333
269;9121030000;9030133333;9530133333
270;9121030000;9030133333;9530133333
271;9121031000;9030133333;9530133333
272;9121032000;9030133333;9530133333
273;9121033000;9030133333;9530133333
274;9121228000;9030222222;9530222222
275;9121246000;9030488888;9530488888
276;9121247000;9030488888;9530488888
277;9121248000;9030488888;9530488888
278;9162713000;9071800000;9571800000
279;9162716000;9071800000;9571800000
280;9162717000;9071800000;9571800000
281;9162718000;9071800000;9571800000
282;9162719000;9071800000;9571800000
283;9162720000;9071800000;9571800000
284;9162721000;9071800000;9571800000
285;9162919000;9071922222;9571922222
286;9162934000;9072233333;9572233333
287;9162935000;9072233333;9572233333
288;9162936000;9072233333;9572233333
289;9204346000;9113466666;9613466666
290;9204349000;9113466666;9613466666
291;9204350000;9113466666;9613466666
292;9204351000;9113466666;9613466666
293;9204352000;9113466666;9613466666
294;9204353000;9113466666;9613466666
295;9204354000;9113466666;9613466666
296;9204584000;9113555555;9613555555
297;9204599000;9113822222;9613822222
298;9204600000;9113822222;9613822222
299;9204601000;9113822222;9613822222
300;9246036000;9155144444;9655144444
301;9246039000;9155144444;9655144444
302;9246041000;9155144444;9655144444
303;9246042000;9155144444;9655144444
304;9246042000;9155144444;9655144444
305;9246044000;9155144444;9655144444
306;9246044000;9155144444;9655144444
307;9246253000;9155222222;9655222222
308;9246270000;9155511111;9655511111
309;9246272000;9155511111;9655511111
310;9246272000;9155511111;9655511111
311;9287558000;9196800000;9696800000
312;9287561000;9196800000;9696800000
313;9287562000;9196800000;9696800000
314;9287563000;9196800000;9696800000
315;9287564000;9196800000;9696800000
316;9287565000;9196800000;9696800000
317;9287566000;9196800000;9696800000
318;9287763000;9196911111;9696911111
319;9287778000;9197211111;9697211111
320;9287779000;9197211111;9697211111
321;9287780000;9197211111;9697211111
322;9329375000;9238466666;9738466666
323;9329379000;9238466666;9738466666
324;9329380000;9238466666;9738466666
325;9329381000;9238466666;9738466666
326;9329382000;9238466666;9738466666
327;9329383000;9238466666;9738466666
328;9329384000;9238466666;9738466666
329;9329588000;9238544444;9738544444
330;9329603000;9238833333;9738833333
331;9329604000;9238833333;9738833333
332;9329605000;9238833333;9738833333
333;9371043000;9280133333;9780133333
334;9371046000;9280133333;9780133333
335;9371047000;9280133333;9780133333
336;9371048000;9280133333;9780133333
337;9371049000;9280133333;9780133333
338;9371050000;9280133333;9780133333
339;9371051000;9280133333;9780133333
340;9371249000;9280222222;9780222222
341;9371265000;9280500000;9780500000
342;9371266000;9280500000;9780500000
343;9371267000;9280500000;9780500000
344;9412723000;9321811111;9821811111
345;9412727000;9321811111;9821811111
346;9412728000;9321811111;9821811111
347;9412729000;9321811111;9821811111
348;9412730000;9321811111;9821811111
349;9412739000;9321811111;9821811111
350;9412740000;9321811111;9821811111
351;9412938000;9321933333;9821933333
352;9412954000;9322244444;9822244444
353;9412955000;9322244444;9822244444
354;9412956000;9322244444;9822244444
355;9454363000;9363466666;9863466666
356;9454366000;9363466666;9863466666
357;9454368000;9363466666;9863466666
358;9454369000;9363466666;9863466666
359;9454370000;9363466666;9863466666
360;9454371000;9363466666;9863466666
361;9454372000;9363466666;9863466666
362;9454580000;9363555555;9863555555
363;9454595000;9363833333;9863833333
364;9454596000;9363833333;9863833333
365;9454598000;9363833333;9863833333
366;9495978000;9405133333;9905133333
367;9495981000;9405133333;9905133333
368;9495982000;9405133333;9905133333
369;9495983000;9405133333;9905133333
370;9495993000;9405133333;9905133333
371;9495994000;9405133333;9905133333
372;9495995000;9405133333;9905133333
373;9496127000;9405222222;9905222222
374;9496129000;9405488888;9905488888
375;9496130000;9405488888;9905488888
376;9496131000;9405488888;9905488888
377;9537652000;9446811111;9946811111
378;9537654000;9446811111;9946811111
379;9537655000;9446811111;9946811111
380;9537656000;9446811111;9946811111
381;9537657000;9446811111;9946811111
382;9537658000;9446811111;9946811111
383;9537659000;9446811111;9946811111
384;9537799000;9446933333;9946933333
385;9537802000;9447244444;9947244444
386;9537803000;9447244444;9947244444
387;9537803000;9447244444;9947244444
388;9579331000;9488488888;9988488888
389;9579334000;9488488888;9988488888
390;9579335000;9488488888;9988488888
391;9579336000;9488488888;9988488888
392;9579337000;9488488888;9988488888
393;9579338000;9488488888;9988488888
394;9579339000;9488488888;9988488888
395;9579488000;9488577777;9988577777
396;9579491000;9488866666;9988866666
397;9579492000;9488866666;9988866666
398;9579493000;9488866666;9988866666
399;9621099000;9530177777;10030177777
400;9621103000;9530177777;10030177777
