seqnum;now;rtptime;deadline;packet_len;payload_len
1;8034924000;7543777777;8043777777;10240;10228
2;8035070000;7543777777;8043777777;10240;10228
5;8035077000;7575311111;8075311111;10240;10228
0;8035172000;7543777777;8043777777;10240;10228
6;8035246000;7575311111;8075311111;10240;10228
3;8035411000;7575311111;8075311111;10240;10228
4;8035419000;7575311111;8075311111;10240;10228
7;8035425000;7575311111;8075311111;10240;10228
9;8035428000;7575311111;8075311111;10240;10228
10;8035436000;7575333333;8075333333;10240;10228
13;8035683000;7575677777;8075677777;10240;10228
11;8035701000;7575677777;8075677777;10240;10228
14;8035707000;7616966666;8116966666;10240;10228
12;8035711000;7575677777;8075677777;10240;10228
17;8035858000;7616966666;8116966666;10240;10228
15;8035934000;7616966666;8116966666;10240;10228
16;8035963000;7616966666;8116966666;10240;10228
18;8036114000;7616966666;8116966666;10240;10228
26;8036155000;7658633333;8158633333;10240;10228
29;8036163000;7658633333;8158633333;10240;10228
19;8036167000;7616966666;8116966666;10240;10228
20;8036185000;7616966666;8116966666;10240;10228
30;8036321000;7658633333;8158633333;10240;10228
23;8036415000;7617377777;8117377777;10240;10228
24;8036430000;7617377777;8117377777;10240;10228
33;8036507000;7658988888;8158988888;10240;10228
34;8036518000;7658988888;8158988888;10240;10228
27;8036677000;7658633333;8158633333;10240;10228
28;8036688000;7658633333;8158633333;10240;10228
41;8036703000;7700300000;8200300000;10240;10228
42;8036897000;7700300000;8200300000;10240;10228
45;8036911000;7700644444;8200644444;10240;10228
31;8036918000;7658633333;8158633333;10240;10228
32;8036923000;7658655555;8158655555;10240;10228
35;8036929000;7658988888;8158988888;10240;10228
49;8037091000;7741966666;8241966666;10240;10228
50;8037104000;7741966666;8241966666;10240;10228
36;8037189000;7700300000;8200300000;10240;10228
39;8037202000;7700300000;8200300000;10240;10228
57;8037297000;7742288888;8242288888;10240;10228
40;8037412000;7700300000;8200300000;10240;10228
43;8037426000;7700322222;8200322222;10240;10228
61;8037526000;7783633333;8283633333;10240;10228
65;8037537000;7783655555;8283655555;10240;10228
66;8037542000;7783944444;8283944444;10240;10228
44;8037698000;7700644444;8200644444;10240;10228
47;8037721000;7741966666;8241966666;10240;10228
69;8037726000;7825300000;8325300000;10240;10228
70;8037961000;7825300000;8325300000;10240;10228
48;8037982000;7741966666;8241966666;10240;10228
51;8037987000;7741966666;8241966666;10240;10228
73;8037992000;7825300000;8325300000;10240;10228
74;8038150000;7825300000;8325300000;10240;10228
77;8038163000;7825644444;8325644444;10240;10228
52;8038169000;7741966666;8241966666;10240;10228
55;8038175000;7742288888;8242288888;10240;10228
78;8038317000;7825644444;8325644444;10240;10228
56;8038409000;7742288888;8242288888;10240;10228
59;8038420000;7783633333;8283633333;10240;10228
60;8038648000;7783633333;8283633333;10240;10228
63;8038659000;7783633333;8283633333;10240;10228
64;8038944000;7783633333;8283633333;10240;10228
67;8038965000;7783944444;8283944444;10240;10228
68;8038970000;7783944444;8283944444;10240;10228
71;8039189000;7825300000;8325300000;10240;10228
72;8039199000;7825300000;8325300000;10240;10228
75;8039410000;7825300000;8325300000;10240;10228
76;8039419000;7825322222;8325322222;10240;10228
79;8039703000;7825644444;8325644444;10240;10228
80;8235446000;7866955555;8366955555;10240;10228
83;8235902000;7866955555;8366955555;10240;10228
87;8235925000;7866977777;8366977777;10240;10228
84;8235956000;7866955555;8366955555;10240;10228
89;8236079000;7867288888;8367288888;10240;10228
85;8236153000;7866955555;8366955555;10240;10228
91;8236283000;7908633333;8408633333;10240;10228
92;8236290000;7908633333;8408633333;10240;10228
86;8236369000;7866955555;8366955555;10240;10228
90;8236376000;7867288888;8367288888;10240;10228
93;8236459000;7908633333;8408633333;10240;10228
94;8236742000;7908633333;8408633333;10240;10228
99;8236748000;7908944444;8408944444;10240;10228
