seqnum;now;rtptime;deadline
1;12339655000;11347588888;11847588888
3;12420334000;11378877777;11878877777
56;12574660000;11545855555;12045855555
57;12574664000;11545855555;12045855555
59;12611606000;11587200000;12087200000
60;12611609000;11587200000;12087200000
61;12611611000;11587200000;12087200000
62;12611612000;11587200000;12087200000
63;12611614000;11587200000;12087200000
64;12611615000;11587200000;12087200000
65;12611735000;11587211111;12087211111
66;12611750000;11587500000;12087500000
67;12611751000;11587500000;12087500000
68;12611752000;11587500000;12087500000
69;12634546000;11628888888;12128888888
70;12634550000;11628888888;12128888888
71;12634551000;11628888888;12128888888
72;12634552000;11628888888;12128888888
74;12634553000;11628888888;12128888888
75;12634554000;11628888888;12128888888
76;12634752000;11628911111;12128911111
77;12634767000;11629300000;12129300000
78;12634768000;11629300000;12129300000
79;12634769000;11629300000;12129300000
80;12789708000;11670533333;12170533333
138;12982557000;11878877777;12378877777
139;12982560000;11878877777;12378877777
140;12982562000;11878877777;12378877777
141;12982562000;11878877777;12378877777
142;12982688000;11878888888;12378888888
143;12982693000;11879177777;12379177777
144;12982694000;11879177777;12379177777
147;13016968000;11920533333;12420533333
148;13016971000;11920533333;12420533333
149;13016972000;11920533333;12420533333
150;13016973000;11920533333;12420533333
151;13016974000;11920533333;12420533333
152;13016975000;11920533333;12420533333
153;13017044000;11920544444;12420544444
154;13017049000;11920866666;12420866666
155;13017050000;11920866666;12420866666
156;13017051000;11920866666;12420866666
157;13035956000;11962200000;12462200000
158;13035960000;11962200000;12462200000
159;13139902000;11962200000;12462200000
160;13140244000;11962200000;12462200000
161;13140251000;11962200000;12462200000
164;13190806000;11962211111;12462211111
214;13190812000;12170533333;12670533333
215;13190813000;12170533333;12670533333
216;13190814000;12170533333;12670533333
217;13190815000;12170533333;12670533333
218;13190816000;12170533333;12670533333
220;13382721000;12170877777;12670877777
221;13382724000;12170877777;12670877777
222;13382725000;12170877777;12670877777
223;13411881000;12212200000;12712200000
224;13411885000;12212200000;12712200000
225;13411886000;12212200000;12712200000
