seqnum;now;rtptime;deadline;packet_len;payload_len
0;6151254000;5859788888;6359788888;10240;10228
1;6151343000;5859788888;6359788888;10240;10228
3;6151467000;5891144444;6391144444;10240;10228
5;6151504000;5891144444;6391144444;10240;10228
6;6151715000;5891144444;6391144444;10240;10228
7;6151725000;5891144444;6391144444;10240;10228
8;6151960000;5891144444;6391144444;10240;10228
9;6151970000;5891144444;6391144444;10240;10228
10;6152211000;5891166666;6391166666;10240;10228
11;6152233000;5891477777;6391477777;10240;10228
12;6152445000;5891477777;6391477777;10240;10228
13;6152453000;5891477777;6391477777;10240;10228
14;6152666000;5932833333;6432833333;10240;10228
15;6152672000;5932833333;6432833333;10240;10228
16;6152952000;5932833333;6432833333;10240;10228
17;6152962000;5932833333;6432833333;10240;10228
18;6152968000;5932833333;6432833333;10240;10228
19;6153202000;5932833333;6432833333;10240;10228
20;6153209000;5932833333;6432833333;10240;10228
21;6153446000;5932844444;6432844444;10240;10228
22;6153452000;5933233333;6433233333;10240;10228
23;6153710000;5933233333;6433233333;10240;10228
24;6153716000;5933233333;6433233333;10240;10228
25;6153954000;5974522222;6474522222;10240;10228
26;6153960000;5974522222;6474522222;10240;10228
27;6154204000;5974522222;6474522222;10240;10228
28;6154221000;5974522222;6474522222;10240;10228
29;6154451000;5974522222;6474522222;10240;10228
31;6154583000;5974522222;6474522222;10240;10228
32;6154600000;5974533333;6474533333;10240;10228
33;6154683000;5974933333;6474933333;10240;10228
34;6154696000;5974933333;6474933333;10240;10228
35;6154921000;5974933333;6474933333;10240;10228
36;6154927000;6016177777;6516177777;10240;10228
37;6155172000;6016177777;6516177777;10240;10228
38;6155178000;6016177777;6516177777;10240;10228
39;6155405000;6016177777;6516177777;10240;10228
40;6155414000;6016177777;6516177777;10240;10228
41;6155708000;6016177777;6516177777;10240;10228
42;6155718000;6016177777;6516177777;10240;10228
43;6155722000;6016200000;6516200000;10240;10228
44;6155960000;6016555555;6516555555;10240;10228
45;6155966000;6016555555;6516555555;10240;10228
47;6156209000;6057844444;6557844444;10240;10228
48;6156215000;6057844444;6557844444;10240;10228
49;6156408000;6057844444;6557844444;10240;10228
50;6156415000;6057844444;6557844444;10240;10228
51;6156691000;6057844444;6557844444;10240;10228
52;6156697000;6057844444;6557844444;10240;10228
53;6156939000;6057844444;6557844444;10240;10228
54;6156945000;6057855555;6557855555;10240;10228
55;6160232000;6058177777;6558177777;10240;10228
56;6160254000;6058177777;6558177777;10240;10228
58;6160450000;6099533333;6599533333;10240;10228
59;6160465000;6099533333;6599533333;10240;10228
60;6160724000;6099533333;6599533333;10240;10228
61;6160748000;6099533333;6599533333;10240;10228
62;6160972000;6099533333;6599533333;10240;10228
63;6160996000;6099533333;6599533333;10240;10228
64;6161223000;6099533333;6599533333;10240;10228
67;6201908000;6099900000;6599900000;10240;10228
68;6201936000;6099900000;6599900000;10240;10228
71;6202123000;6141200000;6641200000;10240;10228
72;6202146000;6141200000;6641200000;10240;10228
73;6202367000;6141200000;6641200000;10240;10228
74;6202379000;6141200000;6641200000;10240;10228
75;6202632000;6141200000;6641200000;10240;10228
76;6202643000;6141255555;6641255555;10240;10228
77;6243558000;6141588888;6641588888;10240;10228
78;6243589000;6141588888;6641588888;10240;10228
79;6272120000;6141588888;6641588888;10240;10228
80;6272449000;6182833333;6682833333;10240;10228
81;6272461000;6182833333;6682833333;10240;10228
82;6272687000;6182833333;6682833333;10240;10228
2;6272697000;5859788888;6359788888;10240;10228
83;6272935000;6182833333;6682833333;10240;10228
4;6272947000;5891144444;6391144444;10240;10228
84;6273171000;6182833333;6682833333;10240;10228
85;6273193000;6182833333;6682833333;10240;10228
86;6273421000;6182833333;6682833333;10240;10228
87;6273433000;6182844444;6682844444;10240;10228
30;6275449000;5974522222;6474522222;10240;10228
46;6277398000;6016555555;6516555555;10240;10228
57;6281726000;6058177777;6558177777;10240;10228
88;6285221000;6183188888;6683188888;10240;10228
89;6285261000;6183188888;6683188888;10240;10228
90;6285457000;6183188888;6683188888;10240;10228
91;6285467000;6224533333;6724533333;10240;10228
92;6285718000;6224533333;6724533333;10240;10228
93;6285729000;6224533333;6724533333;10240;10228
94;6285962000;6224533333;6724533333;10240;10228
95;6285984000;6224533333;6724533333;10240;10228
96;6286219000;6224533333;6724533333;10240;10228
97;6286231000;6224533333;6724533333;10240;10228
98;6286455000;6224588888;6724588888;10240;10228
65;6322842000;6099588888;6599588888;10240;10228
66;6323086000;6099900000;6599900000;10240;10228
69;6323303000;6141200000;6641200000;10240;10228
70;6323559000;6141200000;6641200000;10240;10228
99;6326891000;6224900000;6724900000;10240;10228
100;6326912000;6224900000;6724900000;10240;10228
101;6327137000;6224900000;6724900000;10240;10228
102;6327148000;6266200000;6766200000;10240;10228
104;6327378000;6266200000;6766200000;10240;10228
105;6327390000;6266200000;6766200000;10240;10228
106;6327643000;6266200000;6766200000;10240;10228
107;6327667000;6266200000;6766200000;10240;10228
108;6327886000;6266200000;6766200000;10240;10228
109;6327907000;6266244444;6766244444;10240;10228
110;6368587000;6266522222;6766522222;10240;10228
111;6368612000;6266522222;6766522222;10240;10228
112;6368817000;6266522222;6766522222;10240;10228
113;6368839000;6307877777;6807877777;10240;10228
114;6369069000;6307877777;6807877777;10240;10228
115;6369090000;6307877777;6807877777;10240;10228
116;6369274000;6307877777;6807877777;10240;10228
117;6369283000;6307877777;6807877777;10240;10228
118;6369541000;6307877777;6807877777;10240;10228
119;6369559000;6307877777;6807877777;10240;10228
120;6369827000;6307933333;6807933333;10240;10228
121;6410219000;6308222222;6808222222;10240;10228
122;6410242000;6308222222;6808222222;10240;10228
124;6410455000;6349533333;6849533333;10240;10228
125;6410468000;6349533333;6849533333;10240;10228
126;6410718000;6349533333;6849533333;10240;10228
128;6410730000;6349533333;6849533333;10240;10228
129;6410962000;6349533333;6849533333;10240;10228
130;6410973000;6349533333;6849533333;10240;10228
131;6411221000;6349577777;6849577777;10240;10228
103;6448903000;6266200000;6766200000;10240;10228
132;6451889000;6349877777;6849877777;10240;10228
133;6451909000;6349877777;6849877777;10240;10228
134;6452133000;6349877777;6849877777;10240;10228
136;6452152000;6391211111;6891211111;10240;10228
137;6452383000;6391211111;6891211111;10240;10228
138;6452392000;6391211111;6891211111;10240;10228
139;6452574000;6391211111;6891211111;10240;10228
140;6452583000;6391211111;6891211111;10240;10228
141;6452889000;6391211111;6891211111;10240;10228
142;6452909000;6391255555;6891255555;10240;10228
143;6493551000;6391544444;6891544444;10240;10228
144;6493573000;6391544444;6891544444;10240;10228
145;6493800000;6391544444;6891544444;10240;10228
146;6493811000;6432877777;6932877777;10240;10228
147;6494051000;6432877777;6932877777;10240;10228
148;6494072000;6432877777;6932877777;10240;10228
149;6494289000;6432877777;6932877777;10240;10228
150;6494310000;6432877777;6932877777;10240;10228
151;6494582000;6432877777;6932877777;10240;10228
153;6494605000;6432944444;6932944444;10240;10228
123;6531795000;6308222222;6808222222;10240;10228
127;6532284000;6349533333;6849533333;10240;10228
154;6535263000;6433255555;6933255555;10240;10228
155;6535284000;6433255555;6933255555;10240;10228
156;6535502000;6433255555;6933255555;10240;10228
157;6535522000;6474533333;6974533333;10240;10228
158;6535719000;6474533333;6974533333;10240;10228
159;6535729000;6474533333;6974533333;10240;10228
160;6535966000;6474533333;6974533333;10240;10228
161;6535975000;6474533333;6974533333;10240;10228
162;6536213000;6474533333;6974533333;10240;10228
163;6536233000;6474533333;6974533333;10240;10228
164;6536456000;6474577777;6974577777;10240;10228
135;6573167000;6391211111;6891211111;10240;10228
165;6576882000;6474888888;6974888888;10240;10228
166;6576903000;6474888888;6974888888;10240;10228
167;6577125000;6474888888;6974888888;10240;10228
168;6577146000;6516200000;7016200000;10240;10228
169;6577332000;6516200000;7016200000;10240;10228
170;6577354000;6516200000;7016200000;10240;10228
171;6577626000;6516200000;7016200000;10240;10228
172;6577649000;6516200000;7016200000;10240;10228
173;6577886000;6516200000;7016200000;10240;10228
174;6577907000;6516200000;7016200000;10240;10228
175;6578135000;6516244444;7016244444;10240;10228
176;6618573000;6516555555;7016555555;10240;10228
177;6618582000;6516555555;7016555555;10240;10228
179;6618813000;6557877777;7057877777;10240;10228
180;6618825000;6557877777;7057877777;10240;10228
181;6619054000;6557877777;7057877777;10240;10228
182;6619075000;6557877777;7057877777;10240;10228
183;6619310000;6557877777;7057877777;10240;10228
184;6619321000;6557877777;7057877777;10240;10228
185;6619541000;6557877777;7057877777;10240;10228
186;6619562000;6557933333;7057933333;10240;10228
152;6656290000;6432877777;6932877777;10240;10228
187;6660220000;6558222222;7058222222;10240;10228
189;6660240000;6558222222;7058222222;10240;10228
190;6660456000;6599533333;7099533333;10240;10228
192;6660466000;6599533333;7099533333;10240;10228
193;6660721000;6599533333;7099533333;10240;10228
194;6660742000;6599533333;7099533333;10240;10228
195;6660961000;6599533333;7099533333;10240;10228
196;6660985000;6599533333;7099533333;10240;10228
197;6661220000;6599577777;7099577777;10240;10228
198;6701895000;6599855555;7099855555;10240;10228
199;6701905000;6599855555;7099855555;10240;10228
200;6702132000;6599855555;7099855555;10240;10228
201;6702151000;6641200000;7141200000;10240;10228
202;6702382000;6641200000;7141200000;10240;10228
203;6702392000;6641200000;7141200000;10240;10228
204;6702595000;6641200000;7141200000;10240;10228
205;6702609000;6641200000;7141200000;10240;10228
206;6702845000;6641200000;7141200000;10240;10228
207;6702863000;6641200000;7141200000;10240;10228
208;6703140000;6641244444;7141244444;10240;10228
178;6739853000;6516555555;7016555555;10240;10228
209;6743582000;6641522222;7141522222;10240;10228
210;6743602000;6641522222;7141522222;10240;10228
211;6743849000;6641522222;7141522222;10240;10228
212;6743870000;6682877777;7182877777;10240;10228
214;6744110000;6682877777;7182877777;10240;10228
215;6744131000;6682877777;7182877777;10240;10228
216;6744319000;6682877777;7182877777;10240;10228
217;6744331000;6682877777;7182877777;10240;10228
218;6744542000;6682877777;7182877777;10240;10228
219;6744562000;6682922222;7182922222;10240;10228
188;6781331000;6558222222;7058222222;10240;10228
191;6781788000;6599533333;7099533333;10240;10228
220;6785264000;6683233333;7183233333;10240;10228
221;6785283000;6683233333;7183233333;10240;10228
222;6785489000;6683233333;7183233333;10240;10228
223;6785508000;6724533333;7224533333;10240;10228
224;6785765000;6724533333;7224533333;10240;10228
225;6785783000;6724533333;7224533333;10240;10228
226;6786011000;6724533333;7224533333;10240;10228
227;6786031000;6724533333;7224533333;10240;10228
228;6786289000;6724533333;7224533333;10240;10228
229;6786299000;6724533333;7224533333;10240;10228
230;6786488000;6724577777;7224577777;10240;10228
231;6826939000;6724877777;7224877777;10240;10228
232;6826959000;6724877777;7224877777;10240;10228
235;6827183000;6766200000;7266200000;10240;10228
236;6827193000;6766200000;7266200000;10240;10228
237;6827415000;6766200000;7266200000;10240;10228
239;6827424000;6766200000;7266200000;10240;10228
240;6827626000;6766200000;7266200000;10240;10228
241;6827640000;6766244444;7266244444;10240;10228
213;6865127000;6682877777;7182877777;10240;10228
242;6868603000;6766533333;7266533333;10240;10228
243;6868624000;6766533333;7266533333;10240;10228
244;6868832000;6766533333;7266533333;10240;10228
245;6868851000;6807877777;7307877777;10240;10228
246;6869083000;6807877777;7307877777;10240;10228
247;6869103000;6807877777;7307877777;10240;10228
248;6869323000;6807877777;7307877777;10240;10228
249;6869342000;6807877777;7307877777;10240;10228
250;6869526000;6807877777;7307877777;10240;10228
252;6869545000;6807922222;7307922222;10240;10228
253;6910267000;6808233333;7308233333;10240;10228
254;6910286000;6808233333;7308233333;10240;10228
255;6910505000;6808233333;7308233333;10240;10228
256;6910542000;6849533333;7349533333;10240;10228
257;6910762000;6849533333;7349533333;10240;10228
258;6910782000;6849533333;7349533333;10240;10228
259;6911007000;6849533333;7349533333;10240;10228
260;6911027000;6849533333;7349533333;10240;10228
261;6911247000;6849533333;7349533333;10240;10228
262;6911270000;6849533333;7349533333;10240;10228
263;6911463000;6849577777;7349577777;10240;10228
