seqnum;now;rtptime;deadline
1;11332280000;9925844444;10425844444
2;11332284000;9925844444;10425844444
3;11412672000;9957255555;10457255555
57;11574335000;10124244444;10624244444
135;11746799000;10457277777;10957277777
212;11773635000;10748900000;11248900000
213;11773641000;10748900000;11248900000
214;11773642000;10748900000;11248900000
215;11773644000;10748900000;11248900000
216;11773645000;10748900000;11248900000
217;11773649000;10748900000;11248900000
219;11773852000;10748911111;11248911111
220;11773867000;10749233333;11249233333
221;11773868000;10749233333;11249233333
222;11773869000;10749233333;11249233333
223;11779747000;10790588888;11290588888
224;11779751000;10790588888;11290588888
225;11779752000;10790588888;11290588888
226;11779753000;10790588888;11290588888
227;11779754000;10790588888;11290588888
228;11779755000;10790588888;11290588888
229;11779756000;10790588888;11290588888
230;11779955000;10790600000;11290600000
231;11779971000;10790900000;11290900000
232;11779972000;10790900000;11290900000
233;11779973000;10790900000;11290900000
236;11780682000;10832244444;11332244444
237;11780684000;10832244444;11332244444
238;11813898000;10832244444;11332244444
239;11813925000;10832244444;11332244444
244;11864566000;10832533333;11332533333
289;12066789000;11040577777;11540577777
371;12225993000;11332255555;11832255555
445;12262878000;11623911111;12123911111
446;12262881000;11623911111;12123911111
447;12262882000;11623911111;12123911111
448;12262883000;11623911111;12123911111
449;12262884000;11623911111;12123911111
450;12263096000;11623922222;12123922222
451;12263111000;11624200000;12124200000
452;12263113000;11624200000;12124200000
453;12263113000;11624200000;12124200000
454;12269501000;11665577777;12165577777
455;12269505000;11665577777;12165577777
456;12269506000;11665577777;12165577777
458;12269507000;11665577777;12165577777
459;12269508000;11665577777;12165577777
460;12269509000;11665577777;12165577777
461;12269721000;11665588888;12165588888
462;12269737000;11665888888;12165888888
463;12269738000;11665888888;12165888888
464;12269739000;11665888888;12165888888
465;12270756000;11707233333;12207233333
466;12270758000;11707233333;12207233333
467;12270759000;11707233333;12207233333
468;12270760000;11707233333;12207233333
469;12270761000;11707233333;12207233333
470;12270762000;11707233333;12207233333
472;12270902000;11707255555;12207255555
